token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
late,late,"('late', 'JJ')",late,late,introduction,late,O,,
small,small,"('small', 'JJ')",small,small,introduction,small,O,,
state,state,"('state', 'NN')",state,state,introduction,state,O,,
Rio,rio,"('rio', 'NN')",rio,rio,introduction,Rio,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Grande,grande,"('grande', 'NN')",grand,grande,introduction,Grande,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Norte,norte,"('norte', 'RB')",nort,norte,introduction,Norte,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
capital,capital,"('capital', 'NN')",capit,capital,introduction,capital,O,,
Natal,natal,"('natal', 'NN')",natal,natal,introduction,Natal,O,,
sleepy,sleepy,"('sleepy', 'RB')",sleepi,sleepy,introduction,sleepy,O,,
conservative,conservative,"('conservative', 'JJ')",conserv,conservative,introduction,conservative,O,,
backwaters,backwaters,"('backwaters', 'NNS')",backwat,backwater,introduction,backwaters,O,,
rarely,rarely,"('rarely', 'RB')",rare,rarely,introduction,rarely,O,,
visited,visited,"('visited', 'VBN')",visit,visit,introduction,visited,O,,
tourists,tourists,"('tourists', 'NNS')",tourist,tourist,introduction,tourists,O,,
little,little,"('little', 'NN')",littl,little,introduction,little,O,,
historical,historical,"('historical', 'JJ')",histor,historical,introduction,historical,O,,
interest,interest,"('interest', 'NN')",interest,interest,introduction,interest,O,,
among,among,"('among', 'IN')",among,among,introduction,among,O,,
Natal,natal,"('natal', 'JJ')",natal,natal,introduction,Natal,O,,
modern,modern,"('modern', 'JJ')",modern,modern,introduction,modern,O,,
hotels,hotels,"('hotels', 'NNS')",hotel,hotel,introduction,hotels,O,,
office,office,"('office', 'NN')",offic,office,introduction,office,O,,
buildings,buildings,"('buildings', 'NNS')",build,building,introduction,buildings,O,,
interior,interior,"('interior', 'NN')",interior,interior,introduction,interior,O,,
poor,poor,"('poor', 'JJ')",poor,poor,introduction,poor,O,,
thinly,thinly,"('thinly', 'RB')",thinli,thinly,introduction,thinly,O,,
populated,populated,"('populated', 'VBD')",popul,populate,introduction,populated,O,,
