token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
impressive,impressive,"('impressive', 'JJ')",impress,impressive,introduction,impressive,O,,
way,way,"('way', 'NN')",way,way,introduction,way,O,,
approach,approach,"('approach', 'VB')",approach,approach,introduction,approach,O,,
Belo,belo,"('belo', 'NN')",belo,belo,introduction,Belo,O,,
Horizonte,horizonte,"('horizonte', 'NN')",horizont,horizonte,introduction,Horizonte,O,,
south,south,"('south', 'NN')",south,south,introduction,south,O,,
magnificent,magnificent,"('magnificent', 'JJ')",magnific,magnificent,introduction,magnificent,O,,
hills,hills,"('hills', 'NNS')",hill,hill,introduction,hills,O,,
Serra,serra,"('serra', 'NN')",serra,serra,introduction,Serra,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Espinhaço,espinhaço,"('espinhaço', 'VB')",espinhaço,espinhaço,introduction,Espinhaço,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
road,road,"('road', 'NN')",road,road,introduction,road,O,,
winds,winds,"('winds', 'VBZ')",wind,wind,introduction,winds,O,,
back,back,"('back', 'RB')",back,back,introduction,back,O,,
forth,forth,"('forth', 'NN')",forth,forth,introduction,forth,O,,
before,before,"('before', 'IN')",befor,before,introduction,before,O,,
finally,finally,"('finally', 'RB')",final,finally,introduction,finally,O,,
cresting,cresting,"('cresting', 'VBG')",crest,crest,introduction,cresting,O,,
ridge,ridge,"('ridge', 'NN')",ridg,ridge,introduction,ridge,O,,
entire,entire,"('entire', 'JJ')",entir,entire,introduction,entire,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
set,set,"('set', 'VBN')",set,set,introduction,set,O,,
before,before,"('before', 'IN')",befor,before,introduction,before,O,,
spectacular,spectacular,"('spectacular', 'JJ')",spectacular,spectacular,introduction,spectacular,O,,
sight,sight,"('sight', 'NN')",sight,sight,introduction,sight,O,,
Belo,belo,"('belo', 'JJ')",belo,belo,introduction,Belo,O,,
Horizonte,horizonte,"('horizonte', 'NN')",horizont,horizonte,introduction,Horizonte,O,,
sprawls,sprawls,"('sprawls', 'NN')",sprawl,sprawl,introduction,sprawls,O,,
enormous,enormous,"('enormous', 'JJ')",enorm,enormous,introduction,enormous,O,,
bowl,bowl,"('bowl', 'NN')",bowl,bowl,introduction,bowl,O,,
surrounded,surrounded,"('surrounded', 'VBN')",surround,surround,introduction,surrounded,O,,
hills,hills,"('hills', 'NNS')",hill,hill,introduction,hills,O,,
sea,sea,"('sea', 'NN')",sea,sea,introduction,sea,O,,
skyscrapers,skyscrapers,"('skyscrapers', 'NNS')",skyscrap,skyscraper,introduction,skyscrapers,O,,
favelas,favelas,"('favelas', 'NNS')",favela,favelas,introduction,favelas,O,,
industrial,industrial,"('industrial', 'JJ')",industri,industrial,introduction,industrial,O,,
suburbs,suburbs,"('suburbs', 'NNS')",suburb,suburb,introduction,suburbs,O,,
centre,centre,"('centre', 'NN')",centr,centre,introduction,centre,O,,
jagged,jagged,"('jagged', 'JJ')",jag,jagged,introduction,jagged,O,,
skyline,skyline,"('skyline', 'NN')",skylin,skyline,introduction,skyline,O,,
Serra,serra,"('serra', 'NN')",serra,serra,introduction,Serra,B,PERSON,"People, including fictional"
Espinhaço,espinhaço,"('espinhaço', 'VB')",espinhaço,espinhaço,introduction,Espinhaço,I,PERSON,"People, including fictional"
gave,gave,"('gave', 'VBD')",gave,give,introduction,gave,O,,
