token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Although,although,"('although', 'IN')",although,although,introduction,Although,O,,
Big,big,"('big', 'JJ')",big,big,introduction,Big,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Island,island,"('island', 'NN')",island,island,introduction,Island,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Hawaii,hawaii,"('hawaii', 'NN')",hawaii,hawaii,introduction,Hawaii,O,,
could,could,"('could', 'MD')",could,could,introduction,could,O,,
hold,hold,"('hold', 'VB')",hold,hold,introduction,hold,O,,
islands,islands,"('islands', 'NNS')",island,island,introduction,islands,O,,
room,room,"('room', 'NN')",room,room,introduction,room,O,,
spare,spare,"('spare', 'VB')",spare,spare,introduction,spare,O,,
has,has,"('has', 'VBZ')",ha,have,introduction,has,O,,
population,population,"('population', 'NN')",popul,population,introduction,population,O,,
town,town,"('town', 'NN')",town,town,introduction,town,O,,
people,people,"('people', 'NNS')",peopl,people,introduction,people,O,,
perhaps,perhaps,"('perhaps', 'RB')",perhap,perhaps,introduction,perhaps,O,,
half,half,"('half', 'DT')",half,half,introduction,half,B,CARDINAL,Numerals that do not fall under another type
held,held,"('held', 'VBD')",held,hold,introduction,held,O,,
Captain,captain,"('captain', 'NN')",captain,captain,introduction,Captain,O,,
Cook,cook,"('cook', 'NN')",cook,cook,introduction,Cook,O,,
day,day,"('day', 'NN')",day,day,introduction,day,O,,
Visitation,visitation,"('visitation', 'NN')",visit,visitation,introduction,Visitation,O,,
remains,remains,"('remains', 'VBZ')",remain,remain,introduction,remains,O,,
lower,lower,"('lower', 'JJR')",lower,low,introduction,lower,O,,
Oahu,oahu,"('oahu', 'NN')",oahu,oahu,introduction,Oahu,O,,
Maui,maui,"('maui', 'VB')",maui,maui,introduction,Maui,O,,
despite,despite,"('despite', 'IN')",despit,despite,introduction,despite,O,,
fair,fair,"('fair', 'JJ')",fair,fair,introduction,fair,O,,
share,share,"('share', 'NN')",share,share,introduction,share,O,,
restaurants,restaurants,"('restaurants', 'NNS')",restaur,restaurant,introduction,restaurants,O,,
bars,bars,"('bars', 'NNS')",bar,bar,introduction,bars,O,,
facilities,facilities,"('facilities', 'NNS')",facil,facility,introduction,facilities,O,,
this,this,"('this', 'DT')",thi,this,introduction,this,O,,
basically,basically,"('basically', 'RB')",basic,basically,introduction,basically,O,,
rural,rural,"('rural', 'JJ')",rural,rural,introduction,rural,O,,
community,community,"('community', 'NN')",commun,community,introduction,community,O,,
sleepy,sleepy,"('sleepy', 'NN')",sleepi,sleepy,introduction,sleepy,O,,
old,old,"('old', 'JJ')",old,old,introduction,old,O,,
towns,towns,"('towns', 'NNS')",town,town,introduction,towns,O,,
remained,remained,"('remained', 'VBN')",remain,remain,introduction,remained,O,,
unchanged,unchanged,"('unchanged', 'JJ')",unchang,unchanged,introduction,unchanged,O,,
century,century,"('century', 'NN')",centuri,century,introduction,century,O,,
resorts,resorts,"('resorts', 'NNS')",resort,resort,introduction,resorts,O,,
built,built,"('built', 'VBN')",built,build,introduction,built,O,,
barren,barren,"('barren', 'NN')",barren,barren,introduction,barren,O,,
lava,lava,"('lava', 'NN')",lava,lava,introduction,lava,O,,
flows,flows,"('flows', 'VBZ')",flow,flow,introduction,flows,O,,
Kona,kona,"('kona', 'NN')",kona,kona,introduction,Kona,O,,
coast,coast,"('coast', 'NN')",coast,coast,introduction,coast,O,,
catch,catch,"('catch', 'VB')",catch,catch,introduction,catch,O,,
maximum,maximum,"('maximum', 'JJ')",maximum,maximum,introduction,maximum,O,,
sunshine,sunshine,"('sunshine', 'NN')",sunshin,sunshine,introduction,sunshine,O,,
Thanks,thanks,"('thanks', 'NNS')",thank,thanks,description,Thanks,O,,
Kilauea,kilauea,"('kilauea', 'NN')",kilauea,kilauea,description,Kilauea,O,,
volcano,volcano,"('volcano', 'NN')",volcano,volcano,description,volcano,O,,
has,has,"('has', 'VBZ')",ha,have,description,has,O,,
destroyed,destroyed,"('destroyed', 'VBN')",destroy,destroy,description,destroyed,O,,
roads,roads,"('roads', 'NNS')",road,road,description,roads,O,,
even,even,"('even', 'RB')",even,even,description,even,O,,
towns,towns,"('towns', 'NNS')",town,town,description,towns,O,,
spews,spews,"('spews', 'VBZ')",spew,spew,description,spews,O,,
pristine,pristine,"('pristine', 'JJ')",pristin,pristine,description,pristine,O,,
beaches,beaches,"('beaches', 'NNS')",beach,beach,description,beaches,O,,
sand,sand,"('sand', 'NN')",sand,sand,description,sand,O,,
Big,big,"('big', 'JJ')",big,big,description,Big,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Island,island,"('island', 'NN')",island,island,description,Island,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
still,still,"('still', 'RB')",still,still,description,still,O,,
growing,growing,"('growing', 'VBG')",grow,grow,description,growing,O,,
southern,southern,"('southern', 'JJ')",southern,southern,description,southern,O,,
shore,shore,"('shore', 'NN')",shore,shore,description,shore,O,,
inching,inching,"('inching', 'VBG')",inch,inch,description,inching,O,,
ever,ever,"('ever', 'RB')",ever,ever,description,ever,O,,
sea,sea,"('sea', 'VB')",sea,sea,description,sea,O,,
Hawaii,hawaii,"('hawaii', 'NN')",hawaii,hawaii,description,Hawaii,O,,
Volcanoes,volcanoes,"('volcanoes', 'NNS')",volcano,volcano,description,Volcanoes,O,,
National,national,"('national', 'JJ')",nation,national,description,National,O,,
Park,park,"('park', 'NN')",park,park,description,Park,O,,
includes,includes,"('includes', 'VBZ')",includ,include,description,includes,O,,
Mauna,mauna,"('mauna', 'NN')",mauna,mauna,description,Mauna,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Loa,loa,"('loa', 'NN')",loa,loa,description,Loa,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
well,well,"('well', 'RB')",well,well,description,well,O,,
Kilauea,kilauea,"('kilauea', 'NNS')",kilauea,kilauea,description,Kilauea,O,,
though,though,"('though', 'IN')",though,though,description,though,O,,
Mauna,mauna,"('mauna', 'VB')",mauna,mauna,description,Mauna,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Kea,kea,"('kea', 'VB')",kea,kea,description,Kea,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
north,north,"('north', 'NN')",north,north,description,north,O,,
higher,higher,"('higher', 'JJR')",higher,high,description,higher,O,,
either,either,"('either', 'DT')",either,either,description,either,O,,
absolutely,absolutely,"('absolutely', 'RB')",absolut,absolutely,description,absolutely,O,,
compelling,compelling,"('compelling', 'VBG')",compel,compel,description,compelling,O,,
explore,explore,"('explore', 'VB')",explor,explore,description,explore,O,,
steaming,steaming,"('steaming', 'VBG')",steam,steam,description,steaming,O,,
craters,craters,"('craters', 'NNS')",crater,crater,description,craters,O,,
cinder,cinder,"('cinder', 'NN')",cinder,cinder,description,cinder,O,,
cones,cones,"('cones', 'NNS')",cone,cone,description,cones,O,,
venture,venture,"('venture', 'NN')",ventur,venture,description,venture,O,,
rainforest,rainforest,"('rainforest', 'NN')",rainforest,rainforest,description,rainforest,O,,
times,times,"('times', 'NNS')",time,time,description,times,O,,
approach,approach,"('approach', 'VBP')",approach,approach,description,approach,O,,
within,within,"('within', 'IN')",within,within,description,within,O,,
feet,feet,"('feet', 'NNS')",feet,foot,description,feet,O,,
eruption,eruption,"('eruption', 'NN')",erupt,eruption,description,eruption,O,,
befits,befits,"('befits', 'VBZ')",befit,befit,description,befits,O,,
birthplace,birthplace,"('birthplace', 'NN')",birthplac,birthplace,description,birthplace,O,,
King,king,"('king', 'VBG')",king,king,description,King,O,,
Kamehameha,kamehameha,"('kamehameha', 'NN')",kamehameha,kamehameha,description,Kamehameha,O,,
ancient,ancient,"('ancient', 'JJ')",ancient,ancient,description,ancient,O,,
Hawaii,hawaii,"('hawaii', 'NN')",hawaii,hawaii,description,Hawaii,B,GPE,"Countries, cities, states"
survives,survives,"('survives', 'NNS')",surviv,survives,description,survives,O,,
Big,big,"('big', 'JJ')",big,big,description,Big,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Island,island,"('island', 'NN')",island,island,description,Island,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
anywhere,anywhere,"('anywhere', 'RB')",anywher,anywhere,description,anywhere,O,,
else,else,"('else', 'JJ')",els,else,description,else,O,,
temples,temples,"('temples', 'NNS')",templ,temple,description,temples,O,,
historic,historic,"('historic', 'JJ')",histor,historic,description,historic,O,,
sites,sites,"('sites', 'NNS')",site,site,description,sites,O,,
including,including,"('including', 'VBG')",includ,include,description,including,O,,
Puuhonua,puuhonua,"('puuhonua', 'NN')",puuhonua,puuhonua,description,Puuhonua,O,,
Honaunau,honaunau,"('honaunau', 'NN')",honaunau,honaunau,description,Honaunau,O,,
southwest,southwest,"('southwest', 'NN')",southwest,southwest,description,southwest,O,,
lush,lush,"('lush', 'JJ')",lush,lush,description,lush,O,,
Waipio,waipio,"('waipio', 'NN')",waipio,waipio,description,Waipio,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Valley,valley,"('valley', 'NN')",valley,valley,description,Valley,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Big,big,"('big', 'JJ')",big,big,description,Big,O,,
Island,island,"('island', 'NN')",island,island,description,Island,O,,
southernmost,southernmost,"('southernmost', 'NN')",southernmost,southernmost,description,southernmost,O,,
volcanoes,volcanoes,"('volcanoes', 'NNS')",volcano,volcano,description,volcanoes,O,,
Mauna,mauna,"('mauna', 'VB')",mauna,mauna,description,Mauna,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Loa,loa,"('loa', 'NN')",loa,loa,description,Loa,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Kilauea,kilauea,"('kilauea', 'VB')",kilauea,kilauea,description,Kilauea,O,,
jointly,jointly,"('jointly', 'RB')",jointli,jointly,description,jointly,O,,
constitute,constitute,"('constitute', 'JJ')",constitut,constitute,description,constitute,O,,
HAWAII,hawaii,"('hawaii', 'NN')",hawaii,hawaii,description,HAWAII,O,,
VOLCANOES,volcanoes,"('volcanoes', 'NNS')",volcano,volcano,description,VOLCANOES,O,,
NATIONAL,national,"('national', 'JJ')",nation,national,description,NATIONAL,O,,
PARK,park,"('park', 'NN')",park,park,description,PARK,O,,
thirty,thirty,"('thirty', 'NN')",thirti,thirty,description,thirty,B,QUANTITY,"Measurements, as of weight or distance"
miles,miles,"('miles', 'NNS')",mile,mile,description,miles,I,QUANTITY,"Measurements, as of weight or distance"
Hilo,hilo,"('hilo', 'NN')",hilo,hilo,description,Hilo,O,,
