token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Paraná,paraná,"('paraná', 'NN')",paraná,paraná,introduction,Paraná,O,,
immediately,immediately,"('immediately', 'RB')",immedi,immediately,introduction,immediately,O,,
south,south,"('south', 'NN')",south,south,introduction,south,O,,
São,são,"('são', 'NN')",são,são,introduction,São,B,GPE,"Countries, cities, states"
Paulo,paulo,"('paulo', 'NN')",paulo,paulo,introduction,Paulo,I,GPE,"Countries, cities, states"
has,has,"('has', 'VBZ')",ha,have,introduction,has,O,,
become,become,"('become', 'VBN')",becom,become,introduction,become,O,,
one,one,"('one', 'CD')",one,one,introduction,one,O,,
Brazil,brazil,"('brazil', 'NN')",brazil,brazil,introduction,Brazil,O,,
wealthiest,wealthiest,"('wealthiest', 'JJS')",wealthiest,wealthy,introduction,wealthiest,O,,
dynamic,dynamic,"('dynamic', 'JJ')",dynam,dynamic,introduction,dynamic,O,,
states,states,"('states', 'NNS')",state,state,introduction,states,O,,
agricultural,agricultural,"('agricultural', 'JJ')",agricultur,agricultural,introduction,agricultural,O,,
economy,economy,"('economy', 'NN')",economi,economy,introduction,economy,O,,
based,based,"('based', 'VBN')",base,base,introduction,based,O,,
mix,mix,"('mix', 'NN')",mix,mix,introduction,mix,O,,
efficient,efficient,"('efficient', 'JJ')",effici,efficient,introduction,efficient,O,,
family,family,"('family', 'NN')",famili,family,introduction,family,O,,
farms,farms,"('farms', 'NNS')",farm,farm,introduction,farms,O,,
highly,highly,"('highly', 'RB')",highli,highly,introduction,highly,O,,
capitalized,capitalized,"('capitalized', 'VBN')",capit,capitalize,introduction,capitalized,O,,
larger,larger,"('larger', 'JJR')",larger,large,introduction,larger,O,,
land,land,"('land', 'NN')",land,land,introduction,land,O,,
holdings,holdings,"('holdings', 'NNS')",hold,holding,introduction,holdings,O,,
modern,modern,"('modern', 'JJ')",modern,modern,introduction,modern,O,,
industries,industries,"('industries', 'NNS')",industri,industry,introduction,industries,O,,
unlike,unlike,"('unlike', 'IN')",unlik,unlike,introduction,unlike,O,,
many,many,"('many', 'JJ')",mani,many,introduction,many,O,,
parts,parts,"('parts', 'NNS')",part,part,introduction,parts,O,,
country,country,"('country', 'NN')",countri,country,introduction,country,O,,
subject,subject,"('subject', 'JJ')",subject,subject,introduction,subject,O,,
least,least,"('least', 'JJS')",least,least,introduction,least,O,,
limited,limited,"('limited', 'JJ')",limit,limited,introduction,limited,O,,
planning,planning,"('planning', 'NN')",plan,planning,introduction,planning,O,,
environmental,environmental,"('environmental', 'JJ')",environment,environmental,introduction,environmental,O,,
controls,controls,"('controls', 'NNS')",control,control,introduction,controls,O,,
state,state,"('state', 'NN')",state,state,introduction,state,O,,
population,population,"('population', 'NN')",popul,population,introduction,population,O,,
ethnically,ethnically,"('ethnically', 'RB')",ethnic,ethnically,introduction,ethnically,O,,
extremely,extremely,"('extremely', 'RB')",extrem,extremely,introduction,extremely,O,,
diverse,diverse,"('diverse', 'JJ')",divers,diverse,introduction,diverse,O,,
largely,largely,"('largely', 'RB')",larg,largely,introduction,largely,O,,
comprised,comprised,"('comprised', 'VBN')",compris,comprise,introduction,comprised,O,,
descendants,descendants,"('descendants', 'NNS')",descend,descendant,introduction,descendants,O,,
immigrants,immigrants,"('immigrants', 'NNS')",immigr,immigrant,introduction,immigrants,O,,
this,this,"('this', 'DT')",thi,this,introduction,this,O,,
combines,combines,"('combines', 'NNS')",combin,combine,introduction,combines,O,,
give,give,"('give', 'VB')",give,give,introduction,give,O,,
Paraná,paraná,"('paraná', 'NN')",paraná,paraná,introduction,Paraná,B,GPE,"Countries, cities, states"
something,something,"('something', 'NN')",someth,something,introduction,something,O,,
feel,feel,"('feel', 'NN')",feel,feel,introduction,feel,O,,
American,american,"('american', 'JJ')",american,american,introduction,American,B,NORP,Nationalities or religious or political groups
Midwestern,midwestern,"('midwestern', 'NN')",midwestern,midwestern,introduction,Midwestern,O,,
state,state,"('state', 'NN')",state,state,introduction,state,O,,
transplanted,transplanted,"('transplanted', 'VBD')",transplant,transplant,introduction,transplanted,O,,
subtropics,subtropics,"('subtropics', 'NNS')",subtrop,subtropics,introduction,subtropics,O,,
several,several,"('several', 'JJ')",sever,several,description,several,O,,
decades,decades,"('decades', 'NNS')",decad,decade,description,decades,O,,
