token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
ridiculous,ridiculous,"('ridiculous', 'JJ')",ridicul,ridiculous,introduction,ridiculous,O,,
think,think,"('think', 'VB')",think,think,introduction,think,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
simply,simply,"('simply', 'RB')",simpli,simply,introduction,simply,O,,
rather,rather,"('rather', 'RB')",rather,rather,introduction,rather,O,,
large,large,"('large', 'JJ')",larg,large,introduction,large,O,,
village,village,"('village', 'NN')",villag,village,introduction,village,O,,
set,set,"('set', 'VBN')",set,set,introduction,set,O,,
middle,middle,"('middle', 'NN')",middl,middle,introduction,middle,O,,
forest,forest,"('forest', 'NN')",forest,forest,introduction,forest,O,,
lakes,lakes,"('lakes', 'NNS')",lake,lake,introduction,lakes,O,,
wonder,wonder,"('wonder', 'VBP')",wonder,wonder,introduction,wonder,O,,
thinks,thinks,"('thinks', 'VBZ')",think,think,introduction,thinks,O,,
looking,looking,"('looking', 'VBG')",look,look,introduction,looking,O,,
important,important,"('important', 'JJ')",import,important,introduction,important,O,,
Ingmar,ingmar,"('ingmar', 'NN')",ingmar,ingmar,description,Ingmar,B,PERSON,"People, including fictional"
BergmanBroad,bergmanbroad,"('bergmanbroad', 'NN')",bergmanbroad,bergmanbroad,description,BergmanBroad,I,PERSON,"People, including fictional"
boulevards,boulevards,"('boulevards', 'NNS')",boulevard,boulevard,description,boulevards,O,,
lined,lined,"('lined', 'VBN')",line,line,description,lined,O,,
elegant,elegant,"('elegant', 'JJ')",eleg,elegant,description,elegant,O,,
buildings,buildings,"('buildings', 'NNS')",build,building,description,buildings,O,,
reflected,reflected,"('reflected', 'VBN')",reflect,reflect,description,reflected,O,,
deep,deep,"('deep', 'JJ')",deep,deep,description,deep,O,,
blue,blue,"('blue', 'JJ')",blue,blue,description,blue,O,,
water,water,"('water', 'NN')",water,water,description,water,O,,
rows,rows,"('rows', 'NNS')",row,row,description,rows,O,,
painted,painted,"('painted', 'VBN')",paint,paint,description,painted,O,,
wooden,wooden,"('wooden', 'JJ')",wooden,wooden,description,wooden,O,,
houseboats,houseboats,"('houseboats', 'NNS')",houseboat,houseboat,description,houseboats,O,,
bob,bob,"('bob', 'VBP')",bob,bob,description,bob,O,,
gently,gently,"('gently', 'RB')",gentli,gently,description,gently,O,,
alongside,alongside,"('alongside', 'IN')",alongsid,alongside,description,alongside,O,,
cobbled,cobbled,"('cobbled', 'JJ')",cobbl,cobbled,description,cobbled,O,,
waterfront,waterfront,"('waterfront', 'NN')",waterfront,waterfront,description,waterfront,O,,
Yet,yet,"('yet', 'RB')",yet,yet,description,Yet,O,,
Stockholm,stockholm,"('stockholm', 'VBN')",stockholm,stockholm,description,Stockholm,B,GPE,"Countries, cities, states"
also,also,"('also', 'RB')",also,also,description,also,O,,
metropolis,metropolis,"('metropolis', 'NN')",metropoli,metropolis,description,metropolis,O,,
futuristic,futuristic,"('futuristic', 'JJ')",futurist,futuristic,description,futuristic,O,,
skyscrapers,skyscrapers,"('skyscrapers', 'NNS')",skyscrap,skyscraper,description,skyscrapers,O,,
bustling,bustling,"('bustling', 'VBG')",bustl,bustle,description,bustling,O,,
commercial,commercial,"('commercial', 'JJ')",commerci,commercial,description,commercial,O,,
heart,heart,"('heart', 'NN')",heart,heart,description,heart,O,,
