token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
cities,cities,"('cities', 'NNS')",citi,city,introduction,cities,O,,
southern,southern,"('southern', 'JJ')",southern,southern,introduction,southern,O,,
Sweden,sweden,"('sweden', 'VBP')",sweden,sweden,introduction,Sweden,B,GPE,"Countries, cities, states"
grandest,grandest,"('grandest', 'NN')",grandest,grandest,introduction,grandest,O,,
western,western,"('western', 'JJ')",western,western,introduction,western,O,,
port,port,"('port', 'NN')",port,port,introduction,port,O,,
Gothenburg,gothenburg,"('gothenburg', 'NN')",gothenburg,gothenburg,introduction,Gothenburg,B,GPE,"Countries, cities, states"
Designed,designed,"('designed', 'VBN')",design,design,introduction,Designed,O,,
Dutch,dutch,"('dutch', 'NN')",dutch,dutch,introduction,Dutch,B,NORP,Nationalities or religious or political groups
country,country,"('country', 'NN')",countri,country,introduction,country,O,,
second,second,"('second', 'JJ')",second,second,introduction,second,B,ORDINAL,"""first"", ""second"", etc."
largest,largest,"('largest', 'JJS')",largest,large,introduction,largest,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
boasts,boasts,"('boasts', 'NNS')",boast,boast,introduction,boasts,O,,
splendid,splendid,"('splendid', 'VBD')",splendid,splendid,introduction,splendid,O,,
Neoclassical,neoclassical,"('neoclassical', 'JJ')",neoclass,neoclassical,introduction,Neoclassical,O,,
architecture,architecture,"('architecture', 'NN')",architectur,architecture,introduction,architecture,O,,
masses,masses,"('masses', 'NNS')",mass,mass,introduction,masses,O,,
parkland,parkland,"('parkland', 'NN')",parkland,parkland,introduction,parkland,O,,
welcoming,welcoming,"('welcoming', 'NN')",welcom,welcoming,introduction,welcoming,O,,
relaxed,relaxed,"('relaxed', 'JJ')",relax,relaxed,introduction,relaxed,O,,
spirit,spirit,"('spirit', 'NN')",spirit,spirit,introduction,spirit,O,,
cityscape,cityscape,"('cityscape', 'NN')",cityscap,cityscape,introduction,cityscape,O,,
broad,broad,"('broad', 'JJ')",broad,broad,introduction,broad,O,,
avenues,avenues,"('avenues', 'NNS')",avenu,avenue,introduction,avenues,O,,
elegant,elegant,"('elegant', 'JJ')",eleg,elegant,introduction,elegant,O,,
squares,squares,"('squares', 'NNS')",squar,square,introduction,squares,O,,
trams,trams,"('trams', 'NNS')",tram,tram,introduction,trams,O,,
canals,canals,"('canals', 'NNS')",canal,canal,introduction,canals,O,,
only,only,"('only', 'RB')",onli,only,introduction,only,B,CARDINAL,Numerals that do not fall under another type
one,one,"('one', 'CD')",one,one,introduction,one,I,CARDINAL,Numerals that do not fall under another type
prettiest,prettiest,"('prettiest', 'NN')",prettiest,prettiest,introduction,prettiest,O,,
Sweden,sweden,"('sweden', 'NN')",sweden,sweden,introduction,Sweden,B,GPE,"Countries, cities, states"
also,also,"('also', 'RB')",also,also,introduction,also,O,,
backdrop,backdrop,"('backdrop', 'NN')",backdrop,backdrop,introduction,backdrop,O,,
Scandinavia,scandinavia,"('scandinavia', 'VB')",scandinavia,scandinavia,introduction,Scandinavia,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
biggest,biggest,"('biggest', 'JJS')",biggest,big,introduction,biggest,O,,
seaport,seaport,"('seaport', 'NN')",seaport,seaport,introduction,seaport,O,,
making,making,"('making', 'VBG')",make,make,introduction,making,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
truly,truly,"('truly', 'RB')",truli,truly,introduction,truly,O,,
cosmopolitan,cosmopolitan,"('cosmopolitan', 'JJ')",cosmopolitan,cosmopolitan,introduction,cosmopolitan,O,,
destination,destination,"('destination', 'NN')",destin,destination,introduction,destination,O,,
certain,certain,"('certain', 'JJ')",certain,certain,introduction,certain,O,,
resentment,resentment,"('resentment', 'NN')",resent,resentment,introduction,resentment,O,,
west,west,"('west', 'NN')",west,west,introduction,west,O,,
coast,coast,"('coast', 'NN')",coast,coast,introduction,coast,O,,
Stockholm,stockholm,"('stockholm', 'NN')",stockholm,stockholm,introduction,Stockholm,B,GPE,"Countries, cities, states"
wins,wins,"('wins', 'VBZ')",win,win,introduction,wins,O,,
national,national,"('national', 'JJ')",nation,national,introduction,national,O,,
glory,glory,"('glory', 'NN')",glori,glory,introduction,glory,O,,
stakes,stakes,"('stakes', 'NNS')",stake,stake,introduction,stakes,O,,
Gothenburg,gothenburg,"('gothenburg', 'JJ')",gothenburg,gothenburg,introduction,Gothenburg,B,GPE,"Countries, cities, states"
atmosphere,atmosphere,"('atmosphere', 'RB')",atmospher,atmosphere,introduction,atmosphere,O,,
closer,closer,"('closer', 'NN')",closer,closer,introduction,closer,O,,
proximity,proximity,"('proximity', 'NN')",proxim,proximity,introduction,proximity,O,,
western,western,"('western', 'JJ')",western,western,introduction,western,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Europe,europe,"('europe', 'NN')",europ,europe,introduction,Europe,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
makes,makes,"('makes', 'VBZ')",make,make,introduction,makes,O,,
first,first,"('first', 'JJ')",first,first,introduction,first,B,ORDINAL,"""first"", ""second"", etc."
choice,choice,"('choice', 'NN')",choic,choice,introduction,choice,O,,
place,place,"('place', 'NN')",place,place,introduction,place,O,,
live,live,"('live', 'VB')",live,live,introduction,live,O,,
many,many,"('many', 'JJ')",mani,many,introduction,many,O,,
Swedes,swedes,"('swedes', 'NNS')",swede,swede,introduction,Swedes,B,NORP,Nationalities or religious or political groups
Talk,talk,"('talk', 'VBP')",talk,talk,introduction,Talk,O,,
any,any,"('any', 'DT')",ani,any,introduction,any,O,,
Gothenburger,gothenburger,"('gothenburger', 'NN')",gothenburg,gothenburger,introduction,Gothenburger,B,GPE,"Countries, cities, states"
soon,soon,"('soon', 'RB')",soon,soon,introduction,soon,O,,
disparage,disparage,"('disparage', 'VB')",disparag,disparage,introduction,disparage,O,,
frenetic,frenetic,"('frenetic', 'JJ')",frenet,frenetic,introduction,frenetic,O,,
lives,lives,"('lives', 'NNS')",live,life,introduction,lives,O,,
telephone,telephone,"('telephone', 'NN')",telephon,telephone,introduction,telephone,O,,
code,code,"('code', 'NN')",code,code,introduction,code,O,,
Stockholm,stockholm,"('stockholm', 'NN')",stockholm,stockholm,introduction,Stockholm,B,GPE,"Countries, cities, states"
Founded,founded,"('founded', 'VBN')",found,found,description,Founded,O,,
present,present,"('present', 'JJ')",present,present,description,present,O,,
site,site,"('site', 'NN')",site,site,description,site,O,,
seventeenth,seventeenth,"('seventeenth', 'JJ')",seventeenth,seventeenth,description,seventeenth,B,DATE,Absolute or relative dates or periods
century,century,"('century', 'NN')",centuri,century,description,century,I,DATE,Absolute or relative dates or periods
Gustav,gustav,"('gustav', 'NN')",gustav,gustav,description,Gustav,B,PERSON,"People, including fictional"
II,ii,"('ii', 'NN')",ii,ii,description,II,I,PERSON,"People, including fictional"
Adolf,adolf,"('adolf', 'NN')",adolf,adolf,description,Adolf,O,,
