token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Swedish,swedish,"('swedish', 'JJ')",swedish,swedish,introduction,Swedish,B,NORP,Nationalities or religious or political groups
Lapland,lapland,"('lapland', 'VBP')",lapland,lapland,introduction,Lapland,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
heartland,heartland,"('heartland', 'NN')",heartland,heartland,introduction,heartland,O,,
indigenous,indigenous,"('indigenous', 'JJ')",indigen,indigenous,introduction,indigenous,O,,
Sámi,sámi,"('sámi', 'NN')",sámi,sámi,introduction,Sámi,B,NORP,Nationalities or religious or political groups
people,people,"('people', 'NNS')",peopl,people,introduction,people,O,,
Europe,europe,"('europe', 'JJ')",europ,europe,introduction,Europe,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
last,last,"('last', 'JJ')",last,last,introduction,last,O,,
wilderness,wilderness,"('wilderness', 'NN')",wilder,wilderness,introduction,wilderness,O,,
characterized,characterized,"('characterized', 'VBN')",character,characterize,introduction,characterized,O,,
seemingly,seemingly,"('seemingly', 'RB')",seemingli,seemingly,introduction,seemingly,O,,
endless,endless,"('endless', 'JJ')",endless,endless,introduction,endless,O,,
forests,forests,"('forests', 'NNS')",forest,forest,introduction,forests,O,,
pine,pine,"('pine', 'NN')",pine,pine,introduction,pine,O,,
spruce,spruce,"('spruce', 'VB')",spruce,spruce,introduction,spruce,O,,
thundering,thundering,"('thundering', 'VBG')",thunder,thunder,introduction,thundering,O,,
rivers,rivers,"('rivers', 'NNS')",river,river,introduction,rivers,O,,
drain,drain,"('drain', 'VBP')",drain,drain,introduction,drain,O,,
fells,fells,"('fells', 'NNS')",fell,fell,introduction,fells,O,,
peaceful,peaceful,"('peaceful', 'JJ')",peac,peaceful,introduction,peaceful,O,,
lakeside,lakeside,"('lakeside', 'NN')",lakesid,lakeside,introduction,lakeside,O,,
villages,villages,"('villages', 'NNS')",villag,village,introduction,villages,O,,
high,high,"('high', 'JJ')",high,high,introduction,high,O,,
amongst,amongst,"('amongst', 'IN')",amongst,amongst,introduction,amongst,O,,
hills,hills,"('hills', 'NNS')",hill,hill,introduction,hills,O,,
irresistible,irresistible,"('irresistible', 'JJ')",irresist,irresistible,introduction,irresistible,O,,
allure,allure,"('allure', 'NN')",allur,allure,introduction,allure,O,,
this,this,"('this', 'DT')",thi,this,introduction,this,O,,
vast,vast,"('vast', 'JJ')",vast,vast,introduction,vast,O,,
sparsely,sparsely,"('sparsely', 'RB')",spars,sparsely,introduction,sparsely,O,,
populated,populated,"('populated', 'JJ')",popul,populated,introduction,populated,O,,
region,region,"('region', 'NN')",region,region,introduction,region,O,,
opportunity,opportunity,"('opportunity', 'NN')",opportun,opportunity,introduction,opportunity,O,,
experience,experience,"('experience', 'VB')",experi,experience,introduction,experience,O,,
raw,raw,"('raw', 'JJ')",raw,raw,introduction,raw,O,,
nature,nature,"('nature', 'NN')",natur,nature,introduction,nature,O,,
