token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
sizeable,sizeable,"('sizeable', 'JJ')",sizeabl,sizeable,introduction,sizeable,O,,
province,province,"('province', 'NN')",provinc,province,introduction,province,O,,
DALARNA,dalarna,"('dalarna', 'NN')",dalarna,dalarna,introduction,DALARNA,B,GPE,"Countries, cities, states"
takes,takes,"('takes', 'VBZ')",take,take,introduction,takes,O,,
only,only,"('only', 'RB')",onli,only,introduction,only,O,,
area,area,"('area', 'NN')",area,area,introduction,area,O,,
around,around,"('around', 'IN')",around,around,introduction,around,O,,
Lake,lake,"('lake', 'JJ')",lake,lake,introduction,Lake,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Siljan,siljan,"('siljan', 'NN')",siljan,siljan,introduction,Siljan,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
also,also,"('also', 'RB')",also,also,introduction,also,O,,
ski,ski,"('ski', 'JJ')",ski,ski,introduction,ski,O,,
resorts,resorts,"('resorts', 'NNS')",resort,resort,introduction,resorts,O,,
Sälen,sälen,"('sälen', 'NN')",sälen,sälen,introduction,Sälen,B,GPE,"Countries, cities, states"
Idre,idre,"('idre', 'NN')",idr,idre,introduction,Idre,I,GPE,"Countries, cities, states"
close,close,"('close', 'RB')",close,close,introduction,close,O,,
Norwegian,norwegian,"('norwegian', 'JJ')",norwegian,norwegian,introduction,Norwegian,B,NORP,Nationalities or religious or political groups
border,border,"('border', 'NN')",border,border,introduction,border,O,,
area,area,"('area', 'NN')",area,area,introduction,area,O,,
holds,holds,"('holds', 'VBZ')",hold,hold,introduction,holds,O,,
special,special,"('special', 'JJ')",special,special,introduction,special,O,,
place,place,"('place', 'NN')",place,place,introduction,place,O,,
Swedish,swedish,"('swedish', 'JJ')",swedish,swedish,introduction,Swedish,B,NORP,Nationalities or religious or political groups
psyche,psyche,"('psyche', 'NN')",psych,psyche,introduction,psyche,O,,
certainly,certainly,"('certainly', 'RB')",certainli,certainly,introduction,certainly,O,,
seen,seen,"('seen', 'VBN')",seen,see,introduction,seen,O,,
although,although,"('although', 'IN')",although,although,introduction,although,O,,
exclusion,exclusion,"('exclusion', 'NN')",exclus,exclusion,introduction,exclusion,O,,
places,places,"('places', 'NNS')",place,place,introduction,places,O,,
north,north,"('north', 'RB')",north,north,introduction,north,O,,
Tiny,tiny,"('tiny', 'JJ')",tini,tiny,introduction,Tiny,O,,
countryside,countryside,"('countryside', 'NN')",countrysid,countryside,introduction,countryside,O,,
villages,villages,"('villages', 'NNS')",villag,village,introduction,villages,O,,
rolling,rolling,"('rolling', 'VBG')",roll,roll,introduction,rolling,O,,
meadows,meadows,"('meadows', 'NNS')",meadow,meadow,introduction,meadows,O,,
sweet,sweet,"('sweet', 'NN')",sweet,sweet,introduction,sweet,O,,
smell,smell,"('smell', 'NN')",smell,smell,introduction,smell,O,,
summer,summer,"('summer', 'NN')",summer,summer,introduction,summer,O,,
flowers,flowers,"('flowers', 'NNS')",flower,flower,introduction,flowers,O,,
make,make,"('make', 'VBP')",make,make,introduction,make,O,,
Dalarna,dalarna,"('dalarna', 'NN')",dalarna,dalarna,introduction,Dalarna,B,GPE,"Countries, cities, states"
rural,rural,"('rural', 'JJ')",rural,rural,introduction,rural,O,,
idyll,idyll,"('idyll', 'NN')",idyl,idyll,introduction,idyll,O,,
given,given,"('given', 'VBN')",given,give,introduction,given,O,,
handsome,handsome,"('handsome', 'JJ')",handsom,handsome,introduction,handsome,O,,
backdrop,backdrop,"('backdrop', 'NN')",backdrop,backdrop,introduction,backdrop,O,,
land,land,"('land', 'NN')",land,land,introduction,land,O,,
northwest,northwest,"('northwest', 'NN')",northwest,northwest,introduction,northwest,O,,
Lake,lake,"('lake', 'NN')",lake,lake,introduction,Lake,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
