token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Eighty,eighty,"('eighty', 'NN')",eighti,eighty,introduction,Eighty,B,QUANTITY,"Measurements, as of weight or distance"
kilometres,kilometres,"('kilometres', 'NNS')",kilometr,kilometre,introduction,kilometres,I,QUANTITY,"Measurements, as of weight or distance"
northeast,northeast,"('northeast', 'IN')",northeast,northeast,introduction,northeast,O,,
Ystad,ystad,"('ystad', 'NN')",ystad,ystad,introduction,Ystad,O,,
quiet,quiet,"('quiet', 'JJ')",quiet,quiet,introduction,quiet,O,,
KRISTIANSTAD,kristianstad,"('kristianstad', 'NN')",kristianstad,kristianstad,introduction,KRISTIANSTAD,O,,
pronounced,pronounced,"('pronounced', 'VBD')",pronounc,pronounce,introduction,pronounced,O,,
eastern,eastern,"('eastern', 'JJ')",eastern,eastern,introduction,eastern,O,,
Skåne,skåne,"('skåne', 'JJ')",skåne,skåne,introduction,Skåne,O,,
substantial,substantial,"('substantial', 'JJ')",substanti,substantial,introduction,substantial,O,,
historic,historic,"('historic', 'JJ')",histor,historic,introduction,historic,O,,
centre,centre,"('centre', 'NN')",centr,centre,introduction,centre,O,,
convenient,convenient,"('convenient', 'JJ')",conveni,convenient,introduction,convenient,O,,
gateway,gateway,"('gateway', 'NN')",gateway,gateway,introduction,gateway,O,,
Sweden,sweden,"('sweden', 'VB')",sweden,sweden,introduction,Sweden,B,GPE,"Countries, cities, states"
southern,southern,"('southern', 'JJ')",southern,southern,introduction,southern,O,,
coast,coast,"('coast', 'NN')",coast,coast,introduction,coast,O,,
elegant,elegant,"('elegant', 'JJ')",eleg,elegant,introduction,elegant,O,,
cathedral,cathedral,"('cathedral', 'NN')",cathedr,cathedral,introduction,cathedral,O,,
beautiful,beautiful,"('beautiful', 'JJ')",beauti,beautiful,introduction,beautiful,O,,
little,little,"('little', 'JJ')",littl,little,introduction,little,O,,
park,park,"('park', 'NN')",park,park,introduction,park,O,,
containing,containing,"('containing', 'VBG')",contain,contain,introduction,containing,O,,
fine,fine,"('fine', 'JJ')",fine,fine,introduction,fine,O,,
Art,art,"('art', 'NN')",art,art,introduction,Art,O,,
Nouveau,nouveau,"('nouveau', 'NN')",nouveau,nouveau,introduction,Nouveau,O,,
theatre,theatre,"('theatre', 'NN')",theatr,theatre,introduction,theatre,O,,
boat,boat,"('boat', 'NN')",boat,boat,introduction,boat,O,,
trips,trips,"('trips', 'NNS')",trip,trip,introduction,trips,O,,
local,local,"('local', 'JJ')",local,local,introduction,local,O,,
wetlands,wetlands,"('wetlands', 'NNS')",wetland,wetland,introduction,wetlands,O,,
Kristianstad,kristianstad,"('kristianstad', 'NNS')",kristianstad,kristianstad,introduction,Kristianstad,B,GPE,"Countries, cities, states"
easily,easily,"('easily', 'RB')",easili,easily,introduction,easily,O,,
detain,detain,"('detain', 'VB')",detain,detain,introduction,detain,O,,
