token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
rolling,rolling,"('rolling', 'NN')",roll,rolling,introduction,rolling,O,,
hills,hills,"('hills', 'NNS')",hill,hill,introduction,hills,O,,
vast,vast,"('vast', 'JJ')",vast,vast,introduction,vast,O,,
grasslands,grasslands,"('grasslands', 'NNS')",grassland,grassland,introduction,grasslands,O,,
Great,great,"('great', 'JJ')",great,great,introduction,Great,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Plains,plains,"('plains', 'NNS')",plain,plain,introduction,Plains,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
home,home,"('home', 'VBN')",home,home,introduction,home,O,,
adventurers,adventurers,"('adventurers', 'NNS')",adventur,adventurer,introduction,adventurers,O,,
artists,artists,"('artists', 'NNS')",artist,artist,introduction,artists,O,,
outlaws,outlaws,"('outlaws', 'NNS')",outlaw,outlaw,introduction,outlaws,O,,
centuries,centuries,"('centuries', 'NNS')",centuri,century,introduction,centuries,O,,
great,great,"('great', 'JJ')",great,great,introduction,great,O,,
Sioux,sioux,"('sioux', 'JJ')",sioux,sioux,introduction,Sioux,B,NORP,Nationalities or religious or political groups
warriors,warriors,"('warriors', 'NNS')",warrior,warrior,introduction,warriors,O,,
Crazy,crazy,"('crazy', 'JJ')",crazi,crazy,introduction,Crazy,O,,
Horse,horse,"('horse', 'NN')",hors,horse,introduction,Horse,O,,
Sitting,sitting,"('sitting', 'VBG')",sit,sit,introduction,Sitting,O,,
Bull,bull,"('bull', 'NN')",bull,bull,introduction,Bull,O,,
Jesse,jesse,"('jesse', 'VB')",jess,jesse,introduction,Jesse,B,PERSON,"People, including fictional"
James,james,"('james', 'NNS')",jame,james,introduction,James,I,PERSON,"People, including fictional"
Mark,mark,"('mark', 'NN')",mark,mark,introduction,Mark,B,PERSON,"People, including fictional"
Twain,twain,"('twain', 'NN')",twain,twain,introduction,Twain,I,PERSON,"People, including fictional"
Stretching,stretching,"('stretching', 'VBG')",stretch,stretch,introduction,Stretching,O,,
west,west,"('west', 'JJS')",west,west,introduction,west,O,,
Missouri,missouri,"('missouri', 'JJ')",missouri,missouri,introduction,Missouri,B,GPE,"Countries, cities, states"
Oklahoma,oklahoma,"('oklahoma', 'JJ')",oklahoma,oklahoma,introduction,Oklahoma,B,GPE,"Countries, cities, states"
Kansas,kansas,"('kansas', 'NN')",kansa,kansa,introduction,Kansas,B,GPE,"Countries, cities, states"
Nebraska,nebraska,"('nebraska', 'NN')",nebraska,nebraska,introduction,Nebraska,B,GPE,"Countries, cities, states"
Iowa,iowa,"('iowa', 'NN')",iowa,iowa,introduction,Iowa,B,GPE,"Countries, cities, states"
South,south,"('south', 'JJ')",south,south,introduction,South,B,GPE,"Countries, cities, states"
Dakota,dakota,"('dakota', 'NN')",dakota,dakota,introduction,Dakota,I,GPE,"Countries, cities, states"
North,north,"('north', 'JJ')",north,north,introduction,North,B,GPE,"Countries, cities, states"
Dakota,dakota,"('dakota', 'NN')",dakota,dakota,introduction,Dakota,I,GPE,"Countries, cities, states"
Great,great,"('great', 'JJ')",great,great,introduction,Great,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Plains,plains,"('plains', 'NNS')",plain,plain,introduction,Plains,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
often,often,"('often', 'RB')",often,often,introduction,often,O,,
stereotyped,stereotyped,"('stereotyped', 'VBN')",stereotyp,stereotype,introduction,stereotyped,O,,
expanse,expanse,"('expanse', 'NN')",expans,expanse,introduction,expanse,O,,
unvaryingly,unvaryingly,"('unvaryingly', 'RB')",unvaryingli,unvaryingly,introduction,unvaryingly,O,,
flat,flat,"('flat', 'JJ')",flat,flat,introduction,flat,O,,
corn,corn,"('corn', 'NN')",corn,corn,introduction,corn,O,,
fields,fields,"('fields', 'NNS')",field,field,introduction,fields,O,,
flyover,flyover,"('flyover', 'NN')",flyover,flyover,introduction,flyover,O,,
states,states,"('states', 'NNS')",state,state,introduction,states,O,,
conservative,conservative,"('conservative', 'JJ')",conserv,conservative,introduction,conservative,O,,
Middle,middle,"('middle', 'JJ')",middl,middle,introduction,Middle,B,NORP,Nationalities or religious or political groups
American,american,"('american', 'JJ')",american,american,introduction,American,I,NORP,Nationalities or religious or political groups
values,values,"('values', 'NNS')",valu,value,introduction,values,O,,
contrary,contrary,"('contrary', 'JJ')",contrari,contrary,introduction,contrary,O,,
region,region,"('region', 'NN')",region,region,introduction,region,O,,
loaded,loaded,"('loaded', 'VBN')",load,load,introduction,loaded,O,,
attractions,attractions,"('attractions', 'NNS')",attract,attraction,introduction,attractions,O,,
quirky,quirky,"('quirky', 'JJ')",quirki,quirky,introduction,quirky,O,,
Americana,americana,"('americana', 'NN')",americana,americana,introduction,Americana,O,,
Route,route,"('route', 'NN')",rout,route,introduction,Route,O,,
dynamic,dynamic,"('dynamic', 'VB')",dynam,dynamic,introduction,dynamic,O,,
art,art,"('art', 'NN')",art,art,introduction,art,O,,
culinary,culinary,"('culinary', 'JJ')",culinari,culinary,introduction,culinary,O,,
scenes,scenes,"('scenes', 'NNS')",scene,scene,introduction,scenes,O,,
Omaha,omaha,"('omaha', 'JJ')",omaha,omaha,introduction,Omaha,B,GPE,"Countries, cities, states"
Tulsa,tulsa,"('tulsa', 'NN')",tulsa,tulsa,introduction,Tulsa,B,GPE,"Countries, cities, states"
St,st,"('st', 'NN')",st,st,introduction,St,B,GPE,"Countries, cities, states"
Louis,louis,"('louis', 'NN')",loui,louis,introduction,Louis,I,GPE,"Countries, cities, states"
often,often,"('often', 'RB')",often,often,introduction,often,O,,
flat,flat,"('flat', 'JJ')",flat,flat,introduction,flat,O,,
canyons,canyons,"('canyons', 'NNS')",canyon,canyon,introduction,canyons,O,,
forests,forests,"('forests', 'NNS')",forest,forest,introduction,forests,O,,
hills,hills,"('hills', 'NNS')",hill,hill,introduction,hills,O,,
