token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
atmospheric,atmospheric,"('atmospheric', 'JJ')",atmospher,atmospheric,introduction,atmospheric,O,,
any,any,"('any', 'DT')",ani,any,introduction,any,O,,
town,town,"('town', 'NN')",town,town,introduction,town,O,,
Halland,halland,"('halland', 'NN')",halland,halland,introduction,Halland,O,,
fashionable,fashionable,"('fashionable', 'JJ')",fashion,fashionable,introduction,fashionable,O,,
little,little,"('little', 'JJ')",littl,little,introduction,little,O,,
bathing,bathing,"('bathing', 'VBG')",bath,bath,introduction,bathing,O,,
resort,resort,"('resort', 'NN')",resort,resort,introduction,resort,O,,
VARBERG,varberg,"('varberg', 'NN')",varberg,varberg,introduction,VARBERG,B,GPE,"Countries, cities, states"
boasts,boasts,"('boasts', 'NNS')",boast,boast,introduction,boasts,O,,
surprisingly,surprisingly,"('surprisingly', 'RB')",surprisingli,surprisingly,introduction,surprisingly,O,,
varied,varied,"('varied', 'VBD')",vari,vary,introduction,varied,O,,
sights,sights,"('sights', 'NNS')",sight,sight,introduction,sights,O,,
imposing,imposing,"('imposing', 'VBG')",impos,impose,introduction,imposing,O,,
fortress,fortress,"('fortress', 'NN')",fortress,fortress,introduction,fortress,O,,
striking,striking,"('striking', 'JJ')",strike,striking,introduction,striking,O,,
laidback,laidback,"('laidback', 'NN')",laidback,laidback,introduction,laidback,O,,
atmosphere,atmosphere,"('atmosphere', 'NN')",atmospher,atmosphere,introduction,atmosphere,O,,
plenty,plenty,"('plenty', 'NN')",plenti,plenty,introduction,plenty,O,,
good,good,"('good', 'JJ')",good,good,introduction,good,O,,
places,places,"('places', 'NNS')",place,place,introduction,places,O,,
eat,eat,"('eat', 'VB')",eat,eat,introduction,eat,O,,
rocky,rocky,"('rocky', 'JJ')",rocki,rocky,introduction,rocky,O,,
coastline,coastline,"('coastline', 'NN')",coastlin,coastline,introduction,coastline,O,,
becomes,becomes,"('becomes', 'VBZ')",becom,become,introduction,becomes,O,,
sandier,sandier,"('sandier', 'JJR')",sandier,sandy,introduction,sandier,O,,
heading,heading,"('heading', 'VBG')",head,head,introduction,heading,O,,
south,south,"('south', 'JJ')",south,south,introduction,south,O,,
plenty,plenty,"('plenty', 'NN')",plenti,plenty,introduction,plenty,O,,
opportunities,opportunities,"('opportunities', 'NNS')",opportun,opportunity,introduction,opportunities,O,,
bathing,bathing,"('bathing', 'NN')",bath,bathing,introduction,bathing,O,,
windsurfing,windsurfing,"('windsurfing', 'VBG')",windsurf,windsurf,introduction,windsurfing,O,,
Varberg,varberg,"('varberg', 'NN')",varberg,varberg,introduction,Varberg,B,GPE,"Countries, cities, states"
sights,sights,"('sights', 'NNS')",sight,sight,introduction,sights,O,,
concentrated,concentrated,"('concentrated', 'VBN')",concentr,concentrate,introduction,concentrated,O,,
along,along,"('along', 'IN')",along,along,introduction,along,O,,
near,near,"('near', 'IN')",near,near,introduction,near,O,,
seafront,seafront,"('seafront', 'NN')",seafront,seafront,introduction,seafront,O,,
although,although,"('although', 'IN')",although,although,introduction,although,O,,
summer,summer,"('summer', 'NN')",summer,summer,introduction,summer,O,,
main,main,"('main', 'JJ')",main,main,introduction,main,O,,
square,square,"('square', 'NN')",squar,square,introduction,square,O,,
Stortorget,stortorget,"('stortorget', 'NN')",stortorget,stortorget,introduction,Stortorget,B,GPE,"Countries, cities, states"
