token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Arguably,arguably,"('arguably', 'RB')",arguabl,arguably,introduction,Arguably,O,,
irresistible,irresistible,"('irresistible', 'JJ')",irresist,irresistible,introduction,irresistible,O,,
region,region,"('region', 'NN')",region,region,introduction,region,O,,
France,france,"('france', 'NN')",franc,france,introduction,France,B,GPE,"Countries, cities, states"
Provence,provence,"('provence', 'NN')",provenc,provence,introduction,Provence,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
ranges,ranges,"('ranges', 'VBZ')",rang,range,introduction,ranges,O,,
mountains,mountains,"('mountains', 'NNS')",mountain,mountain,introduction,mountains,O,,
southern,southern,"('southern', 'JJ')",southern,southern,introduction,southern,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Alps,alps,"('alps', 'NN')",alp,alp,introduction,Alps,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
delta,delta,"('delta', 'NN')",delta,delta,introduction,delta,O,,
plains,plains,"('plains', 'NNS')",plain,plain,introduction,plains,O,,
Camargue,camargue,"('camargue', 'NN')",camargu,camargue,introduction,Camargue,B,GPE,"Countries, cities, states"
boasts,boasts,"('boasts', 'VBZ')",boast,boast,introduction,boasts,O,,
Europe,europe,"('europe', 'VBP')",europ,europe,introduction,Europe,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
greatest,greatest,"('greatest', 'JJS')",greatest,great,introduction,greatest,O,,
canyon,canyon,"('canyon', 'NN')",canyon,canyon,introduction,canyon,O,,
Gorges,gorges,"('gorges', 'NNS')",gorg,gorge,introduction,Gorges,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
du,du,"('du', 'VBP')",du,du,introduction,du,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Verdon,verdon,"('verdon', 'RB')",verdon,verdon,introduction,Verdon,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Fortified,fortified,"('fortified', 'JJ')",fortifi,fortified,introduction,Fortified,O,,
