token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
firmly,firmly,"('firmly', 'RB')",firmli,firmly,introduction,firmly,O,,
incorporated,incorporated,"('incorporated', 'VBN')",incorpor,incorporate,introduction,incorporated,O,,
French,french,"('french', 'JJ')",french,french,introduction,French,B,NORP,Nationalities or religious or political groups
mainstream,mainstream,"('mainstream', 'NN')",mainstream,mainstream,introduction,mainstream,O,,
seaboard,seaboard,"('seaboard', 'NN')",seaboard,seaboard,introduction,seaboard,O,,
province,province,"('province', 'NN')",provinc,province,introduction,province,O,,
Normandy,normandy,"('normandy', 'NN')",normandi,normandy,introduction,Normandy,B,GPE,"Countries, cities, states"
has,has,"('has', 'VBZ')",ha,have,introduction,has,O,,
history,history,"('history', 'NN')",histori,history,introduction,history,O,,
prosperous,prosperous,"('prosperous', 'JJ')",prosper,prosperous,introduction,prosperous,O,,
powerful,powerful,"('powerful', 'JJ')",power,powerful,introduction,powerful,O,,
independence,independence,"('independence', 'NN')",independ,independence,introduction,independence,O,,
Colonized,colonized,"('colonized', 'VBN')",colon,colonize,introduction,Colonized,O,,
Vikings,vikings,"('vikings', 'NNS')",vike,viking,introduction,Vikings,O,,
ninth,ninth,"('ninth', 'JJ')",ninth,ninth,introduction,ninth,B,DATE,Absolute or relative dates or periods
century,century,"('century', 'NN')",centuri,century,introduction,century,I,DATE,Absolute or relative dates or periods
onwards,onwards,"('onwards', 'NNS')",onward,onwards,introduction,onwards,O,,
went,went,"('went', 'VBD')",went,go,introduction,went,O,,
conquer,conquer,"('conquer', 'VB')",conquer,conquer,introduction,conquer,O,,
only,only,"('only', 'RB')",onli,only,introduction,only,O,,
England,england,"('england', 'RB')",england,england,introduction,England,B,GPE,"Countries, cities, states"
far,far,"('far', 'RB')",far,far,introduction,far,O,,
afield,afield,"('afield', 'VBN')",afield,afield,introduction,afield,O,,
Sicily,sicily,"('sicily', 'RB')",sicili,sicily,introduction,Sicily,B,GPE,"Countries, cities, states"
areas,areas,"('areas', 'NNS')",area,area,introduction,areas,O,,
Near,near,"('near', 'JJ')",near,near,introduction,Near,O,,
East,east,"('east', 'NN')",east,east,introduction,East,O,,
Later,later,"('later', 'RB')",later,later,introduction,Later,O,,
part,part,"('part', 'NN')",part,part,introduction,part,O,,
France,france,"('france', 'NN')",franc,france,introduction,France,B,GPE,"Countries, cities, states"
was,was,"('was', 'VBD')",wa,be,introduction,was,O,,
instrumental,instrumental,"('instrumental', 'JJ')",instrument,instrumental,introduction,instrumental,O,,
settlement,settlement,"('settlement', 'NN')",settlement,settlement,introduction,settlement,O,,
Canada,canada,"('canada', 'NN')",canada,canada,introduction,Canada,B,GPE,"Countries, cities, states"
food,food,"('food', 'NN')",food,food,description,food,O,,
Normandy,normandy,"('normandy', 'JJ')",normandi,normandy,description,Normandy,B,GPE,"Countries, cities, states"
owes,owes,"('owes', 'FW')",owe,owes,description,owes,O,,
distinctive,distinctive,"('distinctive', 'JJ')",distinct,distinctive,description,distinctive,O,,
characteristic,characteristic,"('characteristic', 'JJ')",characterist,characteristic,description,characteristic,O,,
richness,richness,"('richness', 'NN')",rich,richness,description,richness,O,,
lush,lush,"('lush', 'NN')",lush,lush,description,lush,O,,
orchards,orchards,"('orchards', 'NNS')",orchard,orchard,description,orchards,O,,
dairy,dairy,"('dairy', 'NN')",dairi,dairy,description,dairy,O,,
herds,herds,"('herds', 'NNS')",herd,herd,description,herds,O,,
region,region,"('region', 'NN')",region,region,description,region,O,,
agricultural,agricultural,"('agricultural', 'JJ')",agricultur,agricultural,description,agricultural,O,,
heartland,heartland,"('heartland', 'NN')",heartland,heartland,description,heartland,O,,
especially,especially,"('especially', 'RB')",especi,especially,description,especially,O,,
Pays,pays,"('pays', 'NNS')",pay,pay,description,Pays,O,,
Auge,auge,"('auge', 'JJ')",aug,auge,description,Auge,O,,
southeast,southeast,"('southeast', 'NN')",southeast,southeast,description,southeast,O,,
Caen,caen,"('caen', 'NN')",caen,caen,description,Caen,B,GPE,"Countries, cities, states"
Menus,menus,"('menus', 'NNS')",menu,menu,description,Menus,O,,
abound,abound,"('abound', 'VBP')",abound,abound,description,abound,O,,
meat,meat,"('meat', 'NN')",meat,meat,description,meat,O,,
veal,veal,"('veal', 'NN')",veal,veal,description,veal,O,,
