token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
region,region,"('region', 'NN')",region,region,introduction,region,O,,
around,around,"('around', 'IN')",around,around,introduction,around,O,,
capital,capital,"('capital', 'NN')",capit,capital,introduction,capital,O,,
Île,île,"('île', 'NNP')",île,île,introduction,Île,O,,
de,de,"('de', 'FW')",de,de,introduction,de,O,,
France,france,"('france', 'NN')",franc,france,introduction,France,O,,
borders,borders,"('borders', 'NNS')",border,border,introduction,borders,O,,
neighbouring,neighbouring,"('neighbouring', 'NN')",neighbour,neighbouring,introduction,neighbouring,O,,
provinces,provinces,"('provinces', 'NNS')",provinc,province,introduction,provinces,O,,
studded,studded,"('studded', 'VBN')",stud,stud,introduction,studded,O,,
châteaux,châteaux,"('châteaux', 'JJ')",châteaux,châteaux,introduction,châteaux,O,,
Many,many,"('many', 'JJ')",mani,many,introduction,Many,O,,
royal,royal,"('royal', 'JJ')",royal,royal,introduction,royal,O,,
noble,noble,"('noble', 'JJ')",nobl,noble,introduction,noble,O,,
hunting,hunting,"('hunting', 'VBG')",hunt,hunt,introduction,hunting,O,,
retreats,retreats,"('retreats', 'NNS')",retreat,retreat,introduction,retreats,O,,
like,like,"('like', 'JJ')",like,like,introduction,like,O,,
Versailles,versailles,"('versailles', 'NNS')",versail,versailles,introduction,Versailles,O,,
Dropdown,dropdown,"('dropdown', 'VBN')",dropdown,dropdown,introduction,Dropdown,O,,
content,content,"('content', 'NN')",content,content,introduction,content,O,,
serious,serious,"('serious', 'JJ')",seriou,serious,introduction,serious,O,,
state,state,"('state', 'NN')",state,state,introduction,state,O,,
show,show,"('show', 'NN')",show,show,introduction,show,O,,
has,has,"('has', 'VBZ')",ha,have,introduction,has,O,,
perhaps,perhaps,"('perhaps', 'RB')",perhap,perhaps,introduction,perhaps,O,,
harmonious,harmonious,"('harmonious', 'JJ')",harmoni,harmonious,introduction,harmonious,O,,
architecture,architecture,"('architecture', 'NN')",architectur,architecture,introduction,architecture,O,,
Chantilly,chantilly,"('chantilly', 'RB')",chantilli,chantilly,introduction,Chantilly,O,,
finest,finest,"('finest', 'JJS')",finest,fine,introduction,finest,O,,
art,art,"('art', 'NN')",art,art,introduction,art,O,,
collection,collection,"('collection', 'NN')",collect,collection,introduction,collection,O,,
Fontainebleau,fontainebleau,"('fontainebleau', 'NN')",fontainebleau,fontainebleau,introduction,Fontainebleau,O,,
Dropdown,dropdown,"('dropdown', 'NN')",dropdown,dropdown,introduction,Dropdown,O,,
content,content,"('content', 'VBD')",content,content,introduction,content,O,,
gorgeous,gorgeous,"('gorgeous', 'JJ')",gorgeou,gorgeous,introduction,gorgeous,O,,
interiors,interiors,"('interiors', 'NNS')",interior,interior,introduction,interiors,O,,
Two,two,"('two', 'CD')",two,two,introduction,Two,B,CARDINAL,Numerals that do not fall under another type
world,world,"('world', 'NN')",world,world,introduction,world,O,,
greatest,greatest,"('greatest', 'JJS')",greatest,great,introduction,greatest,O,,
cathedrals,cathedrals,"('cathedrals', 'NNS')",cathedr,cathedral,introduction,cathedrals,O,,
also,also,"('also', 'RB')",also,also,introduction,also,O,,
lie,lie,"('lie', 'VBP')",lie,lie,introduction,lie,O,,
within,within,"('within', 'IN')",within,within,introduction,within,O,,
easy,easy,"('easy', 'JJ')",easi,easy,introduction,easy,O,,
reach,reach,"('reach', 'NN')",reach,reach,introduction,reach,O,,
Paris,paris,"('paris', 'NN')",pari,paris,introduction,Paris,O,,
otherwise,otherwise,"('otherwise', 'NN')",otherwis,otherwise,introduction,otherwise,O,,
gritty,gritty,"('gritty', 'JJ')",gritti,gritty,introduction,gritty,O,,
suburb,suburb,"('suburb', 'NN')",suburb,suburb,introduction,suburb,O,,
Gothic,gothic,"('gothic', 'JJ')",gothic,gothic,introduction,Gothic,O,,
style,style,"('style', 'NN')",style,style,introduction,style,O,,
was,was,"('was', 'VBD')",wa,be,introduction,was,O,,
born,born,"('born', 'VBN')",born,bear,introduction,born,O,,
Chartres,chartres,"('chartres', 'NNS')",chartr,chartres,introduction,Chartres,O,,
reached,reached,"('reached', 'VBD')",reach,reach,introduction,reached,O,,
exquisite,exquisite,"('exquisite', 'JJ')",exquisit,exquisite,introduction,exquisite,O,,
pinnacle,pinnacle,"('pinnacle', 'NN')",pinnacl,pinnacle,introduction,pinnacle,O,,
popular,popular,"('popular', 'JJ')",popular,popular,introduction,popular,O,,
attraction,attraction,"('attraction', 'NN')",attract,attraction,introduction,attraction,O,,
far,far,"('far', 'RB')",far,far,introduction,far,O,,
however,however,"('however', 'RB')",howev,however,introduction,however,O,,
Disneyland,disneyland,"('disneyland', 'JJ')",disneyland,disneyland,introduction,Disneyland,O,,
Paris,paris,"('paris', 'RB')",pari,paris,introduction,Paris,O,,
Dropdown,dropdown,"('dropdown', 'JJ')",dropdown,dropdown,introduction,Dropdown,O,,
content,content,"('content', 'NN')",content,content,introduction,content,O,,
beyond,beyond,"('beyond', 'IN')",beyond,beyond,introduction,beyond,O,,
satellite,satellite,"('satellite', 'JJ')",satellit,satellite,introduction,satellite,O,,
town,town,"('town', 'NN')",town,town,introduction,town,O,,
southwest,southwest,"('southwest', 'NN')",southwest,southwest,description,southwest,O,,
Paris,paris,"('paris', 'NN')",pari,paris,description,Paris,B,GPE,"Countries, cities, states"
lies,lies,"('lies', 'NNS')",lie,lie,description,lies,O,,
Louis,louis,"('louis', 'VBP')",loui,louis,description,Louis,O,,
XIV,xiv,"('xiv', 'JJ')",xiv,xiv,description,XIV,O,,
extraordinary,extraordinary,"('extraordinary', 'JJ')",extraordinari,extraordinary,description,extraordinary,O,,
Château,château,"('château', 'NN')",château,château,description,Château,O,,
de,de,"('de', 'IN')",de,de,description,de,O,,
Versailles,versailles,"('versailles', 'NNS')",versail,versailles,description,Versailles,O,,
rooms,rooms,"('rooms', 'NNS')",room,room,description,rooms,O,,
staircases,staircases,"('staircases', 'NNS')",staircas,staircase,description,staircases,O,,
fireplaces,fireplaces,"('fireplaces', 'NNS')",fireplac,fireplace,description,fireplaces,O,,
alone,alone,"('alone', 'RB')",alon,alone,description,alone,O,,
Versailles,versailles,"('versailles', 'NNS')",versail,versailles,description,Versailles,O,,
without,without,"('without', 'IN')",without,without,description,without,O,,
doubt,doubt,"('doubt', 'NN')",doubt,doubt,description,doubt,O,,
apotheosis,apotheosis,"('apotheosis', 'NN')",apotheosi,apotheosis,description,apotheosis,O,,
French,french,"('french', 'JJ')",french,french,description,French,B,NORP,Nationalities or religious or political groups
regal,regal,"('regal', 'JJ')",regal,regal,description,regal,O,,
indulgence,indulgence,"('indulgence', 'NN')",indulg,indulgence,description,indulgence,O,,
possible,possible,"('possible', 'JJ')",possibl,possible,description,possible,O,,
see,see,"('see', 'VB')",see,see,description,see,O,,
whole,whole,"('whole', 'JJ')",whole,whole,description,whole,O,,
complex,complex,"('complex', 'NN')",complex,complex,description,complex,O,,
one,one,"('one', 'CD')",one,one,description,one,O,,
day,day,"('day', 'NN')",day,day,description,day,O,,
undeniably,undeniably,"('undeniably', 'RB')",undeni,undeniably,description,undeniably,O,,
tiring,tiring,"('tiring', 'VBG')",tire,tire,description,tiring,O,,
best,best,"('best', 'JJS')",best,best,description,best,O,,
plan,plan,"('plan', 'NN')",plan,plan,description,plan,O,,
avoid,avoid,"('avoid', 'VB')",avoid,avoid,description,avoid,O,,
worst,worst,"('worst', 'JJS')",worst,bad,description,worst,O,,
crowds,crowds,"('crowds', 'NN')",crowd,crowd,description,crowds,O,,
head,head,"('head', 'VB')",head,head,description,head,O,,
morning,morning,"('morning', 'NN')",morn,morning,description,morning,O,,
glorious,glorious,"('glorious', 'JJ')",gloriou,glorious,description,glorious,O,,
gardens,gardens,"('gardens', 'NNS')",garden,garden,description,gardens,O,,
free,free,"('free', 'JJ')",free,free,description,free,O,,
