token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
bubbly,bubbly,"('bubbly', 'NN')",bubbl,bubbly,introduction,bubbly,O,,
stuff,stuff,"('stuff', 'NN')",stuff,stuff,introduction,stuff,O,,
reason,reason,"('reason', 'NN')",reason,reason,introduction,reason,O,,
people,people,"('people', 'NNS')",peopl,people,introduction,people,O,,
visit,visit,"('visit', 'VBP')",visit,visit,introduction,visit,O,,
Champagne,champagne,"('champagne', 'JJ')",champagn,champagne,introduction,Champagne,O,,
drawn,drawn,"('drawn', 'NN')",drawn,drawn,introduction,drawn,O,,
vineyards,vineyards,"('vineyards', 'NNS')",vineyard,vineyard,introduction,vineyards,O,,
cellars,cellars,"('cellars', 'NNS')",cellar,cellar,introduction,cellars,O,,
region,region,"('region', 'NN')",region,region,introduction,region,O,,
capital,capital,"('capital', 'NN')",capit,capital,introduction,capital,O,,
cathedral,cathedral,"('cathedral', 'JJ')",cathedr,cathedral,introduction,cathedral,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
Reims,reims,"('reims', 'NNS')",reim,reims,introduction,Reims,B,GPE,"Countries, cities, states"
Dropdown,dropdown,"('dropdown', 'VBN')",dropdown,dropdown,introduction,Dropdown,O,,
content,content,"('content', 'JJ')",content,content,introduction,content,O,,
extravagant,extravagant,"('extravagant', 'JJ')",extravag,extravagant,introduction,extravagant,O,,
champagne,champagne,"('champagne', 'NN')",champagn,champagne,introduction,champagne,O,,
houses,houses,"('houses', 'NNS')",hous,house,introduction,houses,O,,
caves,caves,"('caves', 'NNS')",cave,cave,introduction,caves,O,,
beneath,beneath,"('beneath', 'VBP')",beneath,beneath,introduction,beneath,O,,
notable,notable,"('notable', 'JJ')",notabl,notable,introduction,notable,O,,
vaulted,vaulted,"('vaulted', 'JJ')",vault,vaulted,introduction,vaulted,O,,
ceilings,ceilings,"('ceilings', 'NNS')",ceil,ceiling,introduction,ceilings,O,,
kilometres,kilometres,"('kilometres', 'NNS')",kilometr,kilometre,introduction,kilometres,O,,
bottles,bottles,"('bottles', 'NNS')",bottl,bottle,introduction,bottles,O,,
Épernay,épernay,"('épernay', 'NNP')",épernay,épernay,introduction,Épernay,O,,
