token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Blessed,blessed,"('blessed', 'VBN')",bless,bless,introduction,Blessed,O,,
one,one,"('one', 'CD')",one,one,introduction,one,O,,
Germany,germany,"('germany', 'NN')",germani,germany,introduction,Germany,O,,
warmest,warmest,"('warmest', 'JJS')",warmest,warm,introduction,warmest,O,,
sunniest,sunniest,"('sunniest', 'VB')",sunniest,sunniest,introduction,sunniest,O,,
climates,climates,"('climates', 'NNS')",climat,climate,introduction,climates,O,,
wooded,wooded,"('wooded', 'VBD')",wood,wooded,introduction,wooded,O,,
hills,hills,"('hills', 'NNS')",hill,hill,introduction,hills,O,,
virtually,virtually,"('virtually', 'RB')",virtual,virtually,introduction,virtually,O,,
rise,rise,"('rise', 'VB')",rise,rise,introduction,rise,O,,
Altstadt,altstadt,"('altstadt', 'JJ')",altstadt,altstadt,introduction,Altstadt,B,GPE,"Countries, cities, states"
FREIBURG,freiburg,"('freiburg', 'NN')",freiburg,freiburg,introduction,FREIBURG,B,GPE,"Countries, cities, states"
officially,officially,"('officially', 'RB')",offici,officially,introduction,officially,O,,
Freiburg,freiburg,"('freiburg', 'JJ')",freiburg,freiburg,introduction,Freiburg,B,GPE,"Countries, cities, states"
im,im,"('im', 'NN')",im,im,introduction,i,I,GPE,"Countries, cities, states"
Breisgau,breisgau,"('breisgau', 'NN')",breisgau,breisgau,introduction,m,I,GPE,"Countries, cities, states"
immediately,immediately,"('immediately', 'RB')",immedi,immediately,introduction,Breisgau,I,GPE,"Countries, cities, states"
likeable,likeable,"('likeable', 'JJ')",likeabl,likeable,introduction,immediately,O,,
place,place,"('place', 'NN')",place,place,introduction,likeable,O,,
accessible,accessible,"('accessible', 'JJ')",access,accessible,introduction,place,O,,
size,size,"('size', 'NN')",size,size,introduction,accessible,O,,
makes,makes,"('makes', 'VBZ')",make,make,introduction,size,O,,
easy,easy,"('easy', 'JJ')",easi,easy,introduction,makes,O,,
explore,explore,"('explore', 'VB')",explor,explore,introduction,easy,O,,
sizeable,sizeable,"('sizeable', 'JJ')",sizeabl,sizeable,introduction,explore,O,,
university,university,"('university', 'NN')",univers,university,introduction,sizeable,O,,
helps,helps,"('helps', 'VBZ')",help,help,introduction,university,O,,
make,make,"('make', 'VB')",make,make,introduction,helps,O,,
upbeat,upbeat,"('upbeat', 'JJ')",upbeat,upbeat,introduction,make,O,,
lively,lively,"('lively', 'JJ')",live,lively,introduction,upbeat,O,,
place,place,"('place', 'NN')",place,place,introduction,lively,O,,
Though,though,"('though', 'IN')",though,though,introduction,place,O,,
town,town,"('town', 'NN')",town,town,introduction,Though,O,,
centre,centre,"('centre', 'NN')",centr,centre,introduction,town,O,,
quickly,quickly,"('quickly', 'RB')",quickli,quickly,introduction,centre,O,,
covered,covered,"('covered', 'VBN')",cover,cover,introduction,quickly,O,,
city,city,"('city', 'NN')",citi,city,introduction,covered,O,,
role,role,"('role', 'NN')",role,role,introduction,city,O,,
regional,regional,"('regional', 'JJ')",region,regional,introduction,role,O,,
transport,transport,"('transport', 'NN')",transport,transport,introduction,regional,O,,
hub,hub,"('hub', 'NN')",hub,hub,introduction,transport,O,,
makes,makes,"('makes', 'VBZ')",make,make,introduction,hub,O,,
Freiburg,freiburg,"('freiburg', 'RB')",freiburg,freiburg,introduction,makes,O,,
good,good,"('good', 'JJ')",good,good,introduction,Freiburg,O,,
base,base,"('base', 'NN')",base,base,introduction,good,O,,
days,days,"('days', 'NNS')",day,day,introduction,base,O,,
exploration,exploration,"('exploration', 'NN')",explor,exploration,introduction,days,O,,
hills,hills,"('hills', 'NNS')",hill,hill,introduction,exploration,O,,
around,around,"('around', 'IN')",around,around,introduction,hills,O,,
town,town,"('town', 'NN')",town,town,introduction,around,O,,
Southern,southern,"('southern', 'JJ')",southern,southern,introduction,town,O,,
Black,black,"('black', 'JJ')",black,black,introduction,Southern,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Forest,forest,"('forest', 'NN')",forest,forest,introduction,Black,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
putting,putting,"('putting', 'VBG')",put,put,introduction,Forest,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
