token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
may,may,"('may', 'MD')",may,may,introduction,may,O,,
STUTTGART,stuttgart,"('stuttgart', 'VB')",stuttgart,stuttgart,introduction,STUTTGART,B,GPE,"Countries, cities, states"
certainly,certainly,"('certainly', 'RB')",certainli,certainly,introduction,certainly,O,,
Detroit,detroit,"('detroit', 'JJ')",detroit,detroit,introduction,Detroit,B,GPE,"Countries, cities, states"
Instead,instead,"('instead', 'RB')",instead,instead,introduction,Instead,O,,
capital,capital,"('capital', 'NN')",capit,capital,introduction,capital,O,,
surprisingly,surprisingly,"('surprisingly', 'RB')",surprisingli,surprisingly,introduction,surprisingly,O,,
small,small,"('small', 'JJ')",small,small,introduction,small,O,,
population,population,"('population', 'NN')",popul,population,introduction,population,O,,
laidback,laidback,"('laidback', 'NN')",laidback,laidback,introduction,laidback,O,,
leafy,leafy,"('leafy', 'VB')",leafi,leafy,introduction,leafy,O,,
idyllic,idyllic,"('idyllic', 'JJ')",idyl,idyllic,introduction,idyllic,O,,
setting,setting,"('setting', 'NN')",set,setting,introduction,setting,O,,
palm,palm,"('palm', 'NN')",palm,palm,introduction,palm,O,,
valley,valley,"('valley', 'NN')",valley,valley,introduction,valley,O,,
vineyards,vineyards,"('vineyards', 'NNS')",vineyard,vineyard,introduction,vineyards,O,,
thrive,thrive,"('thrive', 'CD')",thrive,thrive,introduction,thrive,O,,
multitude,multitude,"('multitude', 'NN')",multitud,multitude,introduction,multitude,O,,
parks,parks,"('parks', 'NNS')",park,park,introduction,parks,O,,
often,often,"('often', 'RB')",often,often,introduction,often,O,,
seem,seem,"('seem', 'VBP')",seem,seem,introduction,seem,O,,
shape,shape,"('shape', 'VB')",shape,shape,introduction,shape,O,,
presence,presence,"('presence', 'NN')",presenc,presence,introduction,presence,O,,
industrial,industrial,"('industrial', 'JJ')",industri,industrial,introduction,industrial,O,,
giants,giants,"('giants', 'NNS')",giant,giant,introduction,giants,O,,
Consequently,consequently,"('consequently', 'RB')",consequ,consequently,introduction,Consequently,O,,
likely,likely,"('likely', 'JJ')",like,likely,introduction,likely,O,,
spend,spend,"('spend', 'VB')",spend,spend,introduction,spend,O,,
much,much,"('much', 'JJ')",much,much,introduction,much,O,,
time,time,"('time', 'NN')",time,time,introduction,time,O,,
centre,centre,"('centre', 'JJ')",centr,centre,introduction,centre,O,,
many,many,"('many', 'JJ')",mani,many,introduction,many,O,,
Stuttgart,stuttgart,"('stuttgart', 'JJ')",stuttgart,stuttgart,introduction,Stuttgart,B,GPE,"Countries, cities, states"
best,best,"('best', 'JJS')",best,best,introduction,best,O,,
sights,sights,"('sights', 'NNS')",sight,sight,introduction,sights,O,,
spread,spread,"('spread', 'VBN')",spread,spread,introduction,spread,O,,
across,across,"('across', 'IN')",across,across,introduction,across,O,,
beyond,beyond,"('beyond', 'IN')",beyond,beyond,introduction,beyond,O,,
hills,hills,"('hills', 'NNS')",hill,hill,introduction,hills,O,,
surround,surround,"('surround', 'VBD')",surround,surround,introduction,surround,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
find,find,"('find', 'VB')",find,find,introduction,find,O,,
good,good,"('good', 'JJ')",good,good,introduction,good,O,,
hikes,hikes,"('hikes', 'NNS')",hike,hike,introduction,hikes,O,,
among,among,"('among', 'IN')",among,among,introduction,among,O,,
vineyards,vineyards,"('vineyards', 'NNS')",vineyard,vineyard,introduction,vineyards,O,,
Stuttgart,stuttgart,"('stuttgart', 'JJ')",stuttgart,stuttgart,introduction,Stuttgart,B,GPE,"Countries, cities, states"
celebrated,celebrated,"('celebrated', 'VBD')",celebr,celebrate,introduction,celebrated,O,,
rustic,rustic,"('rustic', 'JJ')",rustic,rustic,introduction,rustic,O,,
wine,wine,"('wine', 'NN')",wine,wine,introduction,wine,O,,
bars,bars,"('bars', 'NNS')",bar,bar,introduction,bars,O,,
Weinstuben,weinstuben,"('weinstuben', 'VBP')",weinstuben,weinstuben,introduction,Weinstuben,O,,
attractions,attractions,"('attractions', 'NNS')",attract,attraction,description,attractions,O,,
Stuttgart,stuttgart,"('stuttgart', 'JJ')",stuttgart,stuttgart,description,Stuttgart,B,GPE,"Countries, cities, states"
southern,southern,"('southern', 'JJ')",southern,southern,description,southern,O,,
fringes,fringes,"('fringes', 'NNS')",fring,fringe,description,fringes,O,,
include,include,"('include', 'VBP')",includ,include,description,include,O,,
Zahnradbahn,zahnradbahn,"('zahnradbahn', 'NN')",zahnradbahn,zahnradbahn,description,Zahnradbahn,B,FAC,"Buildings, airports, highways, bridges, etc."
aged,aged,"('aged', 'VBN')",age,age,description,aged,O,,
leads,leads,"('leads', 'VBZ')",lead,lead,description,leads,O,,
Fernsehturm,fernsehturm,"('fernsehturm', 'JJ')",fernsehturm,fernsehturm,description,Fernsehturm,B,FAC,"Buildings, airports, highways, bridges, etc."
TV,tv,"('tv', 'NN')",tv,tv,description,TV,O,,
tower,tower,"('tower', 'NN')",tower,tower,description,tower,O,,
expansive,expansive,"('expansive', 'JJ')",expans,expansive,description,expansive,O,,
city,city,"('city', 'NN')",citi,city,description,city,O,,
views,views,"('views', 'NNS')",view,view,description,views,O,,
western,western,"('western', 'JJ')",western,western,description,western,O,,
side,side,"('side', 'NN')",side,side,description,side,O,,
city,city,"('city', 'NN')",citi,city,description,city,O,,
stands,stands,"('stands', 'VBZ')",stand,stand,description,stands,O,,
Schloss,schloss,"('schloss', 'JJ')",schloss,schloss,description,Schloss,B,FAC,"Buildings, airports, highways, bridges, etc."
Solitude,solitude,"('solitude', 'NN')",solitud,solitude,description,Solitude,I,FAC,"Buildings, airports, highways, bridges, etc."
north,north,"('north', 'NN')",north,north,description,north,O,,
Höhenpark,höhenpark,"('höhenpark', 'JJ')",höhenpark,höhenpark,description,Höhenpark,O,,
Killesberg,killesberg,"('killesberg', 'NN')",killesberg,killesberg,description,Killesberg,O,,
interest,interest,"('interest', 'NN')",interest,interest,description,interest,O,,
Weissenhofsiedlung,weissenhofsiedlung,"('weissenhofsiedlung', 'JJ')",weissenhofsiedlung,weissenhofsiedlung,description,Weissenhofsiedlung,O,,
collection,collection,"('collection', 'NN')",collect,collection,description,collection,O,,
Bauhaus,bauhaus,"('bauhaus', 'JJ')",bauhau,bauhaus,description,Bauhaus,O,,
buildings,buildings,"('buildings', 'NNS')",build,building,description,buildings,O,,
east,east,"('east', 'CD')",east,east,description,east,O,,
alongside,alongside,"('alongside', 'VB')",alongsid,alongside,description,alongside,O,,
Neckar,neckar,"('neckar', 'JJ')",neckar,neckar,description,Neckar,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
River,river,"('river', 'NN')",river,river,description,River,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Rosensteinpark,rosensteinpark,"('rosensteinpark', 'VBN')",rosensteinpark,rosensteinpark,description,Rosensteinpark,O,,
natural,natural,"('natural', 'JJ')",natur,natural,description,natural,O,,
history,history,"('history', 'NN')",histori,history,description,history,O,,
given,given,"('given', 'VBN')",given,give,description,given,O,,
thorough,thorough,"('thorough', 'JJ')",thorough,thorough,description,thorough,O,,
treatment,treatment,"('treatment', 'NN')",treatment,treatment,description,treatment,O,,
paleontological,paleontological,"('paleontological', 'JJ')",paleontolog,paleontological,description,paleontological,O,,
beginnings,beginnings,"('beginnings', 'NNS')",begin,beginning,description,beginnings,O,,
Museum,museum,"('museum', 'NN')",museum,museum,description,Museum,O,,
Löwentor,löwentor,"('löwentor', 'NN')",löwentor,löwentor,description,Löwentor,O,,
fine,fine,"('fine', 'JJ')",fine,fine,description,fine,O,,
botanic,botanic,"('botanic', 'JJ')",botan,botanic,description,botanic,O,,
garden,garden,"('garden', 'NN')",garden,garden,description,garden,O,,
zoo,zoo,"('zoo', 'NN')",zoo,zoo,description,zoo,O,,
opposite,opposite,"('opposite', 'JJ')",opposit,opposite,description,opposite,O,,
