token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Germany,germany,"('germany', 'NN')",germani,germany,introduction,Germany,O,,
castles,castles,"('castles', 'NNS')",castl,castle,introduction,castles,O,,
palaces,palaces,"('palaces', 'NNS')",palac,palace,introduction,palaces,O,,
stuff,stuff,"('stuff', 'NN')",stuff,stuff,introduction,stuff,O,,
fairytales,fairytales,"('fairytales', 'NNS')",fairytal,fairytale,introduction,fairytales,O,,
Towering,towering,"('towering', 'VBG')",tower,tower,introduction,Towering,O,,
spires,spires,"('spires', 'NNS')",spire,spire,introduction,spires,O,,
handsome,handsome,"('handsome', 'JJ')",handsom,handsome,introduction,handsome,O,,
facades,facades,"('facades', 'NNS')",facad,facade,introduction,facades,O,,
met,met,"('met', 'VBN')",met,meet,introduction,met,O,,
interiors,interiors,"('interiors', 'NNS')",interior,interior,introduction,interiors,O,,
lavishly,lavishly,"('lavishly', 'RB')",lavishli,lavishly,introduction,lavishly,O,,
decorated,decorated,"('decorated', 'VBN')",decor,decorate,introduction,decorated,O,,
marble,marble,"('marble', 'JJ')",marbl,marble,introduction,marble,O,,
rococo,rococo,"('rococo', 'NN')",rococo,rococo,introduction,rococo,O,,
flourishes,flourishes,"('flourishes', 'NNS')",flourish,flourish,introduction,flourishes,O,,
ceiling,ceiling,"('ceiling', 'NN')",ceil,ceiling,introduction,ceiling,O,,
frescoes,frescoes,"('frescoes', 'NNS')",fresco,fresco,introduction,frescoes,O,,
extravagance,extravagance,"('extravagance', 'NN')",extravag,extravagance,introduction,extravagance,O,,
Germany,germany,"('germany', 'NN')",germani,germany,introduction,Germany,B,GPE,"Countries, cities, states"
World,world,"('world', 'NN')",world,world,introduction,World,B,ORG,"Companies, agencies, institutions, etc."
Heritage,heritage,"('heritage', 'NN')",heritag,heritage,introduction,Heritage,I,ORG,"Companies, agencies, institutions, etc."
palaces,palaces,"('palaces', 'NNS')",palac,palace,introduction,palaces,O,,
castles,castles,"('castles', 'NNS')",castl,castle,introduction,castles,O,,
got,got,"('got', 'VBN')",got,get,introduction,got,O,,
covered,covered,"('covered', 'VBD')",cover,cover,introduction,covered,O,,
moment,moment,"('moment', 'NN')",moment,moment,description,moment,O,,
see,see,"('see', 'VBP')",see,see,description,see,O,,
breathtakingly,breathtakingly,"('breathtakingly', 'RB')",breathtakingli,breathtakingly,description,breathtakingly,O,,
lavish,lavish,"('lavish', 'JJ')",lavish,lavish,description,lavish,O,,
ceremonial,ceremonial,"('ceremonial', 'JJ')",ceremoni,ceremonial,description,ceremonial,O,,
staircase,staircase,"('staircase', 'NN')",staircas,staircase,description,staircase,O,,
Balthasar,balthasar,"('balthasar', 'NN')",balthasar,balthasar,description,Balthasar,B,PERSON,"People, including fictional"
Neumann,neumann,"('neumann', 'NN')",neumann,neumann,description,Neumann,I,PERSON,"People, including fictional"
frothy,frothy,"('frothy', 'JJ')",frothi,frothy,description,frothy,O,,
rocailles,rocailles,"('rocailles', 'NNS')",rocail,rocailles,description,rocailles,O,,
vivid,vivid,"('vivid', 'JJ')",vivid,vivid,description,vivid,O,,
stucco,stucco,"('stucco', 'NN')",stucco,stucco,description,stucco,O,,
marble,marble,"('marble', 'JJ')",marbl,marble,description,marble,O,,
effects,effects,"('effects', 'NNS')",effect,effect,description,effects,O,,
understand,understand,"('understand', 'JJ')",understand,understand,description,understand,O,,
why,why,"('why', 'WRB')",whi,why,description,why,O,,
this,this,"('this', 'DT')",thi,this,description,this,O,,
was,was,"('was', 'VBD')",wa,be,description,was,O,,
Clemens,clemens,"('clemens', 'JJ')",clemen,clemens,description,Clemens,B,PERSON,"People, including fictional"
August,august,"('august', 'JJ')",august,august,description,August,I,PERSON,"People, including fictional"
favourite,favourite,"('favourite', 'JJ')",favourit,favourite,description,favourite,O,,
residence,residence,"('residence', 'NN')",resid,residence,description,residence,O,,
ascend,ascend,"('ascend', 'VBP')",ascend,ascend,description,ascend,O,,
staircase,staircase,"('staircase', 'NN')",staircas,staircase,description,staircase,O,,
sheer,sheer,"('sheer', 'NN')",sheer,sheer,description,sheer,O,,
exuberance,exuberance,"('exuberance', 'NN')",exuber,exuberance,description,exuberance,O,,
design,design,"('design', 'NN')",design,design,description,design,O,,
becomes,becomes,"('becomes', 'VBZ')",becom,become,description,becomes,O,,
apparent,apparent,"('apparent', 'JJ')",appar,apparent,description,apparent,O,,
Napoleon,napoleon,"('napoleon', 'NN')",napoleon,napoleon,description,Napoleon,O,,
visited,visited,"('visited', 'VBD')",visit,visit,description,visited,O,,
said,said,"('said', 'VBD')",said,say,description,said,O,,
remarked,remarked,"('remarked', 'VBN')",remark,remark,description,remarked,O,,
was,was,"('was', 'VBD')",wa,be,description,was,O,,
pity,pity,"('pity', 'NN')",piti,pity,description,pity,O,,
palace,palace,"('palace', 'NN')",palac,palace,description,palace,O,,
wheels,wheels,"('wheels', 'NNS')",wheel,wheel,description,wheels,O,,
could,could,"('could', 'MD')",could,could,description,could,O,,
take,take,"('take', 'VB')",take,take,description,take,O,,
home,home,"('home', 'RB')",home,home,description,home,O,,
dizzying,dizzying,"('dizzying', 'VBG')",dizzi,dizzy,description,dizzying,O,,
reception,reception,"('reception', 'NN')",recept,reception,description,reception,O,,
rooms,rooms,"('rooms', 'NNS')",room,room,description,rooms,O,,
top,top,"('top', 'NN')",top,top,description,top,O,,
staircase,staircase,"('staircase', 'NN')",staircas,staircase,description,staircase,O,,
continue,continue,"('continue', 'NN')",continu,continue,description,continue,O,,
similar,similar,"('similar', 'JJ')",similar,similar,description,similar,O,,
gardens,gardens,"('gardens', 'NNS')",garden,garden,description,gardens,O,,
parterres,parterres,"('parterres', 'NNS')",parterr,parterre,description,parterres,O,,
fountains,fountains,"('fountains', 'NNS')",fountain,fountain,description,fountains,O,,
offer,offer,"('offer', 'VBP')",offer,offer,description,offer,O,,
outdoor,outdoor,"('outdoor', 'JJ')",outdoor,outdoor,description,outdoor,O,,
equivalent,equivalent,"('equivalent', 'NN')",equival,equivalent,description,equivalent,O,,
indoor,indoor,"('indoor', 'NN')",indoor,indoor,description,indoor,O,,
excess,excess,"('excess', 'NN')",excess,excess,description,excess,O,,
created,created,"('created', 'VBN')",creat,create,description,created,O,,
Dominique,dominique,"('dominique', 'JJ')",dominiqu,dominique,description,Dominique,B,PERSON,"People, including fictional"
Girard,girard,"('girard', 'NN')",girard,girard,description,Girard,I,PERSON,"People, including fictional"
modelled,modelled,"('modelled', 'VBN')",model,model,description,modelled,O,,
French,french,"('french', 'JJ')",french,french,description,French,B,NORP,Nationalities or religious or political groups
designs,designs,"('designs', 'NNS')",design,design,description,designs,O,,
avenue,avenue,"('avenue', 'NN')",avenu,avenue,description,avenue,O,,
leads,leads,"('leads', 'VBZ')",lead,lead,description,leads,O,,
across,across,"('across', 'IN')",across,across,description,across,O,,
park,park,"('park', 'NN')",park,park,description,park,O,,
delightful,delightful,"('delightful', 'JJ')",delight,delightful,description,delightful,O,,
little,little,"('little', 'JJ')",littl,little,description,little,O,,
Falkenlust,falkenlust,"('falkenlust', 'JJ')",falkenlust,falkenlust,description,Falkenlust,O,,
hunting,hunting,"('hunting', 'VBG')",hunt,hunt,description,hunting,O,,
lodge,lodge,"('lodge', 'NN')",lodg,lodge,description,lodge,O,,
edge,edge,"('edge', 'NN')",edg,edge,description,edge,O,,
small,small,"('small', 'JJ')",small,small,description,small,O,,
secluded,secluded,"('secluded', 'JJ')",seclud,secluded,description,secluded,O,,
forest,forest,"('forest', 'JJS')",forest,forest,description,forest,O,,
Though,though,"('though', 'IN')",though,though,description,Though,O,,
smaller,smaller,"('smaller', 'JJR')",smaller,small,description,smaller,O,,
scale,scale,"('scale', 'NN')",scale,scale,description,scale,O,,
Augustusburg,augustusburg,"('augustusburg', 'VBZ')",augustusburg,augustusburg,description,Augustusburg,O,,
intimate,intimate,"('intimate', 'NN')",intim,intimate,description,intimate,O,,
lodge,lodge,"('lodge', 'NN')",lodg,lodge,description,lodge,O,,
akin,akin,"('akin', 'JJ')",akin,akin,description,akin,O,,
spirit,spirit,"('spirit', 'NN')",spirit,spirit,description,spirit,O,,
Clemens,clemens,"('clemens', 'NNS')",clemen,clemens,description,Clemens,B,PERSON,"People, including fictional"
August,august,"('august', 'VBP')",august,august,description,August,I,PERSON,"People, including fictional"
used,used,"('used', 'VBN')",use,use,description,used,O,,
entertaining,entertaining,"('entertaining', 'VBG')",entertain,entertain,description,entertaining,O,,
long,long,"('long', 'JJ')",long,long,description,long,O,,
day,day,"('day', 'NN')",day,day,description,day,O,,
hunting,hunting,"('hunting', 'VBG')",hunt,hunt,description,hunting,O,,
falconry,falconry,"('falconry', 'VB')",falconri,falconry,description,falconry,O,,
his,his,"('his', 'PRP$')",hi,his,description,his,O,,
favourite,favourite,"('favourite', 'NN')",favourit,favourite,description,favourite,O,,
summer,summer,"('summer', 'NN')",summer,summer,description,summer,O,,
try,try,"('try', 'NN')",tri,try,description,try,O,,
time,time,"('time', 'NN')",time,time,description,time,O,,
visit,visit,"('visit', 'NN')",visit,visit,description,visit,O,,
one,one,"('one', 'CD')",one,one,description,one,O,,
concerts,concerts,"('concerts', 'NNS')",concert,concert,description,concerts,O,,
held,held,"('held', 'VBD')",held,hold,description,held,O,,
palace,palace,"('palace', 'NN')",palac,palace,description,palace,O,,
unforgettable,unforgettable,"('unforgettable', 'JJ')",unforgett,unforgettable,description,unforgettable,O,,
