token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
setting,setting,"('setting', 'NN')",set,setting,introduction,setting,O,,
countless,countless,"('countless', 'JJ')",countless,countless,introduction,countless,O,,
Grimm,grimm,"('grimm', 'NN')",grimm,grimm,introduction,Grimm,B,PERSON,"People, including fictional"
Brothers,brothers,"('brothers', 'NNS')",brother,brother,introduction,Brothers,O,,
fairy,fairy,"('fairy', 'VBP')",fairi,fairy,introduction,fairy,O,,
tales,tales,"('tales', 'VBZ')",tale,tales,introduction,tales,O,,
Black,black,"('black', 'JJ')",black,black,introduction,Black,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Forest,forest,"('forest', 'JJS')",forest,forest,introduction,Forest,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
happily,happily,"('happily', 'RB')",happili,happily,introduction,happily,O,,
plays,plays,"('plays', 'VBZ')",play,play,introduction,plays,O,,
image,image,"('image', 'NN')",imag,image,introduction,image,O,,
land,land,"('land', 'NN')",land,land,introduction,land,O,,
cuckoo,cuckoo,"('cuckoo', 'NN')",cuckoo,cuckoo,introduction,cuckoo,O,,
clocks,clocks,"('clocks', 'NNS')",clock,clock,introduction,clocks,O,,
cherry,cherry,"('cherry', 'VBP')",cherri,cherry,introduction,cherry,O,,
gâteaux,gâteaux,"('gâteaux', 'JJ')",gâteaux,gâteaux,introduction,gâteaux,O,,
outlandish,outlandish,"('outlandish', 'JJ')",outlandish,outlandish,introduction,outlandish,O,,
traditional,traditional,"('traditional', 'JJ')",tradit,traditional,introduction,traditional,O,,
garb,garb,"('garb', 'NN')",garb,garb,introduction,garb,O,,
hefty,hefty,"('hefty', 'NN')",hefti,hefty,introduction,hefty,O,,
farmhouses,farmhouses,"('farmhouses', 'NNS')",farmhous,farmhouse,introduction,farmhouses,O,,
hill,hill,"('hill', 'VB')",hill,hill,introduction,hill,O,,
upon,upon,"('upon', 'IN')",upon,upon,introduction,upon,O,,
hill,hill,"('hill', 'NN')",hill,hill,introduction,hill,O,,
dark,dark,"('dark', 'JJ')",dark,dark,introduction,dark,O,,
evergreen,evergreen,"('evergreen', 'JJ')",evergreen,evergreen,introduction,evergreen,O,,
forest,forest,"('forest', 'NN')",forest,forest,introduction,forest,O,,
even,even,"('even', 'RB')",even,even,introduction,even,O,,
brief,brief,"('brief', 'JJ')",brief,brief,introduction,brief,O,,
exploration,exploration,"('exploration', 'NN')",explor,exploration,introduction,exploration,O,,
soon,soon,"('soon', 'RB')",soon,soon,introduction,soon,O,,
reveals,reveals,"('reveals', 'VBZ')",reveal,reveal,introduction,reveals,O,,
character,character,"('character', 'NN')",charact,character,introduction,character,O,,
region,region,"('region', 'NN')",region,region,introduction,region,O,,
part,part,"('part', 'NN')",part,part,introduction,part,O,,
state,state,"('state', 'NN')",state,state,introduction,state,O,,
was,was,"('was', 'VBD')",wa,be,introduction,was,O,,
shaped,shaped,"('shaped', 'VBN')",shape,shape,introduction,shaped,O,,
much,much,"('much', 'JJ')",much,much,introduction,much,O,,
history,history,"('history', 'NN')",histori,history,introduction,history,O,,
borderland,borderland,"('borderland', 'NN')",borderland,borderland,introduction,borderland,O,,
Germany,germany,"('germany', 'JJ')",germani,germany,introduction,Germany,B,GPE,"Countries, cities, states"
France,france,"('france', 'NN')",franc,france,introduction,France,B,GPE,"Countries, cities, states"
Switzerland,switzerland,"('switzerland', 'NN')",switzerland,switzerland,introduction,Switzerland,B,GPE,"Countries, cities, states"
something,something,"('something', 'NN')",someth,something,introduction,something,O,,
evidence,evidence,"('evidence', 'NN')",evid,evidence,introduction,evidence,O,,
Since,since,"('since', 'IN')",sinc,since,description,Since,O,,
Roman,roman,"('roman', 'NN')",roman,roman,description,Roman,B,NORP,Nationalities or religious or political groups
times,times,"('times', 'NNS')",time,time,description,times,O,,
this,this,"('this', 'DT')",thi,this,description,this,O,,
series,series,"('series', 'NN')",seri,series,description,series,O,,
rounded,rounded,"('rounded', 'JJ')",round,rounded,description,rounded,O,,
granite,granite,"('granite', 'NN')",granit,granite,description,granite,O,,
summits,summits,"('summits', 'NNS')",summit,summit,description,summits,O,,
topographically,topographically,"('topographically', 'RB')",topograph,topographically,description,topographically,O,,
forms,forms,"('forms', 'VBZ')",form,form,description,forms,O,,
counterpart,counterpart,"('counterpart', 'NN')",counterpart,counterpart,description,counterpart,O,,
France,france,"('france', 'VB')",franc,france,description,France,B,GPE,"Countries, cities, states"
Vosges,vosges,"('vosges', 'NNS')",vosg,vosges,description,Vosges,O,,
western,western,"('western', 'JJ')",western,western,description,western,O,,
side,side,"('side', 'NN')",side,side,description,side,O,,
Rhine,rhine,"('rhine', 'NN')",rhine,rhine,description,Rhine,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Valley,valley,"('valley', 'NN')",valley,valley,description,Valley,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
has,has,"('has', 'VBZ')",ha,have,description,has,O,,
border,border,"('border', 'NN')",border,border,description,border,O,,
region,region,"('region', 'NN')",region,region,description,region,O,,
Romans,romans,"('romans', 'NNS')",roman,roman,description,Romans,O,,
found,found,"('found', 'VBD')",found,find,description,found,O,,
harsh,harsh,"('harsh', 'JJ')",harsh,harsh,description,harsh,O,,
rather,rather,"('rather', 'RB')",rather,rather,description,rather,O,,
impenetrable,impenetrable,"('impenetrable', 'JJ')",impenetr,impenetrable,description,impenetrable,O,,
region,region,"('region', 'NN')",region,region,description,region,O,,
took,took,"('took', 'VBD')",took,take,description,took,O,,
centuries,centuries,"('centuries', 'NNS')",centuri,century,description,centuries,O,,
populate,populate,"('populate', 'VB')",popul,populate,description,populate,O,,
even,even,"('even', 'RB')",even,even,description,even,O,,
was,was,"('was', 'VBD')",wa,be,description,was,O,,
considered,considered,"('considered', 'VBN')",consid,consider,description,considered,O,,
oddly,oddly,"('oddly', 'RB')",oddli,oddly,description,oddly,O,,
backward,backward,"('backward', 'JJ')",backward,backward,description,backward,O,,
part,part,"('part', 'NN')",part,part,description,part,O,,
Germany,germany,"('germany', 'NN')",germani,germany,description,Germany,B,GPE,"Countries, cities, states"
Inevitably,inevitably,"('inevitably', 'RB')",inevit,inevitably,description,Inevitably,O,,
Black,black,"('black', 'JJ')",black,black,description,Black,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Forest,forest,"('forest', 'NN')",forest,forest,description,Forest,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
first,first,"('first', 'RB')",first,first,description,first,O,,
