token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Situated,situated,"('situated', 'VBN')",situat,situate,introduction,Situated,O,,
west,west,"('west', 'JJS')",west,west,introduction,west,O,,
bank,bank,"('bank', 'NN')",bank,bank,introduction,bank,O,,
Tiber,tiber,"('tiber', 'NN')",tiber,tiber,introduction,Tiber,O,,
across,across,"('across', 'IN')",across,across,introduction,across,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
centre,centre,"('centre', 'VBP')",centr,centre,introduction,centre,O,,
Vatican,vatican,"('vatican', 'JJ')",vatican,vatican,introduction,Vatican,O,,
City,city,"('city', 'NN')",citi,city,introduction,City,O,,
was,was,"('was', 'VBD')",wa,be,introduction,was,O,,
established,established,"('established', 'VBN')",establish,establish,introduction,established,O,,
sovereign,sovereign,"('sovereign', 'JJ')",sovereign,sovereign,introduction,sovereign,O,,
state,state,"('state', 'NN')",state,state,introduction,state,O,,
tiny,tiny,"('tiny', 'JJ')",tini,tiny,introduction,tiny,O,,
territory,territory,"('territory', 'NN')",territori,territory,introduction,territory,O,,
surrounded,surrounded,"('surrounded', 'VBN')",surround,surround,introduction,surrounded,O,,
high,high,"('high', 'JJ')",high,high,introduction,high,O,,
walls,walls,"('walls', 'NNS')",wall,wall,introduction,walls,O,,
far,far,"('far', 'RB')",far,far,introduction,far,O,,
western,western,"('western', 'JJ')",western,western,introduction,western,O,,
side,side,"('side', 'NN')",side,side,introduction,side,O,,
near,near,"('near', 'JJ')",near,near,introduction,near,O,,
side,side,"('side', 'NN')",side,side,introduction,side,O,,
opening,opening,"('opening', 'VBG')",open,open,introduction,opening,O,,
doors,doors,"('doors', 'NNS')",door,door,introduction,doors,O,,
rest,rest,"('rest', 'NN')",rest,rest,introduction,rest,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
pilgrims,pilgrims,"('pilgrims', 'NNS')",pilgrim,pilgrim,introduction,pilgrims,O,,
form,form,"('form', 'NN')",form,form,introduction,form,O,,
St,st,"('st', 'JJ')",st,st,introduction,St,O,,
