token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Sheering,sheering,"('sheering', 'VBG')",sheer,sheer,introduction,Sheering,O,,
sea,sea,"('sea', 'NN')",sea,sea,introduction,sea,O,,
far,far,"('far', 'RB')",far,far,introduction,far,O,,
end,end,"('end', 'NN')",end,end,introduction,end,O,,
Sorrentine,sorrentine,"('sorrentine', 'NN')",sorrentin,sorrentine,introduction,Sorrentine,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
peninsula,peninsula,"('peninsula', 'VBZ')",peninsula,peninsula,introduction,peninsula,O,,
island,island,"('island', 'NN')",island,island,introduction,island,O,,
Capri,capri,"('capri', 'NN')",capri,capri,introduction,Capri,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
has,has,"('has', 'VBZ')",ha,have,introduction,has,O,,
long,long,"('long', 'RB')",long,long,introduction,long,O,,
part,part,"('part', 'NN')",part,part,introduction,part,O,,
Bay,bay,"('bay', 'NN')",bay,bay,introduction,Bay,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Naples,naples,"('naples', 'NNS')",napl,naples,introduction,Naples,B,GPE,"Countries, cities, states"
During,during,"('during', 'IN')",dure,during,introduction,During,O,,
Roman,roman,"('roman', 'JJ')",roman,roman,introduction,Roman,O,,
times,times,"('times', 'NNS')",time,time,introduction,times,O,,
Augustus,augustus,"('augustus', 'RB')",augustu,augustus,introduction,Augustus,O,,
retreated,retreated,"('retreated', 'VBD')",retreat,retreat,introduction,retreated,O,,
island,island,"('island', 'NN')",island,island,introduction,island,O,,
gorgeous,gorgeous,"('gorgeous', 'JJ')",gorgeou,gorgeous,introduction,gorgeous,O,,
cliff,cliff,"('cliff', 'NN')",cliff,cliff,introduction,cliff,O,,
bound,bound,"('bound', 'NN')",bound,bound,introduction,bound,O,,
scenery,scenery,"('scenery', 'NN')",sceneri,scenery,introduction,scenery,O,,
escape,escape,"('escape', 'VB')",escap,escape,introduction,escape,O,,
cares,cares,"('cares', 'NNS')",care,care,introduction,cares,O,,
office,office,"('office', 'NN')",offic,office,introduction,office,O,,
later,later,"('later', 'RB')",later,later,introduction,later,O,,
Tiberius,tiberius,"('tiberius', 'VBZ')",tiberiu,tiberius,introduction,Tiberius,O,,
moved,moved,"('moved', 'VBD')",move,move,introduction,moved,O,,
imperial,imperial,"('imperial', 'JJ')",imperi,imperial,introduction,imperial,O,,
capital,capital,"('capital', 'NN')",capit,capital,introduction,capital,O,,
indulging,indulging,"('indulging', 'VBG')",indulg,indulge,introduction,indulging,O,,
legendarily,legendarily,"('legendarily', 'RB')",legendarili,legendarily,introduction,legendarily,O,,
debauched,debauched,"('debauched', 'VBN')",debauch,debauch,introduction,debauched,O,,
antics,antics,"('antics', 'NNS')",antic,antic,introduction,antics,O,,
his,his,"('his', 'PRP$')",hi,his,introduction,his,O,,
death,death,"('death', 'NN')",death,death,introduction,death,O,,
AD,ad,"('ad', 'NN')",ad,ad,introduction,AD,O,,
Romans,romans,"('romans', 'NNS')",roman,roman,introduction,Romans,B,NORP,Nationalities or religious or political groups
left,left,"('left', 'VBD')",left,leave,introduction,left,O,,
Capri,capri,"('capri', 'NN')",capri,capri,introduction,Capri,O,,
was,was,"('was', 'VBD')",wa,be,introduction,was,O,,
rather,rather,"('rather', 'RB')",rather,rather,introduction,rather,O,,
neglected,neglected,"('neglected', 'VBN')",neglect,neglect,introduction,neglected,O,,
early,early,"('early', 'JJ')",earli,early,introduction,early,O,,
nineteenth,nineteenth,"('nineteenth', 'JJ')",nineteenth,nineteenth,introduction,nineteenth,O,,
century,century,"('century', 'NN')",centuri,century,introduction,century,O,,
discovery,discovery,"('discovery', 'NN')",discoveri,discovery,introduction,discovery,O,,
Blue,blue,"('blue', 'JJ')",blue,blue,introduction,Blue,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Grotto,grotto,"('grotto', 'NN')",grotto,grotto,introduction,Grotto,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
island,island,"('island', 'NN')",island,island,introduction,island,O,,
remarkable,remarkable,"('remarkable', 'JJ')",remark,remarkable,introduction,remarkable,O,,
natural,natural,"('natural', 'JJ')",natur,natural,introduction,natural,O,,
landscape,landscape,"('landscape', 'NN')",landscap,landscape,introduction,landscape,O,,
coincided,coincided,"('coincided', 'VBD')",coincid,coincide,introduction,coincided,O,,
nicely,nicely,"('nicely', 'RB')",nice,nicely,introduction,nicely,O,,
rise,rise,"('rise', 'NN')",rise,rise,introduction,rise,O,,
tourism,tourism,"('tourism', 'NN')",tourism,tourism,introduction,tourism,O,,
English,english,"('english', 'JJ')",english,english,introduction,English,B,NORP,Nationalities or religious or political groups
