token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
dynamo,dynamo,"('dynamo', 'NN')",dynamo,dynamo,introduction,dynamo,O,,
behind,behind,"('behind', 'IN')",behind,behind,introduction,behind,O,,
country,country,"('country', 'NN')",countri,country,introduction,country,O,,
economic,economic,"('economic', 'JJ')",econom,economic,introduction,economic,O,,
miracle,miracle,"('miracle', 'NN')",miracl,miracle,introduction,miracle,O,,
Milan,milan,"('milan', 'NN')",milan,milan,introduction,Milan,O,,
Italian,italian,"('italian', 'JJ')",italian,italian,introduction,Italian,B,NORP,Nationalities or religious or political groups
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
like,like,"('like', 'IN')",like,like,introduction,like,O,,
foggy,foggy,"('foggy', 'NN')",foggi,foggy,introduction,foggy,O,,
winter,winter,"('winter', 'NN')",winter,winter,introduction,winter,O,,
muggy,muggy,"('muggy', 'NN')",muggi,muggy,introduction,muggy,O,,
summer,summer,"('summer', 'NN')",summer,summer,introduction,summer,O,,
closer,closer,"('closer', 'RBR')",closer,closer,introduction,closer,O,,
outlook,outlook,"('outlook', 'NN')",outlook,outlook,introduction,outlook,O,,
well,well,"('well', 'RB')",well,well,introduction,well,O,,
distance,distance,"('distance', 'NN')",distanc,distance,introduction,distance,O,,
London,london,"('london', 'VB')",london,london,introduction,London,B,GPE,"Countries, cities, states"
Palermo,palermo,"('palermo', 'VB')",palermo,palermo,introduction,Palermo,O,,
historic,historic,"('historic', 'JJ')",histor,historic,introduction,historic,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
spectacular,spectacular,"('spectacular', 'JJ')",spectacular,spectacular,introduction,spectacular,O,,
cathedral,cathedral,"('cathedral', 'NN')",cathedr,cathedral,introduction,cathedral,O,,
enough,enough,"('enough', 'JJ')",enough,enough,introduction,enough,O,,
ancient,ancient,"('ancient', 'NN')",ancient,ancient,introduction,ancient,O,,
churches,churches,"('churches', 'NNS')",church,church,introduction,churches,O,,
galleries,galleries,"('galleries', 'NNS')",galleri,gallery,introduction,galleries,O,,
keep,keep,"('keep', 'VB')",keep,keep,introduction,keep,O,,
busy,busy,"('busy', 'JJ')",busi,busy,introduction,busy,O,,
week,week,"('week', 'NN')",week,week,introduction,week,O,,
also,also,"('also', 'RB')",also,also,introduction,also,O,,
bars,bars,"('bars', 'NNS')",bar,bar,introduction,bars,O,,
cafés,cafés,"('cafés', 'NN')",café,cafés,introduction,cafés,O,,
relax,relax,"('relax', 'VB')",relax,relax,introduction,relax,O,,
contemporary,contemporary,"('contemporary', 'JJ')",contemporari,contemporary,introduction,contemporary,O,,
aspects,aspects,"('aspects', 'NNS')",aspect,aspect,introduction,aspects,O,,
place,place,"('place', 'NN')",place,place,introduction,place,O,,
represent,represent,"('represent', 'VBP')",repres,represent,introduction,represent,O,,
cutting,cutting,"('cutting', 'VBG')",cut,cut,introduction,cutting,O,,
edge,edge,"('edge', 'NN')",edg,edge,introduction,edge,O,,
Italy,italy,"('italy', 'JJ')",itali,italy,introduction,Italy,B,GPE,"Countries, cities, states"
fashion,fashion,"('fashion', 'NN')",fashion,fashion,introduction,fashion,O,,
design,design,"('design', 'NN')",design,design,introduction,design,O,,
industry,industry,"('industry', 'NN')",industri,industry,introduction,industry,O,,
Milan,milan,"('milan', 'NN')",milan,milan,introduction,Milan,B,GPE,"Countries, cities, states"
wears,wears,"('wears', 'VBZ')",wear,wear,introduction,wears,O,,
history,history,"('history', 'NN')",histori,history,introduction,history,O,,
sleeve,sleeve,"('sleeve', 'NN')",sleev,sleeve,introduction,sleeve,O,,
medieval,medieval,"('medieval', 'NN')",mediev,medieval,introduction,medieval,O,,
buildings,buildings,"('buildings', 'NNS')",build,building,introduction,buildings,O,,
nestle,nestle,"('nestle', 'RB')",nestl,nestle,introduction,nestle,O,,
next,next,"('next', 'JJ')",next,next,introduction,next,O,,
splendour,splendour,"('splendour', 'VB')",splendour,splendour,introduction,splendour,O,,
rickety,rickety,"('rickety', 'NN')",ricketi,rickety,introduction,rickety,O,,
trams,trams,"('trams', 'NNS')",tram,tram,introduction,trams,O,,
trundle,trundle,"('trundle', 'VBP')",trundl,trundle,introduction,trundle,O,,
past,past,"('past', 'JJ')",past,past,introduction,past,O,,
overgrown,overgrown,"('overgrown', 'NN')",overgrown,overgrown,introduction,overgrown,O,,
bombsites,bombsites,"('bombsites', 'NNS')",bombsit,bombsites,introduction,bombsites,O,,
left,left,"('left', 'VBD')",left,leave,introduction,left,O,,
World,world,"('world', 'NN')",world,world,introduction,World,B,EVENT,"Named hurricanes, battles, wars, sports events, etc."
War,war,"('war', 'NN')",war,war,introduction,War,I,EVENT,"Named hurricanes, battles, wars, sports events, etc."
II,ii,"('ii', 'NN')",ii,ii,introduction,II,I,EVENT,"Named hurricanes, battles, wars, sports events, etc."
bombastic,bombastic,"('bombastic', 'JJ')",bombast,bombastic,introduction,bombastic,O,,
facades,facades,"('facades', 'NNS')",facad,facade,introduction,facades,O,,
Milanese,milanese,"('milanese', 'JJ')",milanes,milanese,introduction,Milanese,B,NORP,Nationalities or religious or political groups
keep,keep,"('keep', 'VB')",keep,keep,introduction,keep,O,,
best,best,"('best', 'JJS')",best,best,introduction,best,O,,
themselves,themselves,"('themselves', 'PRP')",themselv,themselves,introduction,themselves,O,,
peep,peep,"('peep', 'VBP')",peep,peep,introduction,peep,O,,
doorway,doorway,"('doorway', 'NN')",doorway,doorway,introduction,doorway,O,,
one,one,"('one', 'CD')",one,one,introduction,one,O,,
Milan,milan,"('milan', 'NN')",milan,milan,introduction,Milan,O,,
fabulous,fabulous,"('fabulous', 'JJ')",fabul,fabulous,introduction,fabulous,O,,
courtyards,courtyards,"('courtyards', 'NNS')",courtyard,courtyard,introduction,courtyards,O,,
smitten,smitten,"('smitten', 'VBN')",smitten,smite,introduction,smitten,O,,
obvious,obvious,"('obvious', 'JJ')",obviou,obvious,description,obvious,O,,
focal,focal,"('focal', 'JJ')",focal,focal,description,focal,O,,
point,point,"('point', 'NN')",point,point,description,point,O,,
central,central,"('central', 'JJ')",central,central,description,central,O,,
Milan,milan,"('milan', 'NN')",milan,milan,description,Milan,B,GPE,"Countries, cities, states"
Piazza,piazza,"('piazza', 'JJ')",piazza,piazza,description,Piazza,O,,
del,del,"('del', 'NN')",del,del,description,del,O,,
Duomo,duomo,"('duomo', 'NN')",duomo,duomo,description,Duomo,O,,
well,well,"('well', 'RB')",well,well,description,well,O,,
home,home,"('home', 'NN')",home,home,description,home,O,,
city,city,"('city', 'NN')",citi,city,description,city,O,,
iconic,iconic,"('iconic', 'JJ')",icon,iconic,description,iconic,O,,
Duomo,duomo,"('duomo', 'NN')",duomo,duomo,description,Duomo,O,,
leads,leads,"('leads', 'VBZ')",lead,lead,description,leads,O,,
elegant,elegant,"('elegant', 'JJ')",eleg,elegant,description,elegant,O,,
Galleria,galleria,"('galleria', 'NN')",galleria,galleria,description,Galleria,O,,
Vittorio,vittorio,"('vittorio', 'NN')",vittorio,vittorio,description,Vittorio,O,,
Emanuele,emanuele,"('emanuele', 'NN')",emanuel,emanuele,description,Emanuele,O,,
Piazza,piazza,"('piazza', 'NN')",piazza,piazza,description,Piazza,O,,
della,della,"('della', 'NN')",della,della,description,della,O,,
Scala,scala,"('scala', 'VBD')",scala,scala,description,Scala,O,,
home,home,"('home', 'NN')",home,home,description,home,O,,
opera,opera,"('opera', 'NN')",opera,opera,description,opera,O,,
house,house,"('house', 'NN')",hous,house,description,house,O,,
Heading,heading,"('heading', 'VBG')",head,head,description,Heading,O,,
northwest,northwest,"('northwest', 'JJS')",northwest,northwest,description,northwest,O,,
Piazza,piazza,"('piazza', 'NN')",piazza,piazza,description,Piazza,B,FAC,"Buildings, airports, highways, bridges, etc."
del,del,"('del', 'NN')",del,del,description,del,I,FAC,"Buildings, airports, highways, bridges, etc."
Duomo,duomo,"('duomo', 'NN')",duomo,duomo,description,Duomo,I,FAC,"Buildings, airports, highways, bridges, etc."
along,along,"('along', 'IN')",along,along,description,along,O,,
shopping,shopping,"('shopping', 'VBG')",shop,shop,description,shopping,O,,
street,street,"('street', 'NN')",street,street,description,street,O,,
Via,via,"('via', 'IN')",via,via,description,Via,O,,
Dante,dante,"('dante', 'NN')",dant,dante,description,Dante,O,,
takes,takes,"('takes', 'VBZ')",take,take,description,takes,O,,
imperious,imperious,"('imperious', 'JJ')",imperi,imperious,description,imperious,O,,
Castello,castello,"('castello', 'NN')",castello,castello,description,Castello,O,,
Sforzesco,sforzesco,"('sforzesco', 'NN')",sforzesco,sforzesco,description,Sforzesco,O,,
extensive,extensive,"('extensive', 'JJ')",extens,extensive,description,extensive,O,,
Parco,parco,"('parco', 'NN')",parco,parco,description,Parco,O,,
Sempione,sempione,"('sempione', 'NN')",sempion,sempione,description,Sempione,O,,
beyond,beyond,"('beyond', 'IN')",beyond,beyond,description,beyond,O,,
North,north,"('north', 'JJ')",north,north,description,North,O,,
neighbourhoods,neighbourhoods,"('neighbourhoods', 'NNS')",neighbourhood,neighbourhood,description,neighbourhoods,O,,
Brera,brera,"('brera', 'NN')",brera,brera,description,Brera,O,,
Moscova,moscova,"('moscova', 'NN')",moscova,moscova,description,Moscova,O,,
haunt,haunt,"('haunt', 'NN')",haunt,haunt,description,haunt,O,,
Milan,milan,"('milan', 'NN')",milan,milan,description,Milan,B,GPE,"Countries, cities, states"
citizens,citizens,"('citizens', 'NNS')",citizen,citizen,description,citizens,O,,
find,find,"('find', 'VB')",find,find,description,find,O,,
collection,collection,"('collection', 'NN')",collect,collection,description,collection,O,,
Pinacoteca,pinacoteca,"('pinacoteca', 'NN')",pinacoteca,pinacoteca,description,Pinacoteca,O,,
di,di,"('di', 'NN')",di,di,description,di,O,,
Brera,brera,"('brera', 'NN')",brera,brera,description,Brera,O,,
nearby,nearby,"('nearby', 'RB')",nearbi,nearby,description,nearby,O,,
Quadrilatero,quadrilatero,"('quadrilatero', 'NN')",quadrilatero,quadrilatero,description,Quadrilatero,O,,
Oro,oro,"('oro', 'MD')",oro,oro,description,Oro,O,,
Golden,golden,"('golden', 'JJ')",golden,golden,description,Golden,O,,
Quadrangle,quadrangle,"('quadrangle', 'VB')",quadrangl,quadrangle,description,Quadrangle,O,,
concentration,concentration,"('concentration', 'NN')",concentr,concentration,description,concentration,O,,
top,top,"('top', 'JJ')",top,top,description,top,O,,
designer,designer,"('designer', 'NN')",design,designer,description,designer,O,,
fashion,fashion,"('fashion', 'NN')",fashion,fashion,description,fashion,O,,
boutiques,boutiques,"('boutiques', 'NNS')",boutiqu,boutique,description,boutiques,O,,
Slightly,slightly,"('slightly', 'RB')",slightli,slightly,description,Slightly,O,,
north,north,"('north', 'NN')",north,north,description,north,O,,
Milan,milan,"('milan', 'VBN')",milan,milan,description,Milan,B,GPE,"Countries, cities, states"
pleasant,pleasant,"('pleasant', 'JJ')",pleasant,pleasant,description,pleasant,O,,
park,park,"('park', 'NN')",park,park,description,park,O,,
Giardini,giardini,"('giardini', 'NN')",giardini,giardini,description,Giardini,O,,
Pubblici,pubblici,"('pubblici', 'NN')",pubblici,pubblici,description,Pubblici,O,,
Southwest,southwest,"('southwest', 'NN')",southwest,southwest,description,Southwest,O,,
Duomo,duomo,"('duomo', 'NN')",duomo,duomo,description,Duomo,O,,
shopping,shopping,"('shopping', 'NN')",shop,shopping,description,shopping,O,,
streets,streets,"('streets', 'NNS')",street,street,description,streets,O,,
Via,via,"('via', 'IN')",via,via,description,Via,O,,
Torino,torino,"('torino', 'NN')",torino,torino,description,Torino,O,,
take,take,"('take', 'VBP')",take,take,description,take,O,,
Ticinese,ticinese,"('ticinese', 'JJ')",ticines,ticinese,description,Ticinese,B,NORP,Nationalities or religious or political groups
district,district,"('district', 'NN')",district,district,description,district,O,,
focal,focal,"('focal', 'JJ')",focal,focal,description,focal,O,,
point,point,"('point', 'NN')",point,point,description,point,O,,
aperitivo,aperitivo,"('aperitivo', 'JJ')",aperitivo,aperitivo,description,aperitivo,O,,
time,time,"('time', 'NN')",time,time,description,time,O,,
home,home,"('home', 'NN')",home,home,description,home,O,,
couple,couple,"('couple', 'NN')",coupl,couple,description,couple,O,,
city,city,"('city', 'NN')",citi,city,description,city,O,,
beautiful,beautiful,"('beautiful', 'JJ')",beauti,beautiful,description,beautiful,O,,
ancient,ancient,"('ancient', 'NN')",ancient,ancient,description,ancient,O,,
churches,churches,"('churches', 'NNS')",church,church,description,churches,O,,
Continuing,continuing,"('continuing', 'VBG')",continu,continue,description,Continuing,O,,
south,south,"('south', 'NN')",south,south,description,south,O,,
Navigli,navigli,"('navigli', 'JJ')",navigli,navigli,description,Navigli,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
leads,leads,"('leads', 'VBZ')",lead,lead,description,leads,O,,
bar,bar,"('bar', 'NN')",bar,bar,description,bar,O,,
restaurant,restaurant,"('restaurant', 'JJ')",restaur,restaurant,description,restaurant,O,,
area,area,"('area', 'NN')",area,area,description,area,O,,
around,around,"('around', 'IN')",around,around,description,around,O,,
city,city,"('city', 'NN')",citi,city,description,city,O,,
remaining,remaining,"('remaining', 'VBG')",remain,remain,description,remaining,O,,
canals,canals,"('canals', 'NNS')",canal,canal,description,canals,O,,
West,west,"('west', 'JJS')",west,west,description,West,O,,
cathedral,cathedral,"('cathedral', 'JJ')",cathedr,cathedral,description,cathedral,O,,
Museo,museo,"('museo', 'NN')",museo,museo,description,Museo,O,,
Archeologico,archeologico,"('archeologico', 'NN')",archeologico,archeologico,description,Archeologico,O,,
gives,gives,"('gives', 'VBZ')",give,give,description,gives,O,,
taste,taste,"('taste', 'NN')",tast,taste,description,taste,O,,
Roman,roman,"('roman', 'NN')",roman,roman,description,Roman,B,NORP,Nationalities or religious or political groups
Milan,milan,"('milan', 'NN')",milan,milan,description,Milan,B,GPE,"Countries, cities, states"
basilica,basilica,"('basilica', 'NN')",basilica,basilica,description,basilica,O,,
Milan,milan,"('milan', 'NN')",milan,milan,description,Milan,B,GPE,"Countries, cities, states"
Christian,christian,"('christian', 'JJ')",christian,christian,description,Christian,B,NORP,Nationalities or religious or political groups
father,father,"('father', 'NN')",father,father,description,father,O,,
Sant,sant,"('sant', 'NN')",sant,sant,description,Sant,O,,
Ambrogio,ambrogio,"('ambrogio', 'NN')",ambrogio,ambrogio,description,Ambrogio,O,,
couple,couple,"('couple', 'NN')",coupl,couple,description,couple,O,,
blocks,blocks,"('blocks', 'NNS')",block,block,description,blocks,O,,
away,away,"('away', 'RP')",away,away,description,away,O,,
little,little,"('little', 'JJ')",littl,little,description,little,O,,
west,west,"('west', 'JJS')",west,west,description,west,O,,
stands,stands,"('stands', 'VBZ')",stand,stand,description,stands,O,,
church,church,"('church', 'NN')",church,church,description,church,O,,
Santa,santa,"('santa', 'NN')",santa,santa,description,Santa,O,,
Maria,maria,"('maria', 'NNS')",maria,maria,description,Maria,O,,
delle,delle,"('delle', 'VBP')",dell,delle,description,delle,O,,
Grazie,grazie,"('grazie', 'NN')",grazi,grazie,description,Grazie,O,,
adjacent,adjacent,"('adjacent', 'JJ')",adjac,adjacent,description,adjacent,O,,
refectory,refectory,"('refectory', 'NN')",refectori,refectory,description,refectory,O,,
building,building,"('building', 'VBG')",build,build,description,building,O,,
holding,holding,"('holding', 'VBG')",hold,hold,description,holding,O,,
Leonardo,leonardo,"('leonardo', 'JJ')",leonardo,leonardo,description,Leonardo,B,PERSON,"People, including fictional"
da,da,"('da', 'NN')",da,da,description,da,I,PERSON,"People, including fictional"
Vinci,vinci,"('vinci', 'NN')",vinci,vinci,description,Vinci,I,PERSON,"People, including fictional"
Last,last,"('last', 'JJ')",last,last,description,Last,O,,
first,first,"('first', 'JJ')",first,first,description,first,B,ORDINAL,"""first"", ""second"", etc."
stepped,stepped,"('stepped', 'VBD')",step,step,description,stepped,O,,
historical,historical,"('historical', 'JJ')",histor,historical,description,historical,O,,
limelight,limelight,"('limelight', 'NN')",limelight,limelight,description,limelight,O,,
AD,ad,"('ad', 'NN')",ad,ad,description,AD,O,,
Emperor,emperor,"('emperor', 'NN')",emperor,emperor,description,Emperor,O,,
Constantine,constantine,"('constantine', 'NN')",constantin,constantine,description,Constantine,O,,
issued,issued,"('issued', 'VBD')",issu,issue,description,issued,O,,
Edict,edict,"('edict', 'NN')",edict,edict,description,Edict,O,,
Milan,milan,"('milan', 'NN')",milan,milan,description,Milan,O,,
granting,granting,"('granting', 'VBG')",grant,grant,description,granting,O,,
Christians,christians,"('christians', 'NNS')",christian,christian,description,Christians,O,,
throughout,throughout,"('throughout', 'IN')",throughout,throughout,description,throughout,O,,
Roman,roman,"('roman', 'NN')",roman,roman,description,Roman,O,,
Empire,empire,"('empire', 'VBZ')",empir,empire,description,Empire,O,,
freedom,freedom,"('freedom', 'NN')",freedom,freedom,description,freedom,O,,
worship,worship,"('worship', 'VB')",worship,worship,description,worship,O,,
first,first,"('first', 'JJ')",first,first,description,first,B,ORDINAL,"""first"", ""second"", etc."
time,time,"('time', 'NN')",time,time,description,time,O,,
city,city,"('city', 'NN')",citi,city,description,city,O,,
charismatic,charismatic,"('charismatic', 'JJ')",charismat,charismatic,description,charismatic,O,,
bishop,bishop,"('bishop', 'NN')",bishop,bishop,description,bishop,O,,
Ambrogio,ambrogio,"('ambrogio', 'NN')",ambrogio,ambrogio,description,Ambrogio,B,PERSON,"People, including fictional"
Ambrose,ambrose,"('ambrose', 'RB')",ambros,ambrose,description,Ambrose,I,PERSON,"People, including fictional"
swiftly,swiftly,"('swiftly', 'RB')",swiftli,swiftly,description,swiftly,O,,
became,became,"('became', 'VBD')",becam,become,description,became,O,,
major,major,"('major', 'JJ')",major,major,description,major,O,,
centre,centre,"('centre', 'NN')",centr,centre,description,centre,O,,
Christianity,christianity,"('christianity', 'NN')",christian,christianity,description,Christianity,O,,
many,many,"('many', 'JJ')",mani,many,description,many,O,,
today,today,"('today', 'NN')",today,today,description,today,O,,
churches,churches,"('churches', 'NNS')",church,church,description,churches,O,,
stand,stand,"('stand', 'VBP')",stand,stand,description,stand,O,,
sites,sites,"('sites', 'NNS')",site,site,description,sites,O,,
even,even,"('even', 'RB')",even,even,description,even,O,,
retain,retain,"('retain', 'VB')",retain,retain,description,retain,O,,
parts,parts,"('parts', 'NNS')",part,part,description,parts,O,,
Milan,milan,"('milan', 'NN')",milan,milan,description,Milan,O,,
rose,rose,"('rose', 'VBD')",rose,rise,description,rose,O,,
prominence,prominence,"('prominence', 'VB')",promin,prominence,description,prominence,O,,
Visconti,visconti,"('visconti', 'NN')",visconti,visconti,description,Visconti,B,PERSON,"People, including fictional"
dynasty,dynasty,"('dynasty', 'NN')",dynasti,dynasty,description,dynasty,O,,
founded,founded,"('founded', 'VBD')",found,found,description,founded,O,,
florid,florid,"('florid', 'JJ')",florid,florid,description,florid,O,,
Duomo,duomo,"('duomo', 'NN')",duomo,duomo,description,Duomo,O,,
built,built,"('built', 'VBD')",built,build,description,built,O,,
nucleus,nucleus,"('nucleus', 'NN')",nucleu,nucleus,description,nucleus,O,,
Castello,castello,"('castello', 'NN')",castello,castello,description,Castello,B,PERSON,"People, including fictional"
successors,successors,"('successors', 'NNS')",successor,successor,description,successors,O,,
Sforza,sforza,"('sforza', 'NN')",sforza,sforza,description,Sforza,O,,
was,was,"('was', 'VBD')",wa,be,description,was,O,,
extended,extended,"('extended', 'VBN')",extend,extend,description,extended,O,,
house,house,"('house', 'NN')",hous,house,description,house,O,,
became,became,"('became', 'VBD')",becam,become,description,became,O,,
one,one,"('one', 'CD')",one,one,description,one,O,,
luxurious,luxurious,"('luxurious', 'JJ')",luxuri,luxurious,description,luxurious,O,,
courts,courts,"('courts', 'NNS')",court,court,description,courts,O,,
Renaissance,renaissance,"('renaissance', 'NN')",renaiss,renaissance,description,Renaissance,O,,
last,last,"('last', 'JJ')",last,last,description,last,O,,
Sforza,sforza,"('sforza', 'NN')",sforza,sforza,description,Sforza,O,,
Lodovico,lodovico,"('lodovico', 'NN')",lodovico,lodovico,description,Lodovico,O,,
commissioned,commissioned,"('commissioned', 'VBD')",commiss,commission,description,commissioned,O,,
Leonardo,leonardo,"('leonardo', 'JJ')",leonardo,leonardo,description,Leonardo,B,PERSON,"People, including fictional"
da,da,"('da', 'NN')",da,da,description,da,I,PERSON,"People, including fictional"
Vinci,vinci,"('vinci', 'NN')",vinci,vinci,description,Vinci,I,PERSON,"People, including fictional"
paint,paint,"('paint', 'VB')",paint,paint,description,paint,O,,
Last,last,"('last', 'JJ')",last,last,description,Last,O,,
fell,fell,"('fell', 'VBD')",fell,fell,description,fell,O,,
