token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Lake,lake,"('lake', 'NN')",lake,lake,introduction,Lake,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Garda,garda,"('garda', 'NN')",garda,garda,introduction,Garda,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Lago,lago,"('lago', 'IN')",lago,lago,introduction,Lago,O,,
di,di,"('di', 'NN')",di,di,introduction,di,O,,
Garda,garda,"('garda', 'NN')",garda,garda,introduction,Garda,O,,
largest,largest,"('largest', 'JJS')",largest,large,introduction,largest,O,,
lake,lake,"('lake', 'NN')",lake,lake,introduction,lake,O,,
Italy,italy,"('italy', 'NN')",itali,italy,introduction,Italy,O,,
long,long,"('long', 'RB')",long,long,introduction,long,O,,
wide,wide,"('wide', 'JJ')",wide,wide,introduction,wide,O,,
big,big,"('big', 'JJ')",big,big,introduction,big,O,,
alters,alters,"('alters', 'VBZ')",alter,alter,introduction,alters,O,,
local,local,"('local', 'JJ')",local,local,introduction,local,O,,
climate,climate,"('climate', 'NN')",climat,climate,introduction,climate,O,,
milder,milder,"('milder', 'JJR')",milder,mild,introduction,milder,O,,
thanks,thanks,"('thanks', 'NNS')",thank,thanks,introduction,thanks,O,,
complex,complex,"('complex', 'JJ')",complex,complex,introduction,complex,O,,
pattern,pattern,"('pattern', 'NN')",pattern,pattern,introduction,pattern,O,,
lake,lake,"('lake', 'NN')",lake,lake,introduction,lake,O,,
breezes,breezes,"('breezes', 'NNS')",breez,breeze,introduction,breezes,O,,
sunnier,sunnier,"('sunnier', 'JJR')",sunnier,sunny,introduction,sunnier,O,,
might,might,"('might', 'MD')",might,might,introduction,might,O,,
expected,expected,"('expected', 'VBN')",expect,expect,introduction,expected,O,,
also,also,"('also', 'RB')",also,also,introduction,also,O,,
popular,popular,"('popular', 'JJ')",popular,popular,introduction,popular,O,,
lakes,lakes,"('lakes', 'NNS')",lake,lake,introduction,lakes,O,,
attracting,attracting,"('attracting', 'VBG')",attract,attract,introduction,attracting,O,,
around,around,"('around', 'RB')",around,around,introduction,around,O,,
seven,seven,"('seven', 'CD')",seven,seven,introduction,seven,B,PERCENT,"Percentage, including ""%"""
percent,percent,"('percent', 'NN')",percent,percent,introduction,percent,I,PERCENT,"Percentage, including ""%"""
tourists,tourists,"('tourists', 'NNS')",tourist,tourist,introduction,tourists,O,,
Italy,italy,"('italy', 'VB')",itali,italy,introduction,Italy,B,GPE,"Countries, cities, states"
acting,acting,"('acting', 'VBG')",act,act,introduction,acting,O,,
bridge,bridge,"('bridge', 'NN')",bridg,bridge,introduction,bridge,O,,
Alps,alps,"('alps', 'NN')",alp,alp,introduction,Alps,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
rest,rest,"('rest', 'NN')",rest,rest,introduction,rest,O,,
country,country,"('country', 'NN')",countri,country,introduction,country,O,,
narrow,narrow,"('narrow', 'JJ')",narrow,narrow,introduction,narrow,O,,
north,north,"('north', 'NN')",north,north,introduction,north,O,,
