token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Barcelona,barcelona,"('barcelona', 'NN')",barcelona,barcelona,introduction,Barcelona,O,,
Spain,spain,"('spain', 'NN')",spain,spain,introduction,Spain,O,,
second,second,"('second', 'JJ')",second,second,introduction,second,B,ORDINAL,"""first"", ""second"", etc."
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
capital,capital,"('capital', 'NN')",capit,capital,introduction,capital,O,,
Catalunya,catalunya,"('catalunya', 'NN')",catalunya,catalunya,introduction,Catalunya,O,,
vibrates,vibrates,"('vibrates', 'NNS')",vibrat,vibrates,introduction,vibrates,O,,
life,life,"('life', 'NN')",life,life,introduction,life,O,,
certainly,certainly,"('certainly', 'RB')",certainli,certainly,introduction,certainly,O,,
another,another,"('another', 'DT')",anoth,another,introduction,another,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
country,country,"('country', 'NN')",countri,country,introduction,country,O,,
touch,touch,"('touch', 'VB')",touch,touch,introduction,touch,O,,
sheer,sheer,"('sheer', 'NN')",sheer,sheer,introduction,sheer,O,,
style,style,"('style', 'NN')",style,style,introduction,style,O,,
looks,looks,"('looks', 'VBZ')",look,look,introduction,looks,O,,
energy,energy,"('energy', 'NN')",energi,energy,introduction,energy,O,,
long,long,"('long', 'RB')",long,long,introduction,long,O,,
reputation,reputation,"('reputation', 'NN')",reput,reputation,introduction,reputation,O,,
capital,capital,"('capital', 'NN')",capit,capital,introduction,capital,O,,
Spain,spain,"('spain', 'NN')",spain,spain,introduction,Spain,O,,
art,art,"('art', 'NN')",art,art,introduction,art,O,,
museums,museums,"('museums', 'NNS')",museum,museum,introduction,museums,O,,
football,football,"('football', 'NN')",footbal,football,introduction,football,O,,
team,team,"('team', 'NN')",team,team,introduction,team,O,,
sublime,sublime,"('sublime', 'RB')",sublim,sublime,introduction,sublime,O,,
designer,designer,"('designer', 'NN')",design,designer,introduction,designer,O,,
restaurants,restaurants,"('restaurants', 'NNS')",restaur,restaurant,introduction,restaurants,O,,
bars,bars,"('bars', 'VBZ')",bar,bar,introduction,bars,O,,
galleries,galleries,"('galleries', 'NNS')",galleri,gallery,introduction,galleries,O,,
shops,shops,"('shops', 'NNS')",shop,shop,introduction,shops,O,,
lead,lead,"('lead', 'VBP')",lead,lead,introduction,lead,O,,
front,front,"('front', 'NN')",front,front,introduction,front,O,,
thriving,thriving,"('thriving', 'VBG')",thrive,thrive,description,thriving,O,,
port,port,"('port', 'NN')",port,port,description,port,O,,
prosperous,prosperous,"('prosperous', 'JJ')",prosper,prosperous,description,prosperous,O,,
commercial,commercial,"('commercial', 'JJ')",commerci,commercial,description,commercial,O,,
centre,centre,"('centre', 'NN')",centr,centre,description,centre,O,,
buzzing,buzzing,"('buzzing', 'VBG')",buzz,buzz,description,buzzing,O,,
cultural,cultural,"('cultural', 'JJ')",cultur,cultural,description,cultural,O,,
capital,capital,"('capital', 'NN')",capit,capital,description,capital,O,,
three,three,"('three', 'CD')",three,three,description,three,B,CARDINAL,Numerals that do not fall under another type
million,million,"('million', 'CD')",million,million,description,million,I,CARDINAL,Numerals that do not fall under another type
people,people,"('people', 'NNS')",peopl,people,description,people,O,,
city,city,"('city', 'NN')",citi,city,description,city,O,,
almost,almost,"('almost', 'RB')",almost,almost,description,almost,O,,
impossible,impossible,"('impossible', 'JJ')",imposs,impossible,description,impossible,O,,
exhaust,exhaust,"('exhaust', 'VB')",exhaust,exhaust,description,exhaust,O,,
even,even,"('even', 'RB')",even,even,description,even,O,,
lengthy,lengthy,"('lengthy', 'JJ')",lengthi,lengthy,description,lengthy,O,,
visit,visit,"('visit', 'NN')",visit,visit,description,visit,O,,
likely,likely,"('likely', 'RB')",like,likely,description,likely,O,,
only,only,"('only', 'RB')",onli,only,description,only,O,,
scrape,scrape,"('scrape', 'VB')",scrape,scrape,description,scrape,O,,
endlessly,endlessly,"('endlessly', 'RB')",endlessli,endlessly,description,endlessly,O,,
fascinating,fascinating,"('fascinating', 'JJ')",fascin,fascinating,description,fascinating,O,,
districts,districts,"('districts', 'NNS')",district,district,description,districts,O,,
Barcelona,barcelona,"('barcelona', 'VBN')",barcelona,barcelona,description,Barcelona,O,,
much,much,"('much', 'RB')",much,much,description,much,O,,
