token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Stretching,stretching,"('stretching', 'VBG')",stretch,stretch,introduction,Stretching,O,,
south,south,"('south', 'NN')",south,south,introduction,south,O,,
Valencia,valencia,"('valencia', 'NN')",valencia,valencia,introduction,Valencia,B,GPE,"Countries, cities, states"
Costa,costa,"('costa', 'NN')",costa,costa,introduction,Costa,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Blanca,blanca,"('blanca', 'JJ')",blanca,blanca,introduction,Blanca,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
White,white,"('white', 'JJ')",white,white,introduction,White,O,,
Coast,coast,"('coast', 'NN')",coast,coast,introduction,Coast,O,,
boasts,boasts,"('boasts', 'VBZ')",boast,boast,introduction,boasts,O,,
best,best,"('best', 'JJS')",best,best,introduction,best,O,,
beaches,beaches,"('beaches', 'NNS')",beach,beach,introduction,beaches,O,,
this,this,"('this', 'DT')",thi,this,introduction,this,O,,
coast,coast,"('coast', 'NN')",coast,coast,introduction,coast,O,,
especially,especially,"('especially', 'RB')",especi,especially,introduction,especially,O,,
Gandía,gandía,"('gandía', 'NNS')",gandía,gandía,introduction,Gandía,O,,
Benidorm,benidorm,"('benidorm', 'VB')",benidorm,benidorm,introduction,Benidorm,O,,
Much,much,"('much', 'RB')",much,much,introduction,Much,O,,
though,though,"('though', 'IN')",though,though,introduction,though,O,,
suffers,suffers,"('suffers', 'NNS')",suffer,suffers,introduction,suffers,O,,
worst,worst,"('worst', 'JJS')",worst,bad,introduction,worst,O,,
excesses,excesses,"('excesses', 'NNS')",excess,excess,introduction,excesses,O,,
package,package,"('package', 'NN')",packag,package,introduction,package,O,,
tourism,tourism,"('tourism', 'NN')",tourism,tourism,introduction,tourism,O,,
concrete,concrete,"('concrete', 'JJ')",concret,concrete,introduction,concrete,O,,
building,building,"('building', 'VBG')",build,build,introduction,building,O,,
projects,projects,"('projects', 'NNS')",project,project,introduction,projects,O,,
looming,looming,"('looming', 'VBG')",loom,loom,introduction,looming,O,,
sand,sand,"('sand', 'NN')",sand,sand,introduction,sand,O,,
pays,pays,"('pays', 'VBZ')",pay,pay,introduction,pays,O,,
book,book,"('book', 'NN')",book,book,introduction,book,O,,
ahead,ahead,"('ahead', 'RB')",ahead,ahead,introduction,ahead,O,,
summer,summer,"('summer', 'NN')",summer,summer,introduction,summer,O,,
particularly,particularly,"('particularly', 'RB')",particularli,particularly,introduction,particularly,O,,
August,august,"('august', 'NN')",august,august,introduction,August,B,DATE,Absolute or relative dates or periods
Campers,campers,"('campers', 'NNS')",camper,camper,introduction,Campers,O,,
somewhat,somewhat,"('somewhat', 'RB')",somewhat,somewhat,introduction,somewhat,O,,
easier,easier,"('easier', 'JJR')",easier,easy,introduction,easier,O,,
hundreds,hundreds,"('hundreds', 'NNS')",hundr,hundred,introduction,hundreds,O,,
campsites,campsites,"('campsites', 'NNS')",campsit,campsite,introduction,campsites,O,,
driving,driving,"('driving', 'VBG')",drive,drive,introduction,driving,O,,
nightmare,nightmare,"('nightmare', 'JJ')",nightmar,nightmare,introduction,nightmare,O,,
unless,unless,"('unless', 'IN')",unless,unless,introduction,unless,O,,
stick,stick,"('stick', 'VBP')",stick,stick,introduction,stick,O,,
toll,toll,"('toll', 'NN')",toll,toll,introduction,toll,O,,
roads,roads,"('roads', 'VBZ')",road,roads,introduction,roads,O,,
taking,taking,"('taking', 'VBG')",take,take,introduction,taking,O,,
inland,inland,"('inland', 'NN')",inland,inland,introduction,inland,O,,
route,route,"('route', 'NN')",rout,route,introduction,route,O,,
far,far,"('far', 'RB')",far,far,introduction,far,O,,
Gandía,gandía,"('gandía', 'NN')",gandía,gandía,introduction,Gandía,O,,
get,get,"('get', 'VB')",get,get,introduction,get,O,,
opportunity,opportunity,"('opportunity', 'NN')",opportun,opportunity,introduction,opportunity,O,,
see,see,"('see', 'VB')",see,see,introduction,see,O,,
historic,historic,"('historic', 'JJ')",histor,historic,introduction,historic,O,,
town,town,"('town', 'NN')",town,town,introduction,town,O,,
Xátiva,xátiva,"('xátiva', 'NN')",xátiva,xátiva,introduction,Xátiva,O,,
string,string,"('string', 'NN')",string,string,description,string,O,,
attractive,attractive,"('attractive', 'JJ')",attract,attractive,description,attractive,O,,
little,little,"('little', 'JJ')",littl,little,description,little,O,,
towns,towns,"('towns', 'NNS')",town,town,description,towns,O,,
beaches,beaches,"('beaches', 'NNS')",beach,beach,description,beaches,O,,
stretches,stretches,"('stretches', 'NNS')",stretch,stretch,description,stretches,O,,
Gandía,gandía,"('gandía', 'NN')",gandía,gandía,description,Gandía,O,,
Altea,altea,"('altea', 'VB')",altea,altea,description,Altea,O,,
before,before,"('before', 'IN')",befor,before,description,before,O,,
reach,reach,"('reach', 'VBP')",reach,reach,description,reach,O,,
developments,developments,"('developments', 'NNS')",develop,development,description,developments,O,,
Benidorm,benidorm,"('benidorm', 'NN')",benidorm,benidorm,description,Benidorm,O,,
Alicante,alicante,"('alicante', 'NN')",alicant,alicante,description,Alicante,B,GPE,"Countries, cities, states"
transport,transport,"('transport', 'NN')",transport,transport,description,transport,O,,
essential,essential,"('essential', 'JJ')",essenti,essential,description,essential,O,,
enjoy,enjoy,"('enjoy', 'VB')",enjoy,enjoy,description,enjoy,O,,
