token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Politically,politically,"('politically', 'RB')",polit,politically,introduction,Politically,O,,
historically,historically,"('historically', 'RB')",histor,historically,introduction,historically,O,,
Aragón,aragón,"('aragón', 'RB')",aragón,aragón,introduction,Aragón,B,GPE,"Countries, cities, states"
has,has,"('has', 'VBZ')",ha,have,introduction,has,O,,
close,close,"('close', 'JJ')",close,close,introduction,close,O,,
links,links,"('links', 'NNS')",link,link,introduction,links,O,,
Catalunya,catalunya,"('catalunya', 'NN')",catalunya,catalunya,introduction,Catalunya,B,GPE,"Countries, cities, states"
formed,formed,"('formed', 'VBD')",form,form,introduction,formed,O,,
powerful,powerful,"('powerful', 'JJ')",power,powerful,introduction,powerful,O,,
alliance,alliance,"('alliance', 'NN')",allianc,alliance,introduction,alliance,O,,
medieval,medieval,"('medieval', 'JJ')",mediev,medieval,introduction,medieval,O,,
times,times,"('times', 'NNS')",time,time,introduction,times,O,,
exerting,exerting,"('exerting', 'VBG')",exert,exert,introduction,exerting,O,,
influence,influence,"('influence', 'NN')",influenc,influence,introduction,influence,O,,
Mediterranean,mediterranean,"('mediterranean', 'NN')",mediterranean,mediterranean,introduction,Mediterranean,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
far,far,"('far', 'RB')",far,far,introduction,far,O,,
away,away,"('away', 'RB')",away,away,introduction,away,O,,
Athens,athens,"('athens', 'NNS')",athen,athens,introduction,Athens,B,GPE,"Countries, cities, states"
Locked,locked,"('locked', 'VBN')",lock,lock,introduction,Locked,O,,
sides,sides,"('sides', 'NNS')",side,side,introduction,sides,O,,
mountains,mountains,"('mountains', 'NNS')",mountain,mountain,introduction,mountains,O,,
has,has,"('has', 'VBZ')",ha,have,introduction,has,O,,
always,always,"('always', 'RB')",alway,always,introduction,always,O,,
identity,identity,"('identity', 'NN')",ident,identity,introduction,identity,O,,
traditional,traditional,"('traditional', 'JJ')",tradit,traditional,introduction,traditional,O,,
fueros,fueros,"('fueros', 'NNS')",fuero,fueros,introduction,fueros,O,,
like,like,"('like', 'IN')",like,like,introduction,like,O,,
Basques,basques,"('basques', 'NNS')",basqu,basque,introduction,Basques,B,NORP,Nationalities or religious or political groups
written,written,"('written', 'VBN')",written,write,introduction,written,O,,
Aragonese,aragonese,"('aragonese', 'JJ')",aragones,aragonese,introduction,Aragonese,B,NORP,Nationalities or religious or political groups
language,language,"('language', 'NN')",languag,language,introduction,language,O,,
existing,existing,"('existing', 'VBG')",exist,exist,introduction,existing,O,,
alongside,alongside,"('alongside', 'RB')",alongsid,alongside,introduction,alongside,O,,
Castilian,castilian,"('castilian', 'JJ')",castilian,castilian,introduction,Castilian,B,NORP,Nationalities or religious or political groups
modern,modern,"('modern', 'JJ')",modern,modern,introduction,modern,O,,
autonomía,autonomía,"('autonomía', 'NN')",autonomía,autonomía,introduction,autonomía,O,,
containing,containing,"('containing', 'VBG')",contain,contain,introduction,containing,O,,
provinces,provinces,"('provinces', 'NNS')",provinc,province,introduction,provinces,O,,
