token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Easily,easily,"('easily', 'RB')",easili,easily,introduction,Easily,O,,
largest,largest,"('largest', 'JJS')",largest,large,introduction,largest,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
Cantabria,cantabria,"('cantabria', 'NN')",cantabria,cantabria,introduction,Cantabria,O,,
population,population,"('population', 'NN')",popul,population,introduction,population,O,,
approaching,approaching,"('approaching', 'VBG')",approach,approach,introduction,approaching,O,,
SANTANDER,santander,"('santander', 'NN')",santand,santander,introduction,SANTANDER,O,,
elegant,elegant,"('elegant', 'JJ')",eleg,elegant,introduction,elegant,O,,
refined,refined,"('refined', 'VBN')",refin,refine,introduction,refined,O,,
resort,resort,"('resort', 'NN')",resort,resort,introduction,resort,O,,
excellent,excellent,"('excellent', 'JJ')",excel,excellent,introduction,excellent,O,,
transport,transport,"('transport', 'NN')",transport,transport,introduction,transport,O,,
connections,connections,"('connections', 'NNS')",connect,connection,introduction,connections,O,,
setting,setting,"('setting', 'VBG')",set,set,introduction,setting,O,,
narrow,narrow,"('narrow', 'JJ')",narrow,narrow,introduction,narrow,O,,
Bahía,bahía,"('bahía', 'NN')",bahía,bahía,introduction,Bahía,O,,
de,de,"('de', 'IN')",de,de,introduction,de,O,,
Santander,santander,"('santander', 'NN')",santand,santander,introduction,Santander,O,,
beautiful,beautiful,"('beautiful', 'JJ')",beauti,beautiful,introduction,beautiful,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
centre,centre,"('centre', 'NN')",centr,centre,introduction,centre,O,,
lost,lost,"('lost', 'VBD')",lost,lose,introduction,lost,O,,
finest,finest,"('finest', 'JJS')",finest,fine,introduction,finest,O,,
buildings,buildings,"('buildings', 'NNS')",build,building,introduction,buildings,O,,
massive,massive,"('massive', 'JJ')",massiv,massive,introduction,massive,O,,
fire,fire,"('fire', 'NN')",fire,fire,introduction,fire,O,,
Nonetheless,nonetheless,"('nonetheless', 'CC')",nonetheless,nonetheless,introduction,Nonetheless,O,,
narrow,narrow,"('narrow', 'JJ')",narrow,narrow,introduction,narrow,O,,
lanes,lanes,"('lanes', 'NNS')",lane,lane,introduction,lanes,O,,
old,old,"('old', 'JJ')",old,old,introduction,old,O,,
town,town,"('town', 'NN')",town,town,introduction,town,O,,
running,running,"('running', 'VBG')",run,run,introduction,running,O,,
parallel,parallel,"('parallel', 'RB')",parallel,parallel,introduction,parallel,O,,
waterfront,waterfront,"('waterfront', 'NN')",waterfront,waterfront,introduction,waterfront,O,,
still,still,"('still', 'RB')",still,still,introduction,still,O,,
abound,abound,"('abound', 'VBN')",abound,abound,introduction,abound,O,,
atmospheric,atmospheric,"('atmospheric', 'JJ')",atmospher,atmospheric,introduction,atmospheric,O,,
bars,bars,"('bars', 'NNS')",bar,bar,introduction,bars,O,,
restaurants,restaurants,"('restaurants', 'VBZ')",restaur,restaurants,introduction,restaurants,O,,
local,local,"('local', 'JJ')",local,local,introduction,local,O,,
beaches,beaches,"('beaches', 'NNS')",beach,beach,introduction,beaches,O,,
best,best,"('best', 'JJS')",best,best,introduction,best,O,,
sandy,sandy,"('sandy', 'JJ')",sandi,sandy,introduction,sandy,O,,
El,el,"('el', 'NN')",el,el,introduction,El,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Sardinero,sardinero,"('sardinero', 'NN')",sardinero,sardinero,introduction,Sardinero,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
facing,facing,"('facing', 'VBG')",face,face,introduction,facing,O,,
open,open,"('open', 'JJ')",open,open,introduction,open,O,,
sea,sea,"('sea', 'NN')",sea,sea,introduction,sea,O,,
couple,couple,"('couple', 'NN')",coupl,couple,introduction,couple,O,,
kilometres,kilometres,"('kilometres', 'NNS')",kilometr,kilometre,introduction,kilometres,O,,
east,east,"('east', 'NNS')",east,east,introduction,east,O,,
broad,broad,"('broad', 'JJ')",broad,broad,introduction,broad,O,,
clean,clean,"('clean', 'JJ')",clean,clean,introduction,clean,O,,
enough,enough,"('enough', 'RB')",enough,enough,introduction,enough,O,,
Santander,santander,"('santander', 'NN')",santand,santander,introduction,Santander,O,,
rival,rival,"('rival', 'VB')",rival,rival,introduction,rival,O,,
Biarritz,biarritz,"('biarritz', 'NN')",biarritz,biarritz,introduction,Biarritz,O,,
San,san,"('san', 'JJ')",san,san,introduction,San,O,,
Sebastián,sebastián,"('sebastián', 'NN')",sebastián,sebastián,introduction,Sebastián,O,,
favourite,favourite,"('favourite', 'JJ')",favourit,favourite,introduction,favourite,O,,
summer,summer,"('summer', 'NN')",summer,summer,introduction,summer,O,,
retreat,retreat,"('retreat', 'NN')",retreat,retreat,introduction,retreat,O,,
sophisticated,sophisticated,"('sophisticated', 'JJ')",sophist,sophisticated,introduction,sophisticated,O,,
interior,interior,"('interior', 'JJ')",interior,interior,introduction,interior,O,,
Santander,santander,"('santander', 'NN')",santand,santander,introduction,Santander,O,,
may,may,"('may', 'MD')",may,may,introduction,may,O,,
much,much,"('much', 'RB')",much,much,introduction,much,O,,
bourgeois,bourgeois,"('bourgeois', 'JJ')",bourgeoi,bourgeois,introduction,bourgeois,O,,
identity,identity,"('identity', 'NN')",ident,identity,introduction,identity,O,,
many,many,"('many', 'JJ')",mani,many,introduction,many,O,,
earthier,earthier,"('earthier', 'NN')",earthier,earthier,introduction,earthier,O,,
northern,northern,"('northern', 'JJ')",northern,northern,introduction,northern,O,,
neighbours,neighbours,"('neighbours', 'NNS')",neighbour,neighbour,introduction,neighbours,O,,
away,away,"('away', 'RB')",away,away,introduction,away,O,,
beaches,beaches,"('beaches', 'NNS')",beach,beach,introduction,beaches,O,,
much,much,"('much', 'JJ')",much,much,introduction,much,O,,
actually,actually,"('actually', 'RB')",actual,actually,introduction,actually,O,,
see,see,"('see', 'VB')",see,see,introduction,see,O,,
really,really,"('really', 'RB')",realli,really,introduction,really,O,,
bad,bad,"('bad', 'JJ')",bad,bad,introduction,bad,O,,
