token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
MÁLAGA,málaga,"('málaga', 'NN')",málaga,málaga,introduction,MÁLAGA,B,GPE,"Countries, cities, states"
seems,seems,"('seems', 'VBZ')",seem,seem,introduction,seems,O,,
first,first,"('first', 'RB')",first,first,introduction,first,B,ORDINAL,"""first"", ""second"", etc."
uninviting,uninviting,"('uninviting', 'JJ')",uninvit,uninviting,introduction,uninviting,O,,
place,place,"('place', 'NN')",place,place,introduction,place,O,,
second,second,"('second', 'JJ')",second,second,introduction,second,B,ORDINAL,"""first"", ""second"", etc."
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
south,south,"('south', 'NN')",south,south,introduction,south,O,,
Seville,seville,"('seville', 'NN')",sevil,seville,introduction,Seville,B,GPE,"Countries, cities, states"
population,population,"('population', 'NN')",popul,population,introduction,population,O,,
half,half,"('half', 'PDT')",half,half,introduction,half,B,CARDINAL,Numerals that do not fall under another type
million,million,"('million', 'CD')",million,million,introduction,million,I,CARDINAL,Numerals that do not fall under another type
also,also,"('also', 'RB')",also,also,introduction,also,O,,
one,one,"('one', 'CD')",one,one,introduction,one,B,CARDINAL,Numerals that do not fall under another type
poorest,poorest,"('poorest', 'JJS')",poorest,poor,introduction,poorest,O,,
estimated,estimated,"('estimated', 'JJ')",estim,estimated,introduction,estimated,O,,
one,one,"('one', 'CD')",one,one,introduction,one,B,CARDINAL,Numerals that do not fall under another type
four,four,"('four', 'CD')",four,four,introduction,four,B,CARDINAL,Numerals that do not fall under another type
workforce,workforce,"('workforce', 'NN')",workforc,workforce,introduction,workforce,O,,
jobless,jobless,"('jobless', 'JJ')",jobless,jobless,introduction,jobless,O,,
Though,though,"('though', 'IN')",though,though,introduction,Though,O,,
clusters,clusters,"('clusters', 'NNS')",cluster,cluster,introduction,clusters,O,,
look,look,"('look', 'NN')",look,look,introduction,look,O,,
pretty,pretty,"('pretty', 'RB')",pretti,pretty,introduction,pretty,O,,
grim,grim,"('grim', 'JJ')",grim,grim,introduction,grim,O,,
approach,approach,"('approach', 'VBP')",approach,approach,introduction,approach,O,,
city,city,"('city', 'NN')",citi,city,introduction,city,O,,
does,does,"('does', 'VBZ')",doe,do,introduction,does,O,,
compelling,compelling,"('compelling', 'JJ')",compel,compelling,introduction,compelling,O,,
attractions,attractions,"('attractions', 'NNS')",attract,attraction,introduction,attractions,O,,
elegant,elegant,"('elegant', 'JJ')",eleg,elegant,introduction,elegant,O,,
central,central,"('central', 'JJ')",central,central,introduction,central,O,,
zone,zone,"('zone', 'NN')",zone,zone,introduction,zone,O,,
largely,largely,"('largely', 'RB')",larg,largely,introduction,largely,O,,
pedestrianized,pedestrianized,"('pedestrianized', 'VBN')",pedestrian,pedestrianized,introduction,pedestrianized,O,,
focal,focal,"('focal', 'JJ')",focal,focal,introduction,focal,O,,
Calle,calle,"('calle', 'JJ')",call,calle,introduction,Calle,B,FAC,"Buildings, airports, highways, bridges, etc."
Marqués,marqués,"('marqués', 'NN')",marqué,marqués,introduction,Marqués,I,FAC,"Buildings, airports, highways, bridges, etc."
de,de,"('de', 'IN')",de,de,introduction,de,I,FAC,"Buildings, airports, highways, bridges, etc."
Larios,larios,"('larios', 'NNS')",lario,larios,introduction,Larios,I,FAC,"Buildings, airports, highways, bridges, etc."
lined,lined,"('lined', 'VBN')",line,line,introduction,lined,O,,
fashionable,fashionable,"('fashionable', 'JJ')",fashion,fashionable,introduction,fashionable,O,,
stores,stores,"('stores', 'NNS')",store,store,introduction,stores,O,,
