token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
IBIZA,ibiza,"('ibiza', 'NN')",ibiza,ibiza,introduction,IBIZA,O,,
Eivissa,eivissa,"('eivissa', 'NN')",eivissa,eivissa,introduction,Eivissa,O,,
Catalan,catalan,"('catalan', 'NN')",catalan,catalan,introduction,Catalan,B,NORP,Nationalities or religious or political groups
island,island,"('island', 'NN')",island,island,introduction,island,O,,
excess,excess,"('excess', 'JJ')",excess,excess,introduction,excess,O,,
beautiful,beautiful,"('beautiful', 'JJ')",beauti,beautiful,introduction,beautiful,O,,
blessed,blessed,"('blessed', 'VBN')",bless,bless,introduction,blessed,O,,
scores,scores,"('scores', 'NNS')",score,score,introduction,scores,O,,
stunning,stunning,"('stunning', 'VBG')",stun,stun,introduction,stunning,O,,
cove,cove,"('cove', 'NN')",cove,cove,introduction,cove,O,,
beaches,beaches,"('beaches', 'NNS')",beach,beach,introduction,beaches,O,,
dense,dense,"('dense', 'JJ')",dens,dense,introduction,dense,O,,
pine,pine,"('pine', 'NN')",pine,pine,introduction,pine,O,,
forests,forests,"('forests', 'NNS')",forest,forest,introduction,forests,O,,
Nevertheless,nevertheless,"('nevertheless', 'VBP')",nevertheless,nevertheless,introduction,Nevertheless,O,,
islanders,islanders,"('islanders', 'NNS')",island,islander,introduction,islanders,O,,
eivissencs,eivissencs,"('eivissencs', 'VBP')",eivissenc,eivissencs,introduction,eivissencs,O,,
visitors,visitors,"('visitors', 'NNS')",visitor,visitor,introduction,visitors,O,,
make,make,"('make', 'VBP')",make,make,introduction,make,O,,
special,special,"('special', 'JJ')",special,special,introduction,special,O,,
Ibiza,ibiza,"('ibiza', 'NN')",ibiza,ibiza,introduction,Ibiza,O,,
has,has,"('has', 'VBZ')",ha,have,introduction,has,O,,
long,long,"('long', 'RB')",long,long,introduction,long,O,,
attracted,attracted,"('attracted', 'VBN')",attract,attract,introduction,attracted,O,,
hedonistic,hedonistic,"('hedonistic', 'JJ')",hedonist,hedonistic,introduction,hedonistic,O,,
characters,characters,"('characters', 'NNS')",charact,character,introduction,characters,O,,
