token,normed_token,pos_tags,stemmed_token,lemma_token,class
soaring,soaring,"('soaring', 'VBG')",soar,soar,introduction
cliffs,cliffs,"('cliffs', 'NNS')",cliff,cliff,introduction
riverine,riverine,"('riverine', 'JJ')",riverin,riverine,introduction
forests,forests,"('forests', 'NNS')",forest,forest,introduction
cascading,cascading,"('cascading', 'VBG')",cascad,cascade,introduction
waterfalls,waterfalls,"('waterfalls', 'NNS')",waterfal,waterfall,introduction
ZION,zion,"('zion', 'NNP')",zion,zion,introduction
NATIONAL,national,"('national', 'JJ')",nation,national,introduction
PARK,park,"('park', 'NN')",park,park,introduction
conventionally,conventionally,"('conventionally', 'RB')",convent,conventionally,introduction
beautiful,beautiful,"('beautiful', 'JJ')",beauti,beautiful,introduction
Utah,utah,"('utah', 'JJ')",utah,utah,introduction
parks,parks,"('parks', 'NNS')",park,park,introduction
divided,divided,"('divided', 'VBN')",divid,divide,introduction
two,two,"('two', 'CD')",two,two,introduction
main,main,"('main', 'JJ')",main,main,introduction
sections,sections,"('sections', 'NNS')",section,section,introduction
Zion,zion,"('zion', 'NN')",zion,zion,introduction
Canyon,canyon,"('canyon', 'NN')",canyon,canyon,introduction
thirty,thirty,"('thirty', 'NN')",thirti,thirty,introduction
miles,miles,"('miles', 'NNS')",mile,mile,introduction
east,east,"('east', 'RB')",east,east,introduction
miles,miles,"('miles', 'NNS')",mile,mile,introduction
northeast,northeast,"('northeast', 'RB')",northeast,northeast,introduction
Las,las,"('las', 'NNS')",la,la,introduction
Vegas,vegas,"('vegas', 'NNS')",vega,vega,introduction
Kolob,kolob,"('kolob', 'JJ')",kolob,kolob,introduction
Canyons,canyons,"('canyons', 'NNS')",canyon,canyon,introduction
northeast,northeast,"('northeast', 'NN')",northeast,northeast,introduction
centrepiece,centrepiece,"('centrepiece', 'NN')",centrepiec,centrepiece,description
park,park,"('park', 'NN')",park,park,description
lush,lush,"('lush', 'JJ')",lush,lush,description
oasis,oasis,"('oasis', 'NN')",oasi,oasis,description
Zion,zion,"('zion', 'NN')",zion,zion,description
Canyon,canyon,"('canyon', 'NN')",canyon,canyon,description
feels,feels,"('feels', 'NNS')",feel,feel,description
far,far,"('far', 'RB')",far,far,description
removed,removed,"('removed', 'VBN')",remov,remove,description
otherworldly,otherworldly,"('otherworldly', 'JJ')",otherworldli,otherworldly,description
desolation,desolation,"('desolation', 'NN')",desol,desolation,description
Canyonlands,canyonlands,"('canyonlands', 'NNS')",canyonland,canyonlands,description
weirdness,weirdness,"('weirdness', 'NN')",weird,weirdness,description
Bryce,bryce,"('bryce', 'NN')",bryce,bryce,description
Like,like,"('like', 'IN')",like,like,description
California,california,"('california', 'NN')",california,california,description
Yosemite,yosemite,"('yosemite', 'RB')",yosemit,yosemite,description
Canyon,canyon,"('canyon', 'VBP')",canyon,canyon,description
spectacular,spectacular,"('spectacular', 'JJ')",spectacular,spectacular,description
narrow,narrow,"('narrow', 'JJ')",narrow,narrow,description
gorge,gorge,"('gorge', 'NN')",gorg,gorge,description
echoing,echoing,"('echoing', 'VBG')",echo,echo,description
sound,sound,"('sound', 'NN')",sound,sound,description
running,running,"('running', 'VBG')",run,run,description
water,water,"('water', 'NN')",water,water,description
also,also,"('also', 'RB')",also,also,description
like,like,"('like', 'IN')",like,like,description
Yosemite,yosemite,"('yosemite', 'NNS')",yosemit,yosemite,description
get,get,"('get', 'VB')",get,get,description
claustrophobic,claustrophobic,"('claustrophobic', 'JJ')",claustrophob,claustrophobic,description
summer,summer,"('summer', 'NN')",summer,summer,description
clogged,clogged,"('clogged', 'VBN')",clog,clog,description
traffic,traffic,"('traffic', 'NN')",traffic,traffic,description
crammed,crammed,"('crammed', 'VBN')",cram,cram,description
sweltering,sweltering,"('sweltering', 'VBG')",swelter,swelter,description
many,many,"('many', 'JJ')",mani,many,description
visitors,visitors,"('visitors', 'NNS')",visitor,visitor,description
see,see,"('see', 'VBP')",see,see,description
Zion,zion,"('zion', 'NN')",zion,zion,description
Canyon,canyon,"('canyon', 'NN')",canyon,canyon,description
quick,quick,"('quick', 'JJ')",quick,quick,description
detour,detour,"('detour', 'NN')",detour,detour,description
interstate,interstate,"('interstate', 'NN')",interst,interstate,description
race,race,"('race', 'NN')",race,race,description
Las,las,"('las', 'NNS')",la,la,description
Vegas,vegas,"('vegas', 'NNS')",vega,vega,description
Salt,salt,"('salt', 'JJ')",salt,salt,description
Lake,lake,"('lake', 'JJ')",lake,lake,description
City,city,"('city', 'NN')",citi,city,description
Magnificent,magnificent,"('magnificent', 'NN')",magnific,magnificent,description
though,though,"('though', 'IN')",though,though,description
canyon,canyon,"('canyon', 'NN')",canyon,canyon,description
Scenic,scenic,"('scenic', 'JJ')",scenic,scenic,description
Drive,drive,"('drive', 'NN')",drive,drive,description
may,may,"('may', 'MD')",may,may,description
Zion,zion,"('zion', 'NN')",zion,zion,description
deserves,deserves,"('deserves', 'VBZ')",deserv,deserve,description
much,much,"('much', 'RB')",much,much,description
time,time,"('time', 'NN')",time,time,description
Even,even,"('even', 'RB')",even,even,description
shortest,shortest,"('shortest', 'JJS')",shortest,short,description
hiking,hiking,"('hiking', 'NN')",hike,hiking,description
trail,trail,"('trail', 'NN')",trail,trail,description
escape,escape,"('escape', 'VB')",escap,escape,description
crowds,crowds,"('crowds', 'NN')",crowd,crowd,description
take,take,"('take', 'VB')",take,take,description
away,away,"('away', 'RB')",away,away,description
deceptive,deceptive,"('deceptive', 'JJ')",decept,deceptive,description
verdure,verdure,"('verdure', 'NN')",verdur,verdure,description
valley,valley,"('valley', 'NN')",valley,valley,description
onto,onto,"('onto', 'IN')",onto,onto,description
tablelands,tablelands,"('tablelands', 'NNS')",tableland,tableland,description
far,far,"('far', 'RB')",far,far,description
busiest,busiest,"('busiest', 'JJS')",busiest,busy,description
season,season,"('season', 'NN')",season,season,description
despite,despite,"('despite', 'IN')",despit,despite,description
temperatures,temperatures,"('temperatures', 'NNS')",temperatur,temperature,description
excess,excess,"('excess', 'NN')",excess,excess,description
violent,violent,"('violent', 'JJ')",violent,violent,description
thunderstorms,thunderstorms,"('thunderstorms', 'NNS')",thunderstorm,thunderstorm,description
concentrated,concentrated,"('concentrated', 'VBD')",concentr,concentrate,description
especially,especially,"('especially', 'RB')",especi,especially,description
August,august,"('august', 'JJ')",august,august,description
Ideally,ideally,"('ideally', 'RB')",ideal,ideally,description
come,come,"('come', 'VBN')",come,come,description
spring,spring,"('spring', 'NN')",spring,spring,description
see,see,"('see', 'VB')",see,see,description
flowers,flowers,"('flowers', 'NNS')",flower,flower,description
bloom,bloom,"('bloom', 'NN')",bloom,bloom,description
autumn,autumn,"('autumn', 'NN')",autumn,autumn,description
enjoy,enjoy,"('enjoy', 'VB')",enjoy,enjoy,description
colours,colours,"('colours', 'NNS')",colour,colour,description
along,along,"('along', 'IN')",along,along,description
river,river,"('river', 'NN')",river,river,description
