token,normed_token,pos_tags,stemmed_token,lemma_token,class
One,one,"('one', 'CD')",one,one,introduction
world,world,"('world', 'NN')",world,world,introduction
million,million,"('million', 'CD')",million,million,introduction
people,people,"('people', 'NNS')",peopl,people,introduction
occupying,occupying,"('occupying', 'VBG')",occupi,occupy,introduction
shallow,shallow,"('shallow', 'JJ')",shallow,shallow,introduction
mountain,mountain,"('mountain', 'NN')",mountain,mountain,introduction
bowl,bowl,"('bowl', 'NN')",bowl,bowl,introduction
above,above,"('above', 'IN')",abov,above,introduction
sea,sea,"('sea', 'NN')",sea,sea,introduction
level,level,"('level', 'NN')",level,level,introduction
Mexico,mexico,"('mexico', 'NN')",mexico,mexico,introduction
City,city,"('city', 'NN')",citi,city,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
seen,seen,"('seen', 'VBN')",seen,see,introduction
believed,believed,"('believed', 'VBN')",believ,believe,introduction
Bursting,bursting,"('bursting', 'VBG')",burst,burst,introduction
beyond,beyond,"('beyond', 'IN')",beyond,beyond,introduction
official,official,"('official', 'JJ')",offici,official,introduction
federal,federal,"('federal', 'JJ')",feder,federal,introduction
district,district,"('district', 'NN')",district,district,introduction
sprawling,sprawling,"('sprawling', 'JJ')",sprawl,sprawling,introduction
city,city,"('city', 'NN')",citi,city,introduction
edgy,edgy,"('edgy', 'JJ')",edgi,edgy,introduction
yet,yet,"('yet', 'RB')",yet,yet,introduction
cosmopolitan,cosmopolitan,"('cosmopolitan', 'VB')",cosmopolitan,cosmopolitan,introduction
Around,around,"('around', 'IN')",around,around,introduction
city,city,"('city', 'NN')",citi,city,introduction
lie,lie,"('lie', 'VBZ')",lie,lie,introduction
chief,chief,"('chief', 'JJ')",chief,chief,introduction
relics,relics,"('relics', 'NNS')",relic,relic,introduction
cultures,cultures,"('cultures', 'NNS')",cultur,culture,introduction
central,central,"('central', 'JJ')",central,central,introduction
Mexico,mexico,"('mexico', 'NN')",mexico,mexico,introduction
find,find,"('find', 'VBP')",find,find,introduction
massive,massive,"('massive', 'JJ')",massiv,massive,introduction
pyramids,pyramids,"('pyramids', 'NNS')",pyramid,pyramid,introduction
Teotihuacán,teotihuacán,"('teotihuacán', 'JJ')",teotihuacán,teotihuacán,introduction
Dropdown,dropdown,"('dropdown', 'JJ')",dropdown,dropdown,introduction
content,content,"('content', 'NN')",content,content,introduction
main,main,"('main', 'JJ')",main,main,introduction
Toltec,toltec,"('toltec', 'JJ')",toltec,toltec,introduction
site,site,"('site', 'NN')",site,site,introduction
Tula,tula,"('tula', 'JJ')",tula,tula,introduction
Dropdown,dropdown,"('dropdown', 'JJ')",dropdown,dropdown,introduction
content,content,"('content', 'NN')",content,content,introduction
Read,read,"('read', 'VB')",read,read,introduction
Mexico,mexico,"('mexico', 'JJ')",mexico,mexico,introduction
City,city,"('city', 'NN')",citi,city,introduction
travel,travel,"('travel', 'NN')",travel,travel,introduction
guide,guide,"('guide', 'NN')",guid,guide,introduction
everything,everything,"('everything', 'NN')",everyth,everything,introduction
need,need,"('need', 'VBP')",need,need,introduction
know,know,"('know', 'VB')",know,know,introduction
before,before,"('before', 'IN')",befor,before,introduction
go,go,"('go', 'VBP')",go,go,introduction
Spanish,spanish,"('spanish', 'JJ')",spanish,spanish,description
systematically,systematically,"('systematically', 'RB')",systemat,systematically,description
destroyed,destroyed,"('destroyed', 'VBN')",destroy,destroy,description
Aztec,aztec,"('aztec', 'JJ')",aztec,aztec,description
culture,culture,"('culture', 'NN')",cultur,culture,description
created,created,"('created', 'VBD')",creat,create,description
new,new,"('new', 'JJ')",new,new,description
bigger,bigger,"('bigger', 'JJR')",bigger,big,description
city,city,"('city', 'NN')",citi,city,description
turbulent,turbulent,"('turbulent', 'JJ')",turbul,turbulent,description
period,period,"('period', 'NN')",period,period,description
disease,disease,"('disease', 'NN')",diseas,disease,description
sinking,sinking,"('sinking', 'NN')",sink,sinking,description
buildings,buildings,"('buildings', 'NNS')",build,building,description
followed,followed,"('followed', 'VBD')",follow,follow,description
city,city,"('city', 'NN')",citi,city,description
comprised,comprised,"('comprised', 'VBD')",compris,comprise,description
little,little,"('little', 'RB')",littl,little,description
area,area,"('area', 'NN')",area,area,description
around,around,"('around', 'IN')",around,around,description
Zócalo,zócalo,"('zócalo', 'NN')",zócalo,zócalo,description
late,late,"('late', 'JJ')",late,late,description
however,however,"('however', 'RB')",howev,however,description
dictator,dictator,"('dictator', 'NN')",dictat,dictator,description
Porfirio,porfirio,"('porfirio', 'NN')",porfirio,porfirio,description
Díaz,díaz,"('díaz', 'NN')",díaz,díaz,description
presided,presided,"('presided', 'VBD')",presid,preside,description
aggressive,aggressive,"('aggressive', 'JJ')",aggress,aggressive,description
building,building,"('building', 'NN')",build,building,description
programme,programme,"('programme', 'NN')",programm,programme,description
fuelled,fuelled,"('fuelled', 'VBD')",fuell,fuel,description
growth,growth,"('growth', 'NN')",growth,growth,description
Revolution,revolution,"('revolution', 'NN')",revolut,revolution,description
Mexico,mexico,"('mexico', 'FW')",mexico,mexico,description
City,city,"('city', 'NN')",citi,city,description
residents,residents,"('residents', 'NNS')",resid,resident,description
numbered,numbered,"('numbered', 'VBD')",number,number,description
regaining,regaining,"('regaining', 'VBG')",regain,regain,description
first,first,"('first', 'JJ')",first,first,description
time,time,"('time', 'NN')",time,time,description
four,four,"('four', 'CD')",four,four,description
centuries,centuries,"('centuries', 'NNS')",centuri,century,description
Revolution,revolution,"('revolution', 'NN')",revolut,revolution,description
thousands,thousands,"('thousands', 'NNS')",thousand,thousand,description
fled,fled,"('fled', 'VBD')",fled,flee,description
rapidly,rapidly,"('rapidly', 'RB')",rapidli,rapidly,description
industrializing,industrializing,"('industrializing', 'VBG')",industri,industrialize,description
Mexico,mexico,"('mexico', 'NNS')",mexico,mexico,description
City,city,"('city', 'NN')",citi,city,description
work,work,"('work', 'NN')",work,work,description
city,city,"('city', 'NN')",citi,city,description
population,population,"('population', 'NN')",popul,population,description
quadrupled,quadrupled,"('quadrupled', 'VBD')",quadrupl,quadruple,description
shantytowns,shantytowns,"('shantytowns', 'NNS')",shantytown,shantytown,description
began,began,"('began', 'VBD')",began,begin,description
springing,springing,"('springing', 'VBG')",spring,spring,description
mushrooming,mushrooming,"('mushrooming', 'VBG')",mushroom,mushroom,description
This,this,"('this', 'DT')",thi,this,description
expansion,expansion,"('expansion', 'NN')",expans,expansion,description
strained,strained,"('strained', 'VBD')",strain,strain,description
transport,transport,"('transport', 'NN')",transport,transport,description
system,system,"('system', 'NN')",system,system,description
resulting,resulting,"('resulting', 'VBG')",result,result,description
construction,construction,"('construction', 'NN')",construct,construction,description
Metro,metro,"('metro', 'NN')",metro,metro,description
system,system,"('system', 'NN')",system,system,description
late,late,"('late', 'JJ')",late,late,description
growth,growth,"('growth', 'NN')",growth,growth,description
continues,continues,"('continues', 'VBZ')",continu,continue,description
today,today,"('today', 'NN')",today,today,description
spilling,spilling,"('spilling', 'VBG')",spill,spill,description
