token,normed_token,pos_tags,stemmed_token,lemma_token,class
Capital,capital,"('capital', 'NN')",capit,capital,introduction
state,state,"('state', 'NN')",state,state,introduction
bears,bears,"('bears', 'VBZ')",bear,bear,introduction
name,name,"('name', 'NN')",name,name,introduction
beautiful,beautiful,"('beautiful', 'JJ')",beauti,beautiful,introduction
Campeche,campeche,"('campeche', 'NN')",campech,campeche,introduction
one,one,"('one', 'CD')",one,one,introduction
Mexico,mexico,"('mexico', 'NN')",mexico,mexico,introduction
finest,finest,"('finest', 'JJS')",finest,fine,introduction
colonial,colonial,"('colonial', 'JJ')",coloni,colonial,introduction
cities,cities,"('cities', 'NNS')",citi,city,introduction
draws,draws,"('draws', 'VBZ')",draw,draw,introduction
relatively,relatively,"('relatively', 'RB')",rel,relatively,introduction
tourists,tourists,"('tourists', 'NNS')",tourist,tourist,introduction
heart,heart,"('heart', 'NN')",heart,heart,introduction
relatively,relatively,"('relatively', 'RB')",rel,relatively,introduction
intact,intact,"('intact', 'JJ')",intact,intact,introduction
lies,lies,"('lies', 'VBZ')",lie,lie,introduction
historic,historic,"('historic', 'JJ')",histor,historic,introduction
port,port,"('port', 'NN')",port,port,introduction
town,town,"('town', 'NN')",town,town,introduction
still,still,"('still', 'RB')",still,still,introduction
surrounded,surrounded,"('surrounded', 'VBN')",surround,surround,introduction
hefty,hefty,"('hefty', 'JJ')",hefti,hefty,introduction
defensive,defensive,"('defensive', 'NN')",defens,defensive,introduction
walls,walls,"('walls', 'NNS')",wall,wall,introduction
fortresses,fortresses,"('fortresses', 'NNS')",fortress,fortress,introduction
within,within,"('within', 'IN')",within,within,introduction
interspersed,interspersed,"('interspersed', 'VBD')",interspers,intersperse,introduction
occasional,occasional,"('occasional', 'JJ')",occasion,occasional,introduction
grand,grand,"('grand', 'JJ')",grand,grand,introduction
Baroque,baroque,"('baroque', 'NN')",baroqu,baroque,introduction
church,church,"('church', 'NN')",church,church,introduction
elegant,elegant,"('elegant', 'JJ')",eleg,elegant,introduction
houses,houses,"('houses', 'NNS')",hous,house,introduction
painted,painted,"('painted', 'VBN')",paint,paint,introduction
pastel,pastel,"('pastel', 'NN')",pastel,pastel,introduction
shades,shades,"('shades', 'NNS')",shade,shade,introduction
neatly,neatly,"('neatly', 'RB')",neatli,neatly,introduction
restored,restored,"('restored', 'VBN')",restor,restore,introduction
Nonetheless,nonetheless,"('nonetheless', 'RB')",nonetheless,nonetheless,introduction
place,place,"('place', 'NN')",place,place,introduction
UNESCO,unesco,"('unesco', 'JJ')",unesco,unesco,introduction
