token,normed_token,pos_tags,stemmed_token,lemma_token,class
visitors,visitors,"('visitors', 'NNS')",visitor,visitor,introduction
TULUM,tulum,"('tulum', 'NNS')",tulum,tulum,introduction
mean,mean,"('mean', 'VB')",mean,mean,introduction
several,several,"('several', 'JJ')",sever,several,introduction
things,things,"('things', 'NNS')",thing,thing,introduction
First,first,"('first', 'JJ')",first,first,introduction
one,one,"('one', 'CD')",one,one,introduction
picturesque,picturesque,"('picturesque', 'NN')",picturesqu,picturesque,introduction
ancient,ancient,"('ancient', 'JJ')",ancient,ancient,introduction
Maya,maya,"('maya', 'NN')",maya,maya,introduction
sites,sites,"('sites', 'NNS')",site,site,introduction
poised,poised,"('poised', 'VBD')",pois,poise,introduction
cliffs,cliffs,"('cliffs', 'NNS')",cliff,cliff,introduction
above,above,"('above', 'IN')",abov,above,introduction
impossibly,impossibly,"('impossibly', 'RB')",imposs,impossibly,introduction
turquoise,turquoise,"('turquoise', 'JJ')",turquois,turquoise,introduction
Caribbean,caribbean,"('caribbean', 'NN')",caribbean,caribbean,introduction
Tulum,tulum,"('tulum', 'NN')",tulum,tulum,introduction
also,also,"('also', 'RB')",also,also,introduction
refers,refers,"('refers', 'VBZ')",refer,refer,introduction
stretch,stretch,"('stretch', 'NN')",stretch,stretch,introduction
broad,broad,"('broad', 'JJ')",broad,broad,introduction
white,white,"('white', 'JJ')",white,white,introduction
beach,beach,"('beach', 'NN')",beach,beach,introduction
dotted,dotted,"('dotted', 'VBN')",dot,dot,introduction
lodging,lodging,"('lodging', 'NN')",lodg,lodging,introduction
options,options,"('options', 'NNS')",option,option,introduction
range,range,"('range', 'VBP')",rang,range,introduction
many,many,"('many', 'JJ')",mani,many,introduction
well,well,"('well', 'RB')",well,well,introduction
many,many,"('many', 'JJ')",mani,many,introduction
beach,beach,"('beach', 'NN')",beach,beach,introduction
bars,bars,"('bars', 'NNS')",bar,bar,introduction
still,still,"('still', 'RB')",still,still,introduction
show,show,"('show', 'VBP')",show,show,introduction
roots,roots,"('roots', 'NNS')",root,root,introduction
style,style,"('style', 'NN')",style,style,introduction
price,price,"('price', 'NN')",price,price,introduction
Finally,finally,"('finally', 'RB')",final,finally,introduction
booming,booming,"('booming', 'JJ')",boom,booming,introduction
town,town,"('town', 'NN')",town,town,introduction
often,often,"('often', 'RB')",often,often,introduction
called,called,"('called', 'VBD')",call,call,introduction
Tulum,tulum,"('tulum', 'JJ')",tulum,tulum,introduction
Pueblo,pueblo,"('pueblo', 'NN')",pueblo,pueblo,introduction
distinguish,distinguish,"('distinguish', 'VB')",distinguish,distinguish,introduction
beach,beach,"('beach', 'NN')",beach,beach,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
evolved,evolved,"('evolved', 'VBN')",evolv,evolve,introduction
roadside,roadside,"('roadside', 'JJ')",roadsid,roadside,introduction
waystation,waystation,"('waystation', 'NN')",waystat,waystation,introduction
real,real,"('real', 'JJ')",real,real,introduction
population,population,"('population', 'NN')",popul,population,introduction
centre,centre,"('centre', 'NN')",centr,centre,introduction
visitors,visitors,"('visitors', 'NNS')",visitor,visitor,introduction
arrange,arrange,"('arrange', 'VB')",arrang,arrange,introduction
tours,tours,"('tours', 'NNS')",tour,tour,introduction
Sian,sian,"('sian', 'JJ')",sian,sian,introduction
Ka,ka,"('ka', 'NN')",ka,ka,introduction
Biosphere,biosphere,"('biosphere', 'JJ')",biospher,biosphere,introduction
Reserve,reserve,"('reserve', 'NN')",reserv,reserve,introduction
among,among,"('among', 'IN')",among,among,introduction
things,things,"('things', 'NNS')",thing,thing,introduction
Sian,sian,"('sian', 'JJ')",sian,sian,description
Ka,ka,"('ka', 'VBD')",ka,ka,description
means,means,"('means', 'VBZ')",mean,mean,description
place,place,"('place', 'NN')",place,place,description
sky,sky,"('sky', 'NN')",sky,sky,description
born,born,"('born', 'VBN')",born,bear,description
Maya,maya,"('maya', 'NN')",maya,maya,description
seems,seems,"('seems', 'VBZ')",seem,seem,description
appropriate,appropriate,"('appropriate', 'JJ')",appropri,appropriate,description
experience,experience,"('experience', 'VBP')",experi,experience,description
sunrise,sunrise,"('sunrise', 'NN')",sunris,sunrise,description
this,this,"('this', 'DT')",thi,this,description
beautiful,beautiful,"('beautiful', 'JJ')",beauti,beautiful,description
part,part,"('part', 'NN')",part,part,description
peninsula,peninsula,"('peninsula', 'NN')",peninsula,peninsula,description
Created,created,"('created', 'VBN')",creat,create,description
presidential,presidential,"('presidential', 'JJ')",presidenti,presidential,description
decree,decree,"('decree', 'NN')",decre,decree,description
made,made,"('made', 'VBD')",made,make,description
UNESCO,unesco,"('unesco', 'JJ')",unesco,unesco,description
World,world,"('world', 'NN')",world,world,description
Heritage,heritage,"('heritage', 'NN')",heritag,heritage,description
Site,site,"('site', 'NN')",site,site,description
biosphere,biosphere,"('biosphere', 'JJ')",biospher,biosphere,description
reserve,reserve,"('reserve', 'NN')",reserv,reserve,description
sparsely,sparsely,"('sparsely', 'RB')",spars,sparsely,description
populated,populated,"('populated', 'JJ')",popul,populated,description
region,region,"('region', 'NN')",region,region,description
sprawling,sprawling,"('sprawling', 'VBG')",sprawl,sprawl,description
along,along,"('along', 'IN')",along,along,description
coast,coast,"('coast', 'NN')",coast,coast,description
south,south,"('south', 'NN')",south,south,description
Tulum,tulum,"('tulum', 'JJ')",tulum,tulum,description
One,one,"('one', 'CD')",one,one,description
largest,largest,"('largest', 'JJS')",largest,large,description
protected,protected,"('protected', 'JJ')",protect,protected,description
areas,areas,"('areas', 'NNS')",area,area,description
Mexico,mexico,"('mexico', 'NN')",mexico,mexico,description
covers,covers,"('covers', 'VBZ')",cover,cover,description
million,million,"('million', 'CD')",million,million,description
acres,acres,"('acres', 'NNS')",acr,acre,description
thousand,thousand,"('thousand', 'NN')",thousand,thousand,description
permanent,permanent,"('permanent', 'JJ')",perman,permanent,description
residents,residents,"('residents', 'NNS')",resid,resident,description
fishermen,fishermen,"('fishermen', 'NNS')",fishermen,fisherman,description
subsistence,subsistence,"('subsistence', 'NN')",subsist,subsistence,description
farmers,farmers,"('farmers', 'NNS')",farmer,farmer,description
gathered,gathered,"('gathered', 'VBD')",gather,gather,description
village,village,"('village', 'NN')",villag,village,description
Punta,punta,"('punta', 'JJ')",punta,punta,description
Allen,allen,"('allen', 'NN')",allen,allen,description
visitors,visitors,"('visitors', 'NNS')",visitor,visitor,description
enter,enter,"('enter', 'VBP')",enter,enter,description
north,north,"('north', 'JJ')",north,north,description
border,border,"('border', 'NN')",border,border,description
Tulum,tulum,"('tulum', 'NN')",tulum,tulum,description
only,only,"('only', 'RB')",onli,only,description
hardier,hardier,"('hardier', 'JJR')",hardier,hardy,description
travellers,travellers,"('travellers', 'NNS')",travel,traveller,description
press,press,"('press', 'VBP')",press,press,description
Punta,punta,"('punta', 'VB')",punta,punta,description
Allen,allen,"('allen', 'NN')",allen,allen,description
stay,stay,"('stay', 'VB')",stay,stay,description
reserve,reserve,"('reserve', 'NN')",reserv,reserve,description
contains,contains,"('contains', 'VBZ')",contain,contain,description
three,three,"('three', 'CD')",three,three,description
principal,principal,"('principal', 'JJ')",princip,principal,description
ecosystems,ecosystems,"('ecosystems', 'NN')",ecosystem,ecosystem,description
found,found,"('found', 'VBN')",found,find,description
Yucatán,yucatán,"('yucatán', 'NN')",yucatán,yucatán,description
Peninsula,peninsula,"('peninsula', 'NN')",peninsula,peninsula,description
Caribbean,caribbean,"('caribbean', 'NN')",caribbean,caribbean,description
area,area,"('area', 'NN')",area,area,description
approximately,approximately,"('approximately', 'RB')",approxim,approximately,description
tropical,tropical,"('tropical', 'JJ')",tropic,tropical,description
forest,forest,"('forest', 'NN')",forest,forest,description
saltwater,saltwater,"('saltwater', 'NN')",saltwat,saltwater,description
marshes,marshes,"('marshes', 'NNS')",marsh,marsh,description
mangroves,mangroves,"('mangroves', 'NNS')",mangrov,mangrove,description
marine,marine,"('marine', 'JJ')",marin,marine,description
environment,environment,"('environment', 'NN')",environ,environment,description
including,including,"('including', 'VBG')",includ,include,description
section,section,"('section', 'NN')",section,section,description
Mesoamerican,mesoamerican,"('mesoamerican', 'JJ')",mesoamerican,mesoamerican,description
Barrier,barrier,"('barrier', 'NN')",barrier,barrier,description
Reef,reef,"('reef', 'NN')",reef,reef,description
five,five,"('five', 'CD')",five,five,description
species,species,"('species', 'NNS')",speci,specie,description
Mexican,mexican,"('mexican', 'JJ')",mexican,mexican,description
wild,wild,"('wild', 'JJ')",wild,wild,description
cat,cat,"('cat', 'NN')",cat,cat,description
including,including,"('including', 'VBG')",includ,include,description
jaguars,jaguars,"('jaguars', 'NNS')",jaguar,jaguar,description
live,live,"('live', 'VBP')",live,live,description
forest,forest,"('forest', 'NN')",forest,forest,description
along,along,"('along', 'IN')",along,along,description
spider,spider,"('spider', 'NN')",spider,spider,description
howler,howler,"('howler', 'NN')",howler,howler,description
monkeys,monkeys,"('monkeys', 'NNS')",monkey,monkey,description
tapir,tapir,"('tapir', 'VBP')",tapir,tapir,description
deer,deer,"('deer', 'VBP')",deer,deer,description
three,three,"('three', 'CD')",three,three,description
hundred,hundred,"('hundred', 'JJ')",hundr,hundred,description
species,species,"('species', 'NNS')",speci,specie,description
birds,birds,"('birds', 'NNS')",bird,bird,description
recorded,recorded,"('recorded', 'VBN')",record,record,description
Caribbean,caribbean,"('caribbean', 'JJ')",caribbean,caribbean,description
beaches,beaches,"('beaches', 'NNS')",beach,beach,description
provide,provide,"('provide', 'VBP')",provid,provide,description
nesting,nesting,"('nesting', 'VBG')",nest,nest,description
grounds,grounds,"('grounds', 'NNS')",ground,ground,description
four,four,"('four', 'CD')",four,four,description
endangered,endangered,"('endangered', 'JJ')",endang,endangered,description
marine,marine,"('marine', 'NN')",marin,marine,description
turtle,turtle,"('turtle', 'NN')",turtl,turtle,description
species,species,"('species', 'NNS')",speci,specie,description
extremely,extremely,"('extremely', 'RB')",extrem,extremely,description
rare,rare,"('rare', 'JJ')",rare,rare,description
West,west,"('west', 'JJS')",west,west,description
Indian,indian,"('indian', 'JJ')",indian,indian,description
manatees,manatees,"('manatees', 'NNS')",manate,manatee,description
seen,seen,"('seen', 'VBN')",seen,see,description
inlets,inlets,"('inlets', 'NNS')",inlet,inlet,description
Morelet,morelet,"('morelet', 'VBP')",morelet,morelet,description
mangrove,mangrove,"('mangrove', 'VB')",mangrov,mangrove,description
crocodiles,crocodiles,"('crocodiles', 'NNS')",crocodil,crocodile,description
lurk,lurk,"('lurk', 'RBR')",lurk,lurk,description
area,area,"('area', 'NN')",area,area,description
north,north,"('north', 'NN')",north,north,description
west,west,"('west', 'NN')",west,west,description
Tulum,tulum,"('tulum', 'NN')",tulum,tulum,description
has,has,"('has', 'VBZ')",ha,have,description
one,one,"('one', 'CD')",one,one,description
largest,largest,"('largest', 'JJS')",largest,large,description
concentrations,concentrations,"('concentrations', 'NNS')",concentr,concentration,description
cenotes,cenotes,"('cenotes', 'NNS')",cenot,cenotes,description
peninsula,peninsula,"('peninsula', 'NN')",peninsula,peninsula,description
including,including,"('including', 'VBG')",includ,include,description
Ox,ox,"('ox', 'JJ')",ox,ox,description
Bel,bel,"('bel', 'NN')",bel,bel,description
Ha,ha,"('ha', 'NN')",ha,ha,description
almost,almost,"('almost', 'RB')",almost,almost,description
longest,longest,"('longest', 'JJS')",longest,long,description
cave,cave,"('cave', 'NN')",cave,cave,description
system,system,"('system', 'NN')",system,system,description
world,world,"('world', 'NN')",world,world,description
Many,many,"('many', 'JJ')",mani,many,description
freshwater,freshwater,"('freshwater', 'NN')",freshwat,freshwater,description
