token,normed_token,pos_tags,stemmed_token,lemma_token,class
central,central,"('central', 'JJ')",central,central,introduction
Gulf,gulf,"('gulf', 'NN')",gulf,gulf,introduction
coast,coast,"('coast', 'NN')",coast,coast,introduction
among,among,"('among', 'IN')",among,among,introduction
yet,yet,"('yet', 'RB')",yet,yet,introduction
distinct,distinct,"('distinct', 'JJ')",distinct,distinct,introduction
areas,areas,"('areas', 'NNS')",area,area,introduction
Mexico,mexico,"('mexico', 'NN')",mexico,mexico,introduction
Mexico,mexico,"('mexico', 'JJ')",mexico,mexico,introduction
City,city,"('city', 'NN')",citi,city,introduction
descend,descend,"('descend', 'VBP')",descend,descend,introduction
southern,southern,"('southern', 'JJ')",southern,southern,introduction
fringes,fringes,"('fringes', 'NNS')",fring,fringe,introduction
Sierra,sierra,"('sierra', 'NN')",sierra,sierra,introduction
Madre,madre,"('madre', 'NN')",madr,madre,introduction
Oriental,oriental,"('oriental', 'JJ')",orient,oriental,introduction
Dropdown,dropdown,"('dropdown', 'NN')",dropdown,dropdown,introduction
content,content,"('content', 'NN')",content,content,introduction
past,past,"('past', 'IN')",past,past,introduction
country,country,"('country', 'NN')",countri,country,introduction
highest,highest,"('highest', 'JJS')",highest,high,introduction
peaks,peaks,"('peaks', 'NNS')",peak,peak,introduction
broad,broad,"('broad', 'JJ')",broad,broad,introduction
hot,hot,"('hot', 'NN')",hot,hot,introduction
wet,wet,"('wet', 'JJ')",wet,wet,introduction
coastal,coastal,"('coastal', 'NN')",coastal,coastal,introduction
plain,plain,"('plain', 'NN')",plain,plain,introduction
this,this,"('this', 'DT')",thi,this,introduction
fertile,fertile,"('fertile', 'JJ')",fertil,fertile,introduction
tropical,tropical,"('tropical', 'JJ')",tropic,tropical,introduction
zone,zone,"('zone', 'NN')",zone,zone,introduction
earliest,earliest,"('earliest', 'JJS')",earliest,early,introduction
Mexican,mexican,"('mexican', 'JJ')",mexican,mexican,introduction
civilizations,civilizations,"('civilizations', 'NNS')",civil,civilization,introduction
