token,normed_token,pos_tags,stemmed_token,lemma_token,class
Although,although,"('although', 'IN')",although,although,introduction
very,very,"('very', 'RB')",veri,very,introduction
different,different,"('different', 'JJ')",differ,different,introduction
states,states,"('states', 'NNS')",state,state,introduction
Chiapas,chiapas,"('chiapas', 'VBP')",chiapa,chiapas,introduction
mountainous,mountainous,"('mountainous', 'JJ')",mountain,mountainous,introduction
Tabasco,tabasco,"('tabasco', 'JJ')",tabasco,tabasco,introduction
Dropdown,dropdown,"('dropdown', 'NN')",dropdown,dropdown,introduction
content,content,"('content', 'NN')",content,content,introduction
steamy,steamy,"('steamy', 'JJ')",steami,steamy,introduction
lowlands,lowlands,"('lowlands', 'IN')",lowland,lowland,introduction
group,group,"('group', 'NN')",group,group,introduction
together,together,"('together', 'RB')",togeth,together,introduction
because,because,"('because', 'IN')",becaus,because,introduction
travellers,travellers,"('travellers', 'NNS')",travel,traveller,introduction
usually,usually,"('usually', 'RB')",usual,usually,introduction
pass,pass,"('pass', 'VB')",pass,pass,introduction
one,one,"('one', 'CD')",one,one,introduction
en,en,"('en', 'FW')",en,en,introduction
route,route,"('route', 'NN')",rout,route,introduction
Yucatán,yucatán,"('yucatán', 'NN')",yucatán,yucatán,introduction
Endowed,endowed,"('endowed', 'VBD')",endow,endow,introduction
stunning,stunning,"('stunning', 'JJ')",stun,stunning,introduction
variety,variety,"('variety', 'NN')",varieti,variety,introduction
cultures,cultures,"('cultures', 'NNS')",cultur,culture,introduction
landscapes,landscapes,"('landscapes', 'NNS')",landscap,landscape,introduction
wildlife,wildlife,"('wildlife', 'NN')",wildlif,wildlife,introduction
Chiapas,chiapas,"('chiapas', 'NN')",chiapa,chiapas,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
much,much,"('much', 'RB')",much,much,introduction
tempt,tempt,"('tempt', 'VB')",tempt,tempt,introduction
visitors,visitors,"('visitors', 'NNS')",visitor,visitor,introduction
biggest,biggest,"('biggest', 'JJS')",biggest,big,introduction
draw,draw,"('draw', 'NN')",draw,draw,introduction
many,many,"('many', 'JJ')",mani,many,introduction
indigenous,indigenous,"('indigenous', 'JJ')",indigen,indigenous,introduction
traditions,traditions,"('traditions', 'NNS')",tradit,tradition,introduction
survive,survive,"('survive', 'VBP')",surviv,survive,introduction
intact,intact,"('intact', 'JJ')",intact,intact,introduction
well,well,"('well', 'RB')",well,well,introduction
much,much,"('much', 'JJ')",much,much,introduction
pristine,pristine,"('pristine', 'NN')",pristin,pristine,introduction
wilderness,wilderness,"('wilderness', 'NN')",wilder,wilderness,introduction
exists,exists,"('exists', 'VBZ')",exist,exist,introduction
state,state,"('state', 'NN')",state,state,introduction
Tabasco,tabasco,"('tabasco', 'NN')",tabasco,tabasco,introduction
Dropdown,dropdown,"('dropdown', 'VBN')",dropdown,dropdown,introduction
content,content,"('content', 'NN')",content,content,introduction
contrast,contrast,"('contrast', 'NN')",contrast,contrast,introduction
less,less,"('less', 'RBR')",less,less,introduction
aesthetically,aesthetically,"('aesthetically', 'RB')",aesthet,aesthetically,introduction
attractive,attractive,"('attractive', 'JJ')",attract,attractive,introduction
neighbour,neighbour,"('neighbour', 'JJ')",neighbour,neighbour,introduction
rural,rural,"('rural', 'JJ')",rural,rural,introduction
areas,areas,"('areas', 'NNS')",area,area,introduction
see,see,"('see', 'VBP')",see,see,introduction
almost,almost,"('almost', 'RB')",almost,almost,introduction
tourists,tourists,"('tourists', 'NNS')",tourist,tourist,introduction
capital,capital,"('capital', 'NN')",capit,capital,introduction
Villahermosa,villahermosa,"('villahermosa', 'NN')",villahermosa,villahermosa,introduction
transit,transit,"('transit', 'NN')",transit,transit,introduction
hub,hub,"('hub', 'NN')",hub,hub,introduction
archeology,archeology,"('archeology', 'NN')",archeolog,archeology,introduction
buffs,buffs,"('buffs', 'NNS')",buff,buff,introduction
know,know,"('know', 'VBP')",know,know,introduction
region,region,"('region', 'NN')",region,region,introduction
heartland,heartland,"('heartland', 'NN')",heartland,heartland,introduction
Olmecs,olmecs,"('olmecs', 'JJ')",olmec,olmecs,introduction
Mexico,mexico,"('mexico', 'NN')",mexico,mexico,introduction
earliest,earliest,"('earliest', 'JJS')",earliest,early,introduction
developed,developed,"('developed', 'VBN')",develop,develop,introduction
civilization,civilization,"('civilization', 'NN')",civil,civilization,introduction
Chiapas,chiapas,"('chiapas', 'NN')",chiapa,chiapas,description
was,was,"('was', 'VBD')",wa,be,description
administered,administered,"('administered', 'VBN')",administ,administer,description
Spanish,spanish,"('spanish', 'JJ')",spanish,spanish,description
part,part,"('part', 'NN')",part,part,description
Guatemala,guatemala,"('guatemala', 'NN')",guatemala,guatemala,description
seceded,seceded,"('seceded', 'VBD')",seced,secede,description
join,join,"('join', 'VB')",join,join,description
newly,newly,"('newly', 'RB')",newli,newly,description
independent,independent,"('independent', 'JJ')",independ,independent,description
Mexico,mexico,"('mexico', 'NN')",mexico,mexico,description
state,state,"('state', 'NN')",state,state,description
second,second,"('second', 'JJ')",second,second,description
only,only,"('only', 'RB')",onli,only,description
Oaxaca,oaxaca,"('oaxaca', 'VB')",oaxaca,oaxaca,description
Indian,indian,"('indian', 'JJ')",indian,indian,description
population,population,"('population', 'NN')",popul,population,description
percent,percent,"('percent', 'NN')",percent,percent,description
four,four,"('four', 'CD')",four,four,description
inhabitants,inhabitants,"('inhabitants', 'NNS')",inhabit,inhabitant,description
thought,thought,"('thought', 'VBN')",thought,think,description
indígenas,indígenas,"('indígenas', 'NNS')",indígena,indígenas,description
fourteen,fourteen,"('fourteen', 'JJ')",fourteen,fourteen,description
ethnic,ethnic,"('ethnic', 'JJ')",ethnic,ethnic,description
groups,groups,"('groups', 'NNS')",group,group,description
Maya,maya,"('maya', 'NN')",maya,maya,description
origin,origin,"('origin', 'NN')",origin,origin,description
Tuxtla,tuxtla,"('tuxtla', 'NN')",tuxtla,tuxtla,description
Gutiérrez,gutiérrez,"('gutiérrez', 'NN')",gutiérrez,gutiérrez,description
capital,capital,"('capital', 'NN')",capit,capital,description
travellers,travellers,"('travellers', 'NNS')",travel,traveller,description
usually,usually,"('usually', 'RB')",usual,usually,description
head,head,"('head', 'VBP')",head,head,description
straight,straight,"('straight', 'RB')",straight,straight,description
colonial,colonial,"('colonial', 'JJ')",coloni,colonial,description
town,town,"('town', 'NN')",town,town,description
San,san,"('san', 'JJ')",san,san,description
Cristóbal,cristóbal,"('cristóbal', 'NN')",cristóbal,cristóbal,description
de,de,"('de', 'IN')",de,de,description
las,las,"('las', 'FW')",la,la,description
Casas,casas,"('casas', 'NNS')",casa,casas,description
tucked,tucked,"('tucked', 'VBD')",tuck,tuck,description
among,among,"('among', 'IN')",among,among,description
mountains,mountains,"('mountains', 'NNS')",mountain,mountain,description
centre,centre,"('centre', 'NN')",centr,centre,description
state,state,"('state', 'NN')",state,state,description
surrounded,surrounded,"('surrounded', 'VBN')",surround,surround,description
strongholds,strongholds,"('strongholds', 'NNS')",stronghold,stronghold,description
Tzotzil,tzotzil,"('tzotzil', 'NN')",tzotzil,tzotzil,description
Tzeltal,tzeltal,"('tzeltal', 'JJ')",tzeltal,tzeltal,description
Maya,maya,"('maya', 'JJ')",maya,maya,description
culture,culture,"('culture', 'NN')",cultur,culture,description
Ancient,ancient,"('ancient', 'NN')",ancient,ancient,description
customs,customs,"('customs', 'NNS')",custom,custom,description
religious,religious,"('religious', 'JJ')",religi,religious,description
practices,practices,"('practices', 'NNS')",practic,practice,description
carry,carry,"('carry', 'VBP')",carri,carry,description
villages,villages,"('villages', 'NNS')",villag,village,description
yet,yet,"('yet', 'RB')",yet,yet,description
picturesque,picturesque,"('picturesque', 'NN')",picturesqu,picturesque,description
life,life,"('life', 'NN')",life,life,description
may,may,"('may', 'MD')",may,may,description
sometimes,sometimes,"('sometimes', 'RB')",sometim,sometimes,description
seem,seem,"('seem', 'VB')",seem,seem,description
villagers,villagers,"('villagers', 'NNS')",villag,villager,description
often,often,"('often', 'RB')",often,often,description
live,live,"('live', 'VBP')",live,live,description
barest,barest,"('barest', 'JJS')",barest,bare,description
subsistence,subsistence,"('subsistence', 'NN')",subsist,subsistence,description
level,level,"('level', 'NN')",level,level,description
lands,lands,"('lands', 'NNS')",land,land,description
livelihoods,livelihoods,"('livelihoods', 'NNS')",livelihood,livelihood,description
precarious,precarious,"('precarious', 'JJ')",precari,precarious,description
balance,balance,"('balance', 'NN')",balanc,balance,description
troubles,troubles,"('troubles', 'NNS')",troubl,trouble,description
helped,helped,"('helped', 'VBD')",help,help,description
fuel,fuel,"('fuel', 'VB')",fuel,fuel,description
Zapatista,zapatista,"('zapatista', 'NN')",zapatista,zapatista,description
rebellion,rebellion,"('rebellion', 'NN')",rebellion,rebellion,description
although,although,"('although', 'IN')",although,although,description
conflict,conflict,"('conflict', 'NN')",conflict,conflict,description
has,has,"('has', 'VBZ')",ha,have,description
long,long,"('long', 'RB')",long,long,description
subsided,subsided,"('subsided', 'VBN')",subsid,subside,description
many,many,"('many', 'JJ')",mani,many,description
core,core,"('core', 'NN')",core,core,description
issues,issues,"('issues', 'NNS')",issu,issue,description
concerning,concerning,"('concerning', 'VBG')",concern,concern,description
land,land,"('land', 'NN')",land,land,description
use,use,"('use', 'NN')",use,use,description
remain,remain,"('remain', 'VBP')",remain,remain,description
unresolved,unresolved,"('unresolved', 'JJ')",unresolv,unresolved,description
illegal,illegal,"('illegal', 'JJ')",illeg,illegal,description
immigration,immigration,"('immigration', 'NN')",immigr,immigration,description
bigger,bigger,"('bigger', 'JJR')",bigger,big,description
issue,issue,"('issue', 'NN')",issu,issue,description
heavy,heavy,"('heavy', 'JJ')",heavi,heavy,description
military,military,"('military', 'JJ')",militari,military,description
presence,presence,"('presence', 'NN')",presenc,presence,description
focuses,focuses,"('focuses', 'VBZ')",focus,focus,description
Guatemalan,guatemalan,"('guatemalan', 'NN')",guatemalan,guatemalan,description
border,border,"('border', 'NN')",border,border,description
eastern,eastern,"('eastern', 'JJ')",eastern,eastern,description
half,half,"('half', 'NN')",half,half,description
state,state,"('state', 'NN')",state,state,description
Chiapas,chiapas,"('chiapas', 'NN')",chiapa,chiapas,description
rises,rises,"('rises', 'NNS')",rise,rise,description
Pacific,pacific,"('pacific', 'NN')",pacif,pacific,description
coastal,coastal,"('coastal', 'NN')",coastal,coastal,description
plain,plain,"('plain', 'NN')",plain,plain,description
peaks,peaks,"('peaks', 'NNS')",peak,peak,description
two,two,"('two', 'CD')",two,two,description
ranges,ranges,"('ranges', 'VBZ')",rang,range,description
Sierra,sierra,"('sierra', 'JJ')",sierra,sierra,description
Madre,madre,"('madre', 'NN')",madr,madre,description
de,de,"('de', 'IN')",de,de,description
Chiapas,chiapas,"('chiapas', 'NN')",chiapa,chiapas,description
Los,los,"('los', 'JJ')",lo,los,description
Altos,altos,"('altos', 'NN')",alto,alto,description
de,de,"('de', 'IN')",de,de,description
Chiapas,chiapas,"('chiapas', 'FW')",chiapa,chiapas,description
climate,climate,"('climate', 'NN')",climat,climate,description
like,like,"('like', 'IN')",like,like,description
land,land,"('land', 'NN')",land,land,description
varies,varies,"('varies', 'VBZ')",vari,vary,description
enormously,enormously,"('enormously', 'RB')",enorm,enormously,description
coastal,coastal,"('coastal', 'JJ')",coastal,coastal,description
areas,areas,"('areas', 'NNS')",area,area,description
hot,hot,"('hot', 'JJ')",hot,hot,description
muggy,muggy,"('muggy', 'JJ')",muggi,muggy,description
highland,highland,"('highland', 'NN')",highland,highland,description
towns,towns,"('towns', 'NNS')",town,town,description
like,like,"('like', 'IN')",like,like,description
San,san,"('san', 'JJ')",san,san,description
