token,normed_token,pos_tags,stemmed_token,lemma_token,class
Graced,graced,"('graced', 'VBN')",grace,grace,introduction
tantalizing,tantalizing,"('tantalizing', 'VBG')",tantal,tantalize,introduction
desert,desert,"('desert', 'NN')",desert,desert,introduction
landscapes,landscapes,"('landscapes', 'NNS')",landscap,landscape,introduction
lush,lush,"('lush', 'JJ')",lush,lush,introduction
oases,oases,"('oases', 'NNS')",oas,oasis,introduction
rich,rich,"('rich', 'JJ')",rich,rich,introduction
marine,marine,"('marine', 'NN')",marin,marine,introduction
life,life,"('life', 'NN')",life,life,introduction
Baja,baja,"('baja', 'NN')",baja,baja,introduction
California,california,"('california', 'NN')",california,california,introduction
one,one,"('one', 'CD')",one,one,introduction
compelling,compelling,"('compelling', 'JJ')",compel,compelling,introduction
popular,popular,"('popular', 'JJ')",popular,popular,introduction
destinations,destinations,"('destinations', 'NNS')",destin,destination,introduction
Mexico,mexico,"('mexico', 'NN')",mexico,mexico,introduction
human,human,"('human', 'JJ')",human,human,introduction
history,history,"('history', 'NN')",histori,history,introduction
less,less,"('less', 'RBR')",less,less,introduction
enticing,enticing,"('enticing', 'VBG')",entic,entice,introduction
legacy,legacy,"('legacy', 'NN')",legaci,legacy,introduction
remote,remote,"('remote', 'JJ')",remot,remote,introduction
cave,cave,"('cave', 'VBP')",cave,cave,introduction
paintings,paintings,"('paintings', 'NNS')",paint,painting,introduction
crumbling,crumbling,"('crumbling', 'VBG')",crumbl,crumble,introduction
Spanish,spanish,"('spanish', 'JJ')",spanish,spanish,introduction
missions,missions,"('missions', 'NNS')",mission,mission,introduction
luxury,luxury,"('luxury', 'VBP')",luxuri,luxury,introduction
beach,beach,"('beach', 'NN')",beach,beach,introduction
resorts,resorts,"('resorts', 'NNS')",resort,resort,introduction
fabulous,fabulous,"('fabulous', 'JJ')",fabul,fabulous,introduction
seafood,seafood,"('seafood', 'NN')",seafood,seafood,introduction
Yet,yet,"('yet', 'RB')",yet,yet,introduction
even,even,"('even', 'RB')",even,even,introduction
today,today,"('today', 'NN')",today,today,introduction
Baja,baja,"('baja', 'NN')",baja,baja,introduction
maintains,maintains,"('maintains', 'VBZ')",maintain,maintain,introduction
palpable,palpable,"('palpable', 'JJ')",palpabl,palpable,introduction
air,air,"('air', 'NN')",air,air,introduction
isolation,isolation,"('isolation', 'NN')",isol,isolation,introduction
rest,rest,"('rest', 'NN')",rest,rest,introduction
Mexico,mexico,"('mexico', 'FW')",mexico,mexico,introduction
peninsula,peninsula,"('peninsula', 'NN')",peninsula,peninsula,introduction
lies,lies,"('lies', 'VBZ')",lie,lie,introduction
west,west,"('west', 'NN')",west,west,introduction
Mexico,mexico,"('mexico', 'JJ')",mexico,mexico,introduction
City,city,"('city', 'NN')",citi,city,introduction
sheer,sheer,"('sheer', 'NN')",sheer,sheer,introduction
distances,distances,"('distances', 'NNS')",distanc,distance,introduction
involved,involved,"('involved', 'VBN')",involv,involve,introduction
traversing,traversing,"('traversing', 'VBG')",travers,traverse,introduction
length,length,"('length', 'NN')",length,length,introduction
long,long,"('long', 'RB')",long,long,introduction
conducive,conducive,"('conducive', 'JJ')",conduc,conducive,introduction
quick,quick,"('quick', 'VB')",quick,quick,introduction
exploration,exploration,"('exploration', 'NN')",explor,exploration,introduction
One,one,"('one', 'CD')",one,one,description
magical,magical,"('magical', 'JJ')",magic,magical,description
sights,sights,"('sights', 'NNS')",sight,sight,description
Baja,baja,"('baja', 'NN')",baja,baja,description
annual,annual,"('annual', 'JJ')",annual,annual,description
grey,grey,"('grey', 'NN')",grey,grey,description
whale,whale,"('whale', 'JJ')",whale,whale,description
migration,migration,"('migration', 'NN')",migrat,migration,description
December,december,"('december', 'NN')",decemb,december,description
April,april,"('april', 'VB')",april,april,description
best,best,"('best', 'JJS')",best,best,description
places,places,"('places', 'NNS')",place,place,description
see,see,"('see', 'VB')",see,see,description
whales,whales,"('whales', 'NNS')",whale,whale,description
Laguna,laguna,"('laguna', 'JJ')",laguna,laguna,description
Ojo,ojo,"('ojo', 'NN')",ojo,ojo,description
de,de,"('de', 'IN')",de,de,description
Liebre,liebre,"('liebre', 'FW')",liebr,liebre,description
Guerrero,guerrero,"('guerrero', 'NN')",guerrero,guerrero,description
Negro,negro,"('negro', 'NN')",negro,negro,description
lagoon,lagoon,"('lagoon', 'NN')",lagoon,lagoon,description
near,near,"('near', 'IN')",near,near,description
San,san,"('san', 'JJ')",san,san,description
Ignacio,ignacio,"('ignacio', 'NN')",ignacio,ignacio,description
town,town,"('town', 'NN')",town,town,description
attraction,attraction,"('attraction', 'NN')",attract,attraction,description
peninsula,peninsula,"('peninsula', 'NN')",peninsula,peninsula,description
also,also,"('also', 'RB')",also,also,description
home,home,"('home', 'NN')",home,home,description
bewitching,bewitching,"('bewitching', 'JJ')",bewitch,bewitching,description
cave,cave,"('cave', 'JJ')",cave,cave,description
art,art,"('art', 'NN')",art,art,description
world,world,"('world', 'NN')",world,world,description
Sierra,sierra,"('sierra', 'NN')",sierra,sierra,description
de,de,"('de', 'IN')",de,de,description
San,san,"('san', 'FW')",san,san,description
Francisco,francisco,"('francisco', 'NN')",francisco,francisco,description
Bahía,bahía,"('bahía', 'NN')",bahía,bahía,description
de,de,"('de', 'IN')",de,de,description
los,los,"('los', 'FW')",lo,los,description
Angeles,angeles,"('angeles', 'NNS')",angel,angeles,description
Loreto,loreto,"('loreto', 'NN')",loreto,loreto,description
was,was,"('was', 'VBD')",wa,be,description
declared,declared,"('declared', 'VBN')",declar,declare,description
World,world,"('world', 'NN')",world,world,description
Heritage,heritage,"('heritage', 'NN')",heritag,heritage,description
Site,site,"('site', 'NN')",site,site,description
UNESCO,unesco,"('unesco', 'NN')",unesco,unesco,description
because,because,"('because', 'IN')",becaus,because,description
five,five,"('five', 'CD')",five,five,description
hundred,hundred,"('hundred', 'VBN')",hundr,hundred,description
particularly,particularly,"('particularly', 'RB')",particularli,particularly,description
vivid,vivid,"('vivid', 'NN')",vivid,vivid,description
transport,transport,"('transport', 'NN')",transport,transport,description
worthy,worthy,"('worthy', 'JJ')",worthi,worthy,description
detour,detour,"('detour', 'NN')",detour,detour,description
BAHÍA,bahía,"('bahía', 'VBN')",bahía,bahía,description
DE,de,"('de', 'IN')",de,de,description
LOS,los,"('los', 'NN')",lo,los,description
ÁNGELES,ángeles,"('ángeles', 'NNS')",ángele,ángeles,description
also,also,"('also', 'RB')",also,also,description
known,known,"('known', 'VBN')",known,know,description
Bay,bay,"('bay', 'NN')",bay,bay,description
small,small,"('small', 'JJ')",small,small,description
community,community,"('community', 'NN')",commun,community,description
fewer,fewer,"('fewer', 'JJR')",fewer,few,description
one,one,"('one', 'CD')",one,one,description
thousand,thousand,"('thousand', 'NN')",thousand,thousand,description
Sea,sea,"('sea', 'NN')",sea,sea,description
Cortez,cortez,"('cortez', 'NN')",cortez,cortez,description
town,town,"('town', 'NN')",town,town,description
maintains,maintains,"('maintains', 'VBZ')",maintain,maintain,description
underdeveloped,underdeveloped,"('underdeveloped', 'JJ')",underdevelop,underdeveloped,description
frontier,frontier,"('frontier', 'JJR')",frontier,frontier,description
feeling,feeling,"('feeling', 'VBG')",feel,feel,description
little,little,"('little', 'JJ')",littl,little,description
changed,changed,"('changed', 'VBN')",chang,change,description
Steinbeck,steinbeck,"('steinbeck', 'NN')",steinbeck,steinbeck,description
sailed,sailed,"('sailed', 'VBD')",sail,sail,description
eponymous,eponymous,"('eponymous', 'JJ')",eponym,eponymous,description
bay,bay,"('bay', 'NN')",bay,bay,description
teems,teems,"('teems', 'NNS')",teem,teems,description
sea,sea,"('sea', 'NN')",sea,sea,description
life,life,"('life', 'NN')",life,life,description
hemmed,hemmed,"('hemmed', 'VBN')",hem,hem,description
contorted,contorted,"('contorted', 'JJ')",contort,contorted,description
mountains,mountains,"('mountains', 'NNS')",mountain,mountain,description
lots,lots,"('lots', 'NNS')",lot,lot,description
enticing,enticing,"('enticing', 'VBG')",entic,entice,description
beaches,beaches,"('beaches', 'NNS')",beach,beach,description
Because,because,"('because', 'IN')",becaus,because,description
difficulty,difficulty,"('difficulty', 'NN')",difficulti,difficulty,description
getting,getting,"('getting', 'VBG')",get,get,description
supplies,supplies,"('supplies', 'NNS')",suppli,supply,description
bay,bay,"('bay', 'NN')",bay,bay,description
lodging,lodging,"('lodging', 'NN')",lodg,lodging,description
food,food,"('food', 'NN')",food,food,description
expensive,expensive,"('expensive', 'JJ')",expens,expensive,description
expect,expect,"('expect', 'JJ')",expect,expect,description
banks,banks,"('banks', 'NNS')",bank,bank,description
ATMs,atms,"('atms', 'NNS')",atm,atm,description
make,make,"('make', 'VB')",make,make,description
sure,sure,"('sure', 'JJ')",sure,sure,description
enough,enough,"('enough', 'VBN')",enough,enough,description
edge,edge,"('edge', 'NN')",edg,edge,description
Bahía,bahía,"('bahía', 'NN')",bahía,bahía,description
de,de,"('de', 'IN')",de,de,description
Todos,todos,"('todos', 'FW')",todo,todos,description
Santos,santos,"('santos', 'NNS')",santo,santos,description
south,south,"('south', 'RB')",south,south,description
Tijuana,tijuana,"('tijuana', 'NN')",tijuana,tijuana,description
attractive,attractive,"('attractive', 'JJ')",attract,attractive,description
port,port,"('port', 'NN')",port,port,description
ENSENADA,ensenada,"('ensenada', 'NN')",ensenada,ensenada,description
far,far,"('far', 'RB')",far,far,description
calmer,calmer,"('calmer', 'JJ')",calmer,calm,description
cheaper,cheaper,"('cheaper', 'JJR')",cheaper,cheap,description
smaller,smaller,"('smaller', 'JJR')",smaller,small,description
northern,northern,"('northern', 'JJ')",northern,northern,description
rival,rival,"('rival', 'JJ')",rival,rival,description
making,making,"('making', 'VBG')",make,make,description
inviting,inviting,"('inviting', 'NN')",invit,inviting,description
point,point,"('point', 'NN')",point,point,description
wineries,wineries,"('wineries', 'NNS')",wineri,winery,description
east,east,"('east', 'NN')",east,east,description
Like,like,"('like', 'IN')",like,like,description
Tijuana,tijuana,"('tijuana', 'NN')",tijuana,tijuana,description
Ensenada,ensenada,"('ensenada', 'NN')",ensenada,ensenada,description
relatively,relatively,"('relatively', 'RB')",rel,relatively,description
recent,recent,"('recent', 'JJ')",recent,recent,description
creation,creation,"('creation', 'NN')",creation,creation,description
Mexican,mexican,"('mexican', 'JJ')",mexican,mexican,description
standards,standards,"('standards', 'NNS')",standard,standard,description
despite,despite,"('despite', 'IN')",despit,despite,description
