token,normed_token,pos_tags,stemmed_token,lemma_token,class
REAL,real,"('real', 'JJ')",real,real,introduction
DE,de,"('de', 'FW')",de,de,introduction
CATORCE,catorce,"('catorce', 'NN')",catorc,catorce,introduction
extraordinary,extraordinary,"('extraordinary', 'JJ')",extraordinari,extraordinary,introduction
place,place,"('place', 'NN')",place,place,introduction
Silver,silver,"('silver', 'NN')",silver,silver,introduction
mines,mines,"('mines', 'NNS')",mine,mine,introduction
founded,founded,"('founded', 'VBN')",found,found,introduction
surrounding,surrounding,"('surrounding', 'VBG')",surround,surround,introduction
hills,hills,"('hills', 'NNS')",hill,hill,introduction
height,height,"('height', 'NN')",height,height,introduction
production,production,"('production', 'NN')",product,production,introduction
town,town,"('town', 'NN')",town,town,introduction
forty,forty,"('forty', 'VBN')",forti,forty,introduction
thousand,thousand,"('thousand', 'JJ')",thousand,thousand,introduction
inhabitants,inhabitants,"('inhabitants', 'NNS')",inhabit,inhabitant,introduction
turn,turn,"('turn', 'NN')",turn,turn,introduction
twentieth,twentieth,"('twentieth', 'JJ')",twentieth,twentieth,introduction
century,century,"('century', 'NN')",centuri,century,introduction
mining,mining,"('mining', 'NN')",mine,mining,introduction
operations,operations,"('operations', 'NNS')",oper,operation,introduction
slowed,slowed,"('slowed', 'VBN')",slow,slow,introduction
ceased,ceased,"('ceased', 'VBD')",ceas,cease,introduction
entirely,entirely,"('entirely', 'RB')",entir,entirely,introduction
leaving,leaving,"('leaving', 'VBG')",leav,leave,introduction
population,population,"('population', 'NN')",popul,population,introduction
drop,drop,"('drop', 'VB')",drop,drop,introduction
virtually,virtually,"('virtually', 'RB')",virtual,virtually,introduction
zero,zero,"('zero', 'CD')",zero,zero,introduction
next,next,"('next', 'JJ')",next,next,introduction
years,years,"('years', 'NNS')",year,year,introduction
period,period,"('period', 'NN')",period,period,introduction
hundred,hundred,"('hundred', 'CD')",hundr,hundred,introduction
inhabitants,inhabitants,"('inhabitants', 'NNS')",inhabit,inhabitant,introduction
hung,hung,"('hung', 'NN')",hung,hung,introduction
enclave,enclave,"('enclave', 'NN')",enclav,enclave,introduction
centre,centre,"('centre', 'NN')",centr,centre,introduction
surrounded,surrounded,"('surrounded', 'VBN')",surround,surround,introduction
derelict,derelict,"('derelict', 'NN')",derelict,derelict,introduction
roofless,roofless,"('roofless', 'NN')",roofless,roofless,introduction
mansions,mansions,"('mansions', 'NNS')",mansion,mansion,introduction
crumbling,crumbling,"('crumbling', 'VBG')",crumbl,crumble,introduction
foundations,foundations,"('foundations', 'NNS')",foundat,foundation,introduction
odd,odd,"('odd', 'JJ')",odd,odd,introduction
segment,segment,"('segment', 'NN')",segment,segment,introduction
wall,wall,"('wall', 'NN')",wall,wall,introduction
Legend,legend,"('legend', 'NN')",legend,legend,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
Real,real,"('real', 'JJ')",real,real,introduction
was,was,"('was', 'VBD')",wa,be,introduction
discovered,discovered,"('discovered', 'VBN')",discov,discover,introduction
Italian,italian,"('italian', 'JJ')",italian,italian,introduction
hippy,hippy,"('hippy', 'JJ')",hippi,hippy,introduction
searching,searching,"('searching', 'VBG')",search,search,introduction
peyote,peyote,"('peyote', 'NN')",peyot,peyote,introduction
perhaps,perhaps,"('perhaps', 'RB')",perhap,perhaps,introduction
explains,explains,"('explains', 'VBZ')",explain,explain,introduction
town,town,"('town', 'NN')",town,town,introduction
curious,curious,"('curious', 'JJ')",curiou,curious,introduction
Italian,italian,"('italian', 'JJ')",italian,italian,introduction
connection,connection,"('connection', 'NN')",connect,connection,introduction
particularly,particularly,"('particularly', 'RB')",particularli,particularly,introduction
since,since,"('since', 'IN')",sinc,since,introduction
influx,influx,"('influx', 'NN')",influx,influx,introduction
artists,artists,"('artists', 'NNS')",artist,artist,introduction
artesanía,artesanía,"('artesanía', 'VBP')",artesanía,artesanía,introduction
vendors,vendors,"('vendors', 'NNS')",vendor,vendor,introduction
wealthy,wealthy,"('wealthy', 'JJ')",wealthi,wealthy,introduction
Mexicans,mexicans,"('mexicans', 'NNS')",mexican,mexican,introduction
foreigners,foreigners,"('foreigners', 'NNS')",foreign,foreigner,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
given,given,"('given', 'VBN')",given,give,introduction
town,town,"('town', 'NN')",town,town,introduction
impetus,impetus,"('impetus', 'NN')",impetu,impetus,introduction
begin,begin,"('begin', 'VB')",begin,begin,introduction
rebuilding,rebuilding,"('rebuilding', 'VBG')",rebuild,rebuild,introduction
centre,centre,"('centre', 'NN')",centr,centre,description
has,has,"('has', 'VBZ')",ha,have,description
restored,restored,"('restored', 'VBN')",restor,restore,description
reoccupied,reoccupied,"('reoccupied', 'VBN')",reoccupi,reoccupied,description
extent,extent,"('extent', 'NN')",extent,extent,description
tag,tag,"('tag', 'NN')",tag,tag,description
entirely,entirely,"('entirely', 'RB')",entir,entirely,description
appropriate,appropriate,"('appropriate', 'JJ')",appropri,appropriate,description
though,though,"('though', 'IN')",though,though,description
Real,real,"('real', 'JJ')",real,real,description
de,de,"('de', 'FW')",de,de,description
Catorce,catorce,"('catorce', 'NN')",catorc,catorce,description
certainly,certainly,"('certainly', 'RB')",certainli,certainly,description
retains,retains,"('retains', 'VBZ')",retain,retain,description
air,air,"('air', 'NN')",air,air,description
desolation,desolation,"('desolation', 'NN')",desol,desolation,description
especially,especially,"('especially', 'RB')",especi,especially,description
outskirts,outskirts,"('outskirts', 'NNS')",outskirt,outskirt,description
occasional,occasional,"('occasional', 'JJ')",occasion,occasional,description
shoulders,shoulders,"('shoulders', 'NNS')",shoulder,shoulder,description
way,way,"('way', 'NN')",way,way,description
narrow,narrow,"('narrow', 'JJ')",narrow,narrow,description
cobbled,cobbled,"('cobbled', 'JJ')",cobbl,cobbled,description
streets,streets,"('streets', 'NNS')",street,street,description
traffic,traffic,"('traffic', 'NN')",traffic,traffic,description
horses,horses,"('horses', 'NNS')",hors,horse,description
donkeys,donkeys,"('donkeys', 'VB')",donkey,donkeys,description
population,population,"('population', 'NN')",popul,population,description
stands,stands,"('stands', 'VBZ')",stand,stand,description
around,around,"('around', 'IN')",around,around,description
foreign,foreign,"('foreign', 'JJ')",foreign,foreign,description
contingent,contingent,"('contingent', 'NN')",conting,contingent,description
coexisting,coexisting,"('coexisting', 'VBG')",coexist,coexist,description
amiably,amiably,"('amiably', 'RB')",amiabl,amiably,description
locals,locals,"('locals', 'NNS')",local,local,description
increasingly,increasingly,"('increasingly', 'RB')",increasingli,increasingly,description
depend,depend,"('depend', 'VBP')",depend,depend,description
tourist,tourist,"('tourist', 'NN')",tourist,tourist,description
industry,industry,"('industry', 'NN')",industri,industry,description
was,was,"('was', 'VBD')",wa,be,description
made,made,"('made', 'VBN')",made,make,description
Pueblo,pueblo,"('pueblo', 'JJ')",pueblo,pueblo,description
Mágico,mágico,"('mágico', 'NN')",mágico,mágico,description
town,town,"('town', 'NN')",town,town,description
has,has,"('has', 'VBZ')",ha,have,description
also,also,"('also', 'RB')",also,also,description
become,become,"('become', 'VBN')",becom,become,description
another,another,"('another', 'DT')",anoth,another,description
popular,popular,"('popular', 'JJ')",popular,popular,description
Hollywood,hollywood,"('hollywood', 'NN')",hollywood,hollywood,description
