token,normed_token,pos_tags,stemmed_token,lemma_token,class
state,state,"('state', 'NN')",state,state,introduction
Oaxaca,oaxaca,"('oaxaca', 'NN')",oaxaca,oaxaca,introduction
one,one,"('one', 'CD')",one,one,introduction
enticing,enticing,"('enticing', 'JJ')",entic,enticing,introduction
destinations,destinations,"('destinations', 'NNS')",destin,destination,introduction
Mexico,mexico,"('mexico', 'NN')",mexico,mexico,introduction
state,state,"('state', 'NN')",state,state,introduction
capital,capital,"('capital', 'NN')",capit,capital,introduction
cosmopolitan,cosmopolitan,"('cosmopolitan', 'NN')",cosmopolitan,cosmopolitan,introduction
yet,yet,"('yet', 'RB')",yet,yet,introduction
utterly,utterly,"('utterly', 'JJ')",utterli,utterly,introduction
Mexican,mexican,"('mexican', 'JJ')",mexican,mexican,introduction
encapsulates,encapsulates,"('encapsulates', 'NNS')",encapsul,encapsulates,introduction
much,much,"('much', 'RB')",much,much,introduction
region,region,"('region', 'NN')",region,region,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
offer,offer,"('offer', 'VB')",offer,offer,introduction
surrounding,surrounding,"('surrounding', 'VBG')",surround,surround,introduction
countryside,countryside,"('countryside', 'NN')",countrysid,countryside,introduction
indigenous,indigenous,"('indigenous', 'JJ')",indigen,indigenous,introduction
traditions,traditions,"('traditions', 'NNS')",tradit,tradition,introduction
powerful,powerful,"('powerful', 'JJ')",power,powerful,introduction
nowhere,nowhere,"('nowhere', 'RB')",nowher,nowhere,introduction
else,else,"('else', 'RB')",els,else,introduction
country,country,"('country', 'NN')",countri,country,introduction
markets,markets,"('markets', 'NNS')",market,market,introduction
infused,infused,"('infused', 'JJ')",infus,infused,introduction
colour,colour,"('colour', 'VBP')",colour,colour,introduction
fiestas,fiestas,"('fiestas', 'NNS')",fiesta,fiesta,introduction
exuberant,exuberant,"('exuberant', 'JJ')",exuber,exuberant,introduction
old,old,"('old', 'JJ')",old,old,introduction
languages,languages,"('languages', 'NNS')",languag,language,introduction
still,still,"('still', 'RB')",still,still,introduction
widely,widely,"('widely', 'RB')",wide,widely,introduction
spoken,spoken,"('spoken', 'VBN')",spoken,speak,introduction
traditions,traditions,"('traditions', 'NNS')",tradit,tradition,introduction
villages,villages,"('villages', 'NNS')",villag,village,introduction
long,long,"('long', 'RB')",long,long,introduction
predate,predate,"('predate', 'VBP')",predat,predate,introduction
Spanish,spanish,"('spanish', 'JJ')",spanish,spanish,introduction
Conquest,conquest,"('conquest', 'NN')",conquest,conquest,introduction
yet,yet,"('yet', 'RB')",yet,yet,introduction
city,city,"('city', 'NN')",citi,city,introduction
also,also,"('also', 'RB')",also,also,introduction
offer,offer,"('offer', 'VB')",offer,offer,introduction
sophisticated,sophisticated,"('sophisticated', 'JJ')",sophist,sophisticated,introduction
modern,modern,"('modern', 'JJ')",modern,modern,introduction
dining,dining,"('dining', 'VBG')",dine,din,introduction
great,great,"('great', 'JJ')",great,great,introduction
places,places,"('places', 'NNS')",place,place,introduction
stay,stay,"('stay', 'VB')",stay,stay,introduction
wild,wild,"('wild', 'VB')",wild,wild,introduction
nightlife,nightlife,"('nightlife', 'IN')",nightlif,nightlife,introduction
landscape,landscape,"('landscape', 'NN')",landscap,landscape,introduction
represents,represents,"('represents', 'VBZ')",repres,represent,introduction
fundamental,fundamental,"('fundamental', 'JJ')",fundament,fundamental,introduction
break,break,"('break', 'NN')",break,break,introduction
barren,barren,"('barren', 'NN')",barren,barren,introduction
deserts,deserts,"('deserts', 'NNS')",desert,desert,introduction
north,north,"('north', 'NN')",north,north,introduction
replaced,replaced,"('replaced', 'VBN')",replac,replace,introduction
thickly,thickly,"('thickly', 'RB')",thickli,thickly,introduction
forested,forested,"('forested', 'VBN')",forest,forest,introduction
hillsides,hillsides,"('hillsides', 'NNS')",hillsid,hillside,introduction
areas,areas,"('areas', 'NNS')",area,area,introduction
swamp,swamp,"('swamp', 'NN')",swamp,swamp,introduction
jungle,jungle,"('jungle', 'NN')",jungl,jungle,introduction
Pacific,pacific,"('pacific', 'NN')",pacif,pacific,introduction
coast,coast,"('coast', 'NN')",coast,coast,introduction
Puerto,puerto,"('puerto', 'NN')",puerto,puerto,introduction
Escondido,escondido,"('escondido', 'VBP')",escondido,escondido,introduction
Dropdown,dropdown,"('dropdown', 'VBN')",dropdown,dropdown,introduction
content,content,"('content', 'NN')",content,content,introduction
Huatulco,huatulco,"('huatulco', 'NN')",huatulco,huatulco,introduction
Dropdown,dropdown,"('dropdown', 'NN')",dropdown,dropdown,introduction
content,content,"('content', 'NN')",content,content,introduction
established,established,"('established', 'VBN')",establish,establish,introduction
resorts,resorts,"('resorts', 'NNS')",resort,resort,introduction
very,very,"('very', 'RB')",veri,very,introduction
different,different,"('different', 'JJ')",differ,different,introduction
characters,characters,"('characters', 'NNS')",charact,character,introduction
Puerto,puerto,"('puerto', 'NN')",puerto,puerto,introduction
Ángel,ángel,"('ángel', 'NNP')",ángel,ángel,introduction
surrounds,surrounds,"('surrounds', 'NNS')",surround,surround,introduction
offer,offer,"('offer', 'VBP')",offer,offer,introduction
beach,beach,"('beach', 'NN')",beach,beach,introduction
experience,experience,"('experience', 'NN')",experi,experience,introduction
come,come,"('come', 'VBN')",come,come,description
Mexico,mexico,"('mexico', 'JJ')",mexico,mexico,description
City,city,"('city', 'NN')",citi,city,description
north,north,"('north', 'JJ')",north,north,description
physical,physical,"('physical', 'JJ')",physic,physical,description
differences,differences,"('differences', 'NNS')",differ,difference,description
region,region,"('region', 'NN')",region,region,description
compounded,compounded,"('compounded', 'VBN')",compound,compound,description
relative,relative,"('relative', 'JJ')",rel,relative,description
lack,lack,"('lack', 'NN')",lack,lack,description
development,development,"('development', 'NN')",develop,development,description
Industry,industry,"('industry', 'NN')",industri,industry,description
virtually,virtually,"('virtually', 'RB')",virtual,virtually,description
nonexistent,nonexistent,"('nonexistent', 'JJ')",nonexist,nonexistent,description
city,city,"('city', 'NN')",citi,city,description
Oaxaca,oaxaca,"('oaxaca', 'NN')",oaxaca,oaxaca,description
coastal,coastal,"('coastal', 'JJ')",coastal,coastal,description
hot,hot,"('hot', 'JJ')",hot,hot,description
spots,spots,"('spots', 'NNS')",spot,spot,description
thrived,thrived,"('thrived', 'VBN')",thrive,thrive,description
tourism,tourism,"('tourism', 'NN')",tourism,tourism,description
rest,rest,"('rest', 'NN')",rest,rest,description
state,state,"('state', 'NN')",state,state,description
woefully,woefully,"('woefully', 'RB')",woefulli,woefully,description
underdeveloped,underdeveloped,"('underdeveloped', 'JJ')",underdevelop,underdeveloped,description
Mexican,mexican,"('mexican', 'JJ')",mexican,mexican,description
economic,economic,"('economic', 'JJ')",econom,economic,description
miracle,miracle,"('miracle', 'NN')",miracl,miracle,description
has,has,"('has', 'VBZ')",ha,have,description
yet,yet,"('yet', 'RB')",yet,yet,description
reach,reach,"('reach', 'VB')",reach,reach,description
south,south,"('south', 'JJ')",south,south,description
Indeed,indeed,"('indeed', 'RB')",inde,indeed,description
region,region,"('region', 'NN')",region,region,description
witnessed,witnessed,"('witnessed', 'VBD')",wit,witness,description
considerable,considerable,"('considerable', 'JJ')",consider,considerable,description
political,political,"('political', 'JJ')",polit,political,description
disturbance,disturbance,"('disturbance', 'NN')",disturb,disturbance,description
early,early,"('early', 'JJ')",earli,early,description
years,years,"('years', 'NNS')",year,year,description
century,century,"('century', 'NN')",centuri,century,description
though,though,"('though', 'IN')",though,though,description
moment,moment,"('moment', 'NN')",moment,moment,description
protests,protests,"('protests', 'NNS')",protest,protest,description
seem,seem,"('seem', 'VBP')",seem,seem,description
city,city,"('city', 'NN')",citi,city,description
Oaxaca,oaxaca,"('oaxaca', 'NN')",oaxaca,oaxaca,description
region,region,"('region', 'NN')",region,region,description
prime,prime,"('prime', 'JJ')",prime,prime,description
destination,destination,"('destination', 'NN')",destin,destination,description
close,close,"('close', 'RB')",close,close,description
enough,enough,"('enough', 'RB')",enough,enough,description
Mexico,mexico,"('mexico', 'VB')",mexico,mexico,description
City,city,"('city', 'NN')",citi,city,description
attract,attract,"('attract', 'VB')",attract,attract,description
large,large,"('large', 'JJ')",larg,large,description
numbers,numbers,"('numbers', 'NNS')",number,number,description
tourists,tourists,"('tourists', 'NNS')",tourist,tourist,description
fine,fine,"('fine', 'JJ')",fine,fine,description
crafts,crafts,"('crafts', 'NN')",craft,craft,description
stores,stores,"('stores', 'NNS')",store,store,description
markets,markets,"('markets', 'NNS')",market,market,description
seemingly,seemingly,"('seemingly', 'RB')",seemingli,seemingly,description
constant,constant,"('constant', 'JJ')",constant,constant,description
fiestas,fiestas,"('fiestas', 'NNS')",fiesta,fiesta,description
cobbled,cobbled,"('cobbled', 'VBD')",cobbl,cobble,description
walkways,walkways,"('walkways', 'NNS')",walkway,walkway,description
excellent,excellent,"('excellent', 'JJ')",excel,excellent,description
restaurants,restaurants,"('restaurants', 'NNS')",restaur,restaurant,description
