token,normed_token,pos_tags,stemmed_token,lemma_token,class
Shoehorned,shoehorned,"('shoehorned', 'VBN')",shoehorn,shoehorn,introduction
narrow,narrow,"('narrow', 'JJ')",narrow,narrow,introduction
ravine,ravine,"('ravine', 'NN')",ravin,ravine,introduction
GUANAJUATO,guanajuato,"('guanajuato', 'NN')",guanajuato,guanajuato,introduction
was,was,"('was', 'VBD')",wa,be,introduction
centuries,centuries,"('centuries', 'NNS')",centuri,century,introduction
wealthiest,wealthiest,"('wealthiest', 'JJS')",wealthiest,wealthy,introduction
city,city,"('city', 'NN')",citi,city,introduction
Mexico,mexico,"('mexico', 'CC')",mexico,mexico,introduction
mines,mines,"('mines', 'NNS')",mine,mine,introduction
pouring,pouring,"('pouring', 'VBG')",pour,pour,introduction
silver,silver,"('silver', 'NN')",silver,silver,introduction
gold,gold,"('gold', 'NN')",gold,gold,introduction
prodigious,prodigious,"('prodigious', 'JJ')",prodigi,prodigious,introduction
quantities,quantities,"('quantities', 'NNS')",quantiti,quantity,introduction
Today,today,"('today', 'NN')",today,today,introduction
presents,presents,"('presents', 'VBZ')",present,present,introduction
astonishing,astonishing,"('astonishing', 'JJ')",astonish,astonishing,introduction
sight,sight,"('sight', 'NN')",sight,sight,introduction
upon,upon,"('upon', 'IN')",upon,upon,introduction
emerging,emerging,"('emerging', 'VBG')",emerg,emerge,introduction
surrounding,surrounding,"('surrounding', 'VBG')",surround,surround,introduction
hills,hills,"('hills', 'NNS')",hill,hill,introduction
come,come,"('come', 'VBP')",come,come,introduction
city,city,"('city', 'NN')",citi,city,introduction
quite,quite,"('quite', 'RB')",quit,quite,introduction
suddenly,suddenly,"('suddenly', 'RB')",suddenli,suddenly,introduction
riot,riot,"('riot', 'NN')",riot,riot,introduction
colonial,colonial,"('colonial', 'JJ')",coloni,colonial,introduction
architecture,architecture,"('architecture', 'NN')",architectur,architecture,introduction
tumbling,tumbling,"('tumbling', 'VBG')",tumbl,tumble,introduction
hills,hills,"('hills', 'NNS')",hill,hill,introduction
steep,steep,"('steep', 'JJ')",steep,steep,introduction
times,times,"('times', 'NNS')",time,time,introduction
seems,seems,"('seems', 'VBZ')",seem,seem,introduction
roof,roof,"('roof', 'NN')",roof,roof,introduction
one,one,"('one', 'CD')",one,one,introduction
building,building,"('building', 'NN')",build,building,introduction
suspended,suspended,"('suspended', 'VBN')",suspend,suspend,introduction
floor,floor,"('floor', 'NN')",floor,floor,introduction
last,last,"('last', 'JJ')",last,last,introduction
Declared,declared,"('declared', 'VBD')",declar,declare,introduction
UNESCO,unesco,"('unesco', 'JJ')",unesco,unesco,introduction
World,world,"('world', 'NN')",world,world,introduction
Heritage,heritage,"('heritage', 'NN')",heritag,heritage,introduction
Site,site,"('site', 'NN')",site,site,introduction
Guanajuato,guanajuato,"('guanajuato', 'NN')",guanajuato,guanajuato,introduction
protective,protective,"('protective', 'JJ')",protect,protective,introduction
image,image,"('image', 'NN')",imag,image,introduction
traffic,traffic,"('traffic', 'NN')",traffic,traffic,introduction
lights,lights,"('lights', 'NNS')",light,light,introduction
neon,neon,"('neon', 'JJ')",neon,neon,introduction
signs,signs,"('signs', 'NNS')",sign,sign,introduction
topography,topography,"('topography', 'NN')",topographi,topography,introduction
ensures,ensures,"('ensures', 'VBZ')",ensur,ensure,introduction
room,room,"('room', 'NN')",room,room,introduction
new,new,"('new', 'JJ')",new,new,introduction
buildings,buildings,"('buildings', 'NNS')",build,building,introduction
town,town,"('town', 'NN')",town,town,introduction
pristine,pristine,"('pristine', 'NN')",pristin,pristine,introduction
reputation,reputation,"('reputation', 'NN')",reput,reputation,introduction
was,was,"('was', 'VBD')",wa,be,introduction
cemented,cemented,"('cemented', 'VBN')",cement,cement,introduction
Pope,pope,"('pope', 'NN')",pope,pope,introduction
Benedict,benedict,"('benedict', 'NN')",benedict,benedict,introduction
XVI,xvi,"('xvi', 'NNP')",xvi,xvi,introduction
chose,chose,"('chose', 'VBD')",chose,choose,introduction
Guanajuato,guanajuato,"('guanajuato', 'NNS')",guanajuato,guanajuato,introduction
neighbouring,neighbouring,"('neighbouring', 'VBG')",neighbour,neighbour,introduction
León,león,"('león', 'NN')",león,león,introduction
only,only,"('only', 'JJ')",onli,only,introduction
stops,stops,"('stops', 'NN')",stop,stop,introduction
his,his,"('his', 'PRP$')",hi,his,introduction
Mexican,mexican,"('mexican', 'JJ')",mexican,mexican,introduction
visit,visit,"('visit', 'NN')",visit,visit,introduction
Today,today,"('today', 'NN')",today,today,description
