token,normed_token,pos_tags,stemmed_token,lemma_token,class
Built,built,"('built', 'VBN')",built,build,introduction
reclaimed,reclaimed,"('reclaimed', 'VBN')",reclaim,reclaim,introduction
swamp,swamp,"('swamp', 'NN')",swamp,swamp,introduction
two,two,"('two', 'CD')",two,two,introduction
miles,miles,"('miles', 'NNS')",mile,mile,introduction
east,east,"('east', 'RB')",east,east,introduction
downtown,downtown,"('downtown', 'NN')",downtown,downtown,introduction
Honolulu,honolulu,"('honolulu', 'NN')",honolulu,honolulu,introduction
Waikiki,waikiki,"('waikiki', 'NN')",waikiki,waikiki,introduction
very,very,"('very', 'RB')",veri,very,introduction
nearly,nearly,"('nearly', 'RB')",nearli,nearly,introduction
island,island,"('island', 'NN')",island,island,introduction
separated,separated,"('separated', 'VBN')",separ,separate,introduction
city,city,"('city', 'NN')",citi,city,introduction
sea,sea,"('sea', 'NN')",sea,sea,introduction
Ala,ala,"('ala', 'NN')",ala,ala,introduction
Wai,wai,"('wai', 'WRB')",wai,wai,introduction
canal,canal,"('canal', 'NN')",canal,canal,introduction
site,site,"('site', 'NN')",site,site,introduction
may,may,"('may', 'MD')",may,may,introduction
venerable,venerable,"('venerable', 'JJ')",vener,venerable,introduction
days,days,"('days', 'NNS')",day,day,introduction
raisond,raisond,"('raisond', 'NN')",raisond,raisond,introduction
être,être,"('être', 'NN')",être,être,introduction
rampant,rampant,"('rampant', 'JJ')",rampant,rampant,introduction
commercialism,commercialism,"('commercialism', 'NN')",commerci,commercialism,introduction
could,could,"('could', 'MD')",could,could,introduction
survive,survive,"('survive', 'JJ')",surviv,survive,introduction
very,very,"('very', 'RB')",veri,very,introduction
little,little,"('little', 'JJ')",littl,little,introduction
money,money,"('money', 'NN')",money,money,introduction
would,would,"('would', 'MD')",would,would,introduction
point,point,"('point', 'NN')",point,point,introduction
nothing,nothing,"('nothing', 'NN')",noth,nothing,introduction
see,see,"('see', 'VB')",see,see,introduction
only,only,"('only', 'JJ')",onli,only,introduction
thing,thing,"('thing', 'NN')",thing,thing,introduction
apart,apart,"('apart', 'RB')",apart,apart,introduction
surf,surf,"('surf', 'NN')",surf,surf,introduction
sunbathe,sunbathe,"('sunbathe', 'NN')",sunbath,sunbathe,introduction
stroll,stroll,"('stroll', 'VB')",stroll,stroll,introduction
shop,shop,"('shop', 'VB')",shop,shop,introduction
along,along,"('along', 'IN')",along,along,introduction
seafront,seafront,"('seafront', 'NN')",seafront,seafront,introduction
Kalakaua,kalakaua,"('kalakaua', 'NN')",kalakaua,kalakaua,introduction
Avenue,avenue,"('avenue', 'NN')",avenu,avenue,introduction
places,places,"('places', 'NNS')",place,place,description
parallel,parallel,"('parallel', 'JJ')",parallel,parallel,description
Waikiki,waikiki,"('waikiki', 'NN')",waikiki,waikiki,description
Beach,beach,"('beach', 'NN')",beach,beach,description
narrows,narrows,"('narrows', 'VBZ')",narrow,narrow,description
thin,thin,"('thin', 'JJ')",thin,thin,description
strip,strip,"('strip', 'NN')",strip,strip,description
sand,sand,"('sand', 'NN')",sand,sand,description
still,still,"('still', 'RB')",still,still,description
wonderful,wonderful,"('wonderful', 'JJ')",wonder,wonderful,description
place,place,"('place', 'NN')",place,place,description
spend,spend,"('spend', 'VB')",spend,spend,description
lazy,lazy,"('lazy', 'JJ')",lazi,lazy,description
day,day,"('day', 'NN')",day,day,description
always,always,"('always', 'RB')",alway,always,description
something,something,"('something', 'NN')",someth,something,description
going,going,"('going', 'VBG')",go,go,description
surf,surf,"('surf', 'JJ')",surf,surf,description
lessons,lessons,"('lessons', 'NNS')",lesson,lesson,description
outrigger,outrigger,"('outrigger', 'VB')",outrigg,outrigger,description
canoe,canoe,"('canoe', 'NN')",cano,canoe,description
rides,rides,"('rides', 'VBZ')",ride,rid,description
pedestrian,pedestrian,"('pedestrian', 'JJ')",pedestrian,pedestrian,description
walkway,walkway,"('walkway', 'NN')",walkway,walkway,description
along,along,"('along', 'IN')",along,along,description
edge,edge,"('edge', 'NN')",edg,edge,description
lined,lined,"('lined', 'VBN')",line,line,description
pleasant,pleasant,"('pleasant', 'JJ')",pleasant,pleasant,description
gardens,gardens,"('gardens', 'NNS')",garden,garden,description
makes,makes,"('makes', 'VBZ')",make,make,description
refuge,refuge,"('refuge', 'NN')",refug,refuge,description
frenzy,frenzy,"('frenzy', 'NN')",frenzi,frenzy,description
nearby,nearby,"('nearby', 'RB')",nearbi,nearby,description
usually,usually,"('usually', 'RB')",usual,usually,description
only,only,"('only', 'RB')",onli,only,description
walk,walk,"('walk', 'VB')",walk,walk,description
little,little,"('little', 'JJ')",littl,little,description
west,west,"('west', 'NN')",west,west,description
centre,centre,"('centre', 'NN')",centr,centre,description
find,find,"('find', 'VB')",find,find,description
secluded,secluded,"('secluded', 'JJ')",seclud,secluded,description
spot,spot,"('spot', 'NN')",spot,spot,description
