token,normed_token,pos_tags,stemmed_token,lemma_token,class
Almost,almost,"('almost', 'RB')",almost,almost,introduction
above,above,"('above', 'IN')",abov,above,introduction
sea,sea,"('sea', 'NN')",sea,sea,introduction
level,level,"('level', 'NN')",level,level,introduction
crammed,crammed,"('crammed', 'VBD')",cram,cram,introduction
narrow,narrow,"('narrow', 'JJ')",narrow,narrow,introduction
gully,gully,"('gully', 'RB')",gulli,gully,introduction
two,two,"('two', 'CD')",two,two,introduction
hills,hills,"('hills', 'NNS')",hill,hill,introduction
old,old,"('old', 'JJ')",old,old,introduction
silver,silver,"('silver', 'NN')",silver,silver,introduction
town,town,"('town', 'NN')",town,town,introduction
ZACATECAS,zacatecas,"('zacatecas', 'NN')",zacateca,zacatecas,introduction
overflowing,overflowing,"('overflowing', 'VBG')",overflow,overflow,introduction
ornate,ornate,"('ornate', 'JJ')",ornat,ornate,introduction
colonial,colonial,"('colonial', 'JJ')",coloni,colonial,introduction
architecture,architecture,"('architecture', 'NN')",architectur,architecture,introduction
intriguing,intriguing,"('intriguing', 'NN')",intrigu,intriguing,introduction
museums,museums,"('museums', 'NNS')",museum,museum,introduction
ranking,ranking,"('ranking', 'VBG')",rank,rank,introduction
alongside,alongside,"('alongside', 'RB')",alongsid,alongside,introduction
Guanajuato,guanajuato,"('guanajuato', 'NN')",guanajuato,guanajuato,introduction
Bajío,bajío,"('bajío', 'NN')",bajío,bajío,introduction
finest,finest,"('finest', 'JJS')",finest,fine,introduction
destinations,destinations,"('destinations', 'NNS')",destin,destination,introduction
obvious,obvious,"('obvious', 'JJ')",obviou,obvious,introduction
wealth,wealth,"('wealth', 'NN')",wealth,wealth,introduction
projected,projected,"('projected', 'VBN')",project,project,introduction
fine,fine,"('fine', 'JJ')",fine,fine,introduction
stone,stone,"('stone', 'NN')",stone,stone,introduction
buildings,buildings,"('buildings', 'NNS')",build,building,introduction
makes,makes,"('makes', 'VBZ')",make,make,introduction
this,this,"('this', 'DT')",thi,this,introduction
another,another,"('another', 'DT')",anoth,another,introduction
city,city,"('city', 'NN')",citi,city,introduction
seems,seems,"('seems', 'VBZ')",seem,seem,introduction
plucked,plucked,"('plucked', 'VBN')",pluck,pluck,introduction
straight,straight,"('straight', 'VBD')",straight,straight,introduction
classical,classical,"('classical', 'JJ')",classic,classical,introduction
Spain,spain,"('spain', 'NN')",spain,spain,introduction
