token,normed_token,pos_tags,stemmed_token,lemma_token,class
uniformly,uniformly,"('uniformly', 'JJ')",uniformli,uniformly,introduction
skyscrapers,skyscrapers,"('skyscrapers', 'NNS')",skyscrap,skyscraper,introduction
etched,etched,"('etched', 'VBN')",etch,etch,introduction
across,across,"('across', 'IN')",across,across,introduction
Downtown,downtown,"('downtown', 'NN')",downtown,downtown,introduction
Toronto,toronto,"('toronto', 'NN')",toronto,toronto,introduction
skyline,skyline,"('skyline', 'NN')",skylin,skyline,introduction
trumpet,trumpet,"('trumpet', 'IN')",trumpet,trumpet,introduction
clout,clout,"('clout', 'NN')",clout,clout,introduction
city,city,"('city', 'NN')",citi,city,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
discarded,discarded,"('discarded', 'VBN')",discard,discard,introduction
dowdy,dowdy,"('dowdy', 'JJ')",dowdi,dowdy,introduction
provincialism,provincialism,"('provincialism', 'NN')",provinci,provincialism,introduction
early,early,"('early', 'JJ')",earli,early,introduction
years,years,"('years', 'NNS')",year,year,introduction
become,become,"('become', 'VB')",becom,become,introduction
economic,economic,"('economic', 'JJ')",econom,economic,introduction
powerhouse,powerhouse,"('powerhouse', 'NN')",powerhous,powerhouse,introduction
right,right,"('right', 'NN')",right,right,introduction
false,false,"('false', 'JJ')",fals,false,introduction
modesty,modesty,"('modesty', 'NN')",modesti,modesty,introduction
kicking,kicking,"('kicking', 'VBG')",kick,kick,introduction
Toronto,toronto,"('toronto', 'NN')",toronto,toronto,introduction
mascot,mascot,"('mascot', 'VBD')",mascot,mascot,introduction
CN,cn,"('cn', 'NN')",cn,cn,introduction
Tower,tower,"('tower', 'NN')",tower,tower,introduction
whose,whose,"('whose', 'WP$')",whose,whose,introduction
observation,observation,"('observation', 'NN')",observ,observation,introduction
platforms,platforms,"('platforms', 'NNS')",platform,platform,introduction
provide,provide,"('provide', 'VBP')",provid,provide,introduction
panoramic,panoramic,"('panoramic', 'JJ')",panoram,panoramic,introduction
views,views,"('views', 'NNS')",view,view,introduction
city,city,"('city', 'NN')",citi,city,introduction
immediate,immediate,"('immediate', 'JJ')",immedi,immediate,introduction
surroundings,surroundings,"('surroundings', 'NNS')",surround,surroundings,introduction
brief,brief,"('brief', 'JJ')",brief,brief,introduction
stroll,stroll,"('stroll', 'NN')",stroll,stroll,introduction
handsome,handsome,"('handsome', 'JJ')",handsom,handsome,introduction
symmetries,symmetries,"('symmetries', 'NNS')",symmetri,symmetry,introduction
Union,union,"('union', 'NN')",union,union,introduction
Station,station,"('station', 'NN')",station,station,introduction
stands,stands,"('stands', 'VBZ')",stand,stand,introduction
edge,edge,"('edge', 'NN')",edg,edge,introduction
Banking,banking,"('banking', 'NN')",bank,banking,introduction
District,district,"('district', 'NN')",district,district,introduction
striking,striking,"('striking', 'VBG')",strike,strike,introduction
march,march,"('march', 'NN')",march,march,introduction
north,north,"('north', 'NN')",north,north,introduction
Yonge,yonge,"('yonge', 'NN')",yong,yonge,introduction
Street,street,"('street', 'NN')",street,street,introduction
far,far,"('far', 'RB')",far,far,introduction
Queen,queen,"('queen', 'JJ')",queen,queen,introduction
Street,street,"('street', 'NN')",street,street,introduction
one,one,"('one', 'CD')",one,one,introduction
number,number,"('number', 'NN')",number,number,introduction
Toronto,toronto,"('toronto', 'JJ')",toronto,toronto,introduction
Dominion,dominion,"('dominion', 'NN')",dominion,dominion,introduction
Centre,centre,"('centre', 'NN')",centr,centre,introduction
