token,normed_token,pos_tags,stemmed_token,lemma_token,class
thousands,thousands,"('thousands', 'NNS')",thousand,thousand,introduction
watched,watched,"('watched', 'VBN')",watch,watch,introduction
Charles,charles,"('charles', 'NNS')",charl,charles,introduction
Blondin,blondin,"('blondin', 'VBP')",blondin,blondin,introduction
walked,walked,"('walked', 'VBD')",walk,walk,introduction
tightrope,tightrope,"('tightrope', 'NN')",tightrop,tightrope,introduction
across,across,"('across', 'IN')",across,across,introduction
Niagara,niagara,"('niagara', 'NN')",niagara,niagara,introduction
Falls,falls,"('falls', 'NNS')",fall,fall,introduction
third,third,"('third', 'JJ')",third,third,introduction
time,time,"('time', 'NN')",time,time,introduction
Midway,midway,"('midway', 'NN')",midway,midway,introduction
paused,paused,"('paused', 'VBD')",paus,pause,introduction
cook,cook,"('cook', 'VB')",cook,cook,introduction
omelette,omelette,"('omelette', 'NN')",omelett,omelette,introduction
portable,portable,"('portable', 'JJ')",portabl,portable,introduction
grill,grill,"('grill', 'NN')",grill,grill,introduction
marksman,marksman,"('marksman', 'JJ')",marksman,marksman,introduction
shoot,shoot,"('shoot', 'NN')",shoot,shoot,introduction
hole,hole,"('hole', 'NN')",hole,hole,introduction
his,his,"('his', 'PRP$')",hi,his,introduction
hat,hat,"('hat', 'NN')",hat,hat,introduction
Maid,maid,"('maid', 'NN')",maid,maid,introduction
Mist,mist,"('mist', 'NN')",mist,mist,introduction
boat,boat,"('boat', 'NN')",boat,boat,introduction
fifty,fifty,"('fifty', 'NN')",fifti,fifty,introduction
metres,metres,"('metres', 'NNS')",metr,metre,introduction
attested,attested,"('attested', 'VBN')",attest,attest,introduction
Blondin,blondin,"('blondin', 'NN')",blondin,blondin,introduction
innumerable,innumerable,"('innumerable', 'JJ')",innumer,innumerable,introduction
lunatics,lunatics,"('lunatics', 'NNS')",lunat,lunatic,introduction
publicity,publicity,"('publicity', 'NN')",public,publicity,introduction
seekers,seekers,"('seekers', 'NNS')",seeker,seeker,introduction
gone,gone,"('gone', 'VBN')",gone,go,introduction
Falls,falls,"('falls', 'NNS')",fall,fall,introduction
every,every,"('every', 'DT')",everi,every,introduction
craft,craft,"('craft', 'NN')",craft,craft,introduction
imaginable,imaginable,"('imaginable', 'JJ')",imagin,imaginable,introduction
Falls,falls,"('falls', 'NNS')",fall,fall,introduction
simply,simply,"('simply', 'RB')",simpli,simply,introduction
beat,beat,"('beat', 'VBN')",beat,beat,introduction
theatrical,theatrical,"('theatrical', 'JJ')",theatric,theatrical,introduction
setting,setting,"('setting', 'NN')",set,setting,introduction
Yet,yet,"('yet', 'RB')",yet,yet,introduction
truth,truth,"('truth', 'NN')",truth,truth,introduction
stupendous,stupendous,"('stupendous', 'JJ')",stupend,stupendous,introduction
first,first,"('first', 'JJ')",first,first,introduction
impression,impression,"('impression', 'NN')",impress,impression,introduction
last,last,"('last', 'JJ')",last,last,introduction
long,long,"('long', 'JJ')",long,long,introduction
prevent,prevent,"('prevent', 'VB')",prevent,prevent,introduction
thirteen,thirteen,"('thirteen', 'JJ')",thirteen,thirteen,introduction
million,million,"('million', 'CD')",million,million,introduction
visitors,visitors,"('visitors', 'NNS')",visitor,visitor,introduction
arrive,arrive,"('arrive', 'VBP')",arriv,arrive,introduction
year,year,"('year', 'NN')",year,year,introduction
getting,getting,"('getting', 'VBG')",get,get,introduction
bored,bored,"('bored', 'VBN')",bore,bore,introduction
sight,sight,"('sight', 'NN')",sight,sight,introduction
load,load,"('load', 'NN')",load,load,introduction
water,water,"('water', 'NN')",water,water,introduction
crashing,crashing,"('crashing', 'NN')",crash,crashing,introduction
cliff,cliff,"('cliff', 'NN')",cliff,cliff,introduction
Niagarans,niagarans,"('niagarans', 'NNS')",niagaran,niagarans,introduction
ensured,ensured,"('ensured', 'VBN')",ensur,ensure,introduction
Falls,falls,"('falls', 'NNS')",fall,fall,introduction
seen,seen,"('seen', 'VBN')",seen,see,introduction
every,every,"('every', 'DT')",everi,every,introduction
angle,angle,"('angle', 'NN')",angl,angle,introduction
imaginable,imaginable,"('imaginable', 'JJ')",imagin,imaginable,introduction
boats,boats,"('boats', 'NNS')",boat,boat,introduction
viewing,viewing,"('viewing', 'VBG')",view,view,introduction
towers,towers,"('towers', 'NNS')",tower,tower,introduction
helicopters,helicopters,"('helicopters', 'NNS')",helicopt,helicopter,introduction
cable,cable,"('cable', 'NN')",cabl,cable,introduction
cars,cars,"('cars', 'NNS')",car,car,introduction
even,even,"('even', 'RB')",even,even,introduction
tunnels,tunnels,"('tunnels', 'NNS')",tunnel,tunnel,introduction
rock,rock,"('rock', 'NN')",rock,rock,introduction
face,face,"('face', 'NN')",face,face,introduction
behind,behind,"('behind', 'IN')",behind,behind,introduction
cascade,cascade,"('cascade', 'NN')",cascad,cascade,introduction
tunnels,tunnels,"('tunnels', 'NNS')",tunnel,tunnel,introduction
boats,boats,"('boats', 'NNS')",boat,boat,introduction
exciting,exciting,"('exciting', 'JJ')",excit,exciting,introduction
entrance,entrance,"('entrance', 'NN')",entranc,entrance,introduction
former,former,"('former', 'JJ')",former,former,introduction
right,right,"('right', 'NN')",right,right,introduction
next,next,"('next', 'IN')",next,next,introduction
Falls,falls,"('falls', 'NNS')",fall,fall,introduction
Table,table,"('table', 'JJ')",tabl,table,introduction
Rock,rock,"('rock', 'NN')",rock,rock,introduction
House,house,"('house', 'NN')",hous,house,introduction
latter,latter,"('latter', 'JJ')",latter,latter,introduction
leaving,leaving,"('leaving', 'VBG')",leav,leave,introduction
foot,foot,"('foot', 'NN')",foot,foot,introduction
cliff,cliff,"('cliff', 'NN')",cliff,cliff,introduction
end,end,"('end', 'NN')",end,end,introduction
Clifton,clifton,"('clifton', 'NN')",clifton,clifton,introduction
Hill,hill,"('hill', 'NN')",hill,hill,introduction
downriver,downriver,"('downriver', 'VB')",downriv,downriver,introduction
give,give,"('give', 'VB')",give,give,introduction
real,real,"('real', 'JJ')",real,real,introduction
sense,sense,"('sense', 'NN')",sens,sense,introduction
extraordinary,extraordinary,"('extraordinary', 'JJ')",extraordinari,extraordinary,introduction
force,force,"('force', 'NN')",forc,force,introduction
waterfall,waterfall,"('waterfall', 'NN')",waterfal,waterfall,introduction
perpetual,perpetual,"('perpetual', 'JJ')",perpetu,perpetual,introduction
thundering,thundering,"('thundering', 'NN')",thunder,thundering,introduction
Mahler,mahler,"('mahler', 'RBS')",mahler,mahler,introduction
bawling,bawling,"('bawling', 'NN')",bawl,bawling,introduction
last,last,"('last', 'JJ')",last,last,introduction
fortissimo,fortissimo,"('fortissimo', 'NN')",fortissimo,fortissimo,introduction
din,din,"('din', 'NN')",din,din,introduction
Falls,falls,"('falls', 'NNS')",fall,fall,introduction
themselves,themselves,"('themselves', 'PRP')",themselv,themselves,introduction
sure,sure,"('sure', 'JJ')",sure,sure,introduction
allow,allow,"('allow', 'VB')",allow,allow,introduction
enough,enough,"('enough', 'JJ')",enough,enough,introduction
time,time,"('time', 'NN')",time,time,introduction
explore,explore,"('explore', 'VB')",explor,explore,introduction
Niagara,niagara,"('niagara', 'NN')",niagara,niagara,introduction
River,river,"('river', 'NN')",river,river,introduction
along,along,"('along', 'IN')",along,along,introduction
either,either,"('either', 'CC')",either,either,introduction
Niagara,niagara,"('niagara', 'JJ')",niagara,niagara,introduction
Parkway,parkway,"('parkway', 'NN')",parkway,parkway,introduction
road,road,"('road', 'NN')",road,road,introduction
Niagara,niagara,"('niagara', 'JJ')",niagara,niagara,introduction
River,river,"('river', 'NN')",river,river,introduction
Recreation,recreation,"('recreation', 'NN')",recreat,recreation,introduction
Trail,trail,"('trail', 'IN')",trail,trail,introduction
jogging,jogging,"('jogging', 'NN')",jog,jogging,introduction
cycle,cycle,"('cycle', 'NN')",cycl,cycle,introduction
path,path,"('path', 'NN')",path,path,introduction
road,road,"('road', 'NN')",road,road,introduction
trail,trail,"('trail', 'NN')",trail,trail,introduction
stretch,stretch,"('stretch', 'VBP')",stretch,stretch,introduction
length,length,"('length', 'NN')",length,length,introduction
Niagara,niagara,"('niagara', 'JJ')",niagara,niagara,introduction
River,river,"('river', 'NN')",river,river,introduction
Fort,fort,"('fort', 'NN')",fort,fort,introduction
Erie,erie,"('erie', 'NN')",eri,erie,introduction
upstream,upstream,"('upstream', 'NN')",upstream,upstream,introduction
Falls,falls,"('falls', 'NNS')",fall,fall,introduction
day,day,"('day', 'NN')",day,day,description
enough,enough,"('enough', 'JJ')",enough,enough,description
time,time,"('time', 'NN')",time,time,description
see,see,"('see', 'VB')",see,see,description
Falls,falls,"('falls', 'NNS')",fall,fall,description
immediate,immediate,"('immediate', 'JJ')",immedi,immediate,description
surroundings,surroundings,"('surroundings', 'NNS')",surround,surroundings,description
decide,decide,"('decide', 'VB')",decid,decide,description
spend,spend,"('spend', 'VB')",spend,spend,description
night,night,"('night', 'NN')",night,night,description
hereabouts,hereabouts,"('hereabouts', 'VBZ')",hereabout,hereabouts,description
quaint,quaint,"('quaint', 'NN')",quaint,quaint,description
