token,normed_token,pos_tags,stemmed_token,lemma_token,class
Wholly,wholly,"('wholly', 'RB')",wholli,wholly,introduction
BC,bc,"('bc', 'NN')",bc,bc,introduction
western,western,"('western', 'JJ')",western,western,introduction
side,side,"('side', 'NN')",side,side,introduction
Continental,continental,"('continental', 'JJ')",continent,continental,introduction
Divide,divide,"('divide', 'NN')",divid,divide,introduction
Lake,lake,"('lake', 'JJ')",lake,lake,introduction
Louise,louise,"('louise', 'NN')",louis,louise,introduction
YOHO,yoho,"('yoho', 'NNP')",yoho,yoho,introduction
NATIONAL,national,"('national', 'JJ')",nation,national,introduction
PARK,park,"('park', 'NN')",park,park,introduction
name,name,"('name', 'NN')",name,name,introduction
derives,derives,"('derives', 'VBZ')",deriv,derive,introduction
Cree,cree,"('cree', 'JJ')",cree,cree,introduction
word,word,"('word', 'NN')",word,word,introduction
meaning,meaning,"('meaning', 'NN')",mean,meaning,introduction
wonder,wonder,"('wonder', 'VB')",wonder,wonder,introduction
fitting,fitting,"('fitting', 'JJ')",fit,fitting,introduction
testament,testament,"('testament', 'NN')",testament,testament,introduction
awesome,awesome,"('awesome', 'JJ')",awesom,awesome,introduction
grandeur,grandeur,"('grandeur', 'NN')",grandeur,grandeur,introduction
mountains,mountains,"('mountains', 'NNS')",mountain,mountain,introduction
lakes,lakes,"('lakes', 'NNS')",lake,lake,introduction
waterfalls,waterfalls,"('waterfalls', 'NNS')",waterfal,waterfall,introduction
Yet,yet,"('yet', 'RB')",yet,yet,introduction
small,small,"('small', 'JJ')",small,small,introduction
park,park,"('park', 'NN')",park,park,introduction
whose,whose,"('whose', 'WP$')",whose,whose,introduction
intimate,intimate,"('intimate', 'JJ')",intim,intimate,introduction
scale,scale,"('scale', 'NN')",scale,scale,introduction
makes,makes,"('makes', 'VBZ')",make,make,introduction
one,one,"('one', 'CD')",one,one,introduction
favoured,favoured,"('favoured', 'VBN')",favour,favour,introduction
Rockies,rockies,"('rockies', 'NNS')",rocki,rockies,introduction
connoisseurs,connoisseurs,"('connoisseurs', 'NNS')",connoisseur,connoisseur,introduction
national,national,"('national', 'JJ')",nation,national,introduction
parks,parks,"('parks', 'NNS')",park,park,introduction
was,was,"('was', 'VBD')",wa,be,introduction
railway,railway,"('railway', 'NN')",railway,railway,introduction
spawned,spawned,"('spawned', 'VBD')",spawn,spawn,introduction
tourism,tourism,"('tourism', 'NN')",tourism,tourism,introduction
area,area,"('area', 'NN')",area,area,introduction
first,first,"('first', 'JJ')",first,first,introduction
hotel,hotel,"('hotel', 'NN')",hotel,hotel,introduction
Field,field,"('field', 'NN')",field,field,introduction
was,was,"('was', 'VBD')",wa,be,introduction
built,built,"('built', 'VBN')",built,build,introduction
Canadian,canadian,"('canadian', 'JJ')",canadian,canadian,introduction
Pacific,pacific,"('pacific', 'NN')",pacif,pacific,introduction
Railway,railway,"('railway', 'NN')",railway,railway,introduction
within,within,"('within', 'IN')",within,within,introduction
months,months,"('months', 'NNS')",month,month,introduction
sixteen,sixteen,"('sixteen', 'JJ')",sixteen,sixteen,introduction
square,square,"('square', 'JJ')",squar,square,introduction
kilometres,kilometres,"('kilometres', 'NNS')",kilometr,kilometre,introduction
foot,foot,"('foot', 'NN')",foot,foot,introduction
Mount,mount,"('mount', 'NN')",mount,mount,introduction
Stephen,stephen,"('stephen', 'VBP')",stephen,stephen,introduction
peak,peak,"('peak', 'NN')",peak,peak,introduction
Field,field,"('field', 'NN')",field,field,introduction
east,east,"('east', 'NN')",east,east,introduction
set,set,"('set', 'VBN')",set,set,introduction
aside,aside,"('aside', 'RB')",asid,aside,introduction
special,special,"('special', 'JJ')",special,special,introduction
reserve,reserve,"('reserve', 'NN')",reserv,reserve,introduction
Yoho,yoho,"('yoho', 'NN')",yoho,yoho,introduction
become,become,"('become', 'VBN')",becom,become,introduction
Canada,canada,"('canada', 'JJ')",canada,canada,introduction
second,second,"('second', 'JJ')",second,second,introduction
national,national,"('national', 'JJ')",nation,national,introduction
park,park,"('park', 'NN')",park,park,introduction
Hwy,hwy,"('hwy', 'NN')",hwi,hwy,description
divides,divides,"('divides', 'VBZ')",divid,divide,description
Yoho,yoho,"('yoho', 'RB')",yoho,yoho,description
neatly,neatly,"('neatly', 'RB')",neatli,neatly,description
half,half,"('half', 'JJ')",half,half,description
climbing,climbing,"('climbing', 'VBG')",climb,climb,description
Lake,lake,"('lake', 'JJ')",lake,lake,description
Louise,louise,"('louise', 'NN')",louis,louise,description
Kicking,kicking,"('kicking', 'JJ')",kick,kicking,description
Horse,horse,"('horse', 'NN')",hors,horse,description
Pass,pass,"('pass', 'NN')",pass,pas,description
share,share,"('share', 'NN')",share,share,description
broad,broad,"('broad', 'JJ')",broad,broad,description
glaciated,glaciated,"('glaciated', 'JJ')",glaciat,glaciated,description
valley,valley,"('valley', 'NN')",valley,valley,description
bottom,bottom,"('bottom', 'NN')",bottom,bottom,description
Kicking,kicking,"('kicking', 'VBG')",kick,kick,description
Horse,horse,"('horse', 'NN')",hors,horse,description
River,river,"('river', 'NN')",river,river,description
old,old,"('old', 'JJ')",old,old,description
Canadian,canadian,"('canadian', 'JJ')",canadian,canadian,description
Pacific,pacific,"('pacific', 'NN')",pacif,pacific,description
Railway,railway,"('railway', 'NN')",railway,railway,description
only,only,"('only', 'JJ')",onli,only,description
settlement,settlement,"('settlement', 'NN')",settlement,settlement,description
Field,field,"('field', 'NN')",field,field,description
has,has,"('has', 'VBZ')",ha,have,description
park,park,"('park', 'NN')",park,park,description
visitor,visitor,"('visitor', 'NN')",visitor,visitor,description
centre,centre,"('centre', 'VBP')",centr,centre,description
services,services,"('services', 'NNS')",servic,service,description
limited,limited,"('limited', 'JJ')",limit,limited,description
accommodation,accommodation,"('accommodation', 'NN')",accommod,accommodation,description
nearest,nearest,"('nearest', 'JJS')",nearest,near,description
towns,towns,"('towns', 'NNS')",town,town,description
Lake,lake,"('lake', 'JJ')",lake,lake,description
Louise,louise,"('louise', 'NN')",louis,louise,description
east,east,"('east', 'NN')",east,east,description
Golden,golden,"('golden', 'JJ')",golden,golden,description
west,west,"('west', 'NN')",west,west,description
accommodation,accommodation,"('accommodation', 'NN')",accommod,accommodation,description
available,available,"('available', 'JJ')",avail,available,description
trail,trail,"('trail', 'NN')",trail,trail,description
hubs,hubs,"('hubs', 'NNS')",hub,hub,description
Lake,lake,"('lake', 'VBP')",lake,lake,description
Hara,hara,"('hara', 'PDT')",hara,hara,description
Yoho,yoho,"('yoho', 'NN')",yoho,yoho,description
Valley,valley,"('valley', 'NN')",valley,valley,description
Emerald,emerald,"('emerald', 'JJ')",emerald,emerald,description
Lake,lake,"('lake', 'VB')",lake,lake,description
start,start,"('start', 'NN')",start,start,description
stunning,stunning,"('stunning', 'JJ')",stun,stunning,description
hiking,hiking,"('hiking', 'VBG')",hike,hike,description
routes,routes,"('routes', 'NNS')",rout,route,description
main,main,"('main', 'JJ')",main,main,description
focal,focal,"('focal', 'JJ')",focal,focal,description
points,points,"('points', 'NNS')",point,point,description
passenger,passenger,"('passenger', 'NN')",passeng,passenger,description
services,services,"('services', 'NNS')",servic,service,description
longer,longer,"('longer', 'RBR')",longer,longer,description
come,come,"('come', 'VB')",come,come,description
Field,field,"('field', 'NN')",field,field,description
railway,railway,"('railway', 'NN')",railway,railway,description
still,still,"('still', 'RB')",still,still,description
one,one,"('one', 'CD')",one,one,description
park,park,"('park', 'NN')",park,park,description
sights,sights,"('sights', 'NNS')",sight,sight,description
among,among,"('among', 'IN')",among,among,description
first,first,"('first', 'JJ')",first,first,description
things,things,"('things', 'NNS')",thing,thing,description
see,see,"('see', 'VBP')",see,see,description
whether,whether,"('whether', 'IN')",whether,whether,description
enter,enter,"('enter', 'VBP')",enter,enter,description
east,east,"('east', 'NN')",east,east,description
west,west,"('west', 'JJS')",west,west,description
came,came,"('came', 'VBD')",came,come,description
this,this,"('this', 'DT')",thi,this,description
way,way,"('way', 'NN')",way,way,description
was,was,"('was', 'VBD')",wa,be,description
result,result,"('result', 'NN')",result,result,description
desperate,desperate,"('desperate', 'JJ')",desper,desperate,description
political,political,"('political', 'JJ')",polit,political,description
economic,economic,"('economic', 'JJ')",econom,economic,description
horse,horse,"('horse', 'NN')",hors,horse,description
trading,trading,"('trading', 'VBG')",trade,trade,description
Canadian,canadian,"('canadian', 'JJ')",canadian,canadian,description
Pacific,pacific,"('pacific', 'NN')",pacif,pacific,description
chief,chief,"('chief', 'JJ')",chief,chief,description
surveyor,surveyor,"('surveyor', 'NN')",surveyor,surveyor,description
Sandford,sandford,"('sandford', 'NN')",sandford,sandford,description
Fleming,fleming,"('fleming', 'VBG')",fleme,fleming,description
wrote,wrote,"('wrote', 'VBD')",wrote,write,description
his,his,"('his', 'PRP$')",hi,his,description
journey,journey,"('journey', 'NN')",journey,journey,description
proposed,proposed,"('proposed', 'VBN')",propos,propose,description
Kicking,kicking,"('kicking', 'NN')",kick,kicking,description
Horse,horse,"('horse', 'NN')",hors,horse,description
Pass,pass,"('pass', 'NN')",pass,pas,description
route,route,"('route', 'NN')",rout,route,description
think,think,"('think', 'VB')",think,think,description
forget,forget,"('forget', 'VB')",forget,forget,description
terrible,terrible,"('terrible', 'JJ')",terribl,terrible,description
walk,walk,"('walk', 'NN')",walk,walk,description
was,was,"('was', 'VBD')",wa,be,description
greatest,greatest,"('greatest', 'JJS')",greatest,great,description
trial,trial,"('trial', 'NN')",trial,trial,description
ever,ever,"('ever', 'RB')",ever,ever,description
Like,like,"('like', 'IN')",like,like,description
many,many,"('many', 'JJ')",mani,many,description
company,company,"('company', 'NN')",compani,company,description
was,was,"('was', 'VBD')",wa,be,description
convinced,convinced,"('convinced', 'VBN')",convinc,convince,description
railway,railway,"('railway', 'NN')",railway,railway,description
take,take,"('take', 'VB')",take,take,description
much,much,"('much', 'RB')",much,much,description
lower,lower,"('lower', 'JJR')",lower,low,description
amenable,amenable,"('amenable', 'JJ')",amen,amenable,description
Yellowhead,yellowhead,"('yellowhead', 'JJ')",yellowhead,yellowhead,description
route,route,"('route', 'NN')",rout,route,description
railway,railway,"('railway', 'NN')",railway,railway,description
was,was,"('was', 'VBD')",wa,be,description
much,much,"('much', 'JJ')",much,much,description
political,political,"('political', 'JJ')",polit,political,description
transportation,transportation,"('transportation', 'NN')",transport,transportation,description
tool,tool,"('tool', 'NN')",tool,tool,description
designed,designed,"('designed', 'VBN')",design,design,description
unite,unite,"('unite', 'VB')",unit,unite,description
country,country,"('country', 'NN')",countri,country,description
encourage,encourage,"('encourage', 'VB')",encourag,encourage,description
settlement,settlement,"('settlement', 'NN')",settlement,settlement,description
northerly,northerly,"('northerly', 'JJ')",northerli,northerly,description
route,route,"('route', 'NN')",rout,route,description
would,would,"('would', 'MD')",would,would,description
ignored,ignored,"('ignored', 'VBN')",ignor,ignore,description
great,great,"('great', 'JJ')",great,great,description
tracts,tracts,"('tracts', 'NNS')",tract,tract,description
valuable,valuable,"('valuable', 'JJ')",valuabl,valuable,description
prairie,prairie,"('prairie', 'NN')",prairi,prairie,description
near,near,"('near', 'IN')",near,near,description
US,us,"('us', 'PRP')",us,u,description
border,border,"('border', 'VBP')",border,border,description
around,around,"('around', 'IN')",around,around,description
Calgary,calgary,"('calgary', 'JJ')",calgari,calgary,description
allowed,allowed,"('allowed', 'VBD')",allow,allow,description
much,much,"('much', 'RB')",much,much,description
area,area,"('area', 'NN')",area,area,description
resources,resources,"('resources', 'NNS')",resourc,resource,description
slip,slip,"('slip', 'VB')",slip,slip,description
hands,hands,"('hands', 'NNS')",hand,hand,description
US,us,"('us', 'PRP')",us,u,description
engineering,engineering,"('engineering', 'NN')",engin,engineering,description
advice,advice,"('advice', 'NN')",advic,advice,description
railway,railway,"('railway', 'NN')",railway,railway,description
was,was,"('was', 'VBD')",wa,be,description
cajoled,cajoled,"('cajoled', 'VBN')",cajol,cajole,description
taking,taking,"('taking', 'VBG')",take,take,description
Kicking,kicking,"('kicking', 'VBG')",kick,kick,description
Horse,horse,"('horse', 'NN')",hors,horse,description
route,route,"('route', 'NN')",rout,route,description
thus,thus,"('thus', 'RB')",thu,thus,description
obliged,obliged,"('obliged', 'VBN')",oblig,oblige,description
negotiate,negotiate,"('negotiate', 'VB')",negoti,negotiate,description
grades,grades,"('grades', 'NNS')",grade,grade,description
greatest,greatest,"('greatest', 'JJS')",greatest,great,description
any,any,"('any', 'DT')",ani,any,description
commercial,commercial,"('commercial', 'JJ')",commerci,commercial,description
railway,railway,"('railway', 'NN')",railway,railway,description
result,result,"('result', 'NN')",result,result,description
was,was,"('was', 'VBD')",wa,be,description
famed,famed,"('famed', 'JJ')",fame,famed,description
Spiral,spiral,"('spiral', 'JJ')",spiral,spiral,description
Tunnels,tunnels,"('tunnels', 'NNS')",tunnel,tunnel,description
two,two,"('two', 'CD')",two,two,description
vast,vast,"('vast', 'JJ')",vast,vast,description
galleries,galleries,"('galleries', 'NNS')",galleri,gallery,description
within,within,"('within', 'IN')",within,within,description
mountains,mountains,"('mountains', 'NNS')",mountain,mountain,description
popular,popular,"('popular', 'JJ')",popular,popular,description
viewpoint,viewpoint,"('viewpoint', 'NN')",viewpoint,viewpoint,description
east,east,"('east', 'NN')",east,east,description
Field,field,"('field', 'NN')",field,field,description
watch,watch,"('watch', 'VB')",watch,watch,description
front,front,"('front', 'NN')",front,front,description
goods,goods,"('goods', 'NNS')",good,good,description
trains,trains,"('trains', 'NNS')",train,train,description
emerge,emerge,"('emerge', 'VBP')",emerg,emerge,description
tunnels,tunnels,"('tunnels', 'NNS')",tunnel,tunnel,description
before,before,"('before', 'IN')",befor,before,description
rear,rear,"('rear', 'NN')",rear,rear,description
wagons,wagons,"('wagons', 'NNS')",wagon,wagon,description
even,even,"('even', 'RB')",even,even,description
entered,entered,"('entered', 'VBN')",enter,enter,description
notorious,notorious,"('notorious', 'JJ')",notori,notorious,description
was,was,"('was', 'VBD')",wa,be,description
Big,big,"('big', 'JJ')",big,big,description
Hill,hill,"('hill', 'NN')",hill,hill,description
line,line,"('line', 'NN')",line,line,description
drops,drops,"('drops', 'VBZ')",drop,drop,description
Wapta,wapta,"('wapta', 'JJ')",wapta,wapta,description
Lake,lake,"('lake', 'NN')",lake,lake,description
flats,flats,"('flats', 'NNS')",flat,flat,description
east,east,"('east', 'VBP')",east,east,description
Field,field,"('field', 'NN')",field,field,description
first,first,"('first', 'JJ')",first,first,description
train,train,"('train', 'NN')",train,train,description
attempt,attempt,"('attempt', 'VB')",attempt,attempt,description
descent,descent,"('descent', 'NN')",descent,descent,description
plunged,plunged,"('plunged', 'VBD')",plung,plunge,description
canyon,canyon,"('canyon', 'NN')",canyon,canyon,description
killing,killing,"('killing', 'VBG')",kill,kill,description
three,three,"('three', 'CD')",three,three,description
railway,railway,"('railway', 'NN')",railway,railway,description
workers,workers,"('workers', 'NNS')",worker,worker,description
Runaways,runaways,"('runaways', 'VBP')",runaway,runaways,description
became,became,"('became', 'VBD')",becam,become,description
common,common,"('common', 'JJ')",common,common,description
four,four,"('four', 'CD')",four,four,description
blasts,blasts,"('blasts', 'NNS')",blast,blast,description
whistle,whistle,"('whistle', 'NN')",whistl,whistle,description
became,became,"('became', 'VBD')",becam,become,description
standard,standard,"('standard', 'NN')",standard,standard,description
warning,warning,"('warning', 'NN')",warn,warning,description
trains,trains,"('trains', 'NNS')",train,train,description
careering,careering,"('careering', 'VBG')",career,career,description
control,control,"('control', 'NN')",control,control,description
wreck,wreck,"('wreck', 'NN')",wreck,wreck,description
engine,engine,"('engine', 'NN')",engin,engine,description
still,still,"('still', 'RB')",still,still,description
seen,seen,"('seen', 'VBN')",seen,see,description
near,near,"('near', 'IN')",near,near,description
main,main,"('main', 'JJ')",main,main,description
Kicking,kicking,"('kicking', 'NN')",kick,kicking,description
Horse,horse,"('horse', 'NN')",hors,horse,description
Park,park,"('park', 'NN')",park,park,description
campground,campground,"('campground', 'NN')",campground,campground,description
Lady,lady,"('lady', 'NN')",ladi,lady,description
Agnes,agnes,"('agnes', 'NNS')",agn,agnes,description
Macdonald,macdonald,"('macdonald', 'VBP')",macdonald,macdonald,description
wife,wife,"('wife', 'NN')",wife,wife,description
Canadian,canadian,"('canadian', 'JJ')",canadian,canadian,description
prime,prime,"('prime', 'JJ')",prime,prime,description
minister,minister,"('minister', 'NN')",minist,minister,description
rode,rode,"('rode', 'VBD')",rode,ride,description
Big,big,"('big', 'JJ')",big,big,description
Hill,hill,"('hill', 'NN')",hill,hill,description
cowcatcher,cowcatcher,"('cowcatcher', 'NN')",cowcatch,cowcatcher,description
metal,metal,"('metal', 'NN')",metal,metal,description
frame,frame,"('frame', 'NN')",frame,frame,description
front,front,"('front', 'NN')",front,front,description
locomotive,locomotive,"('locomotive', 'JJ')",locomot,locomotive,description
scoop,scoop,"('scoop', 'VB')",scoop,scoop,description
animals,animals,"('animals', 'NNS')",anim,animal,description
track,track,"('track', 'NN')",track,track,description
remarking,remarking,"('remarking', 'VBG')",remark,remark,description
presented,presented,"('presented', 'VBD')",present,present,description
delightful,delightful,"('delightful', 'JJ')",delight,delightful,description
opportunity,opportunity,"('opportunity', 'NN')",opportun,opportunity,description
new,new,"('new', 'JJ')",new,new,description
sensation,sensation,"('sensation', 'NN')",sensat,sensation,description
already,already,"('already', 'RB')",alreadi,already,description
travelled,travelled,"('travelled', 'VBN')",travel,travel,description
around,around,"('around', 'RP')",around,around,description
unusual,unusual,"('unusual', 'JJ')",unusu,unusual,description
perch,perch,"('perch', 'NN')",perch,perch,description
husband,husband,"('husband', 'NN')",husband,husband,description
was,was,"('was', 'VBD')",wa,be,description
sharing,sharing,"('sharing', 'VBG')",share,share,description
symbolic,symbolic,"('symbolic', 'JJ')",symbol,symbolic,description
journey,journey,"('journey', 'NN')",journey,journey,description
commemorate,commemorate,"('commemorate', 'VB')",commemor,commemorate,description
