token,normed_token,pos_tags,stemmed_token,lemma_token,class
Although,although,"('although', 'IN')",although,although,introduction
traditionally,traditionally,"('traditionally', 'RB')",tradit,traditionally,introduction
viewed,viewed,"('viewed', 'VBN')",view,view,introduction
big,big,"('big', 'JJ')",big,big,introduction
Rockies,rockies,"('rockies', 'NNS')",rocki,rockies,introduction
park,park,"('park', 'VBP')",park,park,introduction
Banff,banff,"('banff', 'NN')",banff,banff,introduction
JASPER,jasper,"('jasper', 'JJ')",jasper,jasper,introduction
NATIONAL,national,"('national', 'JJ')",nation,national,introduction
PARK,park,"('park', 'NN')",park,park,introduction
covers,covers,"('covers', 'VBZ')",cover,cover,introduction
area,area,"('area', 'NN')",area,area,introduction
greater,greater,"('greater', 'JJR')",greater,great,introduction
Banff,banff,"('banff', 'NN')",banff,banff,introduction
Yoho,yoho,"('yoho', 'NN')",yoho,yoho,introduction
Kootenay,kootenay,"('kootenay', 'NN')",kootenay,kootenay,introduction
combined,combined,"('combined', 'VBN')",combin,combine,introduction
looks,looks,"('looks', 'VBZ')",look,look,introduction
feels,feels,"('feels', 'NNS')",feel,feel,introduction
far,far,"('far', 'RB')",far,far,introduction
wilder,wilder,"('wilder', 'JJR')",wilder,wild,introduction
less,less,"('less', 'RBR')",less,less,introduction
commercialized,commercialized,"('commercialized', 'VBN')",commerci,commercialize,introduction
rest,rest,"('rest', 'NN')",rest,rest,introduction
backcountry,backcountry,"('backcountry', 'NN')",backcountri,backcountry,introduction
extensive,extensive,"('extensive', 'JJ')",extens,extensive,introduction
less,less,"('less', 'RBR')",less,less,introduction
travelled,travelled,"('travelled', 'JJ')",travel,travelled,introduction
Jasper,jasper,"('jasper', 'VB')",jasper,jasper,introduction
only,only,"('only', 'JJ')",onli,only,introduction
settlement,settlement,"('settlement', 'NN')",settlement,settlement,introduction
relaxed,relaxed,"('relaxed', 'JJ')",relax,relaxed,introduction
far,far,"('far', 'RB')",far,far,introduction
less,less,"('less', 'JJR')",less,less,introduction
resort,resort,"('resort', 'NN')",resort,resort,introduction
Banff,banff,"('banff', 'NN')",banff,banff,introduction
half,half,"('half', 'PDT')",half,half,introduction
population,population,"('population', 'NN')",popul,population,introduction
pursuits,pursuits,"('pursuits', 'NNS')",pursuit,pursuit,introduction
centre,centre,"('centre', 'VBP')",centr,centre,introduction
Jasper,jasper,"('jasper', 'NN')",jasper,jasper,introduction
Maligne,maligne,"('maligne', 'NN')",malign,maligne,introduction
Lake,lake,"('lake', 'VB')",lake,lake,introduction
area,area,"('area', 'NN')",area,area,introduction
southeast,southeast,"('southeast', 'NN')",southeast,southeast,introduction
key,key,"('key', 'JJ')",key,key,introduction
zones,zones,"('zones', 'NNS')",zone,zone,introduction
Maligne,maligne,"('maligne', 'JJ')",malign,maligne,introduction
Canyon,canyon,"('canyon', 'NN')",canyon,canyon,introduction
way,way,"('way', 'NN')",way,way,introduction
lake,lake,"('lake', 'NN')",lake,lake,introduction
Icefields,icefields,"('icefields', 'NNS')",icefield,icefields,introduction
Parkway,parkway,"('parkway', 'RB')",parkway,parkway,introduction
Miette,miette,"('miette', 'NN')",miett,miette,introduction
Hot,hot,"('hot', 'JJ')",hot,hot,introduction
Springs,springs,"('springs', 'NNS')",spring,spring,introduction
region,region,"('region', 'NN')",region,region,introduction
area,area,"('area', 'NN')",area,area,introduction
well,well,"('well', 'RB')",well,well,introduction
east,east,"('east', 'NN')",east,east,introduction
Jasper,jasper,"('jasper', 'NN')",jasper,jasper,introduction
renowned,renowned,"('renowned', 'VBN')",renown,renowned,introduction
springs,springs,"('springs', 'NNS')",spring,spring,introduction
trails,trails,"('trails', 'NNS')",trail,trail,introduction
park,park,"('park', 'NN')",park,park,description
