token,normed_token,pos_tags,stemmed_token,lemma_token,class
Cradled,cradled,"('cradled', 'VBN')",cradl,cradle,introduction
ocean,ocean,"('ocean', 'NN')",ocean,ocean,introduction
mountains,mountains,"('mountains', 'NNS')",mountain,mountain,introduction
VANCOUVER,vancouver,"('vancouver', 'WDT')",vancouv,vancouver,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
dazzling,dazzling,"('dazzling', 'VBG')",dazzl,dazzle,introduction
Downtown,downtown,"('downtown', 'JJ')",downtown,downtown,introduction
district,district,"('district', 'NN')",district,district,introduction
fills,fills,"('fills', 'VBZ')",fill,fill,introduction
narrow,narrow,"('narrow', 'JJ')",narrow,narrow,introduction
peninsula,peninsula,"('peninsula', 'NN')",peninsula,peninsula,introduction
bounded,bounded,"('bounded', 'VBN')",bound,bound,introduction
Burrard,burrard,"('burrard', 'JJ')",burrard,burrard,introduction
Inlet,inlet,"('inlet', 'NN')",inlet,inlet,introduction
north,north,"('north', 'JJ')",north,north,introduction
English,english,"('english', 'JJ')",english,english,introduction
Bay,bay,"('bay', 'NN')",bay,bay,introduction
west,west,"('west', 'NN')",west,west,introduction
False,false,"('false', 'JJ')",fals,false,introduction
Creek,creek,"('creek', 'NN')",creek,creek,introduction
south,south,"('south', 'JJ')",south,south,introduction
Greater,greater,"('greater', 'JJR')",greater,great,introduction
Vancouver,vancouver,"('vancouver', 'NN')",vancouv,vancouver,introduction
sprawls,sprawls,"('sprawls', 'VBZ')",sprawl,sprawl,introduction
south,south,"('south', 'RB')",south,south,introduction
Fraser,fraser,"('fraser', 'NN')",fraser,fraser,introduction
River,river,"('river', 'NN')",river,river,introduction
Edged,edged,"('edged', 'VBD')",edg,edge,introduction
around,around,"('around', 'IN')",around,around,introduction
idyllic,idyllic,"('idyllic', 'JJ')",idyl,idyllic,introduction
waterfront,waterfront,"('waterfront', 'NN')",waterfront,waterfront,introduction
fine,fine,"('fine', 'JJ')",fine,fine,introduction
beaches,beaches,"('beaches', 'NNS')",beach,beach,introduction
dynamic,dynamic,"('dynamic', 'JJ')",dynam,dynamic,introduction
port,port,"('port', 'NN')",port,port,introduction
magnificent,magnificent,"('magnificent', 'JJ')",magnific,magnificent,introduction
swath,swath,"('swath', 'NN')",swath,swath,introduction
parkland,parkland,"('parkland', 'NN')",parkland,parkland,introduction
This,this,"('this', 'DT')",thi,this,introduction
forms,forms,"('forms', 'VBZ')",form,form,introduction
nice,nice,"('nice', 'JJ')",nice,nice,introduction
contrast,contrast,"('contrast', 'NN')",contrast,contrast,introduction
skyscrapers,skyscrapers,"('skyscrapers', 'NNS')",skyscrap,skyscraper,introduction
look,look,"('look', 'VBP')",look,look,introduction
across,across,"('across', 'IN')",across,across,introduction
Burrard,burrard,"('burrard', 'NN')",burrard,burrard,introduction
Inlet,inlet,"('inlet', 'NN')",inlet,inlet,introduction
bustling,bustling,"('bustling', 'VBG')",bustl,bustle,introduction
harbour,harbour,"('harbour', 'NN')",harbour,harbour,introduction
residential,residential,"('residential', 'JJ')",residenti,residential,introduction
districts,districts,"('districts', 'NNS')",district,district,introduction
North,north,"('north', 'JJ')",north,north,introduction
West,west,"('west', 'JJS')",west,west,introduction
Vancouver,vancouver,"('vancouver', 'NN')",vancouv,vancouver,introduction
Beyond,beyond,"('beyond', 'IN')",beyond,beyond,description
comfortable,comfortable,"('comfortable', 'JJ')",comfort,comfortable,description
suburbs,suburbs,"('suburbs', 'NNS')",suburb,suburb,description
Coast,coast,"('coast', 'NN')",coast,coast,description
Mountains,mountains,"('mountains', 'NNS')",mountain,mountain,description
rise,rise,"('rise', 'VBP')",rise,rise,description
steep,steep,"('steep', 'JJ')",steep,steep,description
forested,forested,"('forested', 'JJ')",forest,forested,description
slopes,slopes,"('slopes', 'NNS')",slope,slope,description
form,form,"('form', 'VB')",form,form,description
dramatic,dramatic,"('dramatic', 'JJ')",dramat,dramatic,description
counterpoint,counterpoint,"('counterpoint', 'NN')",counterpoint,counterpoint,description
Downtown,downtown,"('downtown', 'JJ')",downtown,downtown,description
skyline,skyline,"('skyline', 'NN')",skylin,skyline,description
stunning,stunning,"('stunning', 'JJ')",stun,stunning,description
city,city,"('city', 'NN')",citi,city,description
many,many,"('many', 'JJ')",mani,many,description
outdoor,outdoor,"('outdoor', 'JJ')",outdoor,outdoor,description
playgrounds,playgrounds,"('playgrounds', 'NNS')",playground,playground,description
Small,small,"('small', 'JJ')",small,small,description
wonder,wonder,"('wonder', 'VB')",wonder,wonder,description
given,given,"('given', 'VBN')",given,give,description
Vancouver,vancouver,"('vancouver', 'RP')",vancouv,vancouver,description
surroundings,surroundings,"('surroundings', 'NNS')",surround,surroundings,description
Greenpeace,greenpeace,"('greenpeace', 'NN')",greenpeac,greenpeace,description
was,was,"('was', 'VBD')",wa,be,description
founded,founded,"('founded', 'VBN')",found,found,description
two,two,"('two', 'CD')",two,two,description
million,million,"('million', 'CD')",million,million,description
residents,residents,"('residents', 'NNS')",resid,resident,description
exploit,exploit,"('exploit', 'VBP')",exploit,exploit,description
spectacular,spectacular,"('spectacular', 'JJ')",spectacular,spectacular,description
natural,natural,"('natural', 'JJ')",natur,natural,description
setting,setting,"('setting', 'NN')",set,setting,description
hilt,hilt,"('hilt', 'NN')",hilt,hilt,description
tire,tire,"('tire', 'VBP')",tire,tire,description
immediate,immediate,"('immediate', 'JJ')",immedi,immediate,description
region,region,"('region', 'NN')",region,region,description
travel,travel,"('travel', 'VB')",travel,travel,description
short,short,"('short', 'JJ')",short,short,description
distance,distance,"('distance', 'NN')",distanc,distance,description
vast,vast,"('vast', 'JJ')",vast,vast,description
wilderness,wilderness,"('wilderness', 'NN')",wilder,wilderness,description
BC,bc,"('bc', 'NN')",bc,bc,description
Interior,interior,"('interior', 'VBZ')",interior,interior,description
Whether,whether,"('whether', 'IN')",whether,whether,description
sailing,sailing,"('sailing', 'VBG')",sail,sail,description
swimming,swimming,"('swimming', 'VBG')",swim,swim,description
paddling,paddling,"('paddling', 'VBG')",paddl,paddle,description
fishing,fishing,"('fishing', 'NN')",fish,fishing,description
hiking,hiking,"('hiking', 'VBG')",hike,hike,description
skiing,skiing,"('skiing', 'VBG')",ski,ski,description
golf,golf,"('golf', 'NN')",golf,golf,description
tennis,tennis,"('tennis', 'NN')",tenni,tennis,description
locals,locals,"('locals', 'NNS')",local,local,description
barely,barely,"('barely', 'RB')",bare,barely,description
move,move,"('move', 'VB')",move,move,description
indulge,indulge,"('indulge', 'VB')",indulg,indulge,description
plethora,plethora,"('plethora', 'NN')",plethora,plethora,description
recreational,recreational,"('recreational', 'JJ')",recreat,recreational,description
whims,whims,"('whims', 'NNS')",whim,whim,description
Summer,summer,"('summer', 'NN')",summer,summer,description
winter,winter,"('winter', 'NN')",winter,winter,description
city,city,"('city', 'NN')",citi,city,description
oozes,oozes,"('oozes', 'VBZ')",ooz,ooze,description
hedonism,hedonism,"('hedonism', 'NN')",hedon,hedonism,description
healthy,healthy,"('healthy', 'JJ')",healthi,healthy,description
living,living,"('living', 'NN')",live,living,description
typically,typically,"('typically', 'RB')",typic,typically,description
West,west,"('west', 'JJ')",west,west,description
Coast,coast,"('coast', 'NN')",coast,coast,description
interests,interests,"('interests', 'NNS')",interest,interest,description
spill,spill,"('spill', 'VBP')",spill,spill,description
sophisticated,sophisticated,"('sophisticated', 'JJ')",sophist,sophisticated,description
arts,arts,"('arts', 'NNS')",art,art,description
culture,culture,"('culture', 'NN')",cultur,culture,description
scene,scene,"('scene', 'NN')",scene,scene,description
Vancouver,vancouver,"('vancouver', 'NN')",vancouv,vancouver,description
claims,claims,"('claims', 'VBZ')",claim,claim,description
museum,museum,"('museum', 'NN')",museum,museum,description
symphony,symphony,"('symphony', 'NN')",symphoni,symphony,description
orchestra,orchestra,"('orchestra', 'NN')",orchestra,orchestra,description
well,well,"('well', 'RB')",well,well,description
opera,opera,"('opera', 'NN')",opera,opera,description
theatre,theatre,"('theatre', 'NN')",theatr,theatre,description
dance,dance,"('dance', 'NN')",danc,dance,description
companies,companies,"('companies', 'NNS')",compani,company,description
cutting,cutting,"('cutting', 'VBG')",cut,cut,description
edge,edge,"('edge', 'NN')",edg,edge,description
contemporary,contemporary,"('contemporary', 'JJ')",contemporari,contemporary,description
arts,arts,"('arts', 'NNS')",art,art,description
Festivals,festivals,"('festivals', 'NNS')",festiv,festival,description
proliferate,proliferate,"('proliferate', 'VBP')",prolifer,proliferate,description
throughout,throughout,"('throughout', 'IN')",throughout,throughout,description
mild,mild,"('mild', 'JJ')",mild,mild,description
occasionally,occasionally,"('occasionally', 'RB')",occasion,occasionally,description
summer,summer,"('summer', 'NN')",summer,summer,description
numerous,numerous,"('numerous', 'JJ')",numer,numerous,description
music,music,"('music', 'NN')",music,music,description
venues,venues,"('venues', 'NNS')",venu,venue,description
provide,provide,"('provide', 'VBP')",provid,provide,description
hotbed,hotbed,"('hotbed', 'NN')",hotb,hotbed,description
rock,rock,"('rock', 'NN')",rock,rock,description
