token,normed_token,pos_tags,stemmed_token,lemma_token,class
Montréal,montréal,"('montréal', 'NN')",montréal,montréal,introduction
downtown,downtown,"('downtown', 'JJ')",downtown,downtown,introduction
lies,lies,"('lies', 'VBZ')",lie,lie,introduction
roughly,roughly,"('roughly', 'RB')",roughli,roughly,introduction
rue,rue,"('rue', 'JJ')",rue,rue,introduction
Sherbrooke,sherbrooke,"('sherbrooke', 'NN')",sherbrook,sherbrooke,introduction
rue,rue,"('rue', 'NN')",rue,rue,introduction
north,north,"('north', 'NN')",north,north,introduction
south,south,"('south', 'JJ')",south,south,introduction
towards,towards,"('towards', 'NNS')",toward,towards,introduction
rue,rue,"('rue', 'NN')",rue,rue,introduction
east,east,"('east', 'NN')",east,east,introduction
overlapping,overlapping,"('overlapping', 'VBG')",overlap,overlap,introduction
area,area,"('area', 'NN')",area,area,introduction
known,known,"('known', 'VBN')",known,know,introduction
Golden,golden,"('golden', 'JJ')",golden,golden,introduction
Square,square,"('square', 'NN')",squar,square,introduction
Mile,mile,"('mile', 'NN')",mile,mile,introduction
stretches,stretches,"('stretches', 'VBZ')",stretch,stretch,introduction
west,west,"('west', 'JJ')",west,west,introduction
beyond,beyond,"('beyond', 'IN')",beyond,beyond,introduction
rue,rue,"('rue', 'JJ')",rue,rue,introduction
Guy,guy,"('guy', 'NN')",guy,guy,introduction
main,main,"('main', 'JJ')",main,main,introduction
streets,streets,"('streets', 'NNS')",street,street,introduction
rue,rue,"('rue', 'VBP')",rue,rue,introduction
offers,offers,"('offers', 'VBZ')",offer,offer,introduction
way,way,"('way', 'NN')",way,way,introduction
shopping,shopping,"('shopping', 'VBG')",shop,shop,introduction
dining,dining,"('dining', 'NN')",dine,dining,introduction
entertainment,entertainment,"('entertainment', 'NN')",entertain,entertainment,introduction
boulevard,boulevard,"('boulevard', 'NN')",boulevard,boulevard,introduction
de,de,"('de', 'IN')",de,de,introduction
Maisonneuve,maisonneuve,"('maisonneuve', 'FW')",maisonneuv,maisonneuve,introduction
Quartier,quartier,"('quartier', 'NN')",quartier,quartier,introduction
des,des,"('des', 'VBZ')",de,des,introduction
Spectacles,spectacles,"('spectacles', 'NNS')",spectacl,spectacle,introduction
functions,functions,"('functions', 'NNS')",function,function,introduction
Montréal,montréal,"('montréal', 'NN')",montréal,montréal,introduction
entertainment,entertainment,"('entertainment', 'NN')",entertain,entertainment,introduction
hub,hub,"('hub', 'VBZ')",hub,hub,introduction
number,number,"('number', 'NN')",number,number,introduction
Métro,métro,"('métro', 'JJ')",métro,métro,introduction
stations,stations,"('stations', 'NNS')",station,station,introduction
provide,provide,"('provide', 'VBP')",provid,provide,introduction
easy,easy,"('easy', 'JJ')",easi,easy,introduction
access,access,"('access', 'NN')",access,access,introduction
downtown,downtown,"('downtown', 'VB')",downtown,downtown,introduction
attractions,attractions,"('attractions', 'NNS')",attract,attraction,introduction
linked,linked,"('linked', 'VBN')",link,link,introduction
Underground,underground,"('underground', 'JJ')",underground,underground,introduction
City,city,"('city', 'NN')",citi,city,introduction
area,area,"('area', 'NN')",area,area,introduction
also,also,"('also', 'RB')",also,also,introduction
dotted,dotted,"('dotted', 'VBN')",dot,dot,introduction
old,old,"('old', 'JJ')",old,old,introduction
churches,churches,"('churches', 'NNS')",church,church,introduction
museums,museums,"('museums', 'NNS')",museum,museum,introduction
public,public,"('public', 'JJ')",public,public,introduction
squares,squares,"('squares', 'NNS')",squar,square,introduction
filled,filled,"('filled', 'VBN')",fill,fill,introduction
activity,activity,"('activity', 'NN')",activ,activity,introduction
buskers,buskers,"('buskers', 'NNS')",busker,busker,introduction
artists,artists,"('artists', 'NNS')",artist,artist,introduction
market,market,"('market', 'NN')",market,market,introduction
vendors,vendors,"('vendors', 'NNS')",vendor,vendor,introduction
city,city,"('city', 'NN')",citi,city,description
main,main,"('main', 'JJ')",main,main,description
commercial,commercial,"('commercial', 'JJ')",commerci,commercial,description
thoroughfare,thoroughfare,"('thoroughfare', 'NN')",thoroughfar,thoroughfare,description
since,since,"('since', 'IN')",sinc,since,description
early,early,"('early', 'JJ')",earli,early,description
rue,rue,"('rue', 'NN')",rue,rue,description
stretches,stretches,"('stretches', 'NNS')",stretch,stretch,description
across,across,"('across', 'IN')",across,across,description
island,island,"('island', 'NN')",island,island,description
part,part,"('part', 'NN')",part,part,description
east,east,"('east', 'NN')",east,east,description
rue,rue,"('rue', 'NN')",rue,rue,description
Guy,guy,"('guy', 'NN')",guy,guy,description
serving,serving,"('serving', 'VBG')",serv,serve,description
main,main,"('main', 'JJ')",main,main,description
shopping,shopping,"('shopping', 'NN')",shop,shopping,description
artery,artery,"('artery', 'NN')",arteri,artery,description
consumerist,consumerist,"('consumerist', 'NN')",consumerist,consumerist,description
gloss,gloss,"('gloss', 'IN')",gloss,gloss,description
road,road,"('road', 'NN')",road,road,description
still,still,"('still', 'RB')",still,still,description
has,has,"('has', 'VBZ')",ha,have,description
seedy,seedy,"('seedy', 'NN')",seedi,seedy,description
bits,bits,"('bits', 'NNS')",bit,bit,description
occasional,occasional,"('occasional', 'JJ')",occasion,occasional,description
strip,strip,"('strip', 'NN')",strip,strip,description
club,club,"('club', 'NN')",club,club,description
enlivening,enlivening,"('enlivening', 'VBG')",enliven,enliven,description
streetscape,streetscape,"('streetscape', 'NN')",streetscap,streetscape,description
though,though,"('though', 'IN')",though,though,description
phased,phased,"('phased', 'VBN')",phase,phase,description
along,along,"('along', 'IN')",along,along,description
street,street,"('street', 'NN')",street,street,description
passes,passes,"('passes', 'VBZ')",pass,pass,description
Quartier,quartier,"('quartier', 'JJR')",quartier,quartier,description
Latin,latin,"('latin', 'JJ')",latin,latin,description
forms,forms,"('forms', 'NNS')",form,form,description
heart,heart,"('heart', 'NN')",heart,heart,description
gay,gay,"('gay', 'JJ')",gay,gay,description
village,village,"('village', 'NN')",villag,village,description
cuts,cuts,"('cuts', 'NNS')",cut,cut,description
Quartier,quartier,"('quartier', 'JJR')",quartier,quartier,description
des,des,"('des', 'NNS')",de,de,description
Spectacles,spectacles,"('spectacles', 'VBP')",spectacl,spectacles,description
splashy,splashy,"('splashy', 'JJ')",splashi,splashy,description
entertainment,entertainment,"('entertainment', 'NN')",entertain,entertainment,description
neighbours,neighbours,"('neighbours', 'NNS')",neighbour,neighbour,description
was,was,"('was', 'VBD')",wa,be,description
commissioned,commissioned,"('commissioned', 'VBN')",commiss,commission,description
Bishop,bishop,"('bishop', 'NN')",bishop,bishop,description
Ignace,ignace,"('ignace', 'NN')",ignac,ignace,description
Bourget,bourget,"('bourget', 'NN')",bourget,bourget,description
reminder,reminder,"('reminder', 'NN')",remind,reminder,description
Catholicism,catholicism,"('catholicism', 'NN')",catholic,catholicism,description
still,still,"('still', 'RB')",still,still,description
dominated,dominated,"('dominated', 'VBD')",domin,dominate,description
largest,largest,"('largest', 'JJS')",largest,large,description
city,city,"('city', 'NN')",citi,city,description
new,new,"('new', 'JJ')",new,new,description
Dominion,dominion,"('dominion', 'NN')",dominion,dominion,description
Canada,canada,"('canada', 'NNS')",canada,canada,description
Impressed,impressed,"('impressed', 'VBN')",impress,impress,description
St,st,"('st', 'NN')",st,st,description
Peter,peter,"('peter', 'NN')",peter,peter,description
visiting,visiting,"('visiting', 'VBG')",visit,visit,description
Rome,rome,"('rome', 'JJ')",rome,rome,description
Bourget,bourget,"('bourget', 'NN')",bourget,bourget,description
created,created,"('created', 'VBD')",creat,create,description
replica,replica,"('replica', 'NN')",replica,replica,description
famous,famous,"('famous', 'JJ')",famou,famous,description
church,church,"('church', 'NN')",church,church,description
statues,statues,"('statues', 'NNS')",statu,statue,description
crowning,crowning,"('crowning', 'VBG')",crown,crown,description
St,st,"('st', 'NN')",st,st,description
Peter,peter,"('peter', 'NN')",peter,peter,description
facade,facade,"('facade', 'NN')",facad,facade,description
Apostles,apostles,"('apostles', 'NNS')",apostl,apostle,description
thirteen,thirteen,"('thirteen', 'JJ')",thirteen,thirteen,description
statues,statues,"('statues', 'NNS')",statu,statue,description
atop,atop,"('atop', 'VBP')",atop,atop,description
smaller,smaller,"('smaller', 'JJR')",smaller,small,description
cousin,cousin,"('cousin', 'NN')",cousin,cousin,description
represent,represent,"('represent', 'VBP')",repres,represent,description
patron,patron,"('patron', 'NN')",patron,patron,description
saints,saints,"('saints', 'NNS')",saint,saint,description
parishes,parishes,"('parishes', 'NNS')",parish,parish,description
donated,donated,"('donated', 'VBD')",donat,donate,description
inside,inside,"('inside', 'NN')",insid,inside,description
opulent,opulent,"('opulent', 'JJ')",opul,opulent,description
might,might,"('might', 'MD')",might,might,description
expect,expect,"('expect', 'VB')",expect,expect,description
though,though,"('though', 'IN')",though,though,description
high,high,"('high', 'JJ')",high,high,description
altar,altar,"('altar', 'NN')",altar,altar,description
marble,marble,"('marble', 'JJ')",marbl,marble,description
onyx,onyx,"('onyx', 'NN')",onyx,onyx,description
ivory,ivory,"('ivory', 'NN')",ivori,ivory,description
surmounted,surmounted,"('surmounted', 'VBN')",surmount,surmount,description
gilded,gilded,"('gilded', 'JJ')",gild,gilded,description
copper,copper,"('copper', 'NN')",copper,copper,description
reproduction,reproduction,"('reproduction', 'NN')",reproduct,reproduction,description
Bernini,bernini,"('bernini', 'NN')",bernini,bernini,description
baldachin,baldachin,"('baldachin', 'NN')",baldachin,baldachin,description
altar,altar,"('altar', 'NN')",altar,altar,description
St,st,"('st', 'JJ')",st,st,description
Peter,peter,"('peter', 'NN')",peter,peter,description
left,left,"('left', 'VBN')",left,leave,description
entering,entering,"('entering', 'VBG')",enter,enter,description
Chapelle,chapelle,"('chapelle', 'NN')",chapel,chapelle,description
des,des,"('des', 'VBZ')",de,des,description
Souvenirs,souvenirs,"('souvenirs', 'JJ')",souvenir,souvenirs,description
contains,contains,"('contains', 'NNS')",contain,contains,description
various,various,"('various', 'JJ')",variou,various,description
relics,relics,"('relics', 'NNS')",relic,relic,description
including,including,"('including', 'VBG')",includ,include,description
remains,remains,"('remains', 'NNS')",remain,remains,description
St,st,"('st', 'NN')",st,st,description
Zoticus,zoticus,"('zoticus', 'NN')",zoticu,zoticus,description
patron,patron,"('patron', 'NN')",patron,patron,description
saint,saint,"('saint', 'NN')",saint,saint,description
quiet,quiet,"('quiet', 'JJ')",quiet,quiet,description
grounds,grounds,"('grounds', 'NNS')",ground,ground,description
Anglican,anglican,"('anglican', 'JJ')",anglican,anglican,description
Christ,christ,"('christ', 'NN')",christ,christ,description
Church,church,"('church', 'NN')",church,church,description
Cathedral,cathedral,"('cathedral', 'JJ')",cathedr,cathedral,description
provide,provide,"('provide', 'VBP')",provid,provide,description
welcome,welcome,"('welcome', 'JJ')",welcom,welcome,description
break,break,"('break', 'NN')",break,break,description
commercial,commercial,"('commercial', 'JJ')",commerci,commercial,description
strip,strip,"('strip', 'NN')",strip,strip,description
rue,rue,"('rue', 'NN')",rue,rue,description
church,church,"('church', 'NN')",church,church,description
slender,slender,"('slender', 'NN')",slender,slender,description
stone,stone,"('stone', 'NN')",stone,stone,description
spire,spire,"('spire', 'NN')",spire,spire,description
was,was,"('was', 'VBD')",wa,be,description
threatening,threatening,"('threatening', 'VBG')",threaten,threaten,description
crash,crash,"('crash', 'VB')",crash,crash,description
wooden,wooden,"('wooden', 'JJ')",wooden,wooden,description
roof,roof,"('roof', 'NN')",roof,roof,description
was,was,"('was', 'VBD')",wa,be,description
replaced,replaced,"('replaced', 'VBN')",replac,replace,description
peculiar,peculiar,"('peculiar', 'JJ')",peculiar,peculiar,description
aluminium,aluminium,"('aluminium', 'NN')",aluminium,aluminium,description
replica,replica,"('replica', 'NN')",replica,replica,description
Inside,inside,"('inside', 'IN')",insid,inside,description
soaring,soaring,"('soaring', 'VBG')",soar,soar,description
Gothic,gothic,"('gothic', 'JJ')",gothic,gothic,description
arches,arches,"('arches', 'NNS')",arch,arch,description
decorated,decorated,"('decorated', 'VBN')",decor,decorate,description
heads,heads,"('heads', 'NNS')",head,head,description
angels,angels,"('angels', 'NNS')",angel,angel,description
Evangelists,evangelists,"('evangelists', 'NNS')",evangelist,evangelist,description
poignant,poignant,"('poignant', 'JJ')",poignant,poignant,description
feature,feature,"('feature', 'NN')",featur,feature,description
Coventry,coventry,"('coventry', 'NN')",coventri,coventry,description
Cross,cross,"('cross', 'NN')",cross,cross,description
made,made,"('made', 'VBN')",made,make,description
nails,nails,"('nails', 'NNS')",nail,nail,description
salvaged,salvaged,"('salvaged', 'VBN')",salvag,salvage,description
England,england,"('england', 'NN')",england,england,description
Coventry,coventry,"('coventry', 'VBP')",coventri,coventry,description
Cathedral,cathedral,"('cathedral', 'JJ')",cathedr,cathedral,description
destroyed,destroyed,"('destroyed', 'VBN')",destroy,destroy,description
bombing,bombing,"('bombing', 'VBG')",bomb,bomb,description
during,during,"('during', 'IN')",dure,during,description
World,world,"('world', 'NN')",world,world,description
War,war,"('war', 'NN')",war,war,description
II,ii,"('ii', 'NN')",ii,ii,description
decline,decline,"('decline', 'NN')",declin,decline,description
congregation,congregation,"('congregation', 'NN')",congreg,congregation,description
cathedral,cathedral,"('cathedral', 'JJ')",cathedr,cathedral,description
authorities,authorities,"('authorities', 'NNS')",author,authority,description
desperation,desperation,"('desperation', 'NN')",desper,desperation,description
money,money,"('money', 'NN')",money,money,description
led,led,"('led', 'VBN')",led,lead,description
lease,lease,"('lease', 'VB')",leas,lease,description
land,land,"('land', 'NN')",land,land,description
around,around,"('around', 'RB')",around,around,description
beneath,beneath,"('beneath', 'IN')",beneath,beneath,description
church,church,"('church', 'NN')",church,church,description
nearly,nearly,"('nearly', 'RB')",nearli,nearly,description
year,year,"('year', 'NN')",year,year,description
Christ,christ,"('christ', 'NN')",christ,christ,description
Church,church,"('church', 'NN')",church,church,description
was,was,"('was', 'VBD')",wa,be,description
known,known,"('known', 'VBN')",known,know,description
floating,floating,"('floating', 'VBG')",float,float,description
church,church,"('church', 'NN')",church,church,description
was,was,"('was', 'VBD')",wa,be,description
supported,supported,"('supported', 'VBN')",support,support,description
concrete,concrete,"('concrete', 'NN')",concret,concrete,description
struts,struts,"('struts', 'NNS')",strut,strut,description
developers,developers,"('developers', 'NNS')",develop,developer,description
tunnelled,tunnelled,"('tunnelled', 'VBD')",tunnel,tunnel,description
glitzy,glitzy,"('glitzy', 'NN')",glitzi,glitzy,description
Promenades,promenades,"('promenades', 'FW')",promenad,promenade,description
de,de,"('de', 'FW')",de,de,description
la,la,"('la', 'FW')",la,la,description
Cathédrale,cathédrale,"('cathédrale', 'FW')",cathédral,cathédrale,description
part,part,"('part', 'NN')",part,part,description
Underground,underground,"('underground', 'JJ')",underground,underground,description
City,city,"('city', 'NN')",citi,city,description
fully,fully,"('fully', 'RB')",fulli,fully,description
experience,experience,"('experience', 'VB')",experi,experience,description
church,church,"('church', 'NN')",church,church,description
stop,stop,"('stop', 'NN')",stop,stop,description
Sundays,sundays,"('sundays', 'NNS')",sunday,sunday,description
Sung,sung,"('sung', 'JJ')",sung,sung,description
Eucharist,eucharist,"('eucharist', 'NN')",eucharist,eucharist,description
Choral,choral,"('choral', 'JJ')",choral,choral,description
Evensong,evensong,"('evensong', 'IN')",evensong,evensong,description
church,church,"('church', 'NN')",church,church,description
also,also,"('also', 'RB')",also,also,description
features,features,"('features', 'VBZ')",featur,feature,description
concerts,concerts,"('concerts', 'NNS')",concert,concert,description
throughout,throughout,"('throughout', 'IN')",throughout,throughout,description
marks,marks,"('marks', 'NNS')",mark,mark,description
beginning,beginning,"('beginning', 'NN')",begin,beginning,description
Montréal,montréal,"('montréal', 'JJ')",montréal,montréal,description
famous,famous,"('famous', 'JJ')",famou,famous,description
Underground,underground,"('underground', 'JJ')",underground,underground,description
City,city,"('city', 'NN')",citi,city,description
officially,officially,"('officially', 'RB')",offici,officially,description
called,called,"('called', 'VBD')",call,call,description
RÉSO,réso,"('réso', 'VB')",réso,réso,description
homophone,homophone,"('homophone', 'NN')",homophon,homophone,description
réseau,réseau,"('réseau', 'NN')",réseau,réseau,description
French,french,"('french', 'JJ')",french,french,description
word,word,"('word', 'NN')",word,word,description
network,network,"('network', 'NN')",network,network,description
La,la,"('la', 'NN')",la,la,description
Ville,ville,"('ville', 'FW')",vill,ville,description
Souterraine,souterraine,"('souterraine', 'NN')",souterrain,souterraine,description
French,french,"('french', 'JJ')",french,french,description
planned,planned,"('planned', 'VBN')",plan,plan,description
refuge,refuge,"('refuge', 'NN')",refug,refuge,description
weather,weather,"('weather', 'NN')",weather,weather,description
outrageously,outrageously,"('outrageously', 'RB')",outrag,outrageously,description
cold,cold,"('cold', 'VBN')",cold,cold,description
winter,winter,"('winter', 'NN')",winter,winter,description
humid,humid,"('humid', 'NN')",humid,humid,description
summer,summer,"('summer', 'NN')",summer,summer,description
underground,underground,"('underground', 'JJ')",underground,underground,description
network,network,"('network', 'NN')",network,network,description
began,began,"('began', 'VBD')",began,begin,description
construction,construction,"('construction', 'NN')",construct,construction,description
Place,place,"('place', 'NN')",place,place,description
Montréalers,montréalers,"('montréalers', 'NNS')",montréal,montréalers,description
flooded,flooded,"('flooded', 'VBD')",flood,flood,description
first,first,"('first', 'JJ')",first,first,description
shopping,shopping,"('shopping', 'NN')",shop,shopping,description
arcade,arcade,"('arcade', 'NN')",arcad,arcade,description
Underground,underground,"('underground', 'JJ')",underground,underground,description
City,city,"('city', 'NN')",citi,city,description
duly,duly,"('duly', 'RB')",duli,duly,description
