token,normed_token,pos_tags,stemmed_token,lemma_token,class
isolated,isolated,"('isolated', 'JJ')",isol,isolated,introduction
location,location,"('location', 'NN')",locat,location,introduction
Calgary,calgary,"('calgary', 'NN')",calgari,calgary,introduction
well,well,"('well', 'RB')",well,well,introduction
south,south,"('south', 'RB')",south,south,introduction
Canadian,canadian,"('canadian', 'JJ')",canadian,canadian,introduction
Rockies,rockies,"('rockies', 'NNS')",rocki,rockies,introduction
parks,parks,"('parks', 'VBZ')",park,park,introduction
WATERTON,waterton,"('waterton', 'NN')",waterton,waterton,introduction
LAKES,lakes,"('lakes', 'NNS')",lake,lake,introduction
NATIONAL,national,"('national', 'JJ')",nation,national,introduction
PARK,park,"('park', 'NN')",park,park,introduction
appears,appears,"('appears', 'VBZ')",appear,appear,introduction
maps,maps,"('maps', 'NNS')",map,map,introduction
simply,simply,"('simply', 'RB')",simpli,simply,introduction
extension,extension,"('extension', 'NN')",extens,extension,introduction
much,much,"('much', 'JJ')",much,much,introduction
larger,larger,"('larger', 'JJR')",larger,large,introduction
Glacier,glacier,"('glacier', 'JJ')",glacier,glacier,introduction
National,national,"('national', 'JJ')",nation,national,introduction
Park,park,"('park', 'NN')",park,park,introduction
across,across,"('across', 'IN')",across,across,introduction
US,us,"('us', 'PRP')",us,u,introduction
border,border,"('border', 'NN')",border,border,introduction
Yet,yet,"('yet', 'RB')",yet,yet,introduction
despite,despite,"('despite', 'IN')",despit,despite,introduction
modest,modest,"('modest', 'JJ')",modest,modest,introduction
size,size,"('size', 'NN')",size,size,introduction
park,park,"('park', 'NN')",park,park,introduction
trails,trails,"('trails', 'NNS')",trail,trail,introduction
among,among,"('among', 'IN')",among,among,introduction
best,best,"('best', 'JJS')",best,best,introduction
made,made,"('made', 'VBN')",made,make,introduction
scenic,scenic,"('scenic', 'JJ')",scenic,scenic,introduction
Canadian,canadian,"('canadian', 'JJ')",canadian,canadian,introduction
Rockies,rockies,"('rockies', 'NNS')",rocki,rockies,introduction
Because,because,"('because', 'IN')",becaus,because,introduction
park,park,"('park', 'NN')",park,park,introduction
compact,compact,"('compact', 'JJ')",compact,compact,introduction
easily,easily,"('easily', 'RB')",easili,easily,introduction
accessed,accessed,"('accessed', 'VBN')",access,access,introduction
only,only,"('only', 'JJ')",onli,only,introduction
settlement,settlement,"('settlement', 'NN')",settlement,settlement,introduction
Waterton,waterton,"('waterton', 'NN')",waterton,waterton,introduction
particularly,particularly,"('particularly', 'RB')",particularli,particularly,introduction
superb,superb,"('superb', 'NN')",superb,superb,introduction
walks,walks,"('walks', 'NNS')",walk,walk,introduction
climaxing,climaxing,"('climaxing', 'VBG')",climax,climax,introduction
small,small,"('small', 'JJ')",small,small,introduction
alpine,alpine,"('alpine', 'NN')",alpin,alpine,introduction
lakes,lakes,"('lakes', 'NNS')",lake,lake,introduction
cradled,cradled,"('cradled', 'VBN')",cradl,cradle,introduction
spectacular,spectacular,"('spectacular', 'JJ')",spectacular,spectacular,introduction
hanging,hanging,"('hanging', 'VBG')",hang,hang,introduction
valleys,valleys,"('valleys', 'NN')",valley,valley,introduction
hikes,hikes,"('hikes', 'NNS')",hike,hike,introduction
like,like,"('like', 'IN')",like,like,introduction
Tamarack,tamarack,"('tamarack', 'NN')",tamarack,tamarack,introduction
Trail,trail,"('trail', 'NN')",trail,trail,introduction
head,head,"('head', 'NN')",head,head,introduction
along,along,"('along', 'JJ')",along,along,introduction
ridges,ridges,"('ridges', 'NNS')",ridg,ridge,introduction
offer,offer,"('offer', 'VB')",offer,offer,introduction
backcountry,backcountry,"('backcountry', 'NN')",backcountri,backcountry,introduction
options,options,"('options', 'NNS')",option,option,introduction
plenty,plenty,"('plenty', 'NN')",plenti,plenty,description
mad,mad,"('mad', 'JJ')",mad,mad,description
hiking,hiking,"('hiking', 'VBG')",hike,hike,description
attractive,attractive,"('attractive', 'JJ')",attract,attractive,description
drives,drives,"('drives', 'NNS')",drive,drive,description
along,along,"('along', 'IN')",along,along,description
two,two,"('two', 'CD')",two,two,description
wonderfully,wonderfully,"('wonderfully', 'RB')",wonder,wonderfully,description
scenic,scenic,"('scenic', 'JJ')",scenic,scenic,description
access,access,"('access', 'NN')",access,access,description
roads,roads,"('roads', 'NNS')",road,road,description
Akamina,akamina,"('akamina', 'VBP')",akamina,akamina,description
Parkway,parkway,"('parkway', 'NN')",parkway,parkway,description
Red,red,"('red', 'JJ')",red,red,description
Rock,rock,"('rock', 'NN')",rock,rock,description
Parkway,parkway,"('parkway', 'NN')",parkway,parkway,description
probe,probe,"('probe', 'NN')",probe,probe,description
west,west,"('west', 'NN')",west,west,description
interior,interior,"('interior', 'NN')",interior,interior,description
Waterton,waterton,"('waterton', 'NN')",waterton,waterton,description
dotted,dotted,"('dotted', 'VBN')",dot,dot,description
viewpoints,viewpoints,"('viewpoints', 'NNS')",viewpoint,viewpoint,description
well,well,"('well', 'RB')",well,well,description
spots,spots,"('spots', 'NNS')",spot,spot,description
picnic,picnic,"('picnic', 'VB')",picnic,picnic,description
camp,camp,"('camp', 'NN')",camp,camp,description
rent,rent,"('rent', 'JJ')",rent,rent,description
National,national,"('national', 'JJ')",nation,national,description
Park,park,"('park', 'NN')",park,park,description
pass,pass,"('pass', 'NN')",pass,pas,description
costing,costing,"('costing', 'NN')",cost,costing,description
required,required,"('required', 'VBN')",requir,require,description
enter,enter,"('enter', 'VB')",enter,enter,description
Waterton,waterton,"('waterton', 'NN')",waterton,waterton,description
Lakes,lakes,"('lakes', 'NNS')",lake,lake,description
though,though,"('though', 'IN')",though,though,description
park,park,"('park', 'NN')",park,park,description
run,run,"('run', 'VBN')",run,run,description
tandem,tandem,"('tandem', 'NN')",tandem,tandem,description
Glacier,glacier,"('glacier', 'JJ')",glacier,glacier,description
National,national,"('national', 'JJ')",nation,national,description
Park,park,"('park', 'NN')",park,park,description
two,two,"('two', 'CD')",two,two,description
remain,remain,"('remain', 'VBP')",remain,remain,description
distinct,distinct,"('distinct', 'JJ')",distinct,distinct,description
separate,separate,"('separate', 'JJ')",separ,separate,description
entry,entry,"('entry', 'NN')",entri,entry,description
nine,nine,"('nine', 'CD')",nine,nine,description
thousand,thousand,"('thousand', 'CD')",thousand,thousand,description
years,years,"('years', 'NNS')",year,year,description
ago,ago,"('ago', 'IN')",ago,ago,description
region,region,"('region', 'NN')",region,region,description
provided,provided,"('provided', 'VBD')",provid,provide,description
hunting,hunting,"('hunting', 'NN')",hunt,hunting,description
ground,ground,"('ground', 'NN')",ground,ground,description
aboriginal,aboriginal,"('aboriginal', 'JJ')",aborigin,aboriginal,description
peoples,peoples,"('peoples', 'NNS')",peopl,people,description
Ktunaxa,ktunaxa,"('ktunaxa', 'NN')",ktunaxa,ktunaxa,description
Kootenay,kootenay,"('kootenay', 'NN')",kootenay,kootenay,description
BC,bc,"('bc', 'NN')",bc,bc,description
