token,normed_token,pos_tags,stemmed_token,lemma_token,class
Forming,forming,"('forming', 'VBG')",form,form,introduction
greater,greater,"('greater', 'JJR')",greater,great,introduction
part,part,"('part', 'NN')",part,part,introduction
Canada,canada,"('canada', 'NN')",canada,canada,introduction
largest,largest,"('largest', 'JJS')",largest,large,introduction
province,province,"('province', 'NN')",provinc,province,introduction
Northern,northern,"('northern', 'JJ')",northern,northern,introduction
Québec,québec,"('québec', 'JJ')",québec,québec,introduction
stretches,stretches,"('stretches', 'NNS')",stretch,stretch,introduction
temperate,temperate,"('temperate', 'NN')",temper,temperate,introduction
farmland,farmland,"('farmland', 'NN')",farmland,farmland,introduction
south,south,"('south', 'NN')",south,south,introduction
Arctic,arctic,"('arctic', 'JJ')",arctic,arctic,introduction
tundra,tundra,"('tundra', 'NN')",tundra,tundra,introduction
north,north,"('north', 'JJ')",north,north,introduction
covering,covering,"('covering', 'NN')",cover,covering,introduction
one,one,"('one', 'CD')",one,one,introduction
million,million,"('million', 'CD')",million,million,introduction
square,square,"('square', 'JJ')",squar,square,introduction
kilometres,kilometres,"('kilometres', 'NNS')",kilometr,kilometre,introduction
Nature,nature,"('nature', 'VBP')",natur,nature,introduction
rules,rules,"('rules', 'NNS')",rule,rule,introduction
supreme,supreme,"('supreme', 'VBP')",suprem,supreme,introduction
this,this,"('this', 'DT')",thi,this,introduction
area,area,"('area', 'NN')",area,area,introduction
influence,influence,"('influence', 'NN')",influenc,influence,introduction
Arctic,arctic,"('arctic', 'NN')",arctic,arctic,introduction
strong,strong,"('strong', 'JJ')",strong,strong,introduction
winters,winters,"('winters', 'NNS')",winter,winter,introduction
long,long,"('long', 'JJ')",long,long,introduction
among,among,"('among', 'IN')",among,among,introduction
coldest,coldest,"('coldest', 'JJS')",coldest,cold,introduction
eastern,eastern,"('eastern', 'JJ')",eastern,eastern,introduction
Canada,canada,"('canada', 'NN')",canada,canada,introduction
blazing,blazing,"('blazing', 'NN')",blaze,blazing,introduction
summers,summers,"('summers', 'NNS')",summer,summer,introduction
clipped,clipped,"('clipped', 'VBN')",clip,clip,introduction
short,short,"('short', 'JJ')",short,short,introduction
northern,northern,"('northern', 'JJ')",northern,northern,introduction
frosts,frosts,"('frosts', 'NNS')",frost,frost,introduction
Moose,moose,"('moose', 'VBP')",moos,moose,introduction
caribou,caribou,"('caribou', 'JJ')",carib,caribou,introduction
wolverine,wolverine,"('wolverine', 'NN')",wolverin,wolverine,introduction
bears,bears,"('bears', 'NNS')",bear,bear,introduction
fill,fill,"('fill', 'VBP')",fill,fill,introduction
forests,forests,"('forests', 'NNS')",forest,forest,introduction
many,many,"('many', 'JJ')",mani,many,introduction
places,places,"('places', 'NNS')",place,place,introduction
humans,humans,"('humans', 'NNS')",human,human,introduction
barely,barely,"('barely', 'RB')",bare,barely,introduction
made,made,"('made', 'VBN')",made,make,introduction
inroads,inroads,"('inroads', 'NNS')",inroad,inroad,introduction
Civilization,civilization,"('civilization', 'NN')",civil,civilization,introduction
largely,largely,"('largely', 'RB')",larg,largely,introduction
concentrated,concentrated,"('concentrated', 'VBN')",concentr,concentrate,introduction
shores,shores,"('shores', 'NNS')",shore,shore,introduction
St,st,"('st', 'JJ')",st,st,introduction
Lawrence,lawrence,"('lawrence', 'NN')",lawrenc,lawrence,introduction
River,river,"('river', 'NN')",river,river,introduction
around,around,"('around', 'IN')",around,around,introduction
main,main,"('main', 'JJ')",main,main,introduction
coastal,coastal,"('coastal', 'JJ')",coastal,coastal,introduction
highways,highways,"('highways', 'NNS')",highway,highway,introduction
radiating,radiating,"('radiating', 'VBG')",radiat,radiate,introduction
eastward,eastward,"('eastward', 'RB')",eastward,eastward,introduction
historic,historic,"('historic', 'JJ')",histor,historic,introduction
Québec,québec,"('québec', 'JJ')",québec,québec,introduction
City,city,"('city', 'NN')",citi,city,introduction
Dropdown,dropdown,"('dropdown', 'NN')",dropdown,dropdown,introduction
content,content,"('content', 'NN')",content,content,introduction
regal,regal,"('regal', 'JJ')",regal,regal,description
provincial,provincial,"('provincial', 'JJ')",provinci,provincial,description
capital,capital,"('capital', 'NN')",capit,capital,description
undisputed,undisputed,"('undisputed', 'JJ')",undisput,undisputed,description
highlight,highlight,"('highlight', 'NN')",highlight,highlight,description
