token,normed_token,pos_tags,stemmed_token,lemma_token,class
Banff,banff,"('banff', 'JJ')",banff,banff,introduction
National,national,"('national', 'JJ')",nation,national,introduction
Park,park,"('park', 'NN')",park,park,introduction
main,main,"('main', 'JJ')",main,main,introduction
centre,centre,"('centre', 'NNS')",centr,centre,introduction
LAKE,lake,"('lake', 'VBP')",lake,lake,introduction
LOUISE,louise,"('louise', 'NN')",louis,louise,introduction
very,very,"('very', 'RB')",veri,very,introduction
different,different,"('different', 'JJ')",differ,different,introduction
Banff,banff,"('banff', 'NN')",banff,banff,introduction
less,less,"('less', 'CC')",less,le,introduction
town,town,"('town', 'NN')",town,town,introduction
two,two,"('two', 'CD')",two,two,introduction
distinct,distinct,"('distinct', 'JJ')",distinct,distinct,introduction
artificial,artificial,"('artificial', 'JJ')",artifici,artificial,introduction
resorts,resorts,"('resorts', 'NNS')",resort,resort,introduction
first,first,"('first', 'JJ')",first,first,introduction
small,small,"('small', 'JJ')",small,small,introduction
mall,mall,"('mall', 'NN')",mall,mall,introduction
shops,shops,"('shops', 'NNS')",shop,shop,introduction
hotels,hotels,"('hotels', 'NNS')",hotel,hotel,introduction
known,known,"('known', 'VBN')",known,know,introduction
Lake,lake,"('lake', 'NN')",lake,lake,introduction
Louise,louise,"('louise', 'NN')",louis,louise,introduction
Village,village,"('village', 'NN')",villag,village,introduction
second,second,"('second', 'JJ')",second,second,introduction
lake,lake,"('lake', 'JJ')",lake,lake,introduction
village,village,"('village', 'NN')",villag,village,introduction
higher,higher,"('higher', 'JJR')",higher,high,introduction
winding,winding,"('winding', 'VBG')",wind,wind,introduction
Lake,lake,"('lake', 'JJ')",lake,lake,introduction
Louise,louise,"('louise', 'NN')",louis,louise,introduction
Drive,drive,"('drive', 'NN')",drive,drive,introduction
gem,gem,"('gem', 'NN')",gem,gem,introduction
Rockies,rockies,"('rockies', 'NNS')",rocki,rockies,introduction
despite,despite,"('despite', 'IN')",despit,despite,introduction
crowds,crowds,"('crowds', 'NN')",crowd,crowd,introduction
monster,monster,"('monster', 'NN')",monster,monster,introduction
hotel,hotel,"('hotel', 'NN')",hotel,hotel,introduction
sight,sight,"('sight', 'NN')",sight,sight,introduction
must,must,"('must', 'MD')",must,must,introduction
see,see,"('see', 'VB')",see,see,introduction
third,third,"('third', 'JJ')",third,third,introduction
area,area,"('area', 'NN')",area,area,introduction
Moraine,moraine,"('moraine', 'NN')",morain,moraine,introduction
Lake,lake,"('lake', 'VBP')",lake,lake,introduction
south,south,"('south', 'NN')",south,south,introduction
village,village,"('village', 'NN')",villag,village,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
almost,almost,"('almost', 'RB')",almost,almost,introduction
equally,equally,"('equally', 'RB')",equal,equally,introduction
staggering,staggering,"('staggering', 'JJ')",stagger,staggering,introduction
scenery,scenery,"('scenery', 'NN')",sceneri,scenery,introduction
almost,almost,"('almost', 'RB')",almost,almost,introduction
unparalleled,unparalleled,"('unparalleled', 'JJ')",unparallel,unparalleled,introduction
hiking,hiking,"('hiking', 'JJ')",hike,hiking,introduction
country,country,"('country', 'NN')",countri,country,introduction
three,three,"('three', 'CD')",three,three,introduction
areas,areas,"('areas', 'NNS')",area,area,introduction
packed,packed,"('packed', 'VBN')",pack,pack,introduction
summer,summer,"('summer', 'NN')",summer,summer,introduction
winter,winter,"('winter', 'NN')",winter,winter,introduction
things,things,"('things', 'NNS')",thing,thing,introduction
slow,slow,"('slow', 'VBP')",slow,slow,introduction
considerably,considerably,"('considerably', 'RB')",consider,considerably,introduction
though,though,"('though', 'IN')",though,though,introduction
plenty,plenty,"('plenty', 'NN')",plenti,plenty,introduction
still,still,"('still', 'RB')",still,still,introduction
turn,turn,"('turn', 'VB')",turn,turn,introduction
Canada,canada,"('canada', 'JJ')",canada,canada,introduction
best,best,"('best', 'JJS')",best,best,introduction
skiing,skiing,"('skiing', 'NN')",ski,skiing,introduction
nearby,nearby,"('nearby', 'JJ')",nearbi,nearby,introduction
