token,normed_token,pos_tags,stemmed_token,lemma_token,class
Folklore,folklore,"('folklore', 'RB')",folklor,folklore,introduction
films,films,"('films', 'NNS')",film,film,introduction
widespread,widespread,"('widespread', 'JJ')",widespread,widespread,introduction
hearsay,hearsay,"('hearsay', 'NN')",hearsay,hearsay,introduction
given,given,"('given', 'VBN')",given,give,introduction
FLORIDA,florida,"('florida', 'NN')",florida,florida,introduction
KEYS,keys,"('keys', 'VBD')",key,key,introduction
chain,chain,"('chain', 'NN')",chain,chain,introduction
islands,islands,"('islands', 'NNS')",island,island,introduction
runs,runs,"('runs', 'VBZ')",run,run,introduction
within,within,"('within', 'IN')",within,within,introduction
ninety,ninety,"('ninety', 'NN')",nineti,ninety,introduction
miles,miles,"('miles', 'NNS')",mile,mile,introduction
Cuba,cuba,"('cuba', 'NN')",cuba,cuba,introduction
image,image,"('image', 'NN')",imag,image,introduction
glamorous,glamorous,"('glamorous', 'JJ')",glamor,glamorous,introduction
intrigue,intrigue,"('intrigue', 'NN')",intrigu,intrigue,introduction
really,really,"('really', 'RB')",realli,really,introduction
deserve,deserve,"('deserve', 'VBP')",deserv,deserve,introduction
least,least,"('least', 'JJS')",least,least,introduction
days,days,"('days', 'NNS')",day,day,introduction
cocaine,cocaine,"('cocaine', 'NN')",cocain,cocaine,introduction
cowboys,cowboys,"('cowboys', 'VBZ')",cowboy,cowboys,introduction
long,long,"('long', 'JJ')",long,long,introduction
gone,gone,"('gone', 'VBN')",gone,go,introduction
Beach,beach,"('beach', 'NN')",beach,beach,description
view,view,"('view', 'NN')",view,view,description
vivid,vivid,"('vivid', 'JJ')",vivid,vivid,description
sunset,sunset,"('sunset', 'NN')",sunset,sunset,description
Key,key,"('key', 'JJ')",key,key,description
West,west,"('west', 'JJS')",west,west,description
Florida,florida,"('florida', 'JJ')",florida,florida,description
USAThe,usathe,"('usathe', 'JJ')",usath,usathe,description
Keys,keys,"('keys', 'NNS')",key,key,description
accurately,accurately,"('accurately', 'RB')",accur,accurately,description
described,described,"('described', 'VBN')",describ,describe,description
paradise,paradise,"('paradise', 'NN')",paradis,paradise,description
fishing,fishing,"('fishing', 'NN')",fish,fishing,description
snorkelling,snorkelling,"('snorkelling', 'NN')",snorkel,snorkelling,description
diving,diving,"('diving', 'VBG')",dive,dive,description
dominate,dominate,"('dominate', 'NN')",domin,dominate,description
Terrific,terrific,"('terrific', 'NN')",terrif,terrific,description
untainted,untainted,"('untainted', 'JJ')",untaint,untainted,description
natural,natural,"('natural', 'JJ')",natur,natural,description
areas,areas,"('areas', 'NNS')",area,area,description
include,include,"('include', 'VBP')",includ,include,description
Florida,florida,"('florida', 'JJ')",florida,florida,description
Reef,reef,"('reef', 'NN')",reef,reef,description
great,great,"('great', 'JJ')",great,great,description
band,band,"('band', 'NN')",band,band,description
living,living,"('living', 'VBG')",live,live,description
coral,coral,"('coral', 'JJ')",coral,coral,description
miles,miles,"('miles', 'NNS')",mile,mile,description
coast,coast,"('coast', 'NN')",coast,coast,description
many,many,"('many', 'JJ')",mani,many,description
various,various,"('various', 'JJ')",variou,various,description
keys,keys,"('keys', 'NNS')",key,key,description
only,only,"('only', 'RB')",onli,only,description
stops,stops,"('stops', 'NNS')",stop,stop,description
way,way,"('way', 'NN')",way,way,description
Key,key,"('key', 'VB')",key,key,description
West,west,"('west', 'JJS')",west,west,description
This,this,"('this', 'DT')",thi,this,description
Conch,conch,"('conch', 'NN')",conch,conch,description
Republic,republic,"('republic', 'NN')",republ,republic,description
has,has,"('has', 'VBZ')",ha,have,description
vibrant,vibrant,"('vibrant', 'JJ')",vibrant,vibrant,description
streets,streets,"('streets', 'NNS')",street,street,description
plenty,plenty,"('plenty', 'NN')",plenti,plenty,description
convivial,convivial,"('convivial', 'JJ')",convivi,convivial,description
bars,bars,"('bars', 'NNS')",bar,bar,description
away,away,"('away', 'RP')",away,away,description
hours,hours,"('hours', 'NNS')",hour,hour,description
watching,watching,"('watching', 'VBG')",watch,watch,description
spectacular,spectacular,"('spectacular', 'NN')",spectacular,spectacular,description
Keys,keys,"('keys', 'NNS')",key,key,description
experience,experience,"('experience', 'VB')",experi,experience,description
distinctive,distinctive,"('distinctive', 'JJ')",distinct,distinctive,description
cuisine,cuisine,"('cuisine', 'NN')",cuisin,cuisine,description
served,served,"('served', 'VBD')",serv,serve,description
part,part,"('part', 'NN')",part,part,description
hip,hip,"('hip', 'NN')",hip,hip,description
little,little,"('little', 'JJ')",littl,little,description
shacks,shacks,"('shacks', 'NNS')",shack,shack,description
food,food,"('food', 'NN')",food,food,description
fresh,fresh,"('fresh', 'JJ')",fresh,fresh,description
atmosphere,atmosphere,"('atmosphere', 'JJ')",atmospher,atmosphere,description
laidback,laidback,"('laidback', 'NN')",laidback,laidback,description
Conch,conch,"('conch', 'NN')",conch,conch,description
rich,rich,"('rich', 'JJ')",rich,rich,description
meaty,meaty,"('meaty', 'NN')",meati,meaty,description
mollusc,mollusc,"('mollusc', 'NN')",mollusc,mollusc,description
speciality,speciality,"('speciality', 'NN')",special,speciality,description
served,served,"('served', 'VBN')",serv,serve,description
chowders,chowders,"('chowders', 'NNS')",chowder,chowder,description
fritters,fritters,"('fritters', 'NNS')",fritter,fritter,description
also,also,"('also', 'RB')",also,also,description
key,key,"('key', 'JJ')",key,key,description
lime,lime,"('lime', 'RB')",lime,lime,description
pie,pie,"('pie', 'VBZ')",pie,pie,description
delicate,delicate,"('delicate', 'JJ')",delic,delicate,description
creamy,creamy,"('creamy', 'JJ')",creami,creamy,description
concoction,concoction,"('concoction', 'NN')",concoct,concoction,description
special,special,"('special', 'JJ')",special,special,description
Key,key,"('key', 'JJ')",key,key,description
limes,limes,"('limes', 'NNS')",lime,lime,description
condensed,condensed,"('condensed', 'VBD')",condens,condense,description
milk,milk,"('milk', 'NN')",milk,milk,description
bears,bears,"('bears', 'VBZ')",bear,bear,description
little,little,"('little', 'JJ')",littl,little,description
resemblance,resemblance,"('resemblance', 'NN')",resembl,resemblance,description
lurid,lurid,"('lurid', 'JJ')",lurid,lurid,description
green,green,"('green', 'JJ')",green,green,description
imposter,imposter,"('imposter', 'NN')",impost,imposter,description
pies,pies,"('pies', 'NNS')",pie,pie,description
served,served,"('served', 'VBD')",serv,serve,description
rest,rest,"('rest', 'NN')",rest,rest,description
Cuba,cuba,"('cuba', 'VB')",cuba,cuba,description
mainland,mainland,"('mainland', 'VB')",mainland,mainland,description
Florida,florida,"('florida', 'JJ')",florida,florida,description
Key,key,"('key', 'NN')",key,key,description
West,west,"('west', 'NN')",west,west,description
has,has,"('has', 'VBZ')",ha,have,description
culture,culture,"('culture', 'NN')",cultur,culture,description
bit,bit,"('bit', 'NN')",bit,bit,description
contrary,contrary,"('contrary', 'JJ')",contrari,contrary,description
rest,rest,"('rest', 'NN')",rest,rest,description
mainland,mainland,"('mainland', 'NN')",mainland,mainland,description
US,us,"('us', 'PRP')",us,u,description
Famed,famed,"('famed', 'VBD')",fame,famed,description
tolerant,tolerant,"('tolerant', 'JJ')",toler,tolerant,description
attitudes,attitudes,"('attitudes', 'NNS')",attitud,attitude,description
laidback,laidback,"('laidback', 'NN')",laidback,laidback,description
lifestyles,lifestyles,"('lifestyles', 'VBZ')",lifestyl,lifestyles,description
thirty,thirty,"('thirty', 'NN')",thirti,thirty,description
thousand,thousand,"('thousand', 'NN')",thousand,thousand,description
islanders,islanders,"('islanders', 'NNS')",island,islander,description
seem,seem,"('seem', 'VBP')",seem,seem,description
adrift,adrift,"('adrift', 'RB')",adrift,adrift,description
great,great,"('great', 'JJ')",great,great,description
expanse,expanse,"('expanse', 'NN')",expans,expanse,description
sea,sea,"('sea', 'NN')",sea,sea,description
sky,sky,"('sky', 'NN')",sky,sky,description
despite,despite,"('despite', 'IN')",despit,despite,description
million,million,"('million', 'CD')",million,million,description
tourists,tourists,"('tourists', 'NNS')",tourist,tourist,description
year,year,"('year', 'NN')",year,year,description
place,place,"('place', 'NN')",place,place,description
resonates,resonates,"('resonates', 'VBZ')",reson,resonate,description
individual,individual,"('individual', 'JJ')",individu,individual,description
spirit,spirit,"('spirit', 'NN')",spirit,spirit,description
particular,particular,"('particular', 'JJ')",particular,particular,description
liberal,liberal,"('liberal', 'JJ')",liber,liberal,description
attitudes,attitudes,"('attitudes', 'NNS')",attitud,attitude,description
stimulated,stimulated,"('stimulated', 'VBN')",stimul,stimulate,description
large,large,"('large', 'JJ')",larg,large,description
gay,gay,"('gay', 'NN')",gay,gay,description
influx,influx,"('influx', 'NN')",influx,influx,description
estimated,estimated,"('estimated', 'VBN')",estim,estimate,description
two,two,"('two', 'CD')",two,two,description
five,five,"('five', 'CD')",five,five,description
population,population,"('population', 'NN')",popul,population,description
Make,make,"('make', 'VBP')",make,make,description
sure,sure,"('sure', 'JJ')",sure,sure,description
visit,visit,"('visit', 'VB')",visit,visit,description
Bahamian,bahamian,"('bahamian', 'JJ')",bahamian,bahamian,description
Village,village,"('village', 'NN')",villag,village,description
centred,centred,"('centred', 'VBD')",centr,centre,description
Thomas,thomas,"('thomas', 'NN')",thoma,thomas,description
Petronia,petronia,"('petronia', 'NN')",petronia,petronia,description
streets,streets,"('streets', 'NNS')",street,street,description
Originally,originally,"('originally', 'RB')",origin,originally,description
settled,settled,"('settled', 'VBN')",settl,settle,description
Cubans,cubans,"('cubans', 'NNS')",cuban,cuban,description
this,this,"('this', 'DT')",thi,this,description
relatively,relatively,"('relatively', 'RB')",rel,relatively,description
unrestored,unrestored,"('unrestored', 'JJ')",unrestor,unrestored,description
untouristy,untouristy,"('untouristy', 'JJ')",untouristi,untouristy,description
corner,corner,"('corner', 'NN')",corner,corner,description
town,town,"('town', 'NN')",town,town,description
atmospheric,atmospheric,"('atmospheric', 'JJ')",atmospher,atmospheric,description
patchwork,patchwork,"('patchwork', 'NN')",patchwork,patchwork,description
cottages,cottages,"('cottages', 'NNS')",cottag,cottage,description
Cuban,cuban,"('cuban', 'JJ')",cuban,cuban,description
groceries,groceries,"('groceries', 'NNS')",groceri,grocery,description
ramshackle,ramshackle,"('ramshackle', 'VB')",ramshackl,ramshackle,description
old,old,"('old', 'JJ')",old,old,description
churches,churches,"('churches', 'NNS')",church,church,description
covered,covered,"('covered', 'VBN')",cover,cover,description
rich,rich,"('rich', 'JJ')",rich,rich,description
green,green,"('green', 'JJ')",green,green,description
foliage,foliage,"('foliage', 'NN')",foliag,foliage,description
