token,normed_token,pos_tags,stemmed_token,lemma_token,class
Pacific,pacific,"('pacific', 'NN')",pacif,pacific,introduction
Rim,rim,"('rim', 'JJ')",rim,rim,introduction
National,national,"('national', 'JJ')",nation,national,introduction
ParkReserve,parkreserve,"('parkreserve', 'NN')",parkreserv,parkreserve,introduction
magnificent,magnificent,"('magnificent', 'JJ')",magnific,magnificent,introduction
amalgam,amalgam,"('amalgam', 'NN')",amalgam,amalgam,introduction
mountains,mountains,"('mountains', 'NNS')",mountain,mountain,introduction
coastal,coastal,"('coastal', 'JJ')",coastal,coastal,introduction
rainforest,rainforest,"('rainforest', 'VBP')",rainforest,rainforest,introduction
wild,wild,"('wild', 'JJ')",wild,wild,introduction
beaches,beaches,"('beaches', 'NNS')",beach,beach,introduction
unspoiled,unspoiled,"('unspoiled', 'JJ')",unspoil,unspoiled,introduction
marine,marine,"('marine', 'NN')",marin,marine,introduction
landscapes,landscapes,"('landscapes', 'NNS')",landscap,landscape,introduction
stretching,stretching,"('stretching', 'VBG')",stretch,stretch,introduction
intermittently,intermittently,"('intermittently', 'RB')",intermitt,intermittently,introduction
towns,towns,"('towns', 'NNS')",town,town,introduction
Tofino,tofino,"('tofino', 'NN')",tofino,tofino,introduction
north,north,"('north', 'NN')",north,north,introduction
Port,port,"('port', 'NN')",port,port,introduction
Renfrew,renfrew,"('renfrew', 'NN')",renfrew,renfrew,introduction
south,south,"('south', 'NN')",south,south,introduction
divides,divides,"('divides', 'VBZ')",divid,divide,introduction
three,three,"('three', 'CD')",three,three,introduction
distinct,distinct,"('distinct', 'JJ')",distinct,distinct,introduction
areas,areas,"('areas', 'NNS')",area,area,introduction
Long,long,"('long', 'RB')",long,long,introduction
Beach,beach,"('beach', 'NN')",beach,beach,introduction
popular,popular,"('popular', 'JJ')",popular,popular,introduction
Broken,broken,"('broken', 'JJ')",broken,broken,introduction
Group,group,"('group', 'NN')",group,group,introduction
Islands,islands,"('islands', 'VBZ')",island,islands,introduction
hundreds,hundreds,"('hundreds', 'NNS')",hundr,hundred,introduction
islets,islets,"('islets', 'NNS')",islet,islet,introduction
only,only,"('only', 'RB')",onli,only,introduction
accessible,accessible,"('accessible', 'JJ')",access,accessible,introduction
sailors,sailors,"('sailors', 'NNS')",sailor,sailor,introduction
kayakers,kayakers,"('kayakers', 'NNS')",kayak,kayakers,introduction
West,west,"('west', 'NN')",west,west,introduction
Coast,coast,"('coast', 'NN')",coast,coast,introduction
Trail,trail,"('trail', 'VBP')",trail,trail,introduction
tough,tough,"('tough', 'JJ')",tough,tough,introduction
popular,popular,"('popular', 'JJ')",popular,popular,introduction
hike,hike,"('hike', 'IN')",hike,hike,introduction
whole,whole,"('whole', 'JJ')",whole,whole,introduction
area,area,"('area', 'NN')",area,area,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
also,also,"('also', 'RB')",also,also,introduction
become,become,"('become', 'VBN')",becom,become,introduction
magnet,magnet,"('magnet', 'NN')",magnet,magnet,introduction
surfing,surfing,"('surfing', 'VBG')",surf,surf,introduction
taking,taking,"('taking', 'VBG')",take,take,introduction
MV,mv,"('mv', 'NN')",mv,mv,introduction
Frances,frances,"('frances', 'NNS')",franc,france,introduction
Barkley,barkley,"('barkley', 'VBP')",barkley,barkley,introduction
Port,port,"('port', 'NN')",port,port,introduction
Alberni,alberni,"('alberni', 'NN')",alberni,alberni,introduction
Bamfield,bamfield,"('bamfield', 'VB')",bamfield,bamfield,introduction
Ucluelet,ucluelet,"('ucluelet', 'VB')",ucluelet,ucluelet,introduction
back,back,"('back', 'RB')",back,back,introduction
combining,combining,"('combining', 'VBG')",combin,combine,introduction
this,this,"('this', 'DT')",thi,this,introduction
shuttle,shuttle,"('shuttle', 'JJ')",shuttl,shuttle,introduction
buses,buses,"('buses', 'NNS')",buse,bus,introduction
scheduled,scheduled,"('scheduled', 'VBN')",schedul,schedule,introduction
buses,buses,"('buses', 'NNS')",buse,bus,introduction
Victoria,victoria,"('victoria', 'NN')",victoria,victoria,introduction
Port,port,"('port', 'NN')",port,port,introduction
Alberni,alberni,"('alberni', 'NN')",alberni,alberni,introduction
Nanaimo,nanaimo,"('nanaimo', 'VB')",nanaimo,nanaimo,introduction
wonderfully,wonderfully,"('wonderfully', 'RB')",wonder,wonderfully,introduction
varied,varied,"('varied', 'JJ')",vari,varied,introduction
combination,combination,"('combination', 'NN')",combin,combination,introduction
itineraries,itineraries,"('itineraries', 'NNS')",itinerari,itinerary,introduction
possible,possible,"('possible', 'JJ')",possibl,possible,introduction
around,around,"('around', 'IN')",around,around,introduction
region,region,"('region', 'NN')",region,region,introduction
Lying,lying,"('lying', 'VBG')",lie,lie,description
north,north,"('north', 'NN')",north,north,description
Long,long,"('long', 'JJ')",long,long,description
Beach,beach,"('beach', 'NN')",beach,beach,description
Tofino,tofino,"('tofino', 'NN')",tofino,tofino,description
once,once,"('once', 'IN')",onc,once,description
fishing,fishing,"('fishing', 'NN')",fish,fishing,description
