token,normed_token,pos_tags,stemmed_token,lemma_token,class
First,first,"('first', 'RB')",first,first,introduction
navigated,navigated,"('navigated', 'VBN')",navig,navigate,introduction
Polish,polish,"('polish', 'JJ')",polish,polish,introduction
expedition,expedition,"('expedition', 'NN')",expedit,expedition,introduction
declared,declared,"('declared', 'VBD')",declar,declare,introduction
Zona,zona,"('zona', 'NN')",zona,zona,introduction
de,de,"('de', 'IN')",de,de,introduction
Reserva,reserva,"('reserva', 'FW')",reserva,reserva,introduction
Turística,turística,"('turística', 'JJ')",turística,turística,introduction
Nacional,nacional,"('nacional', 'JJ')",nacion,nacional,introduction
magnificent,magnificent,"('magnificent', 'JJ')",magnific,magnificent,introduction
COTAHUASI,cotahuasi,"('cotahuasi', 'NN')",cotahuasi,cotahuasi,introduction
CANYON,canyon,"('canyon', 'NN')",canyon,canyon,introduction
Cañon,cañon,"('cañon', 'NN')",cañon,cañon,introduction
de,de,"('de', 'IN')",de,de,introduction
Cotahuasi,cotahuasi,"('cotahuasi', 'NN')",cotahuasi,cotahuasi,introduction
Arequipa,arequipa,"('arequipa', 'NN')",arequipa,arequipa,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
since,since,"('since', 'IN')",sinc,since,introduction
opened,opened,"('opened', 'VBN')",open,open,introduction
visits,visits,"('visits', 'NNS')",visit,visit,introduction
involve,involve,"('involve', 'VBP')",involv,involve,introduction
major,major,"('major', 'JJ')",major,major,introduction
rafting,rafting,"('rafting', 'VBG')",raft,raft,introduction
trips,trips,"('trips', 'NNS')",trip,trip,introduction
However,however,"('however', 'RB')",howev,however,introduction
getting,getting,"('getting', 'VBG')",get,get,introduction
this,this,"('this', 'DT')",thi,this,introduction
wild,wild,"('wild', 'JJ')",wild,wild,introduction
remote,remote,"('remote', 'JJ')",remot,remote,introduction
place,place,"('place', 'NN')",place,place,introduction
even,even,"('even', 'RB')",even,even,introduction
adventurous,adventurous,"('adventurous', 'JJ')",adventur,adventurous,introduction
less,less,"('less', 'RBR')",less,less,introduction
frequently,frequently,"('frequently', 'RB')",frequent,frequently,introduction
attempted,attempted,"('attempted', 'VBN')",attempt,attempt,introduction
trip,trip,"('trip', 'NN')",trip,trip,introduction
Valley,valley,"('valley', 'NN')",valley,valley,introduction
Volcanoes,volcanoes,"('volcanoes', 'NNS')",volcano,volcano,introduction
One,one,"('one', 'CD')",one,one,introduction
world,world,"('world', 'NN')",world,world,introduction
deepest,deepest,"('deepest', 'VBP')",deepest,deepest,introduction
canyons,canyons,"('canyons', 'NNS')",canyon,canyon,introduction
along,along,"('along', 'IN')",along,along,introduction
nearby,nearby,"('nearby', 'JJ')",nearbi,nearby,introduction
Colca,colca,"('colca', 'NN')",colca,colca,introduction
Grand,grand,"('grand', 'JJ')",grand,grand,introduction
Canyon,canyon,"('canyon', 'NN')",canyon,canyon,introduction
US,us,"('us', 'PRP')",us,u,introduction
