token,normed_token,pos_tags,stemmed_token,lemma_token,class
Paracas,paracas,"('paracas', 'NN')",paraca,paracas,introduction
arguably,arguably,"('arguably', 'RB')",arguabl,arguably,introduction
scenic,scenic,"('scenic', 'JJ')",scenic,scenic,introduction
place,place,"('place', 'NN')",place,place,introduction
base,base,"('base', 'VB')",base,base,introduction
Pisco,pisco,"('pisco', 'VB')",pisco,pisco,introduction
resort,resort,"('resort', 'NN')",resort,resort,introduction
also,also,"('also', 'RB')",also,also,introduction
known,known,"('known', 'VBN')",known,know,introduction
El,el,"('el', 'NN')",el,el,introduction
Baneario,baneario,"('baneario', 'NN')",baneario,baneario,introduction
El,el,"('el', 'NN')",el,el,introduction
Chaco,chaco,"('chaco', 'NN')",chaco,chaco,introduction
was,was,"('was', 'VBD')",wa,be,introduction
once,once,"('once', 'RB')",onc,once,introduction
spot,spot,"('spot', 'NN')",spot,spot,introduction
wealthy,wealthy,"('wealthy', 'JJ')",wealthi,wealthy,introduction
Limeños,limeños,"('limeños', 'NN')",limeño,limeños,introduction
whose,whose,"('whose', 'WP$')",whose,whose,introduction
expensive,expensive,"('expensive', 'JJ')",expens,expensive,introduction
resort,resort,"('resort', 'NN')",resort,resort,introduction
hotels,hotels,"('hotels', 'NNS')",hotel,hotel,introduction
large,large,"('large', 'JJ')",larg,large,introduction
bungalows,bungalows,"('bungalows', 'NNS')",bungalow,bungalow,introduction
line,line,"('line', 'NN')",line,line,introduction
beach,beach,"('beach', 'NN')",beach,beach,introduction
close,close,"('close', 'RB')",close,close,introduction
entrance,entrance,"('entrance', 'NN')",entranc,entrance,introduction
reserve,reserve,"('reserve', 'NN')",reserv,reserve,introduction
reasonably,reasonably,"('reasonably', 'RB')",reason,reasonably,introduction
priced,priced,"('priced', 'VBN')",price,price,introduction
hostels,hostels,"('hostels', 'NNS')",hostel,hostel,introduction
restaurants,restaurants,"('restaurants', 'NNS')",restaur,restaurant,introduction
dominate,dominate,"('dominate', 'VBP')",domin,dominate,introduction
scene,scene,"('scene', 'NN')",scene,scene,introduction
also,also,"('also', 'RB')",also,also,introduction
possible,possible,"('possible', 'JJ')",possibl,possible,introduction
camp,camp,"('camp', 'VB')",camp,camp,introduction
sand,sand,"('sand', 'NN')",sand,sand,introduction
though,though,"('though', 'IN')",though,though,introduction
nearby,nearby,"('nearby', 'JJ')",nearbi,nearby,introduction
Paracas,paracas,"('paracas', 'NN')",paraca,paracas,introduction
Reserve,reserve,"('reserve', 'NN')",reserv,reserve,introduction
much,much,"('much', 'JJ')",much,much,introduction
nicer,nicer,"('nicer', 'NN')",nicer,nicer,introduction
place,place,"('place', 'NN')",place,place,introduction
pitch,pitch,"('pitch', 'VB')",pitch,pitch,introduction
tent,tent,"('tent', 'NN')",tent,tent,introduction
wharf,wharf,"('wharf', 'NN')",wharf,wharf,introduction
surrounded,surrounded,"('surrounded', 'VBN')",surround,surround,introduction
pelicans,pelicans,"('pelicans', 'NNS')",pelican,pelican,introduction
place,place,"('place', 'NN')",place,place,introduction
board,board,"('board', 'NN')",board,board,introduction
speedboats,speedboats,"('speedboats', 'NNS')",speedboat,speedboat,introduction
lanchas,lanchas,"('lanchas', 'VBP')",lancha,lanchas,introduction
quick,quick,"('quick', 'JJ')",quick,quick,introduction
zip,zip,"('zip', 'NN')",zip,zip,introduction
across,across,"('across', 'IN')",across,across,introduction
sea,sea,"('sea', 'NN')",sea,sea,introduction
circling,circling,"('circling', 'VBG')",circl,circle,introduction
one,one,"('one', 'CD')",one,one,introduction
two,two,"('two', 'CD')",two,two,introduction
