token,normed_token,pos_tags,stemmed_token,lemma_token,class
increasingly,increasingly,"('increasingly', 'RB')",increasingli,increasingly,introduction
popular,popular,"('popular', 'JJ')",popular,popular,introduction
alternative,alternative,"('alternative', 'NN')",altern,alternative,introduction
Inca,inca,"('inca', 'NN')",inca,inca,introduction
Trail,trail,"('trail', 'VBP')",trail,trail,introduction
hike,hike,"('hike', 'NN')",hike,hike,introduction
Choquequirao,choquequirao,"('choquequirao', 'VB')",choquequirao,choquequirao,introduction
made,made,"('made', 'VBN')",made,make,introduction
trekking,trekking,"('trekking', 'VBG')",trek,trek,introduction
tour,tour,"('tour', 'NN')",tour,tour,introduction
three,three,"('three', 'CD')",three,three,introduction
four,four,"('four', 'CD')",four,four,introduction
days,days,"('days', 'NNS')",day,day,introduction
leave,leave,"('leave', 'VBP')",leav,leave,introduction
Cusco,cusco,"('cusco', 'NN')",cusco,cusco,introduction
demand,demand,"('demand', 'NN')",demand,demand,introduction
pretty,pretty,"('pretty', 'RB')",pretti,pretty,introduction
much,much,"('much', 'JJ')",much,much,introduction
daily,daily,"('daily', 'JJ')",daili,daily,introduction
during,during,"('during', 'IN')",dure,during,introduction
tourist,tourist,"('tourist', 'NN')",tourist,tourist,introduction
season,season,"('season', 'NN')",season,season,introduction
quite,quite,"('quite', 'RB')",quit,quite,introduction
spectacular,spectacular,"('spectacular', 'JJ')",spectacular,spectacular,introduction
Machu,machu,"('machu', 'NN')",machu,machu,introduction
Picchu,picchu,"('picchu', 'NN')",picchu,picchu,introduction
this,this,"('this', 'DT')",thi,this,introduction
still,still,"('still', 'RB')",still,still,introduction
impressive,impressive,"('impressive', 'JJ')",impress,impressive,introduction
Inca,inca,"('inca', 'NN')",inca,inca,introduction
citadel,citadel,"('citadel', 'NN')",citadel,citadel,introduction
whose,whose,"('whose', 'WP$')",whose,whose,introduction
name,name,"('name', 'NN')",name,name,introduction
Quechua,quechua,"('quechua', 'NN')",quechua,quechua,introduction
means,means,"('means', 'NNS')",mean,mean,introduction
Cradle,cradle,"('cradle', 'NN')",cradl,cradle,introduction
Gold,gold,"('gold', 'JJ')",gold,gold,introduction
Sitting,sitting,"('sitting', 'VBG')",sit,sit,introduction
among,among,"('among', 'IN')",among,among,introduction
fine,fine,"('fine', 'JJ')",fine,fine,introduction
terraces,terraces,"('terraces', 'NNS')",terrac,terrace,introduction
glaciated,glaciated,"('glaciated', 'JJ')",glaciat,glaciated,introduction
peak,peak,"('peak', 'NN')",peak,peak,introduction
Salcantay,salcantay,"('salcantay', 'NN')",salcantay,salcantay,introduction
range,range,"('range', 'NN')",rang,range,introduction
less,less,"('less', 'JJR')",less,less,introduction
half,half,"('half', 'PDT')",half,half,introduction
original,original,"('original', 'JJ')",origin,original,introduction
remains,remains,"('remains', 'NNS')",remain,remains,introduction
uncovered,uncovered,"('uncovered', 'VBN')",uncov,uncover,introduction
centuries,centuries,"('centuries', 'NNS')",centuri,century,introduction
vegetation,vegetation,"('vegetation', 'NN')",veget,vegetation,introduction
making,making,"('making', 'VBG')",make,make,introduction
visit,visit,"('visit', 'NN')",visit,visit,introduction
similar,similar,"('similar', 'JJ')",similar,similar,introduction
Hiram,hiram,"('hiram', 'VB')",hiram,hiram,introduction
Bingham,bingham,"('bingham', 'NN')",bingham,bingham,introduction
may,may,"('may', 'MD')",may,may,introduction
experienced,experienced,"('experienced', 'VBN')",experienc,experience,introduction
Machu,machu,"('machu', 'NNS')",machu,machu,introduction
Picchu,picchu,"('picchu', 'RB')",picchu,picchu,introduction
discovered,discovered,"('discovered', 'VBD')",discov,discover,introduction
site,site,"('site', 'NN')",site,site,introduction
back,back,"('back', 'RB')",back,back,introduction
Located,located,"('located', 'VBN')",locat,locate,description
above,above,"('above', 'IN')",abov,above,description
Apurimac,apurimac,"('apurimac', 'NN')",apurimac,apurimac,description
River,river,"('river', 'NN')",river,river,description
above,above,"('above', 'JJ')",abov,above,description
sea,sea,"('sea', 'NN')",sea,sea,description
level,level,"('level', 'NN')",level,level,description
district,district,"('district', 'NN')",district,district,description
Vilcabamba,vilcabamba,"('vilcabamba', 'NN')",vilcabamba,vilcabamba,description
Choquequirao,choquequirao,"('choquequirao', 'NN')",choquequirao,choquequirao,description
thought,thought,"('thought', 'VBN')",thought,think,description
rural,rural,"('rural', 'JJ')",rural,rural,description
retreat,retreat,"('retreat', 'NN')",retreat,retreat,description
Inca,inca,"('inca', 'JJ')",inca,inca,description
emperor,emperor,"('emperor', 'NN')",emperor,emperor,description
well,well,"('well', 'RB')",well,well,description
ceremonial,ceremonial,"('ceremonial', 'JJ')",ceremoni,ceremonial,description
centre,centre,"('centre', 'NN')",centr,centre,description
was,was,"('was', 'VBD')",wa,be,description
built,built,"('built', 'VBN')",built,build,description
late,late,"('late', 'JJ')",late,late,description
fifteenth,fifteenth,"('fifteenth', 'JJ')",fifteenth,fifteenth,description
century,century,"('century', 'NN')",centuri,century,description
almost,almost,"('almost', 'RB')",almost,almost,description
certainly,certainly,"('certainly', 'RB')",certainli,certainly,description
important,important,"('important', 'JJ')",import,important,description
political,political,"('political', 'JJ')",polit,political,description
military,military,"('military', 'NN')",militari,military,description
economic,economic,"('economic', 'JJ')",econom,economic,description
role,role,"('role', 'NN')",role,role,description
controlling,controlling,"('controlling', 'VBG')",control,control,description
people,people,"('people', 'NNS')",peopl,people,description
produce,produce,"('produce', 'VBP')",produc,produce,description
rainforest,rainforest,"('rainforest', 'JJS')",rainforest,rainforest,description
communities,communities,"('communities', 'NNS')",commun,community,description
Ashaninka,ashaninka,"('ashaninka', 'NN')",ashaninka,ashaninka,description
still,still,"('still', 'RB')",still,still,description
live,live,"('live', 'VBP')",live,live,description
Apurimac,apurimac,"('apurimac', 'NN')",apurimac,apurimac,description
River,river,"('river', 'NN')",river,river,description
Andean,andean,"('andean', 'JJ')",andean,andean,description
towns,towns,"('towns', 'NNS')",town,town,description
villages,villages,"('villages', 'NNS')",villag,village,description
Incas,incas,"('incas', 'NN')",inca,inca,description
easy,easy,"('easy', 'JJ')",easi,easy,description
imagine,imagine,"('imagine', 'VB')",imagin,imagine,description
coca,coca,"('coca', 'NN')",coca,coca,description
macaw,macaw,"('macaw', 'NN')",macaw,macaw,description
feathers,feathers,"('feathers', 'NNS')",feather,feather,description
manioc,manioc,"('manioc', 'VBP')",manioc,manioc,description
salt,salt,"('salt', 'NN')",salt,salt,description
Ashaninka,ashaninka,"('ashaninka', 'NN')",ashaninka,ashaninka,description
products,products,"('products', 'NNS')",product,product,description
making,making,"('making', 'VBG')",make,make,description
way,way,"('way', 'NN')",way,way,description
Cusco,cusco,"('cusco', 'VB')",cusco,cusco,description
via,via,"('via', 'IN')",via,via,description
Bingham,bingham,"('bingham', 'NN')",bingham,bingham,description
came,came,"('came', 'VBD')",came,come,description
Choquequirao,choquequirao,"('choquequirao', 'VB')",choquequirao,choquequirao,description
his,his,"('his', 'PRP$')",hi,his,description
search,search,"('search', 'NN')",search,search,description
lost,lost,"('lost', 'VBN')",lost,lose,description
Inca,inca,"('inca', 'NN')",inca,inca,description
cities,cities,"('cities', 'NNS')",citi,city,description
Regardless,regardless,"('regardless', 'RB')",regardless,regardless,description
exquisite,exquisite,"('exquisite', 'JJ')",exquisit,exquisite,description
stonework,stonework,"('stonework', 'NN')",stonework,stonework,description
ceremonial,ceremonial,"('ceremonial', 'JJ')",ceremoni,ceremonial,description
complex,complex,"('complex', 'NN')",complex,complex,description
megalithic,megalithic,"('megalithic', 'JJ')",megalith,megalithic,description
agricultural,agricultural,"('agricultural', 'JJ')",agricultur,agricultural,description
terracing,terracing,"('terracing', 'VBG')",terrac,terrace,description
Bingham,bingham,"('bingham', 'NN')",bingham,bingham,description
many,many,"('many', 'JJ')",mani,many,description
archeologists,archeologists,"('archeologists', 'NNS')",archeologist,archeologist,description
since,since,"('since', 'IN')",sinc,since,description
failed,failed,"('failed', 'VBN')",fail,fail,description
see,see,"('see', 'VB')",see,see,description
important,important,"('important', 'JJ')",import,important,description
citadel,citadel,"('citadel', 'NN')",citadel,citadel,description
Choquequirao,choquequirao,"('choquequirao', 'NN')",choquequirao,choquequirao,description
actually,actually,"('actually', 'RB')",actual,actually,description
was,was,"('was', 'VBD')",wa,be,description
Evidence,evidence,"('evidence', 'NN')",evid,evidence,description
digs,digs,"('digs', 'NNS')",dig,dig,description
suggest,suggest,"('suggest', 'VBP')",suggest,suggest,description
large,large,"('large', 'JJ')",larg,large,description
population,population,"('population', 'NN')",popul,population,description
continuously,continuously,"('continuously', 'RB')",continu,continuously,description
inhabited,inhabited,"('inhabited', 'VBN')",inhabit,inhabit,description
Choquequirao,choquequirao,"('choquequirao', 'NN')",choquequirao,choquequirao,description
nearby,nearby,"('nearby', 'JJ')",nearbi,nearby,description
settlements,settlements,"('settlements', 'NNS')",settlement,settlement,description
even,even,"('even', 'RB')",even,even,description
Spanish,spanish,"('spanish', 'JJ')",spanish,spanish,description
direct,direct,"('direct', 'JJ')",direct,direct,description
route,route,"('route', 'NN')",rout,route,description
along,along,"('along', 'IN')",along,along,description
Abancay,abancay,"('abancay', 'JJ')",abancay,abancay,description
road,road,"('road', 'NN')",road,road,description
Cusco,cusco,"('cusco', 'NN')",cusco,cusco,description
four,four,"('four', 'CD')",four,four,description
