token,normed_token,pos_tags,stemmed_token,lemma_token,class
According,according,"('according', 'VBG')",accord,accord,introduction
myth,myth,"('myth', 'VB')",myth,myth,introduction
lagoon,lagoon,"('lagoon', 'NN')",lagoon,lagoon,introduction
HUACACHINA,huacachina,"('huacachina', 'NN')",huacachina,huacachina,introduction
southwest,southwest,"('southwest', 'NN')",southwest,southwest,introduction
Ica,ica,"('ica', 'NN')",ica,ica,introduction
was,was,"('was', 'VBD')",wa,be,introduction
created,created,"('created', 'VBN')",creat,create,introduction
princess,princess,"('princess', 'NN')",princess,princess,introduction
stripped,stripped,"('stripped', 'VBD')",strip,strip,introduction
clothes,clothes,"('clothes', 'NNS')",cloth,clothes,introduction
bathe,bathe,"('bathe', 'VB')",bath,bathe,introduction
looked,looked,"('looked', 'VBD')",look,look,introduction
mirror,mirror,"('mirror', 'NN')",mirror,mirror,introduction
saw,saw,"('saw', 'VBD')",saw,saw,introduction
male,male,"('male', 'JJ')",male,male,introduction
hunter,hunter,"('hunter', 'NN')",hunter,hunter,introduction
was,was,"('was', 'VBD')",wa,be,introduction
watching,watching,"('watching', 'VBG')",watch,watch,introduction
dropped,dropped,"('dropped', 'VBD')",drop,drop,introduction
mirror,mirror,"('mirror', 'NN')",mirror,mirror,introduction
became,became,"('became', 'VBD')",becam,become,introduction
lagoon,lagoon,"('lagoon', 'NN')",lagoon,lagoon,introduction
prosaically,prosaically,"('prosaically', 'RB')",prosaic,prosaically,introduction
during,during,"('during', 'IN')",dure,during,introduction
late,late,"('late', 'JJ')",late,late,introduction
lagoon,lagoon,"('lagoon', 'NN')",lagoon,lagoon,introduction
became,became,"('became', 'VBD')",becam,become,introduction
one,one,"('one', 'CD')",one,one,introduction
Peru,peru,"('peru', 'NN')",peru,peru,introduction
elegant,elegant,"('elegant', 'JJ')",eleg,elegant,introduction
exclusive,exclusive,"('exclusive', 'JJ')",exclus,exclusive,introduction
resorts,resorts,"('resorts', 'NNS')",resort,resort,introduction
surrounded,surrounded,"('surrounded', 'VBN')",surround,surround,introduction
palm,palm,"('palm', 'NN')",palm,palm,introduction
trees,trees,"('trees', 'NNS')",tree,tree,introduction
sand,sand,"('sand', 'VBP')",sand,sand,introduction
dunes,dunes,"('dunes', 'NNS')",dune,dune,introduction
waters,waters,"('waters', 'NNS')",water,water,introduction
famed,famed,"('famed', 'VBN')",fame,famed,introduction
curative,curative,"('curative', 'JJ')",cur,curative,introduction
powers,powers,"('powers', 'NNS')",power,power,introduction
delightfully,delightfully,"('delightfully', 'RB')",delight,delightfully,introduction
atmosphere,atmosphere,"('atmosphere', 'JJ')",atmospher,atmosphere,introduction
Since,since,"('since', 'IN')",sinc,since,introduction
