token,normed_token,pos_tags,stemmed_token,lemma_token,class
Cusco,cusco,"('cusco', 'NN')",cusco,cusco,introduction
modern,modern,"('modern', 'JJ')",modern,modern,introduction
ancient,ancient,"('ancient', 'JJ')",ancient,ancient,introduction
centre,centre,"('centre', 'NN')",centr,centre,introduction
Plaza,plaza,"('plaza', 'NN')",plaza,plaza,introduction
de,de,"('de', 'IN')",de,de,introduction
Armas,armas,"('armas', 'FW')",arma,armas,introduction
whose,whose,"('whose', 'WP$')",whose,whose,introduction
location,location,"('location', 'NN')",locat,location,introduction
corresponds,corresponds,"('corresponds', 'VBZ')",correspond,correspond,introduction
roughly,roughly,"('roughly', 'RB')",roughli,roughly,introduction
ceremonial,ceremonial,"('ceremonial', 'JJ')",ceremoni,ceremonial,introduction
huacapata,huacapata,"('huacapata', 'NN')",huacapata,huacapata,introduction
Incas,incas,"('incas', 'NN')",inca,inca,introduction
ancient,ancient,"('ancient', 'JJ')",ancient,ancient,introduction
central,central,"('central', 'JJ')",central,central,introduction
plaza,plaza,"('plaza', 'NN')",plaza,plaza,introduction
obvious,obvious,"('obvious', 'JJ')",obviou,obvious,introduction
place,place,"('place', 'NN')",place,place,introduction
get,get,"('get', 'VB')",get,get,introduction
bearings,bearings,"('bearings', 'NNS')",bear,bearing,introduction
unmistakeable,unmistakeable,"('unmistakeable', 'JJ')",unmistak,unmistakeable,introduction
ruins,ruins,"('ruins', 'NNS')",ruin,ruin,introduction
Sacsayhuaman,sacsayhuaman,"('sacsayhuaman', 'JJ')",sacsayhuaman,sacsayhuaman,introduction
towering,towering,"('towering', 'VBG')",tower,tower,introduction
above,above,"('above', 'IN')",abov,above,introduction
always,always,"('always', 'RB')",alway,always,introduction
find,find,"('find', 'VB')",find,find,introduction
way,way,"('way', 'NN')",way,way,introduction
back,back,"('back', 'RB')",back,back,introduction
plaza,plaza,"('plaza', 'NN')",plaza,plaza,introduction
simply,simply,"('simply', 'RB')",simpli,simply,introduction
locating,locating,"('locating', 'VBG')",locat,locate,introduction
fortress,fortress,"('fortress', 'NN')",fortress,fortress,introduction
night,night,"('night', 'NN')",night,night,introduction
illuminated,illuminated,"('illuminated', 'JJ')",illumin,illuminated,introduction
white,white,"('white', 'JJ')",white,white,introduction
figure,figure,"('figure', 'NN')",figur,figure,introduction
Christ,christ,"('christ', 'NN')",christ,christ,introduction
stands,stands,"('stands', 'VBZ')",stand,stand,introduction
beside,beside,"('beside', 'VB')",besid,beside,introduction
horizon,horizon,"('horizon', 'NN')",horizon,horizon,introduction
plaza,plaza,"('plaza', 'NN')",plaza,plaza,introduction
always,always,"('always', 'RB')",alway,always,introduction
busy,busy,"('busy', 'JJ')",busi,busy,introduction
northern,northern,"('northern', 'JJ')",northern,northern,introduction
western,western,"('western', 'JJ')",western,western,introduction
sides,sides,"('sides', 'NNS')",side,side,introduction
filled,filled,"('filled', 'VBN')",fill,fill,introduction
shops,shops,"('shops', 'NNS')",shop,shop,introduction
restaurants,restaurants,"('restaurants', 'NNS')",restaur,restaurant,introduction
plaza,plaza,"('plaza', 'NN')",plaza,plaza,description
exposed,exposed,"('exposed', 'VBD')",expos,expose,description
northeastern,northeastern,"('northeastern', 'JJ')",northeastern,northeastern,description
edge,edge,"('edge', 'NN')",edg,edge,description
dominated,dominated,"('dominated', 'VBN')",domin,dominate,description
squat,squat,"('squat', 'JJ')",squat,squat,description
Catedral,catedral,"('catedral', 'NN')",catedr,catedral,description
smaller,smaller,"('smaller', 'JJR')",smaller,small,description
Iglesia,iglesia,"('iglesia', 'NN')",iglesia,iglesia,description
de,de,"('de', 'IN')",de,de,description
la,la,"('la', 'FW')",la,la,description
Compañía,compañía,"('compañía', 'FW')",compañía,compañía,description
de,de,"('de', 'FW')",de,de,description
Jesus,jesus,"('jesus', 'NN')",jesu,jesus,description
