token,normed_token,pos_tags,stemmed_token,lemma_token,class
vital,vital,"('vital', 'JJ')",vital,vital,introduction
Inca,inca,"('inca', 'NN')",inca,inca,introduction
road,road,"('road', 'NN')",road,road,introduction
once,once,"('once', 'RB')",onc,once,introduction
snaked,snaked,"('snaked', 'VBD')",snake,snake,introduction
way,way,"('way', 'NN')",way,way,introduction
canyon,canyon,"('canyon', 'NN')",canyon,canyon,introduction
enters,enters,"('enters', 'VBZ')",enter,enter,introduction
Sacred,sacred,"('sacred', 'JJ')",sacr,sacred,introduction
Valley,valley,"('valley', 'NN')",valley,valley,introduction
PISAC,pisac,"('pisac', 'NN')",pisac,pisac,introduction
ruined,ruined,"('ruined', 'VBN')",ruin,ruin,introduction
citadel,citadel,"('citadel', 'NN')",citadel,citadel,introduction
sits,sits,"('sits', 'VBZ')",sit,sit,introduction
entrance,entrance,"('entrance', 'NN')",entranc,entrance,introduction
gorge,gorge,"('gorge', 'NN')",gorg,gorge,introduction
controlled,controlled,"('controlled', 'VBD')",control,control,introduction
strategic,strategic,"('strategic', 'JJ')",strateg,strategic,introduction
route,route,"('route', 'NN')",rout,route,introduction
connecting,connecting,"('connecting', 'VBG')",connect,connect,introduction
Inca,inca,"('inca', 'NN')",inca,inca,introduction
Empire,empire,"('empire', 'NN')",empir,empire,introduction
Paucartambo,paucartambo,"('paucartambo', 'NN')",paucartambo,paucartambo,introduction
borders,borders,"('borders', 'NNS')",border,border,introduction
eastern,eastern,"('eastern', 'JJ')",eastern,eastern,introduction
jungle,jungle,"('jungle', 'NN')",jungl,jungle,introduction
Less,less,"('less', 'JJR')",less,less,introduction
hour,hour,"('hour', 'NN')",hour,hour,introduction
Cusco,cusco,"('cusco', 'NN')",cusco,cusco,introduction
bus,bus,"('bus', 'IN')",bu,bus,introduction
town,town,"('town', 'NN')",town,town,introduction
commonly,commonly,"('commonly', 'RB')",commonli,commonly,introduction
visited,visited,"('visited', 'JJ')",visit,visited,introduction
apart,apart,"('apart', 'RB')",apart,apart,introduction
look,look,"('look', 'NN')",look,look,introduction
citadel,citadel,"('citadel', 'NN')",citadel,citadel,introduction
morning,morning,"('morning', 'NN')",morn,morning,introduction
market,market,"('market', 'NN')",market,market,introduction
takes,takes,"('takes', 'VBZ')",take,take,introduction
place,place,"('place', 'NN')",place,place,introduction
three,three,"('three', 'CD')",three,three,introduction
times,times,"('times', 'NNS')",time,time,introduction
week,week,"('week', 'NN')",week,week,introduction
addition,addition,"('addition', 'NN')",addit,addition,description
main,main,"('main', 'JJ')",main,main,description
local,local,"('local', 'JJ')",local,local,description
fiesta,fiesta,"('fiesta', 'NN')",fiesta,fiesta,description
Virgen,virgen,"('virgen', 'NN')",virgen,virgen,description
del,del,"('del', 'FW')",del,del,description
Carmen,carmen,"('carmen', 'NNS')",carmen,carmen,description
July,july,"('july', 'NN')",juli,july,description
good,good,"('good', 'JJ')",good,good,description
alternative,alternative,"('alternative', 'NN')",altern,alternative,description
simultaneous,simultaneous,"('simultaneous', 'JJ')",simultan,simultaneous,description
remote,remote,"('remote', 'JJ')",remot,remote,description
Paucartambo,paucartambo,"('paucartambo', 'NN')",paucartambo,paucartambo,description
festival,festival,"('festival', 'NN')",festiv,festival,description
name,name,"('name', 'NN')",name,name,description
see,see,"('see', 'VBP')",see,see,description
Fiesta,fiesta,"('fiesta', 'NN')",fiesta,fiesta,description
de,de,"('de', 'FW')",de,de,description
la,la,"('la', 'FW')",la,la,description
Virgen,virgen,"('virgen', 'FW')",virgen,virgen,description
del,del,"('del', 'FW')",del,del,description
Carmen,carmen,"('carmen', 'NNS')",carmen,carmen,description
processions,processions,"('processions', 'NNS')",process,procession,description
music,music,"('music', 'NN')",music,music,description
dance,dance,"('dance', 'NN')",danc,dance,description
groups,groups,"('groups', 'NNS')",group,group,description
usual,usual,"('usual', 'JJ')",usual,usual,description
firecracker,firecracker,"('firecracker', 'NN')",firecrack,firecracker,description
celebrations,celebrations,"('celebrations', 'NNS')",celebr,celebration,description
food,food,"('food', 'NN')",food,food,description
stalls,stalls,"('stalls', 'NNS')",stall,stall,description
around,around,"('around', 'IN')",around,around,description
thriving,thriving,"('thriving', 'VBG')",thrive,thrive,description
market,market,"('market', 'NN')",market,market,description
held,held,"('held', 'VBN')",held,hold,description
town,town,"('town', 'NN')",town,town,description
main,main,"('main', 'JJ')",main,main,description
square,square,"('square', 'NN')",squar,square,description
buy,buy,"('buy', 'VB')",buy,buy,description
ceramic,ceramic,"('ceramic', 'JJ')",ceram,ceramic,description
beads,beads,"('beads', 'NNS')",bead,bead,description
pick,pick,"('pick', 'VB')",pick,pick,description
occasional,occasional,"('occasional', 'JJ')",occasion,occasional,description
bargain,bargain,"('bargain', 'NN')",bargain,bargain,description
Even,even,"('even', 'RB')",even,even,description
market,market,"('market', 'NN')",market,market,description
still,still,"('still', 'RB')",still,still,description
number,number,"('number', 'NN')",number,number,description
excellent,excellent,"('excellent', 'JJ')",excel,excellent,description
artesanía,artesanía,"('artesanía', 'JJ')",artesanía,artesanía,description
shops,shops,"('shops', 'NNS')",shop,shop,description
particularly,particularly,"('particularly', 'RB')",particularli,particularly,description
along,along,"('along', 'RB')",along,along,description
Calle,calle,"('calle', 'JJ')",call,calle,description
Bolognesi,bolognesi,"('bolognesi', 'NNS')",bolognesi,bolognesi,description
try,try,"('try', 'VBP')",tri,try,description
Walter,walter,"('walter', 'NN')",walter,walter,description
Luigi,luigi,"('luigi', 'NN')",luigi,luigi,description
connects,connects,"('connects', 'VBZ')",connect,connect,description
Sacred,sacred,"('sacred', 'JJ')",sacr,sacred,description
Valley,valley,"('valley', 'NN')",valley,valley,description
road,road,"('road', 'NN')",road,road,description
river,river,"('river', 'NN')",river,river,description
bridge,bridge,"('bridge', 'NN')",bridg,bridge,description
plaza,plaza,"('plaza', 'NN')",plaza,plaza,description
