token,normed_token,pos_tags,stemmed_token,lemma_token,class
small,small,"('small', 'JJ')",small,small,introduction
modern,modern,"('modern', 'JJ')",modern,modern,introduction
town,town,"('town', 'NN')",town,town,introduction
CHACHAPOYAS,chachapoyas,"('chachapoyas', 'NN')",chachapoya,chachapoyas,introduction
high,high,"('high', 'JJ')",high,high,introduction
first,first,"('first', 'JJ')",first,first,introduction
foremost,foremost,"('foremost', 'VB')",foremost,foremost,introduction
springboard,springboard,"('springboard', 'NN')",springboard,springboard,introduction
wealth,wealth,"('wealth', 'NN')",wealth,wealth,introduction
nearby,nearby,"('nearby', 'JJ')",nearbi,nearby,introduction
remains,remains,"('remains', 'NNS')",remain,remains,introduction
opening,opening,"('opening', 'VBG')",open,open,introduction
road,road,"('road', 'NN')",road,road,introduction
networks,networks,"('networks', 'NNS')",network,network,introduction
parts,parts,"('parts', 'NNS')",part,part,introduction
Chachapoyas,chachapoyas,"('chachapoyas', 'NN')",chachapoya,chachapoyas,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
developed,developed,"('developed', 'VBN')",develop,develop,introduction
thriving,thriving,"('thriving', 'JJ')",thrive,thriving,introduction
little,little,"('little', 'JJ')",littl,little,introduction
market,market,"('market', 'NN')",market,market,introduction
town,town,"('town', 'NN')",town,town,introduction
wide,wide,"('wide', 'JJ')",wide,wide,introduction
range,range,"('range', 'NN')",rang,range,introduction
fruits,fruits,"('fruits', 'NNS')",fruit,fruit,introduction
veggies,veggies,"('veggies', 'NNS')",veggi,veggie,introduction
craft,craft,"('craft', 'VBP')",craft,craft,introduction
goods,goods,"('goods', 'NNS')",good,good,introduction
smaller,smaller,"('smaller', 'JJR')",smaller,small,introduction
woollen,woollen,"('woollen', 'JJ')",woollen,woollen,introduction
accessories,accessories,"('accessories', 'NNS')",accessori,accessory,introduction
straps,straps,"('straps', 'NNS')",strap,strap,introduction
belts,belts,"('belts', 'NNS')",belt,belt,introduction
supporting,supporting,"('supporting', 'VBG')",support,support,introduction
mostly,mostly,"('mostly', 'RB')",mostli,mostly,introduction
indigenous,indigenous,"('indigenous', 'JJ')",indigen,indigenous,introduction
population,population,"('population', 'NN')",popul,population,introduction
around,around,"('around', 'IN')",around,around,introduction
ten,ten,"('ten', 'JJ')",ten,ten,introduction
thousand,thousand,"('thousand', 'VBP')",thousand,thousand,introduction
themselves,themselves,"('themselves', 'PRP')",themselv,themselves,introduction
reputation,reputation,"('reputation', 'NN')",reput,reputation,introduction
among,among,"('among', 'IN')",among,among,introduction
friendly,friendly,"('friendly', 'JJ')",friendli,friendly,introduction
hospitable,hospitable,"('hospitable', 'JJ')",hospit,hospitable,introduction
people,people,"('people', 'NNS')",peopl,people,introduction
Peru,peru,"('peru', 'NN')",peru,peru,introduction
nearest,nearest,"('nearest', 'JJS')",nearest,near,description
ruins,ruins,"('ruins', 'NNS')",ruin,ruin,description
Chachapoyas,chachapoyas,"('chachapoyas', 'VB')",chachapoya,chachapoyas,description
include,include,"('include', 'VB')",includ,include,description
ruined,ruined,"('ruined', 'JJ')",ruin,ruined,description
city,city,"('city', 'NN')",citi,city,description
Purunllacta,purunllacta,"('purunllacta', 'JJ')",purunllacta,purunllacta,description
south,south,"('south', 'NN')",south,south,description
city,city,"('city', 'NN')",citi,city,description
one,one,"('one', 'CD')",one,one,description
likely,likely,"('likely', 'JJ')",like,likely,description
capitals,capitals,"('capitals', 'NNS')",capit,capital,description
Chachapoyas,chachapoyas,"('chachapoyas', 'NN')",chachapoya,chachapoyas,description
people,people,"('people', 'NNS')",peopl,people,description
west,west,"('west', 'JJS')",west,west,description
Pueblo,pueblo,"('pueblo', 'JJ')",pueblo,pueblo,description
de,de,"('de', 'IN')",de,de,description
los,los,"('los', 'FW')",lo,los,description
Muertos,muertos,"('muertos', 'NNS')",muerto,muertos,description
Carajía,carajía,"('carajía', 'NN')",carajía,carajía,description
two,two,"('two', 'CD')",two,two,description
impressive,impressive,"('impressive', 'JJ')",impress,impressive,description
burial,burial,"('burial', 'JJ')",burial,burial,description
centres,centres,"('centres', 'NNS')",centr,centre,description
elite,elite,"('elite', 'NN')",elit,elite,description
this,this,"('this', 'DT')",thi,this,description
quite,quite,"('quite', 'NN')",quit,quite,description
sophisticated,sophisticated,"('sophisticated', 'JJ')",sophist,sophisticated,description
culture,culture,"('culture', 'NN')",cultur,culture,description
However,however,"('however', 'RB')",howev,however,description
famous,famous,"('famous', 'JJ')",famou,famous,description
worthwhile,worthwhile,"('worthwhile', 'NN')",worthwhil,worthwhile,description
Chachapoyan,chachapoyan,"('chachapoyan', 'JJ')",chachapoyan,chachapoyan,description
archeological,archeological,"('archeological', 'JJ')",archeolog,archeological,description
remains,remains,"('remains', 'NNS')",remain,remains,description
Kuelap,kuelap,"('kuelap', 'PDT')",kuelap,kuelap,description
fabulous,fabulous,"('fabulous', 'JJ')",fabul,fabulous,description
huge,huge,"('huge', 'JJ')",huge,huge,description
citadel,citadel,"('citadel', 'NN')",citadel,citadel,description
complex,complex,"('complex', 'JJ')",complex,complex,description
South,south,"('south', 'NN')",south,south,description
lie,lie,"('lie', 'VBN')",lie,lie,description
Balsas,balsas,"('balsas', 'NN')",balsa,balsa,description
Leymebamba,leymebamba,"('leymebamba', 'NN')",leymebamba,leymebamba,description
extent,extent,"('extent', 'NN')",extent,extent,description
ancient,ancient,"('ancient', 'JJ')",ancient,ancient,description
culture,culture,"('culture', 'NN')",cultur,culture,description
lives,lives,"('lives', 'VBZ')",live,live,description
remote,remote,"('remote', 'JJ')",remot,remote,description
traditional,traditional,"('traditional', 'JJ')",tradit,traditional,description
communities,communities,"('communities', 'NNS')",commun,community,description
like,like,"('like', 'IN')",like,like,description
La,la,"('la', 'NN')",la,la,description
Jalca,jalca,"('jalca', 'NN')",jalca,jalca,description
south,south,"('south', 'NN')",south,south,description
land,land,"('land', 'NN')",land,land,description
Chachapoyas,chachapoyas,"('chachapoyas', 'JJ')",chachapoya,chachapoyas,description
region,region,"('region', 'NN')",region,region,description
full,full,"('full', 'JJ')",full,full,description
ravines,ravines,"('ravines', 'NNS')",ravin,ravine,description
very,very,"('very', 'RB')",veri,very,description
steep,steep,"('steep', 'JJ')",steep,steep,description
sided,sided,"('sided', 'VBD')",side,side,description
valleys,valleys,"('valleys', 'NNS')",valley,valley,description
land,land,"('land', 'NN')",land,land,description
considered,considered,"('considered', 'VBN')",consid,consider,description
jalca,jalca,"('jalca', 'NN')",jalca,jalca,description
wild,wild,"('wild', 'JJ')",wild,wild,description
approached,approached,"('approached', 'VBN')",approach,approach,description
only,only,"('only', 'RB')",onli,only,description
guide,guide,"('guide', 'NN')",guid,guide,description
Spectacled,spectacled,"('spectacled', 'VBD')",spectacl,spectacled,description
bear,bear,"('bear', 'JJ')",bear,bear,description
puma,puma,"('puma', 'NN')",puma,puma,description
deer,deer,"('deer', 'NN')",deer,deer,description
roam,roam,"('roam', 'NN')",roam,roam,description
hummingbirds,hummingbirds,"('hummingbirds', 'NNS')",hummingbird,hummingbird,description
flutter,flutter,"('flutter', 'VBP')",flutter,flutter,description
remote,remote,"('remote', 'JJ')",remot,remote,description
highland,highland,"('highland', 'NN')",highland,highland,description
plains,plains,"('plains', 'VBZ')",plain,plain,description
Less,less,"('less', 'JJR')",less,less,description
north,north,"('north', 'NN')",north,north,description
Chachapoyas,chachapoyas,"('chachapoyas', 'JJ')",chachapoya,chachapoyas,description
Town,town,"('town', 'NN')",town,town,description
gush,gush,"('gush', 'VBD')",gush,gush,description
fabulous,fabulous,"('fabulous', 'JJ')",fabul,fabulous,description
Cataratas,cataratas,"('cataratas', 'NNS')",catarata,cataratas,description
de,de,"('de', 'IN')",de,de,description
Gocta,gocta,"('gocta', 'FW')",gocta,gocta,description
reputedly,reputedly,"('reputedly', 'RB')",reputedli,reputedly,description
tallest,tallest,"('tallest', 'JJS')",tallest,tall,description
Aymara,aymara,"('aymara', 'NN')",aymara,aymara,description
Chachapoyas,chachapoyas,"('chachapoyas', 'NN')",chachapoya,chachapoyas,description
means,means,"('means', 'VBZ')",mean,mean,description
cloud,cloud,"('cloud', 'NN')",cloud,cloud,description
people,people,"('people', 'NNS')",peopl,people,description
perhaps,perhaps,"('perhaps', 'RB')",perhap,perhaps,description
description,description,"('description', 'NN')",descript,description,description
tribes,tribes,"('tribes', 'NNS')",tribe,tribe,description
used,used,"('used', 'VBD')",use,use,description
dominate,dominate,"('dominate', 'VB')",domin,dominate,description
this,this,"('this', 'DT')",thi,this,description
region,region,"('region', 'NN')",region,region,description
living,living,"('living', 'NN')",live,living,description
one,one,"('one', 'CD')",one,one,description
