token,normed_token,pos_tags,stemmed_token,lemma_token,class
commercial,commercial,"('commercial', 'JJ')",commerci,commercial,introduction
centre,centre,"('centre', 'NN')",centr,centre,introduction
northern,northern,"('northern', 'JJ')",northern,northern,introduction
Peru,peru,"('peru', 'NN')",peru,peru,introduction
CHICLAYO,chiclayo,"('chiclayo', 'NN')",chiclayo,chiclayo,introduction
better,better,"('better', 'RBR')",better,well,introduction
famed,famed,"('famed', 'VBN')",fame,famed,introduction
banks,banks,"('banks', 'NNS')",bank,bank,introduction
heritage,heritage,"('heritage', 'NN')",heritag,heritage,introduction
Nevertheless,nevertheless,"('nevertheless', 'NN')",nevertheless,nevertheless,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
attractions,attractions,"('attractions', 'NNS')",attract,attraction,introduction
even,even,"('even', 'RB')",even,even,introduction
city,city,"('city', 'NN')",citi,city,introduction
urban,urban,"('urban', 'JJ')",urban,urban,introduction
sprawl,sprawl,"('sprawl', 'NN')",sprawl,sprawl,introduction
modernizing,modernizing,"('modernizing', 'NN')",modern,modernizing,introduction
growing,growing,"('growing', 'VBG')",grow,grow,introduction
rapidly,rapidly,"('rapidly', 'RB')",rapidli,rapidly,introduction
city,city,"('city', 'NN')",citi,city,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
incredibly,incredibly,"('incredibly', 'RB')",incred,incredibly,introduction
busy,busy,"('busy', 'JJ')",busi,busy,introduction
feel,feel,"('feel', 'NN')",feel,feel,introduction
people,people,"('people', 'NNS')",peopl,people,introduction
traffic,traffic,"('traffic', 'NN')",traffic,traffic,introduction
moving,moving,"('moving', 'VBG')",move,move,introduction
fast,fast,"('fast', 'RB')",fast,fast,introduction
noisily,noisily,"('noisily', 'RB')",noisili,noisily,introduction
everywhere,everywhere,"('everywhere', 'RB')",everywher,everywhere,introduction
during,during,"('during', 'IN')",dure,during,introduction
daylight,daylight,"('daylight', 'JJ')",daylight,daylight,introduction
hours,hours,"('hours', 'NNS')",hour,hour,introduction
Tourists,tourists,"('tourists', 'NNS')",tourist,tourist,introduction
tend,tend,"('tend', 'VBP')",tend,tend,introduction
attract,attract,"('attract', 'VB')",attract,attract,introduction
attention,attention,"('attention', 'NN')",attent,attention,introduction
main,main,"('main', 'JJ')",main,main,introduction
streets,streets,"('streets', 'NNS')",street,street,introduction
least,least,"('least', 'JJS')",least,least,introduction
because,because,"('because', 'IN')",becaus,because,introduction
seen,seen,"('seen', 'VBN')",seen,see,introduction
very,very,"('very', 'RB')",veri,very,introduction
often,often,"('often', 'RB')",often,often,introduction
Central,central,"('central', 'JJ')",central,central,description
Market,market,"('market', 'NN')",market,market,description
Daily,daily,"('daily', 'RB')",daili,daily,description
Along,along,"('along', 'RB')",along,along,description
massive,massive,"('massive', 'JJ')",massiv,massive,description
market,market,"('market', 'NN')",market,market,description
lanes,lanes,"('lanes', 'NNS')",lane,lane,description
part,part,"('part', 'NN')",part,part,description
called,called,"('called', 'VBN')",call,call,description
Feria,feria,"('feria', 'NN')",feria,feria,description
Balta,balta,"('balta', 'NN')",balta,balta,description
this,this,"('this', 'DT')",thi,this,description
main,main,"('main', 'JJ')",main,main,description
focus,focus,"('focus', 'NN')",focu,focus,description
activity,activity,"('activity', 'NN')",activ,activity,description
town,town,"('town', 'NN')",town,town,description
Known,known,"('known', 'VBN')",known,know,description
Mercado,mercado,"('mercado', 'NN')",mercado,mercado,description
Modelo,modelo,"('modelo', 'VBD')",modelo,modelo,description
main,main,"('main', 'JJ')",main,main,description
part,part,"('part', 'NN')",part,part,description
Central,central,"('central', 'JJ')",central,central,description
Market,market,"('market', 'NN')",market,market,description
packed,packed,"('packed', 'VBN')",pack,pack,description
food,food,"('food', 'NN')",food,food,description
vendors,vendors,"('vendors', 'NNS')",vendor,vendor,description
centre,centre,"('centre', 'NN')",centr,centre,description
stalls,stalls,"('stalls', 'NNS')",stall,stall,description
around,around,"('around', 'IN')",around,around,description
outside,outside,"('outside', 'NN')",outsid,outside,description
This,this,"('this', 'DT')",thi,this,description
one,one,"('one', 'CD')",one,one,description
best,best,"('best', 'JJS')",best,best,description
markets,markets,"('markets', 'NNS')",market,market,description
north,north,"('north', 'NN')",north,north,description
revelation,revelation,"('revelation', 'NN')",revel,revelation,description
arrived,arrived,"('arrived', 'VBN')",arriv,arrive,description
country,country,"('country', 'NN')",countri,country,description
whole,whole,"('whole', 'JJ')",whole,whole,description
section,section,"('section', 'NN')",section,section,description
live,live,"('live', 'JJ')",live,live,description
animals,animals,"('animals', 'NNS')",anim,animal,description
including,including,"('including', 'VBG')",includ,include,description
wild,wild,"('wild', 'JJ')",wild,wild,description
fox,fox,"('fox', 'JJ')",fox,fox,description
cubs,cubs,"('cubs', 'NN')",cub,cub,description
canaries,canaries,"('canaries', 'NNS')",canari,canary,description
even,even,"('even', 'RB')",even,even,description
occasional,occasional,"('occasional', 'JJ')",occasion,occasional,description
condor,condor,"('condor', 'NN')",condor,condor,description
chick,chick,"('chick', 'NN')",chick,chick,description
miss,miss,"('miss', 'VB')",miss,miss,description
ray,ray,"('ray', 'JJ')",ray,ray,description
fish,fish,"('fish', 'JJ')",fish,fish,description
known,known,"('known', 'VBN')",known,know,description
la,la,"('la', 'NN')",la,la,description
guitarra,guitarra,"('guitarra', 'NN')",guitarra,guitarra,description
hanging,hanging,"('hanging', 'VBG')",hang,hang,description
dry,dry,"('dry', 'VB')",dri,dry,description
sun,sun,"('sun', 'NN')",sun,sun,description
before,before,"('before', 'IN')",befor,before,description
made,made,"('made', 'VBN')",made,make,description
local,local,"('local', 'JJ')",local,local,description
speciality,speciality,"('speciality', 'NN')",special,speciality,description
pescado,pescado,"('pescado', 'NN')",pescado,pescado,description
seco,seco,"('seco', 'NN')",seco,seco,description
compelling,compelling,"('compelling', 'JJ')",compel,compelling,description
displays,displays,"('displays', 'NNS')",display,display,description
herbalists,herbalists,"('herbalists', 'NNS')",herbalist,herbalist,description
shops,shops,"('shops', 'VBP')",shop,shop,description
mercado,mercado,"('mercado', 'VBP')",mercado,mercado,description
de,de,"('de', 'IN')",de,de,description
brujos,brujos,"('brujos', 'FW')",brujo,brujos,description
witches,witches,"('witches', 'NNS')",witch,witch,description
market,market,"('market', 'NN')",market,market,description
selling,selling,"('selling', 'VBG')",sell,sell,description
everything,everything,"('everything', 'NN')",everyth,everything,description
herbs,herbs,"('herbs', 'NN')",herb,herb,description
charms,charms,"('charms', 'NNS')",charm,charm,description
whale,whale,"('whale', 'VB')",whale,whale,description
bones,bones,"('bones', 'NNS')",bone,bone,description
hallucinogenic,hallucinogenic,"('hallucinogenic', 'JJ')",hallucinogen,hallucinogenic,description
Mochoqueque,mochoqueque,"('mochoqueque', 'NN')",mochoquequ,mochoqueque,description
Daily,daily,"('daily', 'RB')",daili,daily,description
eastern,eastern,"('eastern', 'JJ')",eastern,eastern,description
edge,edge,"('edge', 'NN')",edg,edge,description
town,town,"('town', 'NN')",town,town,description
Huge,huge,"('huge', 'JJ')",huge,huge,description
cheap,cheap,"('cheap', 'JJ')",cheap,cheap,description
wholesale,wholesale,"('wholesale', 'JJ')",wholesal,wholesale,description
market,market,"('market', 'NN')",market,market,description
fascinating,fascinating,"('fascinating', 'JJ')",fascin,fascinating,description
window,window,"('window', 'NN')",window,window,description
life,life,"('life', 'NN')",life,life,description
this,this,"('this', 'DT')",thi,this,description
part,part,"('part', 'NN')",part,part,description
world,world,"('world', 'NN')",world,world,description
best,best,"('best', 'RBS')",best,best,description
come,come,"('come', 'VB')",come,come,description
early,early,"('early', 'JJ')",earli,early,description
Tuesday,tuesday,"('tuesday', 'NN')",tuesday,tuesday,description
Friday,friday,"('friday', 'NN')",friday,friday,description
stray,stray,"('stray', 'VBP')",stray,stray,description
beware,beware,"('beware', 'NN')",bewar,beware,description
lot,lot,"('lot', 'NN')",lot,lot,description
pickpockets,pickpockets,"('pickpockets', 'NNS')",pickpocket,pickpocket,description
