token,normed_token,pos_tags,stemmed_token,lemma_token,class
city,city,"('city', 'NN')",citi,city,introduction
PIURA,piura,"('piura', 'NN')",piura,piura,introduction
feels,feels,"('feels', 'NNS')",feel,feel,introduction
very,very,"('very', 'RB')",veri,very,introduction
distinct,distinct,"('distinct', 'RB')",distinct,distinct,introduction
rest,rest,"('rest', 'NN')",rest,rest,introduction
country,country,"('country', 'NN')",countri,country,introduction
cut,cut,"('cut', 'VBD')",cut,cut,introduction
south,south,"('south', 'NN')",south,south,introduction
formidable,formidable,"('formidable', 'JJ')",formid,formidable,introduction
Sechura,sechura,"('sechura', 'NN')",sechura,sechura,introduction
Desert,desert,"('desert', 'NN')",desert,desert,introduction
east,east,"('east', 'NN')",east,east,introduction
Huancabamba,huancabamba,"('huancabamba', 'NN')",huancabamba,huancabamba,introduction
mountains,mountains,"('mountains', 'VBZ')",mountain,mountains,introduction
Francisco,francisco,"('francisco', 'JJ')",francisco,francisco,introduction
Pizarro,pizarro,"('pizarro', 'NN')",pizarro,pizarro,introduction
spent,spent,"('spent', 'VBN')",spent,spend,introduction
ten,ten,"('ten', 'JJ')",ten,ten,introduction
days,days,"('days', 'NNS')",day,day,introduction
Piura,piura,"('piura', 'NN')",piura,piura,introduction
en,en,"('en', 'JJ')",en,en,introduction
route,route,"('route', 'NN')",rout,route,introduction
his,his,"('his', 'PRP$')",hi,his,introduction
fateful,fateful,"('fateful', 'JJ')",fate,fateful,introduction
meeting,meeting,"('meeting', 'NN')",meet,meeting,introduction
Inca,inca,"('inca', 'NN')",inca,inca,introduction
overlord,overlord,"('overlord', 'NN')",overlord,overlord,introduction
Atahualpa,atahualpa,"('atahualpa', 'NN')",atahualpa,atahualpa,introduction
Cajamarca,cajamarca,"('cajamarca', 'NN')",cajamarca,cajamarca,introduction
city,city,"('city', 'NN')",citi,city,introduction
known,known,"('known', 'VBN')",known,know,introduction
San,san,"('san', 'JJ')",san,san,introduction
Miguel,miguel,"('miguel', 'NN')",miguel,miguel,introduction
de,de,"('de', 'IN')",de,de,introduction
Piura,piura,"('piura', 'NN')",piura,piura,introduction
well,well,"('well', 'RB')",well,well,introduction
two,two,"('two', 'CD')",two,two,introduction
hundred,hundred,"('hundred', 'JJ')",hundr,hundred,introduction
Spanish,spanish,"('spanish', 'JJ')",spanish,spanish,introduction
inhabitants,inhabitants,"('inhabitants', 'NNS')",inhabit,inhabitant,introduction
including,including,"('including', 'VBG')",includ,include,introduction
first,first,"('first', 'JJ')",first,first,introduction
Spanish,spanish,"('spanish', 'JJ')",spanish,spanish,introduction
women,women,"('women', 'NNS')",women,woman,introduction
arrive,arrive,"('arrive', 'VB')",arriv,arrive,introduction
Peru,peru,"('peru', 'NN')",peru,peru,introduction
early,early,"('early', 'RB')",earli,early,introduction
was,was,"('was', 'VBD')",wa,be,introduction
flourishing,flourishing,"('flourishing', 'JJ')",flourish,flourishing,introduction
trade,trade,"('trade', 'NN')",trade,trade,introduction
excellent,excellent,"('excellent', 'JJ')",excel,excellent,introduction
indigenous,indigenous,"('indigenous', 'JJ')",indigen,indigenous,introduction
Tanguis,tanguis,"('tanguis', 'NN')",tangui,tanguis,introduction
cotton,cotton,"('cotton', 'NN')",cotton,cotton,introduction
Piura,piura,"('piura', 'NN')",piura,piura,introduction
today,today,"('today', 'NN')",today,today,introduction
still,still,"('still', 'RB')",still,still,introduction
produces,produces,"('produces', 'VBZ')",produc,produce,introduction
third,third,"('third', 'JJ')",third,third,introduction
nation,nation,"('nation', 'NN')",nation,nation,introduction
cotton,cotton,"('cotton', 'NN')",cotton,cotton,introduction
city,city,"('city', 'NN')",citi,city,description
has,has,"('has', 'VBZ')",ha,have,description
strong,strong,"('strong', 'JJ')",strong,strong,description
oasis,oasis,"('oasis', 'NN')",oasi,oasis,description
atmosphere,atmosphere,"('atmosphere', 'RB')",atmospher,atmosphere,description
entirely,entirely,"('entirely', 'RB')",entir,entirely,description
dependent,dependent,"('dependent', 'JJ')",depend,dependent,description
vagaries,vagaries,"('vagaries', 'NNS')",vagari,vagary,description
Río,río,"('río', 'NN')",río,río,description
Piura,piura,"('piura', 'NN')",piura,piura,description
known,known,"('known', 'VBN')",known,know,description
colloquially,colloquially,"('colloquially', 'RB')",colloqui,colloquially,description
since,since,"('since', 'IN')",sinc,since,description
