token,normed_token,pos_tags,stemmed_token,lemma_token,class
America,america,"('america', 'NN')",america,america,introduction
oldest,oldest,"('oldest', 'JJS')",oldest,old,introduction
easily,easily,"('easily', 'RB')",easili,easily,introduction
famous,famous,"('famous', 'JJ')",famou,famous,introduction
national,national,"('national', 'JJ')",nation,national,introduction
park,park,"('park', 'NN')",park,park,introduction
YELLOWSTONE,yellowstone,"('yellowstone', 'CD')",yellowston,yellowstone,introduction
NATIONAL,national,"('national', 'JJ')",nation,national,introduction
PARK,park,"('park', 'NN')",park,park,introduction
attracts,attracts,"('attracts', 'VBZ')",attract,attract,introduction
three,three,"('three', 'CD')",three,three,introduction
million,million,"('million', 'CD')",million,million,introduction
visitors,visitors,"('visitors', 'NNS')",visitor,visitor,introduction
every,every,"('every', 'DT')",everi,every,introduction
year,year,"('year', 'NN')",year,year,introduction
percent,percent,"('percent', 'NN')",percent,percent,introduction
summer,summer,"('summer', 'NN')",summer,summer,introduction
good,good,"('good', 'JJ')",good,good,introduction
reason,reason,"('reason', 'NN')",reason,reason,introduction
sheer,sheer,"('sheer', 'NN')",sheer,sheer,introduction
diversity,diversity,"('diversity', 'NN')",divers,diversity,introduction
offer,offer,"('offer', 'NN')",offer,offer,introduction
only,only,"('only', 'RB')",onli,only,description
does,does,"('does', 'VBZ')",doe,do,description
Yellowstone,yellowstone,"('yellowstone', 'VB')",yellowston,yellowstone,description
deliver,deliver,"('deliver', 'VB')",deliv,deliver,description
mountain,mountain,"('mountain', 'NN')",mountain,mountain,description
scenery,scenery,"('scenery', 'NN')",sceneri,scenery,description
scintillating,scintillating,"('scintillating', 'VBG')",scintil,scintillate,description
colours,colours,"('colours', 'NN')",colour,colour,description
Grand,grand,"('grand', 'JJ')",grand,grand,description
Canyon,canyon,"('canyon', 'NN')",canyon,canyon,description
Yellowstone,yellowstone,"('yellowstone', 'NN')",yellowston,yellowstone,description
Yellowstone,yellowstone,"('yellowstone', 'NN')",yellowston,yellowstone,description
Lake,lake,"('lake', 'NN')",lake,lake,description
meadows,meadows,"('meadows', 'NNS')",meadow,meadow,description
much,much,"('much', 'JJ')",much,much,description
wildlife,wildlife,"('wildlife', 'NN')",wildlif,wildlife,description
might,might,"('might', 'MD')",might,might,description
think,think,"('think', 'VB')",think,think,description
arrived,arrived,"('arrived', 'VBN')",arriv,arrive,description
safari,safari,"('safari', 'NN')",safari,safari,description
park,park,"('park', 'NN')",park,park,description
Shambling,shambling,"('shambling', 'VBG')",shambl,shamble,description
grizzly,grizzly,"('grizzly', 'JJ')",grizzli,grizzly,description
bears,bears,"('bears', 'NNS')",bear,bear,description
vast,vast,"('vast', 'JJ')",vast,vast,description
herds,herds,"('herds', 'NNS')",herd,herd,description
bison,bison,"('bison', 'NN')",bison,bison,description
buffalo,buffalo,"('buffalo', 'NN')",buffalo,buffalo,description
horned,horned,"('horned', 'VBD')",horn,horn,description
elk,elk,"('elk', 'NNS')",elk,elk,description
mingle,mingle,"('mingle', 'NN')",mingl,mingle,description
marmots,marmots,"('marmots', 'NNS')",marmot,marmot,description
prairie,prairie,"('prairie', 'VBP')",prairi,prairie,description
dogs,dogs,"('dogs', 'NNS')",dog,dog,description
eagles,eagles,"('eagles', 'NNS')",eagl,eagle,description
coyotes,coyotes,"('coyotes', 'NNS')",coyot,coyote,description
dozen,dozen,"('dozen', 'NN')",dozen,dozen,description
elusive,elusive,"('elusive', 'JJ')",elus,elusive,description
wolf,wolf,"('wolf', 'NN')",wolf,wolf,description
packs,packs,"('packs', 'NNS')",pack,pack,description
prowl,prowl,"('prowl', 'NN')",prowl,prowl,description
really,really,"('really', 'RB')",realli,really,description
sets,sets,"('sets', 'VBZ')",set,set,description
Yellowstone,yellowstone,"('yellowstone', 'CD')",yellowston,yellowstone,description
apart,apart,"('apart', 'NN')",apart,apart,description
however,however,"('however', 'RB')",howev,however,description
this,this,"('this', 'DT')",thi,this,description
one,one,"('one', 'CD')",one,one,description
