token,normed_token,pos_tags,stemmed_token,lemma_token,class
sprawling,sprawling,"('sprawling', 'JJ')",sprawl,sprawling,introduction
hot,hot,"('hot', 'JJ')",hot,hot,introduction
dusty,dusty,"('dusty', 'JJ')",dusti,dusty,introduction
city,city,"('city', 'NN')",citi,city,introduction
inhabitants,inhabitants,"('inhabitants', 'NNS')",inhabit,inhabitant,introduction
PUCALLPA,pucallpa,"('pucallpa', 'JJ')",pucallpa,pucallpa,introduction
holds,holds,"('holds', 'VBZ')",hold,hold,introduction
little,little,"('little', 'RB')",littl,little,introduction
interest,interest,"('interest', 'NN')",interest,interest,introduction
travellers,travellers,"('travellers', 'NNS')",travel,traveller,introduction
get,get,"('get', 'VB')",get,get,introduction
straight,straight,"('straight', 'VBN')",straight,straight,introduction
mototaxi,mototaxi,"('mototaxi', 'NN')",mototaxi,mototaxi,introduction
local,local,"('local', 'JJ')",local,local,introduction
bus,bus,"('bus', 'NN')",bu,bus,introduction
Lago,lago,"('lago', 'JJ')",lago,lago,introduction
Yarinacocha,yarinacocha,"('yarinacocha', 'NN')",yarinacocha,yarinacocha,introduction
stay,stay,"('stay', 'VBP')",stay,stay,introduction
though,though,"('though', 'IN')",though,though,introduction
difficult,difficult,"('difficult', 'JJ')",difficult,difficult,introduction
appreciate,appreciate,"('appreciate', 'VB')",appreci,appreciate,introduction
Pucallpa,pucallpa,"('pucallpa', 'NN')",pucallpa,pucallpa,introduction
relaxed,relaxed,"('relaxed', 'VBD')",relax,relax,introduction
feel,feel,"('feel', 'NN')",feel,feel,introduction
entrepreneurial,entrepreneurial,"('entrepreneurial', 'JJ')",entrepreneuri,entrepreneurial,introduction
optimism,optimism,"('optimism', 'NN')",optim,optimism,introduction
this,this,"('this', 'DT')",thi,this,introduction
burgeoning,burgeoning,"('burgeoning', 'VBG')",burgeon,burgeon,introduction
jungle,jungle,"('jungle', 'NN')",jungl,jungle,introduction
frontier,frontier,"('frontier', 'JJR')",frontier,frontier,introduction
city,city,"('city', 'NN')",citi,city,introduction
Pucallpa,pucallpa,"('pucallpa', 'NN')",pucallpa,pucallpa,description
annual,annual,"('annual', 'JJ')",annual,annual,description
festival,festival,"('festival', 'NN')",festiv,festival,description
visitors,visitors,"('visitors', 'NNS')",visitor,visitor,description
Semana,semana,"('semana', 'NN')",semana,semana,description
Turística,turística,"('turística', 'NN')",turística,turística,description
de,de,"('de', 'IN')",de,de,description
la,la,"('la', 'FW')",la,la,description
Region,region,"('region', 'NN')",region,region,description
Ucayali,ucayali,"('ucayali', 'NN')",ucayali,ucayali,description
usually,usually,"('usually', 'RB')",usual,usually,description
held,held,"('held', 'VBN')",held,hold,description
last,last,"('last', 'JJ')",last,last,description
week,week,"('week', 'NN')",week,week,description
September,september,"('september', 'JJ')",septemb,september,description
offering,offering,"('offering', 'NN')",offer,offering,description
mostly,mostly,"('mostly', 'RB')",mostli,mostly,description
artesanía,artesanía,"('artesanía', 'JJ')",artesanía,artesanía,description
markets,markets,"('markets', 'NNS')",market,market,description
well,well,"('well', 'RB')",well,well,description
folklore,folklore,"('folklore', 'NN')",folklor,folklore,description
music,music,"('music', 'NN')",music,music,description
hour,hour,"('hour', 'NN')",hour,hour,description
