token,normed_token,pos_tags,stemmed_token,lemma_token,class
citizens,citizens,"('citizens', 'NNS')",citizen,citizen,introduction
city,city,"('city', 'NN')",citi,city,introduction
Rio,rio,"('rio', 'NN')",rio,rio,introduction
de,de,"('de', 'IN')",de,de,introduction
Janeiro,janeiro,"('janeiro', 'FW')",janeiro,janeiro,introduction
call,call,"('call', 'VB')",call,call,introduction
Cidade,cidade,"('cidade', 'NN')",cidad,cidade,introduction
Marvilhosa,marvilhosa,"('marvilhosa', 'NN')",marvilhosa,marvilhosa,introduction
much,much,"('much', 'JJ')",much,much,introduction
argument,argument,"('argument', 'NN')",argument,argument,introduction
Although,although,"('although', 'IN')",although,although,introduction
riven,riven,"('riven', 'VBN')",riven,rive,introduction
inequality,inequality,"('inequality', 'NN')",inequ,inequality,introduction
Rio,rio,"('rio', 'NN')",rio,rio,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
great,great,"('great', 'JJ')",great,great,introduction
style,style,"('style', 'NN')",style,style,introduction
international,international,"('international', 'JJ')",intern,international,introduction
renown,renown,"('renown', 'NN')",renown,renown,introduction
bolstered,bolstered,"('bolstered', 'VBN')",bolster,bolster,introduction
series,series,"('series', 'NN')",seri,series,introduction
symbols,symbols,"('symbols', 'NNS')",symbol,symbol,introduction
rank,rank,"('rank', 'VBD')",rank,rank,introduction
greatest,greatest,"('greatest', 'JJS')",greatest,great,introduction
landmarks,landmarks,"('landmarks', 'NNS')",landmark,landmark,introduction
world,world,"('world', 'NN')",world,world,introduction
Corcovado,corcovado,"('corcovado', 'NN')",corcovado,corcovado,introduction
mountain,mountain,"('mountain', 'NN')",mountain,mountain,introduction
supporting,supporting,"('supporting', 'VBG')",support,support,introduction
great,great,"('great', 'JJ')",great,great,introduction
statue,statue,"('statue', 'NN')",statu,statue,introduction
Christ,christ,"('christ', 'NN')",christ,christ,introduction
Redeemer,redeemer,"('redeemer', 'NN')",redeem,redeemer,introduction
rounded,rounded,"('rounded', 'JJ')",round,rounded,introduction
incline,incline,"('incline', 'NN')",inclin,incline,introduction
Sugar,sugar,"('sugar', 'NN')",sugar,sugar,introduction
Loaf,loaf,"('loaf', 'NN')",loaf,loaf,introduction
mountain,mountain,"('mountain', 'NN')",mountain,mountain,introduction
standing,standing,"('standing', 'NN')",stand,standing,introduction
entrance,entrance,"('entrance', 'NN')",entranc,entrance,introduction
bay,bay,"('bay', 'NN')",bay,bay,introduction
famous,famous,"('famous', 'JJ')",famou,famous,introduction
sweeps,sweeps,"('sweeps', 'NNS')",sweep,sweep,introduction
Copacabana,copacabana,"('copacabana', 'NN')",copacabana,copacabana,introduction
Ipanema,ipanema,"('ipanema', 'NN')",ipanema,ipanema,introduction
beaches,beaches,"('beaches', 'NNS')",beach,beach,introduction
probably,probably,"('probably', 'RB')",probabl,probably,introduction
notable,notable,"('notable', 'JJ')",notabl,notable,introduction
lengths,lengths,"('lengths', 'NNS')",length,length,introduction
sand,sand,"('sand', 'NN')",sand,sand,introduction
planet,planet,"('planet', 'NN')",planet,planet,introduction
setting,setting,"('setting', 'NN')",set,setting,introduction
enhanced,enhanced,"('enhanced', 'VBN')",enhanc,enhance,introduction
annually,annually,"('annually', 'RB')",annual,annually,introduction
frenetic,frenetic,"('frenetic', 'JJ')",frenet,frenetic,introduction
sensuality,sensuality,"('sensuality', 'NN')",sensual,sensuality,introduction
Carnaval,carnaval,"('carnaval', 'NN')",carnav,carnaval,introduction
explosive,explosive,"('explosive', 'JJ')",explos,explosive,introduction
celebration,celebration,"('celebration', 'NN')",celebr,celebration,introduction
many,many,"('many', 'JJ')",mani,many,introduction
people,people,"('people', 'NNS')",peopl,people,introduction
sums,sums,"('sums', 'VBP')",sum,sum,introduction
Rio,rio,"('rio', 'NN')",rio,rio,introduction
citizens,citizens,"('citizens', 'NNS')",citizen,citizen,introduction
cariocas,cariocas,"('cariocas', 'NN')",carioca,carioca,introduction
major,major,"('major', 'JJ')",major,major,introduction
downside,downside,"('downside', 'NN')",downsid,downside,introduction
city,city,"('city', 'NN')",citi,city,introduction
given,given,"('given', 'VBN')",given,give,introduction
conspicuous,conspicuous,"('conspicuous', 'JJ')",conspicu,conspicuous,introduction
consumption,consumption,"('consumption', 'NN')",consumpt,consumption,introduction
rapacious,rapacious,"('rapacious', 'JJ')",rapaci,rapacious,introduction
development,development,"('development', 'NN')",develop,development,introduction
has,has,"('has', 'VBZ')",ha,have,introduction
